Размер,Адрес,Точен адрес,Цена,Валута,Обзавеждане,Етаж,Етажи,Отопление,Състояние,Строителство,Спални,Бани,Двор,Площ на парцела,В регулация,Предназначение,Виза,Разрешение за строеж,Категория,Тип,Oписание
103m²," Банкя, София",False,"138,500",EUR,Необзаведен,3-ти,5,Електричество,,Тухла,,,,,,,,,,,"Агенция “ИМОТИ ПРОСПЕРИТИ“ има удоволствието да представи на вашето ВНИМАНИЕ имот с реф. № 352!!!
Продава 3- СТАЕН апартамент в гр. Банкя, кв. “Свети Стефан“, ул. “Варна“ с площ от 91м2 и продажната цена от 138 500EUR. Гр. Банкя се намира на 10 минути път с кола от гр. София и мястото предлага спокойствието на малкия град в комбинация с бърз достъп до столицата. Имота се намира в новострояща се сграда в най- предпочитаната част на гр. Банкя. В близост се намира магазин “Фантастико“, чешми с минерална вода, ресторанти, места за разходка и отдих, спирки на градски транспорт. Сградата ще има Акт16 Декември месец 2024г. Апартаментите ще бъдат завършени с висок клас строителни материали. PVC дограма с троен стъклопакет в цвят орех, външна топлоизолация, блиндирана входна врата, общи части на мазилка и гранитогрес, хидравличен асансьор ORONA. Отоплението ще бъде на газ без котлета, като ще има монтирана инсталация за климатик във всяка стая. Жилището е непреходно, на ет.3 от 5 и с изложение юг/изток/север.
Разпределение: дневна с трапезария и кухненски бокс, две спални, баня с тоалетна, тоалетна, антре и балкон.
Начин на плащане: 30% на предварителен договор, 40% на кота било, 20% на А15 и 10% на А16.
По женание всеки клиент може да закупи мазе за 3 000EUR, надземно паркомясто за 12 000EUR и подземно паркомясто за 18 000EUR
Нашите клиенти получават абсолютно БЕЗПЛАТНО пълно юридическо съдействие през целия процес на сделката и съдействие при кандидатстване и отпускане на ипотечен и потребителски кредит от 13 водещи банки в страната /преференциални условия и лихви за клиенти на агенцията/ с одобрение до 2 работни дни, чрез съдействието на КредитЦентър, най-големият регистриран в БНБ кредитен консултант.
Лице за контакт: Деница Борисова - 0899 60 50 77, 0896 42 40 40,
e-mail: prosperity@abv.bg, www.imotiprosperity.com
"
75m²," Банкя, София",True,"133,000",EUR,Полуобзаведен,4-ти,5,Локално отопление,,Тухла,,,,,,,,,,,"Продава се слънчев и просоторен двустаен апартамент в жилищна сграда на добра локация в гр. Банкя, широк център (не кварталите). Много тихо, спокойно и зелено място. Апартаментът е 71кв.м. ЗП с Акт 16, с прилежащо мазе 7,37кв.м. Състои се от коридир, антре, една спалня, дневна с трапезария и кухненски бокс, баня с тоалетна, балкон-лоджия. Дограмата е PVC, двоен стъклопакет, вътрешна изолация, настилки- масивен паркет и теракот, стени - латекс. Към имота надземен самостоятелен гараж 21,88 кв.м. на допълнителна цена.  Поддържани общи части, без асансьор, контрол на достъп, сградата е газифицирана. Апартаментът е вътрешен с изложение - запад!"
91m²," Банкя, София",False,"123,000",EUR,Необзаведен,3-ти,5,Електричество,,Тухла,,,,,,,,,,,"Агенция “ИМОТИ ПРОСПЕРИТИ“ има удоволствието да представи на вашето ВНИМАНИЕ имот с реф. № 344!!! 
Продава 3- СТАЕН апартамент в гр. Банкя, кв. “Свети Стефан“, ул. “Варна“ с площ от 91м2 и продажната цена от 123 000EUR. Гр. Банкя се намира на 10 минути път с кола от гр. София и мястото предлага спокойствието на малкия град в комбинация с бърз достъп до столицата.
Имота се намира в новострояща се сграда в най- предпочитаната част на гр. Банкя. В близост се намира магазин “Фантастико“, чешми с минерална вода, ресторанти, места за разходка и отдих, спирки на градски транспорт. Сградата ще има Акт16 Декември месец 2024г.
Апартаментите ще бъдат завършени с висок клас строителни материали. PVC дограма с троен стъклопакет в цвят орех, външна топлоизолация, блиндирана входна врата, общи части на мазилка и гранитогрес, хидравличен асансьор ORONA. Отоплението ще бъде на газ без котлета, като ще има монтирана инсталация за климатик във всяка стая. Жилището е непреходно, на ет.3 от 5 етаж, вътрешно и с южно изложение. 
Разпределение: дневна с трапезария и кухненски бокс, две спални, баня с тоалетна, мокро, антре и балкон.
Начин на плащане: 30% на предварителен договор, 40% на кота било, 20% на А15 и 10% на А16.
По женание всеки клиент може да закупи мазе за 3 000EUR, надземно паркомясто за 12 000EUR и подземно паркомясто за 18 000EUR
Нашите клиенти получават абсолютно БЕЗПЛАТНО пълно юридическо съдействие през целия процес на сделката и съдействие при кандидатстване и отпускане на ипотечен и потребителски кредит от 13 водещи банки в страната /преференциални условия и лихви за клиенти на агенцията/ с одобрение до 2 работни дни, чрез съдействието на КредитЦентър, най-големият регистриран в БНБ кредитен консултант.
Лице за контакт: Деница Борисова - 0899 60 50 77, 0896 42 40 40,
e-mail: prosperity@abv.bg, www.imotiprosperity.com
"
243m²," Банкя, София",True,"231,518",EUR,Необзаведен,4-ти,4,Електричество,,Тухла,,,,,,,,,,,"АЯКС Ви представя страхотен четиристаен апартамент в гр. Банкя. Ситуиран е на 4-ти жилищен етаж и разполага с площ от 243 кв.м. В ЦЕНАТА НА ИМОТА Е ВКЛЮЧЕН И ГАРАЖ!
Разпределение: хол с кухненска част, 3 спални, 2 бани и тераси.
Сигурността на сградата ще бъде обезпечена чрез контролиран достъп и видео наблюдение.

По желание на собствениците може да се предложи и напълно довършване на жилището.
Покупката на жилище е изключително важен момент от живота на всеки човек и за това искаме да предложим най- доброто. Услугите, които можем да предложим, включват:
Получаване на одобрение за ипотечен кредит.
Застраховка на движимо и недвижимо имущество.
Строителни, ремонтни дейности и изготвяне на 3-д интериорен дизайн, за да си представите как би изглеждал вашия мечтан дом
Юридически и счетоводни услуги и др.

За удобство на клиента, екипът ни е договорил с нашите финансови партньори преференциални условия за банков кредит.

При интерес към този или друг имот се свържете с нас за повече информация, безплатна консултация или уговорка за оглед.

Референтен номер:196199"
70m²," Банкя, София",False,"95,000",EUR,Необзаведен,3-ти,5,Електричество,,Тухла,,,,,,,,,,,"Агенция “ИМОТИ ПРОСПЕРИТИ“ има удоволствието да представи на вашето ВНИМАНИЕ имот с реф. № 348!!! 
Продава 2- СТАЕН апартамент в гр. Банкя, кв. “Свети Стефан“, ул. “Варна“ с площ от 70м2 и продажната цена от 95 000EUR. Гр. Банкя се намира на 10 минути път с кола от гр. София и мястото предлага спокойствието на малкия град в комбинация с бърз достъп до столицата.
Имота се намира в новострояща се сграда в най- предпочитаната част на гр. Банкя. В близост се намира магазин “Фантастико“, чешми с минерална вода, ресторанти, места за разходка и отдих, спирки на градски транспорт. Сградата ще има Акт16 Декември месец 2024г.
Апартаментите ще бъдат завършени с висок клас строителни материали. PVC дограма с троен стъклопакет в цвят орех, външна топлоизолация, блиндирана входна врата, общи части на мазилка и гранитогрес, хидравличен асансьор ORONA. Отоплението ще бъде на газ без котлета, като ще има монтирана инсталация за климатик във всяка стая. Жилището е непреходно, на ет.3 от 5 етаж и с изложение запад/север. 
Разпределение: дневна с трапезария и кухненски бокс, стая, баня с тоалетна, антре и балкон.
Начин на плащане: 30% на предварителен договор, 40% на кота било, 20% на А15 и 10% на А16.
По женание всеки клиент може да закупи мазе за 3 000EUR, надземно паркомясто за 12 000EUR и подземно паркомясто за 18 000EUR
Нашите клиенти получават абсолютно БЕЗПЛАТНО пълно юридическо съдействие през целия процес на сделката и съдействие при кандидатстване и отпускане на ипотечен и потребителски кредит от 13 водещи банки в страната /преференциални условия и лихви за клиенти на агенцията/ с одобрение до 2 работни дни, чрез съдействието на КредитЦентър, най-големият регистриран в БНБ кредитен консултант.
Лице за контакт: Деница Борисова - 0899 60 50 77, 0896 42 40 40,
e-mail: prosperity@abv.bg, www.imotiprosperity.com
"
119m²," Банкя, София",False,"170,000",EUR,Необзаведен,Партер,,,,Тухла,,,,,,,,,,,"Представяме ви просторно жилище намиращо се на ул.Яворов, на пет минути пешеходно разстояние от парка на Банкя.Намира се на четвърти етаж в сграда с дванадесет жилища и е с изложение ЮГ / Запад / Север. Към жилището има паркомясто във вътрешен двор, което е включено в цената.
Състои се от коридор, всекидневна с кухненска част, преходна спалня, две непреходни спални, два санитарни възела с тоалетни и бани, тераса.
Баните са завършени нужна е само санитарията, навсякъде има ламинат, интериорни врати, радиатори.Жилището си има собствено газово котле.
Наблизо има детска площадка, хранителен магазин, автобусна спирка на линии 47 и 49 които стигат до метростанция Сливница
Огледи по всяко време
цена 160 000Е
Отговорен брокер – Мартин Ноев - 0888 991 228
"
100m²," Банкя, София",False,"170,000",EUR,,2-ри,4,Електричество,,Тухла,,,,,,,,,,,"Представяме ви тристаен апартамент намиращ се на ул.""С.Стамболов"" в центъра на курортния град Банкя.Непосредствено до сградата има детска площадка, хранителен магазин и автобусна спирка. Намира се на втори етаж от 4 етажна сграда.Сградата е населена, газифицирана и с добри общи части.Жилището се състои от дневна с кухненски бокс, две спални, два санитарни възела, килер и два балкона.Включени са газово котле и радиатори.Към жилището има мазе и паркомясто включени в цената.
Огледи по всяко време.

Отговорен брокер: Мартин Ноев
тел: 0888 991 228

Цена 170 000Е
"
200m²," Банкя, София",False,"195,000",EUR,,Партер,,,,Тухла,,,,,,,,,,,"Апартамент -200кв.м. + Двоен Гараж- 40кв.м
Жилището се състои от голям хол и кухня с трапезария и обща тераса, две спални с обща тераса и две бани с тоалетни.Всички стаи са просторни , с големи прозорци и качествена дограма.
В апартамента е изградена система за отопление с ел. или друг вид котле. Машинна замазка, стабилно монолитно строителство. Апартамента разполага със 75кв.м Тераса от която има гледка към Банкя ,София и всички околни планини. Отлични общи части и красива фасада.Гаража е 2.5м височина, с ток и автоматична ролетна врата.Цената му е - 45 000E
Сградата е ситуирана на 100м от централната улица на Банкя, непосредствено до прекрасна борова гора и се извисява над цялата местност.
Във всички посоки се открива невероятна панорама, а планинския въздух добавя към усещането за уникалност на мястото.

195 000Е
Отговорен брокер:
Мартин Ноев - 0888 991 228
"
89m²," Банкя, София",False,"160,000",EUR,Обзаведен,2-ри,3,,,Тухла,,,,,,,,,,,"Имоти Премер представя на Вашето внимание, тристаен апартамент в Банкя. Намира се намира в триетажна сграда. Имотът разполага с входно антре, хол с кухненски бокс, две спални, баня с тоалетна и две тераси. Жилището се намира на комуникативно място в близост до спирки на градски транспорт, училища, паркове и магазини.

Код на обявата: 340922"
116m²," Банкя, София",True,"150,800",EUR,Необзаведен,2-ри,4,Локално отопление,В строеж,Тухла,,,,,,,,,,,"Квадратура: 116 кв.м.
Етаж: Втори
Отличен тристаен апартамент, намиращ се в новострояща се жилищна сграда със стартиращо строителство.
Сградата е разположена в един от най-комуникативните части на Банкя – ул.”Цар Освободител”, непосредствено до центъра на града и до спирка на градски транспорт осигуряващ директна връзка с метрото.
Сградата е с изключително модерна архитектурна визия, като жилищата в нея имат отлично функционално разпределение, осигуряващо максимална слънчева светлина и простор.
Разпределение: 
Просторна дневна част – състояща се от дневна с кухненски бокс и трапезария – от дневната се излиза покрита тераса. 
Две самостоятелни спални – едната от които е с тераса към нея. 
Баня и тоалетна. 
Тоалетна. 
Килерно помещение.
Изложение: Юго-Запад.
Към апартамента има осигурено паркомясто, което е включено в цената.
Сградата се строи от инвеститор с отлична репутация.
Разсрочено плащане, като е осигурено и банково финансиране на преференциални условия за покупка на жилищни имоти в сградата, от страна на една от водещите търговски банки в страната, която участва и във финансирането на строителството.
Степен на завършеност: 
Жилището се предава на шпакловка и замазка, с изградени инсталации /на тапа/, монтирана многокамерна PVC дограма и монтирани - външна и вътрешни врати.
Отопление предвидено на газ, като до всяко жилище има предвидени газови изводи за индивидуални котли.
Централна канализация."
