Размер,Адрес,Точен адрес,Цена,Валута,Обзавеждане,Етаж,Етажи,Отопление,Състояние,Строителство,Спални,Бани,Двор,Площ на парцела,В регулация,Предназначение,Виза,Разрешение за строеж,Категория,Тип,Oписание
59m²,"кв. Бенковски, София",False,"87,390",EUR,,Партер,,,,Тухла,,,,,,,,,,,"АКТ 16! ЧИСТО НОВ НАПЪЛНО ОБЗАВЕДЕН! Явлена продава  2-стаен апартамент в нова жилищна сграда с Акт 16, в кв. Бенковски, на тихо и спокойно място. Сградата е изградена с луксозни общи части, детска площадка и богато озеленяване. Фасадата е изградена от 10см EPS, сградата разполагаа с висококачествена PVC дограма. Всички апартаменти са са оборудвани с климатични системи, стенни радиатори, бойлери, входни и интериорни врати, висококачествен гранитогрес в дневната и антрето и ламиниран паркет в спалнята. Изцяло оборудвана кухня с чисто нови домакински уреди. Подпрозоречните поли и стълбищата в общите части са завършени с камък. Терасите са завършени с каменни облицовки и стъклени самоносещи парапети. Комплексът разполага с видеонаблюдение и ограничен достъп на външни лица. Възможност за паркоместа на преференциални цени. Предлагаме и други изгодни 2-стайни апартаменти в сградата с различни квадратури. За да запазите оглед се свържете с мен - Александър Андреев!"
65m²,"кв. Бенковски, София",False,"97,100",EUR,,2-ри,,,,Тухла,,,,,,,,,,,"АКТ 16! ЧИСТО НОВ НАПЪЛНО ОБЗАВЕДЕН! Явлена продава  2-стаен апартамент в нова жилищна сграда с Акт 16, в кв. Бенковски, на тихо и спокойно място. ЗП 56кв.м. Сградата е изградена с луксозни общи части, детска площадка и богато озеленяване. Фасадата е изградена от 10см EPS, сградата разполагаа с висококачествена PVC дограма. Всички апартаменти са са оборудвани с климатични системи, стенни радиатори, бойлери, входни и интериорни врати, висококачествен гранитогрес в дневната и антрето и ламиниран паркет в спалнята. Изцяло оборудвана кухня с чисто нови домакински уреди. Подпрозоречните поли и стълбищата в общите части са завършени с камък. Терасите са завършени с каменни облицовки и стъклени самоносещи парапети. Комплексът разполага с видеонаблюдение и ограничен достъп на външни лица. Възможност за паркоместа на преференциални цени. Предлагаме и други изгодни 2-стайни апартаменти в сградата с различни квадратури. За да запазите оглед се свържете с мен - Александър Андреев!"
105m²,"кв. Бенковски, София",False,"164,800",EUR,Полуобзаведен,2-ри,5,Прокарва се,,Тухла,,,,,,,,,,,"Предлагаме една гарсониера с площ 47 кв.м. и един двустаен с площ 58 кв.м. обединени в многофункционален многостаен,  просторен апартамент  на етаж 2 от 5 в тухлена сграда с обща площ 105 кв.м. по нот.акт /без двете тераси/. Има следното разпределение: коридор, 3 спални, една от които отделена със собствен коридор и баня с WC с излаз на голяма тераса,  втора баня с WC, просторна дневна с трапезария, кухненски бокс и кът за отдих с излаз на двете тераси. Подобрения: саниран, подово отопление, сменена дограма, сменена ел.инсталация, подменена ВиК инсталация, баните са луксозно ремонтирани и оборудвани. Подовите настилки са теракот, отоплението е с климатици. Жилището се предлага полуобзаведено, има две избени помещения. Входът е със сменена дограма. Към имота има гараж, с цена по договаряне / като не е задължителна покупката/. Всеки апартамент си има отделен нотариален акт, обявената цена е обща за двата апартамента.
 Обади се сега и цитирай този код 567301"
65m²,"кв. Бенковски, София",False,"110,232",EUR,,2-ри,4,Прокарва се,,Тухла,,,,,,,,,,,"Без комисиона от купувача. Прекрасен двустаен апартамент. Състои се от: просторна дневна с кухненски бокс, спалня и баня с тоалетна.
 Обади се сега и цитирай този код 562222"
65m²,"кв. Бенковски, София",False,"110,232",EUR,,3-ти,4,Прокарва се,,Тухла,,,,,,,,,,,"Без комисиона от купувача. Прекрасен двустаен апартамент. Състои се от: просторна дневна с кухненски бокс, спалня и баня с тоалетна.
 Обади се сега и цитирай този код 562223"
71m²,"кв. Бенковски, София",False,"122,446",EUR,,3-ти,4,Прокарва се,,Тухла,,,,,,,,,,,"Без комисиона от купувача. Двустаен апартамент, състоящ се от: входно антре, дневна с кухненски бокс и балкон, спалня с балкон и баня с тоалетна.
 Обади се сега и цитирай този код 562218"
71m²,"кв. Бенковски, София",False,"121,595",EUR,,2-ри,4,Прокарва се,,Тухла,,,,,,,,,,,"Без комисиона от купувача. Двустаен апартамент, състоящ се от: входно антре, дневна с кухненски бокс и балкон, спалня с балкон и баня с тоалетна.
 Обади се сега и цитирай този код 562143"
36m²,"кв. Бенковски, София",False,"62,533",EUR,,3-ти,4,Прокарва се,,Тухла,,,,,,,,,,,"Без комисиона от купувача. Еднопространствено жилище, състоящо се от: входно антре, хол с кухненски бокс, баня с тоалетна и складово помещение.
 Обади се сега и цитирай този код 562220"
71m²,"кв. Бенковски, София",False,"121,510",EUR,,2-ри,4,Прокарва се,,Тухла,,,,,,,,,,,"Без комисиона от купувача. Двустаен апартамент, състоящ се от: входно антре, дневна с кухненски бокс, спалня, балкон и баня с тоалетна.
 Обади се сега и цитирай този код 562151"
71m²,"кв. Бенковски, София",False,"102,038",EUR,Необзаведен,3-ти,4,,,,,,,,,,,,,,"419367 Цените са без ДДС!

ЕТАП НА СТРОИТЕЛСТВО: разрешение за ползване (Акт 16); ОТОПЛЕНИЕ: климатик; Има 2 балкона/тераси; Предава се на шпакловка и замазка; Непреходен; ВИД СТРОИТЕЛСТВО: тухла; ЗАСТРОЕНА ПЛОЩ 61.02 кв.м; ГОДИНА НА СТРОИТЕЛСТВО: 2020 г.; ИЗЛОЖЕНИЕ: югоизток; СПАЛНИ: 1; БАНИ: 1; ДОГРАМА: PVC

_________________________________________________________________________________________________

Към потенциалните продавачи! 
Ако продавате подобен имот или обмисляте дали да го направите в близко бъдеще, моля свържете се с мен. Имам клиенти, които търсят в района. Мога да дам ориентировъчна цена по телефон или имейл и по-точна цена при оглед на място.

ОГЛЕДЪТ И КОНСУЛТАЦИЯТА СА БЕЗПЛАТНИ.

МОЖЕТЕ СЪЩО ТАКА, ДА ПОДАДЕТЕ И БЕЗПЛАТНА ЧАСТНА ОБЯВА ЗА ПРОДАЖБА НА ВАШИЯ ИМОТ В MIRELA.BG, БЕЗ БРОКЕР И КОМИСИОНА. За повече информация попитайте за оферта 419367"
