Размер,Адрес,Точен адрес,Цена,Валута,Обзавеждане,Етаж,Етажи,Отопление,Състояние,Строителство,Спални,Бани,Двор,Площ на парцела,В регулация,Предназначение,Виза,Разрешение за строеж,Категория,Тип,Oписание
40m²,"жк. Борово, София",False,"83,000",EUR,Обзаведен,5-ти,5,,,,,,,,,,,,,,"Предлагам на Вашето внимание обзаведено кокетно малко жилище с чиста жилищна площ 40 кв.м. в Борово. Апартаментът се намира на много комуникативно място - бул.България/бул. Гоце Делчев и е подходящ за инвестиция ( в момента е отдаден под наем и договора може да бъде продължен с новите собственици). Жилището се намира на 5 (пети) последен етаж в сграда без асансьор. Към имота има таванско помещение - 9 кв.м. и мазе - 6 кв.м. Отоплението и топлата вода са от ТЕЦ, като допълнително отопление има климатик. Разпределение: коридор, кухня, хол, баня с тоалетна. Офертата е за частни лица! Агенция ВАЛЕР е вече 28 години на пазара на недвижими имоти. Утвърдили сме се като професионалисти. Водещи принципи в нашата работа са лоялността и коректността към клиентите на агенцията. Огледи - с подписан Протокол за оглед, комисионна 2,5% от продажната цена.За контакт: 0894591461,http://www.valer.bg/bg
"
60m²,"жк. Борово, София",False,"130,000",EUR,Необзаведен,2-ри,,,,Панел,,,,,,,,,,,"Предлагам на Вашето внимание двустаен апартамент с чиста жилищна площ 60 кв.м. в квартал Борово. Жилището се намира на тихо и комуникативно място, в близост до спирки на градския транспорт, магазини, детска градина и училище. Входът на сградата (построена 1978 г., панелно строителство) е поддържан, достъп е чрез чип. Апартаментът е много топъл - вътрешен, с PVC дограма и външна топлоизолация. Разпределение: антре, самостоятелна кухня с усвоен балкон, спалня, хол (с балкон пред него), баня, тоалетна, помещение (подходящо за дрешник или мокро помещение), мазе. Отоплението и топлата вода са от ТЕЦ. Изложение: кухня и спалня - североизток; хол - югозапад. Офертата е за частни лица! Агенция ВАЛЕР е вече 28 години на пазара на недвижими имоти. Утвърдили сме се като професионалисти. Водещи принципи в нашата работа са лоялността и коректността към клиентите на агенцията. Огледи - с подписан Протокол за оглед, комисионна 2,5% от продажната цена.За контакт: 0894591461,http://www.valer.bg/bg
"
77m²,"жк. Борово, София",False,"187,000",EUR,Обзаведен,6-ти,,ТЕЦ,,Панел,,,,,,,,,,,"Предлагам на Вашето внимание тристаен апартамент с чиста жилищна площ 77 кв.м. в квартал Борово. Локацията на имота е отлична, на тихо и спокойно място в близост до училище, детска градина, поликлиника, магазини, спирки на градския транспорт. Жилището се намира в сграда с работещ асансьор. Разпределение: кухня с усвоен балкон и спалня (със северозападно изложение), втора спалня и дневна с тераса (с югоизточно изложение), баня с тоалетна, тоалетна, мазе. Апартаментът е ремонтиран и се продава заедно с обзавеждането, което е включено в цената. Отоплението в момента е с климатик, но има възможност да стане на ТЕЦ като се монтират радиатори (в момента радиаторите са демонтирани). Топлата вода е от ТЕЦ. Агенция ВАЛЕР е вече 28 години на пазара на недвижими имоти. Утвърдили сме се като професионалисти. Водещи принципи в нашата работа са лоялността и коректността към клиентите на агенцията. Огледи - с подписан Протокол за оглед, комисионна 2,5% от продажната цена.За контакт:  0894591461,http://www.valer.bg/bg
"
72m²,"жк. Борово, София",False,"144,000",EUR,Обзаведен,5-ти,6,ТЕЦ,,Панел,,,,,,,,,,,"Луксозен,след основен ремонт ремонт двустаен апартамент,находящ се в един от най-предпочитаните столични квартали- Борово. На изключително комуникативно място, удобен градски транспорт, в близост до бул.България и бул. Тодор Каблешков, в непосредствена близост до детска градина, училище, пазар, поликлиника, както и множество магазини. Същевременно е на тиха улица с много зеленина. Удобно за хора с автомобили, винаги има свободни паркоместа.Апартамента е напълно обзаведен с включена в цената бяла и черна техника. Вътрешна и външна изолация-саниран.СОТ,кабелна телевизия и интернет.Монтиран климатик в дневната част.Два броя дрешници.Сменени ВИК и ел.инсталация.ПВЦ дограма и външни ролетни щори на всички прозорци.Усвоени балкони.Към апартамента има и мазе 7кв.м.Много добре поддържан вход."
71m²,"жк. Борово, София",False,"144,000",EUR,Обзаведен,5-ти,6,ТЕЦ,,Панел,,,,,,,,,,,"Луксозен,след основен ремонт ремонт двустаен апартамент,находящ се в един от най-предпочитаните столични квартали- Борово. На изключително комуникативно място, удобен градски транспорт, в близост до бул. Тодор Каблешков и ул. ген. Стефан Тошев . В непосредствена близост до спирки на градски транспорт, училища и детски градини, поликлиники и медицински центрове, ресторанти, пазара Борово, хипермаркети Фантастико , LIDL и Billa. Същевременно е на тиха улица с широки озеленени междублокови пространства. Самостоятелен паркинг на блока.Апартаменът е частично  обзаведен с включена в цената бяла и черна техника. Вътрешна/фибран/ и външна/стиропор/ изолация. Сменени ВИК и ел.инсталация.Висококачествена алуминиева дограма – стъклопакет 4 сезона.Усвоена тераса пред апартамента.Прилежащо мазе 5кв.м.Много добре поддържан вход."
78m²,"жк. Борово, София",False,"165,000",EUR,Необзаведен,1-ви,4,ТЕЦ,,Тухла,,,,,,,,,,,"КЛЮЧ в агенцията.Изключителен,монолитен ,непреходен тристаен апартамент, ситуиран в един от най-търсените и предпочитани за живеене и инвестиции район – Борово. Районът е с отлично изградена инфраструктура. Непосредствено - МОЛ България,Джъмбо, Лидл, Билла, Фантастико. В близост до училища, детски градини, 20-та поликлиника. Бърз и удобен градски транспорт - трамвай 7, автобуси -73,83, 102,204. Състои се от обширен коридор,опция за вграден гардероб,дневна с кухненски бокс и портал към просторен хол,антре,две самостоятелни спални, баня и тоалетна. Апартаменът е след основен ремонт. Сменени ВИК и ел.инсталации.Висококачествена ПВЦ дограма с допълнителна шумоизолация.Прилежащо мазе- 7.52кв.м.Много добре поддържан вход,домофонна с-ма, сменена ПВЦ дограма и ремонтиран миналата година покрив. Зад блока има много зеленина с детски площадки и обособен самостоятелен паркинг."
40m²,"жк. Борово, София",False,"83,000",EUR,Обзаведен,5-ти,5,ТЕЦ,,Тухла,,,,,,,,,,,"Номер в агенцията 48064.
 Предлагаме едностаен апартамент в ж.к. Борово. Намира се до кръстовището на бул.България и бул. Гоце Делчев. Отоплението е на ТЕЦ, но има и климатик. Състои се от хол , коридор , отделна кухня. След ремонт, обзаведен. 
Огледи с уговорка.
"
72m²,"жк. Борово, София",False,"144,000",EUR,Обзаведен,5-ти,8,ТЕЦ,,Панел,,,,,,,,,,,"Номер в агенцията 44966. 
Продава се двустаен апартамент в ж.к. Борово. Изложението север-юг. Напълно обзаведен с вътрешна и външна изолация. Климатик в дневната. Сменени ВИК и ел.инсталация, ПВЦ дограма и външни ролетни щори на всички прозорци. Усвоени балкони. Към апартамента има и мазе 7кв.м. Огледи с уговорка.
"
87m²,"жк. Борово, София",False,"216,000",EUR,Полуобзаведен,6-ти,8,ТЕЦ,,Тухла,,,,,,,,,,,"За имота:

Тристаен апартамент, разположен нa шести етаж в тухлена сграда. Площта на апартамента: 87.8 кв.м. по НА



Разпределение:

коридор, хол, две спални (непреходни, една, от които е с тераса), кухня с тераса, баня и отделно тоалетна. Към апартамента има и прилежащо мазе с площ от 6 кв.м



Особености:



Просторно междублоково пространство с детски площадки;
Свободно паркиране;
В близост до детски градини, училища, супермаркети;
Отлична транспортна инфраструктура, както за използване на личен автомобил, така и на градски транспорт;
Отопление: ТЕЦ;
Изложение юг (спалня и холът); север (спалня и кухня);
Осем етажна тухлена сграда;
Контрол на достъпа.
Всички стаи са със 7 камерна дограма Кьомерлинг
Сменени вертикални и хоризонтални щрангове
Дограмата на входа е сменена


За района:



Районът е с много междублокови пространства и градинки. Бързият му достъп до центъра на София, както и околовръстния път, го правят един от най-предпочитаните райони на София. 15-минутното пешеходно разстояние до един от най-големите паркове в София, а именно ""Южен парк"", допринася за жеалниeто на повечето хора да станат част от квартала.



Кварталът има добра изградена пътна и комуникационна инфраструктура. Транспортните средства, които могат да се използват за предвижване към и от жк. ”Борово” са:

Тролейбуси № – 2, 9, които се движат по ул.”Дойран”, се стига директно до северната част на град София;
Автобуси № - 204, 73, 83, 64 чийто маршрут е по бул.”Гоце Делчев”, ул.”Дойран” и бул. ""България"", чрез тях може да се прави директна връзка с източната част на столицата;
Трамвай № – 7, който свързва квартала директно с центъра на столицата.
Метро - на 10 и 15 мин. пешеходно разстояние се намират две метростанци на линия номер 3, а именно ""Красно село"" и ""Бул.България""




Предимства на жилището:

Апартаментът разполага с функционално разпределение и усещане за простор, което го превръща в един прекрасен семеен имот. Изложението му позволява да има много светлина и зеленина. Всекидневната и едната спалня са с изглед към просторно междублоково пространство с много дървета и детска площадка. За потенциала и стойностите на жилището може да се каже много, но за да добиете реална представа за тях, можете да се свържете с мен и да уговорите посещение на място, на следните координати:



За допълнителна информация и огледи:

Даниела Бояджиева, телефон за връзка: 0887996641

РАБОТИМ С КОЛЕГИ!!!

Primo+ отдел продажби www.primoplus.bg."
120m²,"жк. Борово, София",False,"210,000",EUR,Обзаведен,6-ти,6,Електричество,,Тухла,,,,,,,,,,,"Агенция за недвижими имоти 'Perfe' има удоволствието да Ви представи:

Четиристаен апартамент за продажба с локация ж.к. Борово

Жилището е ситуирно на 6-ти етаж от общо 6 в тухлена сграда от 1998г.

Разполага с полщ от 120 кв.м. и е със следното практично разпределение:
коридор, просторен и светъл хол, кухня, спалня, две непреходни стаи, баня с тоалетна, просторен балкон.

Изложение: Изток/Юг/Запад/Север

Към апартамента има и мазе с площ от 5 кв.м. 

Локацията е изключително комуникативна, в непосредствена близост до бул. България, търговски обекти, магазини, учебни заведения, спирки на градски транспорт, заведения, зони за спорт и отдих.

Жилището се продава напълно обзаведено.

Отоплението е на електричество, посредством климатици.



Предлагаме множество имоти, които не са обявени в публичното пространство.

За повече въпроси и записване на час за оглед, обадете се на тел. +359 896505656

Референтен номер на имота:23014

"
112m²,"жк. Борово, София",False,"190,000",EUR,,4-ти,6,,,Тухла,,,,,,,,,,,"Имоти Премиер преставя на Вашето внимание просторен тристаен мезонет в кв. Борово.
Разположение:
1-во ниво: дневна с трапезария и кухненски бокс, спалня, тераса и баня с тоалетна.
2-ро ниво: дневна с трапезария, малък офис, баня с тоалетна и тераса. С парко място в двора на сградата. Имота разполага и с 3 кв.м мазе. На тиха и спокойна улица, в близост до училища, детски градини, спирки на градския транспорт и метростанция.

Код на обявата: 340276
"
78m²,"жк. Борово, София",False,"242,000",EUR,Обзаведен,4-ти,5,ТЕЦ,,Тухла,,,,,,,,,,,"Имоти Премиер преставя на Вашето внимание просторен тристаен мезонет в кв. Борово с гледка към Витоша и бул.България. Апартаментът е след основен ремонт и ново обзавеждане. Напълно готов за нанасяне с всичко необходимо за едно домакинство. Намира се в масивна тухлена сграда от 60-те години с току що ремонтиран покрив. Изложение югоизток и югозапад, изцяло вътрешен и много топъл. Разпределение: Две непреходни спални, коридор, хол с трапезария и кухненски бокс, баня с тоялетна и тве тераси. Мазе 4кв.м. и общо таванско помещение, което се използва от живущите в сградата. Подова настилка от естествен бук и дъб, дограма KÖMMERLING. Висок клас мебели и ел. уреди. За ремонта му са използвани само най-висококачествени материали. На много комуникативно място! В близост са множество магазини, градски транспорт и метро станция.

Код на обявата: 343138

"
50m²,"жк. Борово, София",True,"80,000",EUR,Обзаведен,8-ми,8,Електричество,,Панел,,,,,,,,,,,"Ул.Тодор Каблешков.Южен.Вътрешен.ПВЦ дограма.Ламинат.Теракота.Метална врата и заключващ се вход.Панорама към Витоша.Климатик.ТЕЦ-спряно парно, но с централна топла вода.Паркинг пред блока.Между БИЛА/МОЛ България и пазар Борово.В близост до автобусна, тролейбусна и трамвайна спирка.
ЖИЛИЩЕТО Е 1-СТАЙНО ПРЕУСТРОЕНО НА 2-СТАЙНО.Бившата кухня е направена на спалня с усвоена тераса.Кухненски бокс изнесен в хола с втора усвоена тераса.Обособено помещение, което може да се ползва като килер, гардеробна или мокро към спалнята.     
ОФЕРТАТА Е САМО ЗА ДИРЕКТНИ КЛИЕНТИ НА АГЕНЦИЯТА!
АГЕНЦИЯТА ПРИТЕЖАВА ИЗКЛЮЧИТЕЛНИ ПРАВА !!!                                                                                                           Ако това предложение представлява интерес за Вас , не се колебайте да се свържете с нас !                               
При нас ще получите пълно обслужване до финализиране на сделката !                 Потърсете ни за да помогнем да отдадете под наем Вашето жилище , да го продадем или ако имате нужда да УПРАВЛЯВАМЕ ВАШЕТО НЕДВИЖИМО ИМУЩЕСТВО ! АГЕНЦИЯТА РАБОТИ 7 ДНИ В СЕДМИЦАТА БЕЗ ПОЧИВЕН ДЕН !           "
88m²,"жк. Борово, София",False,"240,000",EUR,Обзаведен,3-ти,8,ТЕЦ,,,,,,,,,,,,,"Прекрасен многостаен апартамент в кв. Борово. Състои се от три спални,хол с кухненски бокс, баня с тоалетна, тоалетна, мокро помещение и тераса.
 Обади се сега и цитирай този код 572658"
