Размер,Адрес,Точен адрес,Цена,Валута,Обзавеждане,Етаж,Етажи,Отопление,Състояние,Строителство,Спални,Бани,Двор,Площ на парцела,В регулация,Предназначение,Виза,Разрешение за строеж,Категория,Тип,Oписание
103m²," Ботунец, София",False,"68,000",EUR,Необзаведен,7-ми,8,Електричество,,Панел,,,,,,,,,,,"Имоти Сердика 1 продава четиристаен апартамент в ж.к. Ботунец. Имот състоящ се от входно антре, хол, кухня, три спални, баня с тоалетна, отделна тоалетна и два балкона. В близост до супермаркет, медицински център, поща, кметство, 162 ОУ, детска градина и градски транспорт. За оглед на това и други атрактивни предложения, не се колебайте да ни потърсите на посочения телефон за връзка. В случай, че не ви отговорим на момента, ще ви върнем обаждане при първа възможност. Предлагаме безплатно съдействие за отпускане на ипотечни и потребителски кредити. Преференциални условия! Още актуални оферти за наеми и продажби може да намерите в нашия сайт: www.serdika1.bg. ID:7897
"
89m²," Ботунец, София",False,"65,000",EUR,Обзаведен,2-ри,6,Електричество,,ЕПК,,,,,,,,,,,"град София, Ботунец 
65 000евро.
Апартамента е ремонтиран ,продава се напълно обзаведен и външно саниран.
Състои се от хол ,кухня две спални, баня и тоалетна и тоалетна отделно .
Отоплява се с климатици и има климатици във всяка стая .
Номер в агенцията 5650
Тел;0878788401
https://www.facebook.com/groups/3201870026521931
"
89m²," Ботунец, София",False,"64,999",EUR,Обзаведен,2-ри,6,Електричество,,Панел,,,,,,,,,,,"Агенция за недвижими имоти 'Perfe' има удоволствието да Ви представи:


Тристаен апртамент за продажба с локация кв. Ботунец

Жилището е ситуирано на 2 от общо 6 етажа в панелен блок.

Разпоалга с площ от 89 кв.м. и е със следното разпределение:
коридор, хол, кухня, две спални, баня с тоалетна, тоалетна.

Отоплението е на електричество, посредством климатици.

Към имота има прилежащо мазе.

Локацията е тиха и спокойна, само на 15 минути от Центъра на Столицата, в близост до магазни , спирка на градски транспорт, училище, зони за отдих и спорт.



За повече въпроси и записване на час за оглед, обадете се на тел. +359 896505656

Референтен номер на имота: 31615


"
90m²," Ботунец, София",False,"74,000",EUR,Обзаведен,5-ти,8,Електричество,,Панел,,,,,,,,,,,"Ботонец
3-стаен панел от 80год.
Топ цена 74 000евро.
апартамента е на 5-тия етаж има изглед и от двете страни имасменена дограма и два климатика.
Номер в агенцията 5646
Тел; 0878788401
https://www.facebook.com/groups/3201870026521931
"
89m²," Ботунец, София",False,"66,990",EUR,Обзаведен,2-ри,6,Електричество,,Панел,,,,,,,,,,,"Имоти Сердика 1 продава тристаен апартамент в кв. Ботунец, гр. София. Жилището е с чиста жилищна площ 89кв.м. Апартаментът е ремонтиран, продава се напълно обзаведен. Състои се от хол ,кухня две спални, баня и тоалетна и тоалетна отделно. Отоплява се с климатици и има климатици във всяка стая. Вътрешен апартамент, саниран, изложение север-изток, едната спалня на юг. За оглед на това и други атрактивни предложения, не се колебайте да ни потърсите на посочения телефон за връзка. В случай, че не ви отговорим на момента, ще ви върнем обаждане при първа възможност. Предлагаме безплатно съдействие за отпускане на ипотечни и потребителски кредити. Преференциални условия! Още актуални оферти за наеми и продажби може да намерите в нашия сайт: www.serdika1.bg. ID:20580
 
 
"
86m²," Ботунец, София",True,"62,000",EUR,Обзаведен,4-ти,8,Електричество,,Панел,,,,,,,,,,,"Апартаментът е много уютен и топъл! Състои се от хол, кухня, две стаи, баня, тоалетна, мокро помещение и тераса! Продава се обзаведен! Изложение: север/ юг! Наблизо има спирка на градски транспорт, болница и магазини! Свободно паркиране в района! Ако желаете да организираме ОГЛЕД, да получите допълнителна информация или други атрактивни предложения може да се свържете с нас на посочения телефон или чрез фейсбук страницата ни! Предлагаме ПРОФЕСИОНАЛНО, напълно безплатно съдействие за ЖИЛИЩЕН КРЕДИТ! Код на офертата: 100230096"
57m²," Ботунец, София",False,"56,800",EUR,Полуобзаведен,5-ти,6,Без отопление,,Панел,,,,,,,,,,,"Имоти Сердика 1 продава двустаен апартамент в кв. Ботунец 2. Имотът се състои от голям хол, коридор, голяма кухня, направена на спалня, голям балкон - превърнат в кухня. Полуобзаведен. Ремонтиран, топъл и южен апартамент, само за освежаване и готов за нанасяне. Разположен е на пети от шести етаж, поддържан вход, без асансьор. За оглед на това и други атрактивни предложения, не се колебайте да ни потърсите на посочения телефон за връзка. В случай, че не ви отговорим на момента, ще ви върнем обаждане при първа възможност. Предлагаме безплатно съдействие за отпускане на ипотечни и потребителски кредити. Преференциални условия! Още актуални оферти за наеми и продажби може да намерите в нашия сайт: www.serdika1.bg. ID:12320


"
100m²," Ботунец, София",False,"69,000",EUR,Обзаведен,6-ти,7,Локално отопление,,Панел,,,,,,,,,,,"Имоти Сердика 1 продава тристаен апартамент в кв. Ботунец 2. Имотът се състои от две спални, хол, кухня, две тераси, две тоалетни, баня, коридор. Обзаведен. Обезопасен с двойна метална врата. Намира се в близост до новия пазар, спирка, денонощен магазин. За оглед на това и други атрактивни предложения, не се колебайте да ни потърсите на посочения телефон за връзка. В случай, че не ви отговорим на момента, ще ви върнем обаждане при първа възможност. Предлагаме безплатно съдействие за отпускане на ипотечни и потребителски кредити. Преференциални условия! Още актуални оферти за наеми и продажби може да намерите в нашия сайт: www.serdika1.bg. ID:7607
"
104m²," Ботунец, София",False,"72,000",EUR,,7-ми,8,,,Панел,,,,,,,,,,,"Оферта: ***15637*** КОРТА ИМОТИ предлага светъл и просторен четиристен апартамент в кв. Ботунец. Имотът се намира на комуникативно място в близост до спирки на градски транспорт, магазини, аптеки, училища, детски градини и др.
 
***РАЗПРЕДЕЛЕНИЕ*** 
 
Състои се от антре, хол с кухненски бокс, три спални, тоалетна, баня с тоалетна, две тераси и килер.
 
***АКЦЕНТИ***
 
·        За ремонт;
 
·        Поддържани общи части.
 
***ДОПЪЛНИТЕЛНА ИНФОРМАЦИЯ***
 
- Комуникативно място.
 
За нови предложения и подобни оферти, посетете нашия сайт www.cortaimoti.com или се обадете на *** Тел. 0887 000 452 ***
 
Очакваме Ви на посочения телефон, за да Ви дадем подробна информация относно предлагания имот. Ние сме реномирана компания, което ни задължава да Ви предоставим допълнителни услуги и следпродажбено обслужване. Професионалистите от КОРТА ИМОТИ ще бъдат с Вас през целия процес по покупко-продажба на имота. Допълнитетелните услуги, които предлага екипът ни включва проучване и предлагане на най-добрите оферти на банкови институции за получаване на одобрение за Ипотечен и/или Потребителски кредит, юридически и нотариални услуги, застраховки и др. Ние се стремим да влагаме качество и индивидуален подход във всичко, което правим и да предлагаме на нашите клиенти само най-доброто качество и обслужване.
 
"
72m²," Ботунец, София",True,"79,870",EUR,Обзаведен,1-ви,2,Електричество,,Тухла,,,,,,,,,,,"ЕРА Дружба продава тристаен апартамент, находящ се в с. Горни Богров.
Имотът е разположен на първи етаж и е с площ от 71,76 кв.м.
Разпределението му е следното: кухня, спалня с дрешник, втора спалня, баня с тоалетна, коридор и тераса.
Жилището се предлага обзаведено.
Дограмите са ПВЦ. Изложението е юг, запад и север.
Отоплението е на ток, посредством климатици.
Село Горни Богров се  намира на 17 км. североизточно от гр. София и разполага с детска градина, училище и магазини. Оферта 2209009"
