Размер,Адрес,Точен адрес,Цена,Валута,Обзавеждане,Етаж,Етажи,Отопление,Състояние,Строителство,Спални,Бани,Двор,Площ на парцела,В регулация,Предназначение,Виза,Разрешение за строеж,Категория,Тип,Oписание
129m²,"жк. Бъкстон, София",False,"215,000",EUR,Необзаведен,Партер,,ТЕЦ,,ЕПК,,,,,,,,,,,"Предлагаме Ви за продажба четиристаен апартамент в ж.к. „Бъкстон“ с много функционално разпределение, а именно – голям коридор с място за 3 метров гардероб (13,23 кв.м.); просторна дневна (23,41 кв.м.) свързана с кухня (12,23 кв. м.) с южно изложение; родителска спалня (16,36 кв.м.), втора спалня (13,04 кв.м.) и кабинет (9,19 кв.м) с източно изложение; баня с тоалетна (4,52 кв.м), перално помещение (1,57 кв.м.) и отделно тоалетна (1,06 кв.м.); две големи тераси с южно и източно изложение (5,34 кв.м. и 4,53 кв.м.). Общата квадратура на помещенията по проект е 129 кв.м. Към апартамента има и мазе от 6 кв. м.. За ваше улеснение прилагаме схемата на апартамента. Апартаментът е ситуиран в ЕПК сграда от 1980 г. на 2-ри етаж (кота +5 м.) със само 4 апартамента на етаж. В близост са 2-ро СОУ ""Емилиян Станев"", 5-о ОУ ""Иван Вазов"", детски градини, големи вериги магазини (""Кауфланд"", ""Лидл"", ""Фантастико""), на пешеходно разстояние до градски транспорт. Жилището е изчистено и подготвено за реновиране. За него е изготвен индивидуален архитектурен проект, отговарящ на всички норми и изисквания за модерен живот. Всички системи са планирани, преустройствата са консултирани със строителен инженер и архитект. Пълният проект ще бъде предоставен на бъдещите собственици заедно с контактите на професионалистите, работили по него. Сменена ел. инсталация, вертикални щрангове, функциониращ СОТ, инсталация за интернет, окачени тавани, вход с контролиран достъп. Зелени околоблокови пространства и свободно паркиране. Агенция ВАЛЕР е вече 28 години на пазара на недвижими имоти. Утвърдили сме се като професионалисти. Водещи принципи в нашата работа са лоялността и коректността към клиентите на агенцията. Огледи - с подписан Протокол за оглед. За контакт:  0894591461, http://www.valer.bg/bg
"
100m²,"жк. Бъкстон, София",False,"197,800",EUR,Обзаведен,5-ти,7,Електричество,,Тухла,,,,,,,,,,,"ПЕРФЕКТНА ЛОКАЦИЯ! ПРЕКРАСНА ПАНОРАМНА ГЛЕДКА КЪМ ВИТОША.   Луксозна жилищна сграда с магазини и офиси, находяща се в един от най-престижните южни квартали на София -  кв. Бъкстон. Изложение изток-юг.  Етаж 5 от 7. Разпределение:  предверие ,коридор, дневна с кухненски бокс, две непреходни спални, баня с тоалетна ,отделно тоалетна , тераса. Изложение изток-юг. PVC дограма, настилки - ламинат,гранитогрес , фаянс. Отопление на ТЕЦ,климатик. В района са:  2-ро СУ „Акад.Емилян Станев”,целодневна детска градина”Вълшебство” , ясла. Срещу магазин Кауфланд, в близост Лидл и Фантастико. Непосредствена до възловите булеварди „Цар Борис III”и ”Т. Каблешков”,на минути от центъра, до трамваи, тролейбуси и автобуси. Свободно паркиране в района."
86m²,"жк. Бъкстон, София",False,"147,000",EUR,Обзаведен,3-ти,5,Локално отопление,,Тухла,,,,,,,,,,,"Прекрасен оазис в подножието на Витоша. Най-атрактивна е зеленината, чистият въздух и спокойствието. Невероятна гледка и лесен достъп до града .За хора,търсещи тишина и спокойствие от напрегднатото ежедневие. Отличен тристаен апартамент , монолитно строителство - 1997г.,в един от най- представителни райони на София – Павлово, Непосредствена близост до бул.' БЪКСТОН' , супермаркет -BILLA,5 – то ОУ ”Иван Вазов”. Разположен е на втори жилищен етаж в пет етажна тухлена сграда със собствен двор и свободно паркиране около блока. Разпределение : входно антре, дневна с кухненски бокс – 15 кв.м, две спални - едната 16 кв. м., другата - 25 кв. м., баня с тоалетна, балкон, мазе 3,6 кв. м..Дограмите са ПВЦ,настилки: теракот,естествен дъбов паркет, външна топлоизолация. Отопление с ел. котле. Чистата жилищна площ 87 кв.м. по Н.А. Подходящ, както за лично ползване, така и за отдаване под наем."
70m²,"жк. Бъкстон, София",False,"104,411",EUR,,2-ри,5,,,Тухла,,,,,,,,,,,"ДРИЙМ ВИЖЪН НЕДВИЖИМИ ИМОТИ Продава двустаен апартамент в кв. Бъкстон на комуникативно място в близост до спирки на градски транспорт, магазини, заведения, училище, парк. Жилището се състои от: входно антре, дневна с кухненски бокс и трапезария, спалня, баня с тоалетна, тераса. Изложение: югозапад;югоизток. Към жилището има и мазе. Отоплението е предвидено на ток. Възможност за допълнително закупуване на паркомясто или гараж. В сградата предлагаме и други апартаменти. Оферта в агенцията 8585. Всички наши обяви ги работим с колеги. Още наши оферти може да намерите на www.dreamvision.bg Телефон за връзка: 0885 98 11 00 - Александър Гогов"
78m²,"жк. Бъкстон, София",False,"117,240",EUR,Необзаведен,5-ти,6,,,Тухла,,,,,,,,,,,"ДРИЙМ ВИЖЪН НЕДВИЖИМИ ИМОТИ Продава тристаен апартамент в кв. Бъкстон на комуникативно място в близост до спирки на градски транспорт, магазини, заведения, училище, парк. Жилището се състои от: входно антре, дневна с кухненски бокс и трапезария, две спални, баня с тоалетна, две тераси. Изложение: югозапад; североизток. Към жилището има и мазе. Отоплението е предвидено на ток. Възможност за допълнително закупуване на паркомясто или гараж. В сградата предлагаме и други апартаменти. Оферта в агенцията 8586. Всички наши обяви ги работим с колеги. Още наши оферти може да намерите на www.dreamvision.bg Телефон за връзка: 0885 98 11 00 - Александър Гогов"
61m²,"жк. Бъкстон, София",False,"91,146",EUR,Необзаведен,2-ри,5,Електричество,,Тухла,,,,,,,,,,,"ДРИЙМ ВИЖЪН НЕДВИЖИМИ ИМОТИ Продава двустаен апартамент в кв. Бъкстон на комуникативно място в близост до спирки на градски транспорт, магазини, заведения, училище, парк. Жилището се състои от: входно антре, дневна с кухненски бокс и трапезария, спалня, баня с тоалетна, тераса. Изложение: югозапад;североизток. Към жилището има и мазе. Отоплението е предвидено на ток. Възможност за допълнително закупуване на паркомясто или гараж. В сградата предлагаме и други апартаменти. Оферта в агенцията 8101. Всички наши обяви ги работим с колеги. Още наши оферти може да намерите на www.dreamvision.bg Телефон за връзка: 0885 98 11 00 - Александър Гогов
"
167m²,"жк. Бъкстон, София",False,"350,000",EUR,,6-ти,6,ТЕЦ,,Тухла,,,,,,,,,,,"Предлагаме многостаен апартамент в новострояща се бутикова сграда. Висока енергийна ефективност, шесткамерна дограма с троен стъклопакет, шумоизолация. Жилището е със застроена площ около 146 кв.м и се предава на шпакловка и замазка. Работим с комисионна, невключена в цената, при осъществяване на сделка за обекта. Преди оглед се подписва посреднически договор. За директни клиенти. Референтен номер 116550"
63m²,"жк. Бъкстон, София",False,"114,000",EUR,,2-ри,6,ТЕЦ,,Тухла,,,,,,,,,,,"Предлагаме двустаен апартамент в новострояща се бутикова сграда. Висока енергийна ефективност, шесткамерна дограма с троен стъклопакет, шумоизолация. Жилището е със застроена площ около 55 кв.м и се предава на шпакловка и замазка. Работим с комисионна, невключена в цената, при осъществяване на сделка за обекта. Преди оглед се подписва посреднически договор. За директни клиенти. Референтен номер 116550"
78m²,"жк. Бъкстон, София",False,"105,516",EUR,,5-ти,8,ТЕЦ,,Тухла,,,,,,,,,,,"ИРИДА НЕДВИЖИМИ ИМОТИ ПРОДАВА БЕЗ КОМИСИОН ОТ КУПУВАЧ , част от новострояща се жилищна сграда, разположена В жк.БЪКСТОН -КОМУНИКАТИВНА ЛОКАЦИЯ . 

Етап на обекта - трета плоча 
07.2023г. АКТ 14
07. 2024г. АКТ 15 
АКТ 16 ПРЕЗ МЕСЕЦ ДЕКЕМВРИ 2024г. 

Жилището е с вътрешно разпределение на площ от 65 кв.м. и се състои отантре, дневна с трапезария и кухненски бокс,2 спални , баня тоалетна, 2 тераси, мазе . Изложение югоизток-югозапад-североизток. 
За удобство на живеещите в настоящият имот ,предвид възловата локация ,съществува възможност за съчетаване на местоживеене и месторабота съвместно.Административната част ,намираща се до жилищната сграда предлага офиси на едно и две нива на различни етажи ,вариращи от 1 -13 етаж подземни паркоместа, гаражи и складови помещения. Изключително благоприятно местоположение на имота, в близост до главни булеварди ,важни институции,големи вериги хранителни магазини. Съчетание между урбанизирана територия, разнообразни възможности за ползване на градски транспорт.

***

За контакти, повече информация и огледи, водещ брокер: Павлина Мутафчийска 0877007064

***

СВЪРЖЕТЕ СЕ С НАС! РАБОТИМ И В ПОЧИВНИ ДНИ!

Предлагаме БЕЗПЛАТНО СЪДЕЙСТВИЕ за одобрение и получаване на ипотечен кредит за покупка на жилище при най-добри условия за Вас, чрез услугите на лицензиран кредитен консултант!

ПЕРФЕКТНО изработени и приключени документално имотни сделки!

Агенцията ни поддържа БОГАТА И АКТУАЛНА БАЗА ДАННИ за имоти в нови, луксозни сгради в южната част на Столицата!

Разполагаме с изпълнител за ДОВЪРШИТЕЛНИТЕ РАБОТИ и ремонт на закупеното от Вас жилище. "
112m²,"жк. Бъкстон, София",False,"199,000",EUR,,1-ви,6,ТЕЦ,,Тухла,,,,,,,,,,,"Предлагаме тристаен апартамент в новострояща се бутикова сграда. Висока енергийна ефективност, шесткамерна дограма с троен стъклопакет, шумоизолация. Жилището е със застроена площ около 97 кв.м и се предава на шпакловка и замазка. Работим с комисионна, невключена в цената, при осъществяване на сделка за обекта. Преди оглед се подписва посреднически договор. За директни клиенти. Референтен номер 131139"
