Размер,Адрес,Точен адрес,Цена,Валута,Обзавеждане,Етаж,Етажи,Отопление,Състояние,Строителство,Спални,Бани,Двор,Площ на парцела,В регулация,Предназначение,Виза,Разрешение за строеж,Категория,Тип,Oписание
102m²,"жк. Гео Милев, София",False,"200,000",EUR,Обзаведен,1-ви,4,Електричество,,Тухла,,,,,,,,,,,"Имоти Сердика продава многостаен апартамент в ж.к. Гео Милев. Транспортни връзки: на 3 мин. пешеходно разстояние от спирката на хотел Плиска; на 3 мин. пешеходно разстояние от спирката на трамвай 20 и 22; на 8 мин. пешеходно разстояние от метростанция Жолио Кюри; на 6 мин. пешеходно разстояние от бъдещата метростанция Николай Коперник; Тухлено-железобетонно масивно строителство; Саниран; Топъл; Дограма - шумоизолираща двойна към стаите е масивно дърво, а отвън е алуминий; СОТ двойно охраняема система с два независими кръга на охрана; Интернет собсвена Wi-Fi връзка; Окабелен за цифрова телевизия за всяка стая; Стационарен телефон; Срещу блока се намира детска градина -10 метра, на 30 метра се намира 22-ра Поликлиника, на 60 метра се намира 138-о училище. За оглед на това и други атрактивни предложения, не се колебайте да ни потърсите на посочения телефон за връзка. В случай, че не ви отговорим на момента, ще ви върнем обаждане при първа възможност. Предлагаме безплатно съдействие за отпускане на ипотечни и потребителски кредити. Преференциални условия! Още актуални оферти за наеми и продажби може да намерите в нашия сайт: www.domserdika.bg. ID:9396



"
77m²,"жк. Гео Милев, София",False,"164,500",EUR,Обзаведен,4-ти,8,ТЕЦ,,Тухла,,,,,,,,,,,"Home Life предлага ексклузивно за продажба прекрасен двустаен апартамент след основен ремонт с чиста жилищна площ от 71.4 м2.
Имотът се намира на четвърти етаж в сграда от 60-те години, характерна с доброто си разпределение, просторни общи части, асансьор.

Локацията на сградата е в район с големи отстояния, близост до главна пътна артерия, детски градини, училища, супермаркети, мол.

Апартаментът е просторен, след основен ремонт, покрит, вътрешен за етажа, обзаведен и оборудван с висок клас техника и електроуреди и ново функционално преразпределение на вътрешното пространство за по-комфортно обитаване. Отопление на ТЕЦ и климатици.

Разпределение:
Вход в еднопространствено помещение с обособена кухненска част и трапезария, дневна, излаз към тераса, спалня, баня с тоалетна, складово помещение.

Ключ в офиса на Home Life.
"
146m²,"жк. Гео Милев, София",False,"375,990",EUR,Необзаведен,2-ри,7,ТЕЦ,,Тухла,,,,,,,,,,,"Galardo Real Estate има удоволствието да Ви представи изключителен имот в сграда на АРТЕКС, непосредствено до парк Гео Милев.
Сградата се намира само на една улица разстояние от емблематичния парк, като две от стаите са с гледка към него, а третата - към вътрешния двор.
Строителството е с гаранция за високо качество на изпълнението и вложените материали. За допълнителен комфорт на обитателите е предвидена звукоизолация на стените между апартаментите и звукоизолационна мембрана FONAX TEX на подовете. Троен стъклопакет с външно високоенергийно, средно - бяло и вътрешно нискоемисийно стъкло за намаляване на топлинните загуби и ограничаване на UV лъчите, с профил и обков от най-висок клас за изолиране на външния шум. Отоплението по проект е централно, като за апартамента е предвидена усилена ел. инсталация, която позволява поставянето на проточен бойлер и термопомпа. Изграден е тръбен път за климатици във всяка стая, като местата за външните тела са фиксирани, така че да не нарушават общия изглед на фасадата.
Сградата разполага с красиво аранжиран вътрешен двор, достъпен само за живущите в нея.
Жилището се намира на първи над партерен етаж, Кота +3,65.
Към апартамента се продава подземен гараж 44 кв.м (24 кв.м застроена площ) - 55 000 EUR.
"
52m²,"жк. Гео Милев, София",False,"155,000",EUR,Обзаведен,5-ти,5,ТЕЦ,,Тухла,,,,,,,,,,,"ДРИЙМ ВИЖЪН НЕДВИЖИМИ ИМОТИ Продава обзаведен двустаен апартамент в кв. Гео Милев на комуникативно място в близост до парк Гео Милев, спирки на градски транспорт, магазини, заведения. Жилището се състои от: входно антре с обособено мокро помещение, дневна с кухненски бокс и трапезария, спалня с гардеробна, баня с тоалетна. Изцяло южно изложение! Отопление на ТЕЦ, като допълнително има и климатици в двете стаи. Сградата е без асансьор. След ремонт с ново обзавеждане. Оферта в агенцията 9162. Всички наши обяви ги работим с колеги. Още наши оферти може да намерите на www.dreamvision.bg Телефон за връзка: 0885 98 11 00 - Александър Гогов
"
105m²,"жк. Гео Милев, София",False,"227,000",EUR,Обзаведен,6-ти,8,ТЕЦ,,Тухла,,,,,,,,,,,"ИРИДА НЕДВИЖИМИ ИМОТИ има удоволствието да Ви представи Тристаен, тухлен, слънчев апартамент на границата между кв. Гео Милев и кв. Слатина с площ от 105кв.м., на етаж 6 от 8 в тухлена кооперация от 1995 г.Жилището е с изложение изток, юг и запад. 

Състои се от : входно антре, кухня с обособена трапезарна част, обширна дневна с излаз на остъклен балкон със склад (ниша), родителска спалня, втора спалня с балкон, баня с тоалетна и отделно тоалетна. Към имота има прилежащо мазе и възможност за закупуване на надземен гараж. В апартамента има действаща СОТ система. Направена е вътрешна и външна изолация.Общите части са в отлично състояние, входна врата с чип достъп.
Изключителна локация! В непосредствена близост до всички комуникации в квартала и на 2 мин. от бъдеща метро станция.
***
За контакти, повече информация и огледи, водещ брокер: Милена Караджова ,телефон: 0894284082
***
СВЪРЖЕТЕ СЕ С НАС! РАБОТИМ И В ПОЧИВНИТЕ ДНИ!
Предлагаме БЕЗПЛАТНО СЪДЕЙСТВИЕ за одобрение и получаване на ипотечен кредит за покупка на жилище при най-добри условия за Вас, чрез услугите на лицензиран кредитен консултант!
ПЕРФЕКТНО изработени и приключени документално имотни сделки! "
54m²,"жк. Гео Милев, София",False,"141,000",EUR,,2-ри,5,ТЕЦ,,Тухла,,,,,,,,,,,"ИРИДА НЕДВИЖИМИ ИМОТИ има удоволствието да Ви представи един прекрасен двустаен апартамент в тухлена сграда с Акт 16 от 2015г.

Жилището е обзаведено с площ от 54 кв.м и се състои от от хол с кухненски бокс, спалня, гардеробна и баня с тоалетна.. Към блока има паркоместа и градинка с барбекю.

***

За контакти, повече информация и огледи, водещ брокер: Илиана Тошева 0876 72 00 20

***

СВЪРЖЕТЕ СЕ С НАС! РАБОТИМ И В ПОЧИВНИТЕ ДНИ!

Предлагаме БЕЗПЛАТНО СЪДЕЙСТВИЕ за одобрение и получаване на ипотечен кредит за покупка на жилище при най-добри условия за Вас, чрез услугите на лицензиран кредитен консултант!

ПЕРФЕКТНО изработени и приключени документално имотни сделки!

Разполагаме с изпълнител за ДОВЪРШИТЕЛНИТЕ РАБОТИ и ремонт на закупеното от Вас жилище."
102m²,"жк. Гео Милев, София",False,"199,900",EUR,,1-ви,8,ТЕЦ,,Тухла,,,,,,,,,,,"ИРИДА НЕДВИЖИМИ ИМОТИ Ви представя за продажба тристаен апартамент в Гео Милев. 

Жилището е с площ от 100кв.м. на осми етаж в тухлена сграда от 1980год.
Апартаментът се състои от хол, две спални, кухня, баня с тоалетна, тоалетна и два балкона. 
Към жилището има прилежащо мазе 3 кв.м., отоплението е на ТЕЦ, входа е с контролиран достъп.
Намира се на комуникативно място в непосредствена близост до Мол Скай Сити и попада до новия лъч на метрото.

***

За повече информация и оглед, водещ брокер Илиана Тошева 0876 72 00 20

***

СВЪРЖЕТЕ СЕ С НАС! РАБОТИМ И В ПОЧИВНИТЕ ДНИ!

Предлагаме БЕЗПЛАТНО СЪДЕЙСТВИЕ за одобрение и получаване на ипотечен кредит за покупка на жилище при най-добри условия за Вас, чрез услугите на лицензиран кредитен консултант!

ПЕРФЕКТНО изработени и приключени документално имотни сделки!

Разполагаме с изпълнител за ДОВЪРШИТЕЛНИТЕ РАБОТИ и ремонт на закупеното от Вас жилище."
102m²,"жк. Гео Милев, София",False,"200,000",EUR,Обзаведен,1-ви,4,ТЕЦ,,Тухла,,,,,,,,,,,"Агенция „ИМОТИ ПРОСПЕРИТИ“ има удоволствието да представи на Вашето ВНИМАНИЕ имот с реф. № 216!!!
Продава просторен 4- СТАЕН апартамент за 200 000EUR, находящ се в гр. София, кв. ""Гео Милев"". Апартамента е позициониран в тихата и озеленена част на квартала, в близост до бул. „Шипченски проход“, хотел ""Плиска"", метростанция ""Жолио Кюри"", училища, детски градини, паркове и спирки на градски транспорт. Апартаментът е на 1-ви етаж, с югоизточно изложение, със застроена площ от 102 кв.м. Отделно мазе с прозорец - 6 кв.м. Отоплението е на ТЕЦ, но има и два поставени климатика. Много добре поддържани общи части с контролиран достъп. Безпроблемно паркиране пред блока.
Разпределение:
- просторна трапезария с кухненски бокс,
- три спални
- баня с тоалетна с хидромасажна музикална вана
- баня с тоалетна с хидромасажна музикална душкабина
- остъклен балкон
- голям и малък коридор.
Обявата е само за клиенти на агенцията!
Нашите клиенти получават абсолютно БЕЗПЛАТНО пълно юридическо съдействие през целия процес на сделката и съдействие при кандидатстване и отпускане на ипотечен и потребителски кредит от 13 водещи банки в страната /преференциални условия и лихви за клиенти на агенцията/ с одобрение до 2 работни дни, чрез съдействието на КредитЦентър, най-големият регистриран в БНБ кредитен консултант.
Лице за контакт: Даниела Николова - 0888 58 76 39 , 0896424040
e-mail: prosperity@abv.bg, imotiprosperity.com
"
137m²,"жк. Гео Милев, София",False,"349,900",EUR,Необзаведен,3-ти,4,ТЕЦ,,Тухла,,,,,,,,,,,"Номер в агенциятя 46812
Агенция Абелла предлага елегантен мезонет   на трети и четвърти последен етаж с минимални скосявания .На ниво ет 3 е ситуирана огромна дневна с кухня,баня с тоалетна и мокро помещение. По вътрешна стълба се стига до ет 4 с три спални баня с тоалетна, мокро помещение и антре.Жилищете е с ориентация Север-Юг намира се на ул-Едисон 46 в на 20 метра от парк Гео Милев и 100 метрови растояния от спирки, училища, детски градини и цялата модерна и добре планирана инфраструктура на един от най престижните раьони на София.Предстои изграждане на метро станция.Апартамента е напълно обзаведен с мебели и техника на високо ниво.Готов е за нансяне веднага. Към снимките има схеми на двата етажа, не са точно мащабирани но дават по точна представа за имота.Отоплението е ТЕЦ. снабден е с климатик и допълнителен бойлер при профилактика на Топлофикация.. Сградата е с идеални общи части и само 6 апартамента в нея.Разрешителното за ползване е от 2008 год.Към имота има мазе от 8,5 кв.м оборудвано с рафтове.Има отделно подземно парко място не влизащо в цената.
Агенцията разполага с един от петте най добри кридитни консултанти в България.Работим с всички банки.
Извършваме огледи с предварителна уговорка.





"
73m²,"жк. Гео Милев, София",False,"144,950",EUR,,2-ри,8,ТЕЦ,,Панел,,,,,,,,,,,"Прекрасен непреходен 2-стаен апартамент с възможност за преустройство на 3-стаен, находящ се на 2-ри етаж в сграда от 1983 година на тиха улица в близост до зала Универсиада, състоящ се от отделна кухня, хол с балкон, спалня с балкон, Г-образен коридор, и баня с тоалетна.
Много топъл вътрешен апартамент, добре поддържани общи части, заключваща се входна врата, ТЕЦ, климатик, PVC дограма, 2 балкона пред хола и спалнята, източно изложение.
Сменени вертикални щрангове. В близост детска градина, детска площадка.
ЧЖП по нотариален акт 65,66 кв.м. + 2 балкона 8 кв.м. + мазе около 4-5 кв.м.
Готов за отдаване под наем.
Изрядни документи.
Обзавеждането е бонус.
оферта 3979

A lovely unfurnished 2-bedroom apartment with the possibility of conversion to a 3-bedroom, located on a quiet street near the Universiade Hall. 
Well maintained common areas, central heating, air conditioning, PVC windows, 2 balconies in front of the living room and the bedroom, east exposure. 
Ready to rent. 
The furnishings are a bonus. 
offer 3979 
"
