Размер,Адрес,Точен адрес,Цена,Валута,Обзавеждане,Етаж,Етажи,Отопление,Състояние,Строителство,Спални,Бани,Двор,Площ на парцела,В регулация,Предназначение,Виза,Разрешение за строеж,Категория,Тип,Oписание
120m²,"кв. Горубляне, София",False,"352,999",EUR,Обзаведен,1-ви,3,Електричество,,Тухла,,,,,,,,,,,"Имоти Сердика 1 продава многостаен апартамент в ж.к. Горубляне. Сградата е ново строителство на 3 етажа. Местоположението е с отлична локация. Намира се в центъра на квартала зад спирка на градския транспорт и на три спирки от метростанция Експо. На три минути пеша се намират училище и детска градина. В цената влизат две мазета и две паркоместа. Отоплението е с пелетна камина. За оглед на това и други атрактивни предложения, не се колебайте да ни потърсите на посочения телефон за връзка. В случай, че не ви отговорим на момента, ще ви върнем обаждане при първа възможност. Предлагаме безплатно съдействие за отпускане на ипотечни и потребителски кредити. Преференциални условия! Още актуални оферти за наеми и продажби може да намерите в нашия сайт: www.serdika1.bg. ID:10179
"
94m²,"кв. Горубляне, София",False,"143,000",EUR,,2-ри,4,,,Тухла,,,,,,,,,,," Агенция Валер продава тристаен тухлен апартамент от 70-те години в кв Горублчне. Имотът разполага с широко входно антре/височината на таваните е 2.70, а чистата квадратура е 82 кв.м / без терасите и общи части .  Апартамента разполага с отделна кухня излаз към тераса,просторен слънчев хол с прежодна спалня и втора тераса , още една отделна непреходна спалня, голяма баня с тоалетна и два вградени гардероба . Към жилището има голямо мазес площ от 12кв.м. и възможност за паркиране около блока. Сменени дограми , подменена ВиК инсталация. В близост до училище, детска градина, градски транспорт и множество магазини.Сграда е с отлични общи части и заключващ се вход с контролиран достъп."
87m²,"кв. Горубляне, София",False,"120,000",EUR,Необзаведен,2-ри,5,Електричество,,Тухла,,,,,,,,,,,"Агенция за недвижими имоти 'Perfe' има удоволствието да Ви представи:

БЕЗ КОМИСИОННА ОТ КУПУВАЧ !
ЦЕНИ ОТ ИНВЕСТИТОР!

Двустаен апартамент А14

Локация: кв. Горубляне

Състои се от:
коридор, баня с тоалетна, склад, просторна дневна с кухня и трапезария, спалня, тераса.

Налични са още 7 на брой жилища в сградата.

Отоплението е предвидено на ГАЗ.

Очакван АКТ 16 -  края на 2023г

Схема на плащане: 20 % при подписване на предратилен договор, останалата сума по договаряне.

Местоположението е атрактивно с бърз и лесен достъп до главни булеварди на Столицата.
Района е изключително комуникативен, в близост са разположени учебни заведения, супермаркети, спирки на градски транспорт.

За повече въпроси и записване на час за оглед, обадете се на тел.: +359 896505656

Реф.№ 24539
"
137m²,"кв. Горубляне, София",False,"180,000",EUR,Необзаведен,3-ти,5,Електричество,,Тухла,,,,,,,,,,,"Агенция за недвижими имоти 'Perfe' има удоволствието да Ви представи:

БЕЗ КОМИСИОННА ОТ КУПУВАЧ !

ЦЕНИ ОТ ИНВЕСТИТОР!

Четиристаен апартамент А9

Локация: кв. Горубляне

Състои се от:

коридор, баня с тоалетна, просторна дневна с кухня и трапезария, три спални, балкон.

Налични са още 7 на брой жилища в сградата.

Отоплението е предвидено на ГАЗ.

Очакван АКТ 16 - края на 2023г

Схема на плащане: 20 % при подписване на предратилен договор, останалата сума по договаряне.

Местоположението е атрактивно с бърз и лесен достъп до главни булеварди на Столицата.

Района е изключително комуникативен, в близост са разположени учебни заведения, супермаркети, спирки на градски транспорт.

За повече въпроси и записване на час за оглед, обадете се на тел.: +359 896505656

Реф. номер на имота: 26068
"
134m²,"кв. Горубляне, София",False,"250,000",EUR,,3-ти,4,Локално отопление,,Тухла,,,,,,,,,,,"ДРИЙМ ВИЖЪН НЕДВИЖИМИ ИМОТИ Продава четиристаен апартамент в кв. Горубляне на комуникативно място в близост до спирки на градски транспорт, магазини, заведение, супермаркет Кауфланд. Жилището се състои от: входно антре, дневна с кухненски бокс и трапезария, три спални, две бани с тоалетна, склад,  две тераси. Апартамента е с изградено подово отопление, тръбна разводка за климатици, газифициран. Възможност за допълнително закупуване на подземно паркомясто. В момента сградата е на етап АКТ 15, като АКТ 16 се очаква Януари месец 2023г. Оферта в агенцията 9102. Всички наши обяви ги работим с колеги. Още наши оферти може да намерите на www.dreamvision.bg Телефон за връзка: 0885 98 11 00 - Александър Гогов
"
50m²,"кв. Горубляне, София",False,"106,500",EUR,Обзаведен,4-ти,4,Електричество,,Тухла,,,,,,,,,,,"Real Deal представя на Вашето внимание : 

  ЕКСКЛУЗИВНА оферта №RD-3568

За повече информация вижте видео клипа под текста.
 
  Просторен светъл двустаен апартамент (50 кв. м.) в началото на Горубляне . На тихо и спокойно място , с много комуникативна локация. Бърза връзка с Цариградсо шосе, Дружба и Околовръсното шосе. Жилището е на пешеходно разстояние от метро станция Експо Център - десетина минути автомобилно разстояние от центъра на града. В непосредствена близост до детска градина,училище,множество хранителни магазини и други. Паркирането е свободно около блока.

Жилището е след основен ремонт и още не е живяно вътре. Всичко е правено по поръчка с дизайнерски проект и не са пестени средста от страна на собственика . Използвани са качествени материали за абсолютно всичко в апартамента. Италиански латекс, кухня по поръчка, чисто нова дограма, ламинат, висок клас чисто нови електро уреди,които още не са пускани: вграден хладилник,пералня със сушилня и печка с котлони.

  Имотът се продава обзаведен,единствено без дивана и телевизора, Разпределение: входно антре, слънчева дневна с кухненски бокс и просторна трапезария с маса и столове, спалня, нощни шкафчета и гардероб, баня с тоалетна и тераса. Към апартамента има прилежащо мазе. Чудесен имот както за живеене, както и за инвестиция.

Клип: https://www.youtube.com/watch?v=0tUPZpE7hSk&feature=youtu.be

Ние сме 'Real Deal' и предлагаме на нашите клиенти само реални, актуални и ексклузивнии оферти !

Имаме директни договори с 9 от най-големите банки в страната и ще Ви помогнем безплатно за финансиране на покупката при максимално изгодни за Вас условия!


 За въпроси и огледи:

Георги Димитров: 0893506358
"
90m²,"кв. Горубляне, София",False,"129,980",EUR,Необзаведен,4-ти,8,Електричество,,Панел,,,,,,,,,,,"Real Deal представя на Вашето внимание : 
 ЕКСКЛУЗИВНА оферта RD-2648

 Просторен тристаен непреходен апартамент в ж.к. 'Експериментален', в близост до спирка на градски транспорт, детска площадка, училище и големи хранителни вериги.

 Имотът се намира в зона с големи околоблокови пространства, зелени площи и детски площадки. Този прекрасен апартамент създава усещането за тишина, светлина и уют.

 Разпределение: входно антре, баня с тоалетна, отделна тоалетна с баня, килер, кухненски бокс с трапезария, хол, спалня, втора спалня с тераса с изглед.

 Агенцията работи САМО с актуални обяви!

 За повече антуални обяви посетете нашия 
 сайт: www.realdeal. bg

 За повече информация и огледи:
 Дария Захариева 0887353738
"
120m²,"кв. Горубляне, София",True,"353,300",EUR,Обзаведен,1-ви,3,Локално отопление,,Тухла,,,,,,,,,,,"К - КОНСУЛТ продава 4-стаен апартамент в центъра на квартал Горубляне.
Комуникативна и същевременно спокойна локация, в близост до множество спирки на градски транспорт, търговски обекти, детска градина, училище, на три спирки от метростанция Интер Експо Център и други..
Сградата е бутикова на три етажа с АКТ16 от 2010г.
Апартаментът е разделен на 3-стаен и 1-стаен, състоят се от:
- Тристайният апартамент се състои от: Входно антре, дневна с трапезария и кухненски бокс, спалния, детска стая, два остъклени балкона и баня с тоалетна. 
- Едностайният апартамент се състои от: Входно антре, дневна с кухненски бокс и спална част, баня с тоалетна. 
Изложението е юг - запад.
Отоплението е решено на пелетна камина.
В цената са включени две мазета и две паркоместа. 
Имотът разполага с две партиди на ЧЕЗ и две на Софийска вода, което улеснява бъдещите собственици и наематели.
Имотът е изключително атрактивен, както за закупуване за собствено ползване, така и с цел инвестиция. 

К - КОНСУЛТ предлага висококачествени довършителни работи и дизайн, съобразени с вкуса и предпочитанията на всеки клиент."
88m²,"кв. Горубляне, София",True,"130,000",EUR,Обзаведен,4-ти,8,ТЕЦ,,Панел,,,,,,,,,,,"АЯКС Ви представя страхотен тристаен апартамент кв.Горубляне. Ситуиран е на 4ти жилищен етаж и разполага с площ от 88кв.м.
Разпределениевх.антре, дневна с кухненски бокс, две спални помещения, баня с тоалетна и две усвоени тераси.

Покупката на жилище е изключително важен момент от живота на всеки човек и за това искаме да предложим най- доброто. Услугите, които можем да предложим, включват:
Получаване на одобрение за ипотечен кредит.
Застраховка на движимо и недвижимо имущество.
Строителни ,ремонтни дейности и изготвяне на 3-д интериорен дизайн , за да си представите как би изглеждал вашия мечтан дом
Юридически и счетоводни услуги и др.

За удобство на клиента, екипът ни е договорил с нашите финансови партньори преференциални условия за банков кредит.

При интерес към този или друг имот се свържете с нас за повече информация, безплатна консултация или уговорка за оглед.

Референтен номер:195023"
134m²,"кв. Горубляне, София",True,"220,000",EUR,Обзаведен,3-ти,5,Локално отопление,След Акт 14,Тухла,,,,,,,,,,,"К - КОНСУЛТ продава просторен 4-стаен апартамент в новоизграждащ се комплекс в един от най-зелените квартали в гр. София - Горубляне.
Комплексът се изгражда  с висококачествени и устойчиви на времето материали от доказала се строително-инвестиционна компания.
Апартаментът е с площ 134кв.м.
Разпределение: Входно антре, дневна с кухня, склад, две бани с тоалетна, три спални и два балкона с невероятна гледка.
Апартаментът е с изградено водно подово отопление, тръбна разводка за климатици, газифициран, входна врата SOLID, дограма REHAU SYNEGO с троен стъклопакет, шумоизолация към под, топлоизолационна система на BAUMIT.
Има възможност за закупуване на паркомясто в подземен паркинг. 
Очаква се Акт 15 през Октомври 2022г.
Сградата е с перфектната комуникация към бул. Цариградско шосе, автомагистрала Тракия, Околовръстен път, велоалея по бул. Самоковско шосе до метростанция Интер Експо Център. 
К - КОНСУЛТ предлага висококачествени довършителни работи и дизайн, съобразени с вкуса и предпочитанията на всеки клиент."
130m²,"кв. Горубляне, София",False,"185,000",EUR,Необзаведен,4-ти,5,,,Тухла,,,,,,,,,,,"БЕЗ КОМИСИОННА ОТ КУПУВАЧА! ТОП СГРАДА И ЛОКАЦИЯ! Представяме ви нов, ЛУКСОЗЕН тристаен апартамент в модерна пететажна кооперация от доказан архитект и строител!Старт на строителството- 2022 г./ Акт 16-2024 г. 1.АПАРТАМЕНТ: 4 стаен със ЗП от 112,03 м2, РЗП-129,80 м2, на 4 етаж, с юго-западно изложение. Състои се от хол с кухня и трапезария, три спални, две бани с тоалетна, коридор, тераса и склад. 2.СГРАДА: Пететажна кооперация с модерна, съвременна и оптимизирана архитектура. Изпълнението на сградата е със луксозни и иновативни материали и решения, с пълна хидро, топло и шумоизолация. Дограмата е PVC; Лок. Газово отопление; Пълно окабеляване; Луксозни екстериорни врати, Ранжиран, озелен двор. 3. МЕСТОПОЛОЖЕНИЕ: Стратегическа локация, много комуникативно място в близост до Цариградско шосе, Самоковско шосе, Метро, Практикер и Околовръстен път, в тих квартал, между къщи. Удобен градски транспорт: Автобусни спирки до кооперацията, в близост Метростанции Интер Експо Център и Младост 3 . 4. ОСОБЕНОСТИ: Гъвкави схеми на плащане; Предлагаме и други двустайни и тристайни апартаменти в сградата. За повече информация и огледи: Красимира Уилямс 0884 556480; Иванна Могилкова- 0882 782667. Заповядайте, офисът ни е до новостроящата се сграда в кв. Горубляне! "
217m²,"кв. Горубляне, София",False,"230,000",EUR,Необзаведен,3-ти,5,,,Тухла,,,,,,,,,,,"БЕЗ КОМИСИОННА ОТ КУПУВАЧА! ТОП СГРАДА И ЛОКАЦИЯ! Представяме ви нов, ЛУКСОЗЕН тристаен апартамент в модерна пететажна кооперация от доказан архитект и строител!Старт на строителството- 2022 г./ Акт 16-2024 г. 1.АПАРТАМЕНТ: 3 стаен със ЗП от 168,58 м2, Покрив тераса-21,74 м2, РЗП-216,60 м2, на 3 етаж, с изток-север изложение. Състои се от хол с кухня и трапезария, две спални, две бани с тоалетна, коридор, тераса и склад. 2.СГРАДА: Пететажна кооперация с модерна, съвременна и оптимизирана архитектура. Изпълнението на сградата е със луксозни и иновативни материали и решения, с пълна хидро, топло и шумоизолация. Дограмата е PVC; Лок. Газово отопление; Пълно окабеляване; Луксозни екстериорни врати, Ранжиран, озелен двор. 3. МЕСТОПОЛОЖЕНИЕ: Стратегическа локация, много комуникативно място в близост до Цариградско шосе, Самоковско шосе, Метро, Практикер и Околовръстен път, в тих квартал, между къщи. Удобен градски транспорт: Автобусни спирки до кооперацията, в близост Метростанции Интер Експо Център и Младост 3 . 4. ОСОБЕНОСТИ: Гъвкави схеми на плащане; Предлагаме и други двустайни и тристайни апартаменти в сградата. За повече информация и огледи: Красимира Уилямс 0884 556480; Иванна Могилкова- 0882 782667. Заповядайте, офисът ни е до новостроящата се сграда в кв. Горубляне! "
83m²,"кв. Горубляне, София",False,"130,000",EUR,Необзаведен,2-ри,4,,,Тухла,,,,,,,,,,,"БЕЗ КОМИСИОННА ОТ КУПУВАЧА! ТОП СГРАДА И ЛОКАЦИЯ! Представяме ви нов, ЛУКСОЗЕН тристаен апартамент в модерна пететажна кооперация от доказан архитект и строител!Старт на строителството- 2022 г./ Акт 16-2024 г. 1.АПАРТАМЕНТ: 2 стаен със ЗП от 77,16 м2, РЗП-83,27 м2, на 2 етаж, с южно изложение. Състои се от хол с кухня и трапезария, една спалня, баня с тоалетна, коридор, тераса и склад. 2.СГРАДА: Пететажна кооперация с модерна, съвременна и оптимизирана архитектура. Изпълнението на сградата е със луксозни и иновативни материали и решения, с пълна хидро, топло и шумоизолация. Дограмата е PVC; Лок. Газово отопление; Пълно окабеляване; Луксозни екстериорни врати, Ранжиран, озелен двор. 3. МЕСТОПОЛОЖЕНИЕ: Стратегическа локация, много комуникативно място в близост до Цариградско шосе, Самоковско шосе, Метро, Практикер и Околовръстен път, в тих квартал, между къщи. Удобен градски транспорт: Автобусни спирки до кооперацията, в близост Метростанции Интер Експо Център и Младост 3 .  4. ОСОБЕНОСТИ: Гъвкави схеми на плащане; Предлагаме и други двустайни и тристайни апартаменти в сградата. За повече информация и огледи: Красимира Уилямс 0884 556480; Иванна Могилкова- 0882 782667. Заповядайте, офисът ни е до новостроящата се сграда в кв. Горубляне! "
108m²,"кв. Горубляне, София",True,"150,000",EUR,Необзаведен,2-ри,5,Прокарва се,Преди Aкт 14,Тухла,,,,,,,,,,,"РОМОЦИЯ!!! ОТСТЪПКА 10%!!!                         
Агенция СКАЛА ДИ представя на Вашето внимание новострояща се жилищна сграда, част от жилищен комплекс в район с потенциал и добри инфраструктурни връзки. 
Проектът се състои от три сгради, първата от които е завършена и с разрешение за ползване/АКТ16/. Сградите, които предстоят да бъдат изпълнени, са разположени на естествен хълм в района на кв.Горубляне, което предоставя на почти всички бъдещи собственици красиви панорамни гледки към Лозенска планина и Витоша.

Проектът разполага с разрешение за строеж и на другите две сгради. ОТКРИТА СТРОИТЕЛНА ЛИНИЯ на19.05.2022г. Планирано завършване на сградата с АКТ16 м.12.2023г.

Сградата се състои се от от различен тип апартаменти и къщи на две нива с собствен двор и гараж,(тристайни,мезонети),подземени  паркоместа и надземни гаражи. В сутерена на сградата е предвиден просторен подземен паркинг, с достатъчен брой паркоместа за всеки от апартаментите

Предлагаме Ви тристаен непреходен апартамент с югоизточно изложение/А14/.Жилището е разположено на 2-ри етаж(над партер)с РЗП-107.45 кв.м, ЧЖП-99,57кв. Общи части- 7.88кв.м. 
Разпределение:входно предверие, хол с кухненски бокс и трапезария с излаз към балкон лоджия, две спални с обща тераса, баня с тоалетна, тоалетна и килер.
Възможност за закупуване на подземни паркоместа на цени от 10 000 евро и гаражи на цени от 13 000 евро.

Сградата ще бъде с контролиран достъп и с ефективна система за видеонаблюдение, което ще осигури на живущите сигурност и спокойствие. 
Сградата ще е завършена с висококачествени материали утвърдени в строителният бранш производители и дизайнерски завършени общи части. Кофражните системи и технологии използвани в изграждането на обекта са съобразени с новите тенденции на световното строителство.
Жилищата се издават с контакти и ключове за ел. инсталациите, блиндирана входна врата, отоплителна инсталация с изградена газова инсталация до тапа, без котел и радиатори, прокарани изводи за климатик. При желание на клиента всеки апартамент може да бъде завършен до ключ или напълно обзаведен от строителя.
Жилищната сграда е разположена в непосредствена близост до Цариградско шосе и на 15 мин. път с автомобил до центъра на град София. Непосредствената близост на възлови пътни артерии и Околовръстен път дават възможност за бърз и удобен трансфер до всички желани дестинации в София и пътищата към вътрешността на страната.  
Схема на плащане: Съобразена с изискванията на пазара и гарантиращи спокойствието на купувача до завършването и издаването на сградата. Схемата за плащане е гъвкава - по договаряне с инвеститора, има възможност за предоставяне на отстъпка при по-голямо първоначално плащане.
Код  25682"
113m²,"кв. Горубляне, София",False,"210,000",EUR,,3-ти,5,Локално отопление,,Тухла,,,,,,,,,,,"МОДЕРНА СГРАДА на ОТЛИЧНА ЛОКАЦИЯ! БЕЗ КОМИСИОННА ОТ КУПУВАЧА! Представяме ви нов, ЛУКСОЗЕН ТРИСТАЕН апартамент в модерна ПЕТЕТАЖНА кооперация от доказан архитект и строител! Апартаментът А-15 е със ЗП от 97.51 кв.м., РЗП- 113.15 м2 и се намира на 3 етаж. Състои се от хол с трапезария и кухня, две спални, баня с тоалетна, коридор, килер и тераса. Сградата е пететажна кооперация с модерна, съвременна и оптимизирана архитектура. Построена е с луксозни и иновативни материали. Има пълна хидро, топло и шумоизолация. Дограмата е луксозен масивен, трислоен дървен стъклопакет; Лок. и газово отопление; Пълно окабеляване; Луксозни екстериорни врати; Стени от тухла покрити с финна шпакловка; Луксозни общи части. Възможност и за закупуване на подземно паркомясто. Разположена е на стратегическа локация, на много комуникативно място в близост до Цариградско шосе, Метростанция Интер Експо Център, Практикер и в тих квартал, между къщи, училище, детска градина, супермаркети и др. Етап на СТРОИТЕЛСТВО- открита строитела площадка със срок на завършване 2022г.
"
