Размер,Адрес,Точен адрес,Цена,Валута,Обзавеждане,Етаж,Етажи,Отопление,Състояние,Строителство,Спални,Бани,Двор,Площ на парцела,В регулация,Предназначение,Виза,Разрешение за строеж,Категория,Тип,Oписание
80m²,"жк. Дианабад, София",False,"166,000",EUR,Необзаведен,2-ри,8,ТЕЦ,,Панел,,,,,,,,,,,"Имоти Комфорт Ви предлага апартамент,който се намира  се намира на 2 етаж, в поддържана сграда с  входна врата с контролиран достъп.
Състои се от 2 спални, хол, кухня, тоалетна, баня, просторен коридор, килер, 2 балкона (един от които остъклен и усвоен към кухнята).
Апартаментът е след ремонт, стените са шпакловани навсякъде. С чисто нова дограма, сменени ВиК (хоризонтални и вертикални).
3 помещения са с нанесен нов латекс (хол, спалня и кухня); 
В хола и една от спалните е поставен нов ламиниран паркет.
В банята е поставен гипсокартон.
Отопление и вода с ТЕЦ.
Към апартамента има и мазе.
Свободно паркиране пред блока.
Района е спокоен, не е презасторен, заобиколен от множество площадки, магазини.
В близост до детска градина и училище, спирки на градски транспорт
"
112m²,"жк. Дианабад, София",False,"128,000",EUR,Необзаведен,6-ти,6,,,Тухла,,,,,,,,,,,"АДАМАНТ Недвижими Имоти има удоволствието да ви представи Функционален 2 - СТАЕН апартамент с голяма панорамна тераса на метри от бул. Г.М.Димитров и бул. Симеоновско шосе, на минути от:Спирки на градски транспорт - 62, 102На две спирки от Метростанция Г.М.ДимитровДетски градини, училища и посолства в района.-Квадратура: 52кв.м. - чиста площ, 10 кв.м. общи части + 51кв.м. панорамна терасаРазпределение: Коридор, хол с кухненски бокс, непреходна спалня с дрешник, санитарен възел, тераса.Етап на строителство: с Акт 14, Акт 16 до 06. 2023г.Изпълнява се от реномирана строително - инвестиционна компания с множество завършени сгради с модерни фасади. Състояние: Издава се на Шпакловка и замазка с висок клас 6камерна дограма троен стъклопакет и блиндирана външна врата.-За повече информация и огледи ви очакваме на тел. 0883221212, 0894611191."
48m²,"жк. Дианабад, София",False,"129,870",EUR,Обзаведен,5-ти,5,Електричество,,Тухла,,,,,,,,,,,"ТРЕ имоти продава едно малко бижу-дизайнерски обзаведен, маломерен двустаен апартамент. Жилището е със ЗП 45 м2/РЗП 48 м2 и се състои от хол с кухненски бокс, преходна спалня, баня с тоалетна и коридор към банята с ниша за пералня. Сградата е тухлена, с асансьор, отлични, добре обгрижвани общи части, видеонаблюдение и частен паркинг с паркоместа за всеки апартамент. Апартамента се намира на границата на кв.Изток и кв.Дианабат, на втора линия от ул. Тинтява/около 50 м/, на 5 мин.от ул. Никола Габровски, на две спирки с автобус от Студентски град и на еднакво разстояние от две метростанции-Г.М.Димитров и Жюлио Кюри. Апартаментът е единствен на етажа(ет.5/5). Отопление-изключително икономично, на климатик. Имота е изключително подходящ за инвестиция с висока доходност. ТРЕ имоти продава още един нов имот в района-завършен до ключ. Луксозно ремонтиран апартамент с прекрасна тераса и изглед към Витоша. Апартамента е двустаен, до бул. Симеоновско шосе. Цена 123000Е(линк към тази оферта: https://bit.ly/3Wq1X9f ). За повече информация и огледи: Невяна Маринова, 0898490145. ID 461.
"
113m²,"жк. Дианабад, София",True,"172,000",EUR,Необзаведен,10-ти,19,Електричество,,ЕПК,,,,,,,,,,,"Агенция за недвижими имоти 'Perfe' има удоволствието да Ви представи :
Тристаен апартамент за Продажба с локация кв. Дианабад

Жилището е ситуирано на 10-ти от общо 19 етажа.

Строителство - ЕПК, 1975г.

Разполага с площ от 113 кв.м. включващи: коридор, дневна стая, кухня, две спални, два балкона, един от които е закрит.
Към апартамента има и мазе.

Отоплението е на ТЕЦ.

Локацията е изключително комуникативна в непосредствена близост до Ловен парк, спирка на градски транспорт, множество магазини, супермаркети, салони за красота в района.

Общото състояние на жилището е за основен ремонт.



Предлагаме множество имоти, които не са обявени в публичното пространство.

За повече въпроси и записване на час за оглед, обадете се на тел. +359 896505656

Референтен номер на имота: 21712


"
49m²,"жк. Дианабад, София",False,"120,000",EUR,Обзаведен,1-ви,6,ТЕЦ,,,,,,,,,,,,,"Galardo Real Estate представя напълно обзаведен малък апартамент със собтвен двор.
Жилището се намира в сграда на престижна строителна фирма в кв. Дианабад. На пешеходно растояние има метростанция, спирки на автобуси, хипермаркети, ресторанти, магазини, спортни съоръжения и др.
Апартаментът е подходящ за отдаване под наем, без допълнителна инвестиция. Продава се напълно обзаведен и оборудван с висок клас електроуреди.
"
65m²,"жк. Дианабад, София",False,"150,000",EUR,,7-ми,8,,,Панел,,,,,,,,,,,"www.AlphaGroup.bg ОФЕРТА 6378. Двустаен апартамент с отлична възможност за преустройство в 3-стаен. Намира се нa изключително комуникативно място, ул. Никола Габровски и ул. Крум Кюлявков, на 1 мин. от супермаркет 'БМБ', на 4 мин. от метростанция 'Г. М. Димитров', до автобусен транспорт, училища и детски градини. Каре блокове 31, 33 (панел от 1980г). Отличен вход със сменена дограма и входна врата. Застроена площ на апартамента 65 кв.м. + мазе 3 кв.м. На етаж 7-ми от 8. Изложение: югоизток. Отопление: ТЕЦ. Апартамента е в много добро състояние. Дограмата е PVC. Хоризонталните и вертикалните щрангове са сменени. Разпределение: коридор; хол; балкон пред хола; кухня; спалня; балкон пред спалнята; баня с WC. Мазе към апартамента. АЛФА ГРУП тел. 0888 60 60 88"
82m²,"жк. Дианабад, София",False,"155,000",EUR,,2-ри,6,,,Тухла,,,,,,,,,,,"www.AlphaGroup.bg ОФЕРТА 5792. Двустаен апартамент в жилищна сграда от 2017г. номинирана за СГРАДА НА ГОДИНАТА и сертифицирана по стандарта за устойчиво и екологично строителство BREEAM. Намира се на ул. 132, на 10 мин. от метростанция 'Жолио Кюри'. В южната част на имота се намира градина с ниска растителност. Сградата е с охрана и контрол на достъпа. Отоплението е термопомпи въздух-вода, които гарантират до 3 пъти по-ниски сметки за електроенергия, в сравнение със стандартните системи за отопление и охлаждане. Подовете и стените към съседните апартаменти са шумоизолирани. Алуминиева дограма е висок клас с нискоемисионен стъклопакет. Застроена площ 73 кв.м, с общите части 82 кв.м, на етаж 1-ви над гаражи от общо 6. Изложение: североизток. Италианска кухня, немски диван от естествена телешка кожа, дизайнерска италианска спалня, бойлер - 200 л. Жилището се продава с обзавеждането, както се вижда на снимките. Може да се наеме гараж в съседство. АЛФА ГРУП тел. 02/ 866 55 55, моб. тел. 0888 60 60 88"
127m²,"жк. Дианабад, София",False,"312,000",EUR,,8-ми,16,ТЕЦ,,Тухла,,,,,,,,,,,"ИРИДА НЕДВИЖИМИ ИМОТИ Ви представя за продажба луксозен тристаен апартамент, в сграда Хармония на Артекс, затворен комплекс с контролиран достъп,с добре озеленен вътрешен двор в Дианабад. Сградата е в експлоатация с акт 16 от 22год.
Имотът е със 108кв.м. застроена площ, с общи части 127кв.м. и прилежащ склад 2.3кв.м., на осми жилищен етаж, с югоизточно изложение. Продава се и с гараж 17.9кв.м. на стойност 25 000евро, ако се купи с апартамента. 
Месечната такса за поддръжка е 135лв. за апартамента, гаража и складовото помещение.
Апартаментът е луксозно обзаведен и готов за нанасяне, никой не е живял в него.Имотът е с луксозни общи части с четири асансьора KONE. На партера има обща тоалетна и помещение за бебешки колички и велосипеди.

Изключително развит и комуникативен район с отлична инфрастуктура. До входа на метрото и на около 15-20 минути с кола от Парадайс мол,The Mall и Сердика център.

***

За повече информация и оглед: водещ брокер: 
Илиана Тошева 0876 72 00 20
***

СВЪРЖЕТЕ СЕ С НАС! РАБОТИМ И В ПОЧИВНИТЕ ДНИ!

Предлагаме БЕЗПЛАТНО СЪДЕЙСТВИЕ за одобрение и получаване на ипотечен кредит за покупка на жилище при най-добри условия за Вас, чрез услугите на лицензиран кредитен консултант!

ПЕРФЕКТНО изработени и приключени документално имотни сделки!

Разполагаме с изпълнител за ДОВЪРШИТЕЛНИТЕ РАБОТИ и ремонт на закупеното от Вас жилище. "
100m²,"жк. Дианабад, София",False,"170,000",EUR,Необзаведен,5-ти,8,,,Панел,,,,,,,,,,,"Номер в агенцията 36519
Агенция И Консултинг продава Тристаен апартамент в Дианабад. Сградата се намира в близост до бул. Никола Габровски и ул. Крум Кюлявков. Апартамента се състои от: Коридор, мокро помещение, Кухня, Две спални,  Голям хол, Баня с Тоалетна, отделна Тоалетна, Три отделни и големи тераси. Жилището е за ремонт. 
За контакти Иван Иванов 0896977866
Разгледайте и другите ни предложения 
www.iconsulting-bg.com"
50m²,"жк. Дианабад, София",False,"76,400",EUR,,2-ри,6,ТЕЦ,,Тухла,,,,,,,,,,,"Акт 16 ПРЕЗ АПРИЛ 2023Г!!! 

ИРИДА НЕДВИЖИМИ ИМОТИ ПРОДАВА ДВУСТАЕН АПАРТАМЕНТ,в сграда, разположена в изключително атрактивна локация, в района на квартал Дианабад. 

Жилището е със застроена площ от 40 кв.м. и се състои от просторна дневна с трапезария и кухненски бокс,кът за почивка, баня с тоалетна, антре, тераса и прилежащо МАЗЕ ВКЛЮЧЕНО В ЦЕНАТА /1,57 КВ.М/. Изложение: юг.Възможност за избор на подземни паркоместа . Местоположението предлага предпочитан адрес в близост до удобен градски транспорт, средни и висши учебни заведения, както и паркова среда осигуряваща спокойствие и тишина на всички обитатели. Доказан и утвърден строител!  

*** 

За контакти, повече информация и огледи, водещ брокер:0877007064 Павлина Мутафчийска 

*** 

СВЪРЖЕТЕ СЕ С НАС! РАБОТИМ И В ПОЧИВНИТЕ ДНИ! 

Предлагаме БЕЗПЛАТНО СЪДЕЙСТВИЕ за одобрение и получаване на ипотечен кредит за покупка на жилище при най-добри условия за Вас, чрез услугите на лицензиран кредитен консултант! 
ПЕРФЕКТНО изработени и приключени документално имотни сделки! 
Агенцията ни поддържа БОГАТА И АКТУАЛНА БАЗА ДАННИ на имоти в нови, луксозни сгради в Студентски град, Малинова долина, Витоша, Младост и всички Южни локации на Столицата. 
Разполагаме с изпълнител за ДОВЪРШИТЕЛНИТЕ РАБОТИ и ремонт на закупеното от Вас жилище. "
