Размер,Адрес,Точен адрес,Цена,Валута,Обзавеждане,Етаж,Етажи,Отопление,Състояние,Строителство,Спални,Бани,Двор,Площ на парцела,В регулация,Предназначение,Виза,Разрешение за строеж,Категория,Тип,Oписание
108m²," Драгалевци, София",False,"224,300",EUR,Обзаведен,1-ви,4,Електричество,,Тухла,,,,,,,,,,,"Прекрасен оазис в подножието на Витоша. Най-атрактивна е зеленината, чистият въздух и спокойствието. Невероятна гледка и лесен достъп до града ,за хора,търсещи тишина и спокойствие от напрегднатото ежедневие.Луксозен тристаен апартамент,в един от най-скъпите и представителни райони на София – Драгалевци. Намира се в сграда с вътрешен двор.Състои се от дневна с трапезария и напълно обзаведен кухня от ествен дъбов фурнир и  кухненски бокс. Подът е от дъбов трислоен паркет с изолация. Стените са гипскартон с допълнителна изолация каменна вата на външните стени. Външна изолация вата и сайдинг.Отопление и топла вода с газово котле Vaillant.Детска стая с двуетажно легло, бюро и шкаф.Спалня с голям гардероб и тоалетка.Голяма баня с вана и тоалетна, втора баня с тоалетна.Коридор с вграден  гардероб , входна врата Solid и СОТ система. В цената е включено мазе 3кв.м. , възможност за закупуване на паркомясто в подземен гараж."
111m²," Драгалевци, София",False,"249,999",EUR,Обзаведен,1-ви,4,Електричество,,Тухла,,,,,,,,,,,"ПАРКОМЯСТО В ЦЕНАТА!
Екипът на YOHOME недвижими имоти има удоволствието да ви представи просторен, светъл тристаен апартамент в кв. Драгалевци. Апартаментът се намира на 1-ви жилищен етаж в отлично поддържана сграда и има следното разпределение: входно антре, хол, спалня, детска стая, баня с тоалетна, самостоятелна тоалетна, тераса. Имотът е със северозападно изложение. Отоплението е изцяло на електричество с много ниски разходи. Жилището е със статут на апартамент. Подходящо е за младо семейство. Проверени чисти и изрядни документи. 
За повече информация и организиране на оглед се свържете с нас и цитирайте кода на обявата: 8826"
91m²," Драгалевци, София",False,"136,635",EUR,Необзаведен,2-ри,3,Електричество,,Тухла,,,,,,,,,,,"Представям Ви Тристаен апартаментнт в Гр. София, кв. Драгалевци със обща площ от 91.09кв.м.. Състои се от дневна с трапезария и кухненски бокс , две спални, санитарен възел, склад, тераса и коридор.

Предава се на шпакловка и замазка, блиндирани врати, висок клас стъклопакет, луксозни общи части, асансьор. Прилежащо парко място с цена 5000евро Възможност за отопление на газ.

Апартамента е част от новострояща се бутикова сграда с гаражи в квартал Драгалевци с АКТ 14.

Тя представлява четири етажна - 'Жилищна сграда с гаражи' със собствен двор. Сградата се състои от пет тристайни и един двустаен апартамент и едно ателие с с площ от 49.50 кв.м. до 87, 95 кв.м., паркоместа. Намира се в непосредствена близост до бул. Черни връх и ул. Захари Зограф. Спирки на градски транспорт: Автобуси с номера: в близост до сградата автобус 98, на пешеходно разстояние автобуси 64, 93 .

Уникален спокоен и устроен район, 2 училища, 4 детски градини и хипермакети и магазини в близост.

Бърз и лесен достъп до централната част на града.

За огледи и повече информация Гергана Асенова тел: 0877 97 2227."
356m²," Драгалевци, София",False,"364,400",EUR,Необзаведен,3-ти,4,,,Тухла,,,,,,,,,,,"
Home Life предлага на вниманието Ви просторен 4 стаен апартамент с панорамни гледки в бутикова нискоетажна сграда с акт 14 в един от най-желаните квартали на София - Драгалевци.
Уникален и престижен жилищен проект, който предлага модерно решение чрез комбинация от комфорт и функционалност:
• Озеленен вътрешен двор с кът за отдих по проект и система за контрол на достъпа.
• Прекрасна гледка към Витоша и панорама към централната част на София.
• Луксозно строителство с първокласни материали в съчетание с оптимално разпределение на вътрешните пространства.
• Бърза връзка с основни пътни артерии като бул. Черни връх и Околовръстен път, в близост до бъдещата метростанция «Драгалевци», хипермаркети “Фантастико” и “Lidl”.
• Южен квартал с отлични перспективи за развитие.
• Тиха, спокойна зона, застроена предимно с еднофамилни къщи, нови жилищни кооперации и комплекси от къщи с контролиран достъп.
Отоплението в сградата е предвидено на газ.
Възможно е закупуване на подземен гараж - единичен или двоен, както и на избено помещение.
Цените на гаражите са: 23 000 евро, 26 000 евро, 30 000 евро, 35 000 евро и 40 000 евро в зависимост от размера.
Цената е без включен ДДС. 
﻿Общата площ на жилището с терасите е 356.42 кв.м, от които чиста площ 158.23 кв.м. от 171.69 обща жилищна площ на цена от 1150 евро/кв.м.и тераси 184.73 кв.м. на цена от 575 евро / кв.м.
Разпределение:
Коридор, кухня с трапезария и хол, 3 спални, 2 бани с тоалетни, 1 тоалетна, мокро помещение и склад, 3 панорамни тераси.
"
131m²," Драгалевци, София",False,"237,000",EUR,Необзаведен,2-ри,5,,,Тухла,,,,,,,,,,,"Galardo Real Estate с удоволствие предлага за продажба тристаен апартамент на бул. Черни връх.
Апартаментът е разположен в среден вход на втори жилищен етаж (над партер, реален трети), в модерна, ниско етажна сграда с отлично поддържани общи части. Изцяло вътрешен и тих въпреки близостта до булеварда.
Помещенията са просторни и светли, като всяко има излаз към тераса. И от двете тераси се откриват красиви гледки - едната към Витоша, а другата към града.
Локацията е с перфектна комуникация и бърз достъп до център и Околовръстен път.
Районът е предпочитан и търсен. В близост до два хипермаркета, класни ресторанти и множество по-малки магазини от всякакво естество.
С апартамента може да бъде закупено и подземно паркомясто на стойност 20 000 EUR.
"
77m²," Драгалевци, София",False,"166,000",EUR,Обзаведен,1-ви,4,Локално отопление,,Тухла,,,,,,,,,,,"ДРИЙМ ВИЖЪН НЕДВИЖИМИ ИМОТИ Продава обзаведен тристаен апартамент в кв. Драгалевци на тихо и спокойно място в близост до супермаркети Фантастико и Лидл, спирка на градски транспорт. Сградата е част от комплекс Водолей 1, разполагащ с денонощна жива охрана, видеонаблюдение, контрол на достъпа, зелени площи за отдих и басейн! Жилището се състои от: входно антре, дневна с кухненски бокс и трапезария, две спални, баня с тоалетна, тоалетна, тераса. Освежен, ново обзавеждане. Отоплението е на газ с газово котле, като има и климатик. Възможност за допълнително закупуване на външно паркомясто на цена от 15 000 евро или да бъде наето срещу 100лева на месец. Оферта в агенцията 9164. Всички наши обяви ги работим с колеги. Още наши оферти може да намерите на www.dreamvision.bg Телефон за връзка: 0885 98 11 00 - Александър Гогов
"
160m²," Драгалевци, София",False,"330,000",EUR,Обзаведен,2-ри,4,Електричество,,Тухла,,,,,,,,,,,"ДРИЙМ ВИЖЪН НЕДВИЖИМИ ИМОТИ Продава четиристаен апартамент с прекрасна гледка в затворен комплекс находящ се в кв.Драгалевци. Имота се намира на тихо и спокойно място , но същевременно и в близост до хипермаркет , детски градини, училища. Продава се напълно обзаведен и оборудван с висок клас нови мебели и електроуреди. Разпределението е следното: входно антре, просторна дневна с кухненски бокс и трапезария с излаз към тераса, три големи спални, две бани с тоалетни.Много светъл и уютен апартамент. Лесен целогодишен достъп.Комплекса разполага с богато озеленен двор с кътове за отдих. Оферта в агенцията 8836. Всички наши обяви ги работим с колеги. Още наши оферти може да намерите на www.dreamvision.bg Телефони за връзка: 02 421 96 35 ; 0886 13 22 91 Димитър Георгиев


"
141m²," Драгалевци, София",False,"238,000",EUR,Необзаведен,3-ти,4,,,Тухла,,,,,,,,,,,"ДРИЙМ ВИЖЪН НЕДВИЖИМИ ИМОТИ Продава четиристаен апартамент в кв. Драгалевци. Жилището се намира в луксозна сграда, част от затворен комплекс разположен в полите на Витоша с прекрасен изглед към планината. Лесен и бърз достъп да главни пътни артерии. Апартамента се състои от: входно антре, дневна с кухненски бокс и трапезария, три спалня (едната от които разполага със собствени баня с тоалетна, дрешник и тераса)баня с тоалетна, тераса. Качествено строителство от доказан строител. Продава се на шпакловка и замазка. Възможност за допълнително закупуване на паркомясто. В сградата предлагаме и други апартаменти. Оферта в агенцията 8452. Всички наши обяви ги работим с колеги. Още наши оферти може да намерите на www.dreamvision.bg Телефони за връзка: 02 421 96 35 ; 0886 13 22 91 Димитър Георгиев
"
113m²," Драгалевци, София",False,"269,990",EUR,Необзаведен,2-ри,4,,,Тухла,,,,,,,,,,,"ДРИЙМ ВИЖЪН НЕДВИЖИМИ ИМОТИ Продава тристаен апартамент в кв. Драгалевци на тихо и спокойно място с бърз достъп до възлови булеварди и Околовръстен път. Намира се в близост до спирка на градски транспорт, супермаркет, училище, детска градина. Нов комплекс от три малки блока с поддържани зелени площи, кътове за отдих, видеонаблюдение. Жилището се състои от: входно антре, дневна с кухненски бокс и трапезария, две спални, като едната е със собствена баня и тоалетна, баня с тоалетна, склад, тераса. Отопление на газ. Възможност за допълнително закупуване на подземен гараж. В комплекса предлагаме и други апартаменти. Качествено строителство с луксозни общи части, ДОКАЗАН СТРОИТЕЛ. Обявената цена е с включено ДДС. Оферта в агенцията 8221. Всички наши обяви ги работим с колеги. Още наши оферти може да намерите на www.dreamvision.bg Телефони за връзка: 0886 13 22 91 Димитър Георгиев
"
74m²," Драгалевци, София",False,"176,160",EUR,Необзаведен,2-ри,4,Електричество,,Тухла,,,,,,,,,,,"ДРИЙМ ВИЖЪН НЕДВИЖИМИ ИМОТИ Продава двустаен апартамент в кв. Драгалевци на тихо и спокойно място с бърз достъп до възлови булеварди и Околовръстен път. Намира се в близост до спирка на градски транспорт, супермаркет, училище, детска градина. Нов комплекс от три малки блока с поддържани зелени площи, кътове за отдих, видеонаблюдение. Жилището се състои от: входно антре, дневна с кухненски бокс и трапезария, спалня, баня с тоалетна, склад, тераса. Отопление на газ. Възможност за допълнително закупуване на подземен гараж. В комплекса предлагаме и други апартаменти. Качествено строителство с луксозни общи части, ДОКАЗАН СТРОИТЕЛ. Обявената цена е с включено ДДС. Оферта в агенцията 8219. Всички наши обяви ги работим с колеги. Още наши оферти може да намерите на www.dreamvision.bg Телефони за връзка: 0886 13 22 91 Димитър Георгиев
"
64m²," Драгалевци, София",False,"116,809",EUR,Необзаведен,2-ри,5,,,Тухла,,,,,,,,,,,"БЕЗ КОМИСИОННА ОТ КУПУВАЧА!ДРИЙМ ВИЖЪН НЕДВИЖИМИ ИМОТИ Продава двустаен апартамент в кв.Драгалевци. Жилището се намира в луксозен затворен комплекс, разположен в полите на Витоша, на много комуникативно място в близост до магазини, бул. Черни връх и Околовръстен път. Разполага с богато озеленена паркова среда, изцяло пешеходно пространство между сградите, с кътове за отдих, алеи за разходка и велосипеди. Жилището се състои от входно антре, дневна с кухненски бокс и трапезария, спалня, баня с тоалетна, перално помещение, тераса. Възможност за закупуване на гаражи и паркоместа. Предава се на шпакловка и замазка. В комплекса предлагаме и други апартаменти. Качествено строителство от доказал се строител. Оферта в агенцията 8305 . Всички наши обяви ги работим с колеги. Още наши оферти може да намерите на www. dreamvision. bg Телефони за връзка: 02 421 96 35 / 0886 13 22 91Димитър Георгиев"
