Размер,Адрес,Точен адрес,Цена,Валута,Обзавеждане,Етаж,Етажи,Отопление,Състояние,Строителство,Спални,Бани,Двор,Площ на парцела,В регулация,Предназначение,Виза,Разрешение за строеж,Категория,Тип,Oписание
80m²,"жк. Дружба 2, София",False,"165,000",EUR,Обзаведен,1-ви,7,ТЕЦ,,Тухла,,,,,,,,,,,"Имоти Сердика 1 продава тристаен апартамент в комплекс ""Цариградски"" част втора, ж.к. Дружба 2. Имотът състои от входно антре с голям коридор, всекидневна с кухненски бокс, хол, баня с тоалетна, спалня, килер, тераса. Отоплението е на ТЕЦ. Жилището е като ново, напълно обзаведено и оборудвано, продава се с цялото налично обзавеждане и електроуреди. Апартаментът е с 69кв.м застроена площ или 80кв.м. с включени общи части. Имотът е с изложение към вътрешен двор с детски площадки. Локацията е много желано място за живеене, подходяща за млади семейства и малки деца. За оглед на това и други атрактивни предложения, не се колебайте да ни потърсите на посочения телефон за връзка. В случай, че не ви отговорим на момента, ще ви върнем обаждане при първа възможност. Предлагаме безплатно съдействие за отпускане на ипотечни и потребителски кредити. Преференциални условия! Още актуални оферти за наеми и продажби може да намерите в нашия сайт: www.serdika1.bg. ID:14245

"
46m²,"жк. Дружба 2, София",False,"63,868",EUR,Необзаведен,4-ти,5,ТЕЦ,,Тухла,,,,,,,,,,,"АДАМАНТ Недвижими имоти представя ПРОСТОРНИ Функционални 2 - СТАЙНИ и 3-СТАЙНИ апартаменти в ТРИ НОВОСТРОЯЩИ СЕ ЖИЛИЩНИ СГРАДИ на метри от:

Метростанция Дружба;
Училища, Детски градини;
бул. Цариградско шосе;
Автобусна спирка;
На минути от:
Парк;
Супермаркети, Банки, Молове, Сладкарници, Ресторанти и др.
с бърз и лесен достъп до центъра на града и летище София.
-
Кварталът е с добре изградена пътнотранспортна инфраструктура и чудесни велоалеи. Наблизо е бул. Цариградско шосе , с който има 3 пътни връзки - чрез бул. Христофор Колумб , чрез бул. Копенхаген и ул. Димитър Пешев . В централната част на квартала е разположено езеро с парк, което през лятото е удобно място за отдих и разходки.
-
Етап на строителство: груб строеж,пред АКТ 14! към 01.12.2022г.
-
В тази оферта представяме Апартаментът ,които представяме в офертата е със следните параметри:
СТАТУТ - Апартамент
КВАДРАТУРА: Чиста Жилищна площ - 39 кв.м., общи площи -7 кв.м.;
РАЗПРЕДЕЛЕНИЕ:
Дневна с кухненски бокс, спалня, баня с тоалетна и два балкона.
-
ИЗЛОЖЕНИЕ: Югозапад.
ОТОПЛЕНИЕ: ТЕЦ.
СЪСТОЯНИЕ: Издава се на шпакловка и замазка.
-
Сградата е на 5 жилищни етажа с 2-стайни, 3-стайни апартаменти с опция за закупуване на апаратменти със собствен двор. Изпълнява се с най - висок клас материали и качество на изпълнение!
-
Възможност за закупуване на ГАРАЖ ИЛИ ПАРКО МЯСТО във вътрешен двор с ограничен достъп за живущите на цена от 17 500 Евро.

-
За повече информация, записване за оглед ви очакваме на тел.:
0894 94 20 22 - Елизабет Миланова.
"
64m²,"жк. Дружба 2, София",False,"82,315",EUR,Необзаведен,6-ти,7,ТЕЦ,,Тухла,,,,,,,,,,,"АДАМАНТ Недвижими имоти представя ПРОСТОРНИ Функционални 2 - СТАЙНИ, 3-СТАЙНИ и 4-СТАЙНИ апартаменти в ТРИ НОВОСТРОЯЩИ СЕ ЖИЛИЩНИ СГРАДИ на метри от:

Метростанция Дружба;
Училища, Детски градини;
бул. Цариградско шосе;
Автобусна спирка;
На минути от:
Парк;
Супермаркети, Банки, Молове, Сладкарници, Ресторанти и др.
с бърз и лесен достъп до центъра на града и летище София.
-
Кварталът е с добре изградена пътнотранспортна инфраструктура и чудесни велоалеи. Наблизо е бул. Цариградско шосе , с който има 3 пътни връзки - чрез бул. Христофор Колумб , чрез бул. Копенхаген и ул. Димитър Пешев . В централната част на квартала е разположено езеро с парк, което през лятото е удобно място за отдих и разходки.
-
⚠ Етап на строителство: АКТ 14! Сградатас е очаква да бъде завършена май 2023г.!
-
В тази оферта представяме Апартамент 34 със следните параметри:
СТАТУТ - Апартамент
КВАДРАТУРА: Чиста Жилищна площ - 53,12 кв.м., общи площи -10,69 кв.м.; 
РАЗПРЕДЕЛЕНИЕ: 
Просторна дневна с кухненски бокс, спалня, баня с тоалетна, балкон,складов помещение.
-
ИЗЛОЖЕНИЕ: ЮГ/ЗАПАД.
ОТОПЛЕНИЕ: ТЕЦ.
СЪСТОЯНИЕ: Издава се на шпакловка и замазка.
-
-
Сградата е на 7 жилищни етажа с 2-стайни, 3-стайни апартаменти с опция за закупуване на апаратменти със собствен двор. Изпълнява се с най - висок клас материали и качество на изпълнение!
-
Възможност за закупуване на ГАРАЖ ИЛИ ПАРКО МЯСТО във вътрешен двор с ограничен достъп за живущите -29кв.м. на цена от 14 877 Евро.
-
За повече информация, записване за оглед ви очакваме на тел.:
0894 94 20 22 - Елизабет Миланова.
"
106m²,"жк. Дружба 2, София",False,"137,680",EUR,Необзаведен,5-ти,7,ТЕЦ,,Тухла,,,,,,,,,,,"АДАМАНТ Недвижими имоти представя ПРОСТОРНИ Функционални 2 - СТАЙНИ, 3-СТАЙНИ и 4-СТАЙНИ апартаменти в НОВИ ЖИЛИЩНИ СГРАДИ на метри от:

Метростанция Дружба;
Училища, Детски градини;
бул. Цариградско шосе;
Автобусна спирка;
На минути от:
Парк;
Супермаркети, Банки, Молове, Сладкарници, Ресторанти и др.
с бърз и лесен достъп до центъра на града и летище София.
-
Етап на строителство: АКТ 14. Очакван АКТ 16- септември 2023г.
-
В тази оферта представяме Апартамент със следните параметри:
КВАДРАТУРА: Чиста Жилищна площ - 88,17 кв.м., общи площи - 17,74 кв.м.;
РАЗПРЕДЕЛЕНИЕ:
Дневна с кухненски бокс, 2 спални, баня с тоалетна, антре и балкон.
За други предложения в сградата, моля да попитате отговорният брокер.
-
ИЗЛОЖЕНИЕ: ЮГ/Запад/Изток.
ОТОПЛЕНИЕ: ТЕЦ.
СЪСТОЯНИЕ: Издава се по БДС.
-
Сградата е на 7 жилищни етажа с 2-стайни, 3-стайни и 4-стайни апартаменти с опция за закупуване на апаратменти със собствен двор. Изпълнява се с най - висок клас материали и качество на изпълнение!
-
Възможност за закупуване на ГАРАЖ ИЛИ ПАРКО МЯСТО във вътрешен двор или подземно парко място с ограничен достъп за живущите на цена от 12 000 евро.
-
За повече информация, записване за оглед ви очакваме на тел.:
0894 94 20 22 - Елизабет Миланова.
"
57m²,"жк. Дружба 2, София",False,"61,977",EUR,Необзаведен,6-ти,7,ТЕЦ,,Тухла,,,,,,,,,,,"АДАМАНТ Недвижими имоти представя ПРОСТОРНИ Функционални 2 - СТАЙНИ, 3-СТАЙНИ и 4-СТАЙНИ апартаменти в ТРИ НОВОСТРОЯЩИ СЕ ЖИЛИЩНИ СГРАДИ на метри от:

Метростанция Дружба;
Училища, Детски градини;
бул. Цариградско шосе;
Автобусна спирка;
На минути от:
Парк;
Супермаркети, Банки, Молове, Сладкарници, Ресторанти и др.
с бърз и лесен достъп до центъра на града и летище София.
-
Кварталът е с добре изградена пътнотранспортна инфраструктура и чудесни велоалеи. Наблизо е бул. Цариградско шосе , с който има 3 пътни връзки - чрез бул. Христофор Колумб , чрез бул. Копенхаген и ул. Димитър Пешев . В централната част на квартала е разположено езеро с парк, което през лятото е удобно място за отдих и разходки.
-
Етап на строителство: Изграждане на грубият строеж на сградата!
-
В тази оферта представяме Апартамент със следните параметри:
СТАТУТ - Апартамент
КВАДРАТУРА: Чиста Жилищна площ - 48 кв.м., общи площи - 9 кв.м.;
РАЗПРЕДЕЛЕНИЕ:
Просторна дневна с кухненски бокс, спалня, баня с тоалетна и балкон.
-
ИЗЛОЖЕНИЕ: ЮГ/Запад.
ОТОПЛЕНИЕ: ТЕЦ.
СЪСТОЯНИЕ: Издава се на шпакловка и замазка.
-
Сградата е на 7 жилищни етажа с 2-стайни, 3-стайни апартаменти с опция за закупуване на апаратменти със собствен двор. Изпълнява се с най - висок клас материали и качество на изпълнение!
-
Възможност за закупуване на ГАРАЖ ИЛИ ПАРКО МЯСТО във вътрешен двор с ограничен достъп за живущите -29кв.м. на цена от 14 877 Евро.
-
Снимките са илюстративни!
-
За повече информация, записване за оглед ви очакваме на тел.: 0894 94 20 22 - Елизабет Миланова.
"
163m²,"жк. Дружба 2, София",False,"227,682",EUR,Необзаведен,5-ти,7,ТЕЦ,,Тухла,,,,,,,,,,,"АДАМАНТ Недвижими имоти представя ЕКСКЛУЗИВНО ПРОСТОРНИ Функционални 2 - СТАЙНИ 3-СТАЙНИ и 4-СТАЙНИ апартаменти в НОВОСТРОЯЩИ СЕ ЖИЛИЩНИ СГРАДИ на метри от:

Метростанция Дружба;
Училища, Детски градини;
бул. Цариградско шосе;
Автобусна спирка;
На минути от:
Парк;
Супермаркети, Банки, Молове, Сладкарници, Ресторанти и др.
с бърз и лесен достъп до центъра на града и летище София.
-
СНИМКИТЕ СА ИЛЮСТРАТИВНИ! ЗА ПОВЕЧЕ ИНФОРМАЦИЯ,МОЛЯ СВЪРЖЕТЕ СЕ С НАС!
-
Етап на строителство: АКТ 14! Сградата ще бъде завършена май 2023г.!
-
В тази оферта представяме Апартамент със следните параметри:
СТАТУТ - Апартамент
КВАДРАТУРА: Чиста Жилищна площ - 136,06 кв.м., общи площи -26,57 кв.м.;
РАЗПРЕДЕЛЕНИЕ:
Дневна с кухненски бокс, три спални, две бани с тоалетна и балкон.
-
ИЗЛОЖЕНИЕ: Юг, Запад, Север.
ОТОПЛЕНИЕ: ТЕЦ.
СЪСТОЯНИЕ: Издава се на шпакловка и замазка.
-
Сградата е на 7 жилищни етажа с 2-стайни, 3-стайни и 4-стайни апартаменти с опция за закупуване на апаратменти със собствен двор. Изпълнява се с най - висок клас материали и качество на изпълнение!
-
Възможност за закупуване на ГАРАЖ ИЛИ ПАРКО МЯСТО във вътрешен двор с ограничен достъп за живущите на цена от 12 000 Евро.
-
За повече информация, записване за оглед ви очакваме на тел.:
0894 94 20 22 - Елизабет Миланова.
"
122m²,"жк. Дружба 2, София",False,"134,072",EUR,Необзаведен,2-ри,6,ТЕЦ,,Тухла,,,,,,,,,,,"АДАМАНТ Недвижими имоти представя ЮЖЕН и СВЕТЪЛ 3 - СТАЕН апартамент в НОВОСТРОЯЩ СЕ ЖИЛИЩЕН КОМПЛЕКС на метри от:

Метростанция Дружба;
Училища, Детски градини;
бул. Цариградско шосе;
Автобусна спирка;
На минути от:
Парк;
Супермаркети, Банки, Молове, Сладкарници, Ресторанти и др.
с бърз и лесен достъп до центъра на града и летище София.
-
Кварталът е с добре изградена пътнотранспортна инфраструктура и чудесни велоалеи. Наблизо е бул. Цариградско шосе , с който има 3 пътни връзки - чрез бул. Христофор Колумб , чрез бул. Копенхаген и ул. Димитър Пешев . В централната част на квартала е разположено езеро с парк, което през лятото е удобно място за отдих и разходки.
-
Етап на строителство:ЗАПОЧНАТО СТРОЙТЕЛСТВО 01.07.2022г.
-
В тази оферта представяме Апартамент със следните параметри:
СТАТУТ - Апартамент
КВАДРАТУРА: Чиста Жилищна площ - 84,14.06 кв.м., общи площи -14,68 кв.м.;
РАЗПРЕДЕЛЕНИЕ:
Просторна дневна с кухненски бокс, две спални, две бани с тоалетна и балкон.
Моля за повече информация за проекта и снимков материл да се свържете с нас!
-
ИЗЛОЖЕНИЕ: ЮГ.
ОТОПЛЕНИЕ: ТЕЦ.
СЪСТОЯНИЕ: Издава се на шпакловка и замазка.
-Жилищният комплекс се състой от 6 етажна жилищна сграда с пет входа с 2-стайни, 3-стайни апартаменти с опция за закупуване на апаратменти със собствен двор. Изпълнява се с най - висок клас материали и качество на изпълнение!
-
Възможност за закупуване на ГАРАЖ ИЛИ ПАРКО МЯСТО във вътрешен двор или подземни с ограничен достъп за живущите на цена от 17 500 Евро.
-
За повече информация, записване за оглед ви очакваме на тел.:
0894 94 20 22 - Елизабет Миланова.
"
70m²,"жк. Дружба 2, София",False,"144,000",EUR,Обзаведен,5-ти,8,ТЕЦ,,Тухла,,,,,,,,,,,"Агенция за недвижими имоти 'Perfe' има удоволствието да Ви представи:


Двустаен Апартамент за продажба с локация гр. София, жк .Дружба 2

Жилището е ситуирано на 2-ри етаж от общо 8 в тухлена кооперация от 2010г.

Разполага с площ от 70 кв.м. и е със следното практично разпределение:

антре, хол с кухненски бокс, спалня, баня с тоалетна, тераса.

Към имота има прилежащо мазе с площ от 3 кв.м., което е отдадено под наем.

Отоплението е на ТЕЦ.

Локацията е комуникативна в близост до метростанция, спирка на градски транспорт, магазини, заведения, зони за отдих и спорт.

Към апартамента има паркомясто  на -1 ниво с топла връзка на цена от 25 000 ЕВРО.



За повече въпроси и записване на час за оглед, обадете се на тел. +359 896505656

Референтен номер на имота:32064
"
48m²,"жк. Дружба 2, София",False,"81,000",EUR,,2-ри,9,,,Панел,,,,,,,,,,,"Имоти Премиер представя на Вашето внимание едностаен апартамент преустроен на двустаен в Дружба 2. Апартаментът е вътрешен с южно изложение. В близост до детска градина, две училища, денонощни магазини и аптеки. Също така спирки на градски транспорт и метро. В близост до големи магазини като Била, Фантастико,Т-маркет, Практикер. Апартаментът е на ламинат и гранитогрес, банята на фаянс.Преустроен е на двустаен отделно кухня, спална, дневна ,баня с тоалетна и мазе от 4кв.м..С метална ( блиндирана ) входна врата на апартамента ,общите части са добри с ПВЦ и чип достъп, сменени са вик щранговете на сградата. Голям паркинг отпред със свободен достъп за паркиране.



КОД НА ОБЯВАТА : 344009"
140m²,"жк. Дружба 2, София",False,"261,700",EUR,,9-ти,17,,,Тухла,,,,,,,,,,,"Имоти Премиер има удоволствието да Ви представи прекрасен, панорамен тристаен апартамент с акт16 намиращ се в кв. Дружба 2 в сграда Авигея на Артекс. Изключително качествено и луксозно строителство. Обща площ 140кв., застроена площ от 115кв. В близост до детски градини и училища. Срещу входа на метро станция Дружба. Висококачествена негорима немска изолация от каменна вата, 7-камерна немска дограма и 3-слоен стъклопакет, входна врата с иноксови механизми осигуряващи изключително дълъг живот, контрол на достъпа,чипове и дистанционни + жива охрана, СОТ и Видеонаблюдение, както и противопожарна система. Сграда с качествени и изключително поддържани общи части. ТЕЦ и климатици мултилинк, с външно тяло монтирано елегантно без видими части за сградата, kone- асансьори, резервиран просторен и широк гараж към него 24кв.м. на цена 26 300 евро, може да се закупи и със и без него. Дефектнотокова система на Легранд със защити от Легранд, окабеляване за интернет, оптика и тв до всяка стая,ключове, контакти и др.елисталация на Легрант , амбиентно осветление в общи части и мн.др.


Код на обявата: 339989
"
