Размер,Адрес,Точен адрес,Цена,Валута,Обзавеждане,Етаж,Етажи,Отопление,Състояние,Строителство,Спални,Бани,Двор,Площ на парцела,В регулация,Предназначение,Виза,Разрешение за строеж,Категория,Тип,Oписание
67m²,"жк. Дървеница, София",False,"117,990",EUR,Необзаведен,5-ти,7,Електричество,,Тухла,,,,,,,,,,,"Имоти Сердика продава двустаен апартамент. Сградата има издаден Акт 15. Очаква се АКТ 16. Състои се от кухнески бокс, трапезария и хол в едно. Самостоятелна непреходна стая и баня с тоалетна. Стените са шпакловани и са завършени с висок клас латекс. Ще бъдат поставени плочки в банята и коридора. В спалнята и хола ще бъде поставен ламиниран паркет. За оглед на това и други атрактивни предложения, не се колебайте да ни потърсите на посочения телефон за връзка. В случай, че не ви отговорим на момента, ще ви върнем обаждане при първа възможност. Предлагаме безплатно съдействие за отпускане на ипотечни и потребителски кредити. Преференциални условия! Още актуални оферти за наеми и продажби може да намерите в нашия сайт: www. serdika1.bg. ID: 10488
"
100m²,"жк. Дървеница, София",False,"179,920",EUR,Необзаведен,4-ти,9,ТЕЦ,,Тухла,,,,,,,,,,,"БЕЗ КОМИСИОННА ОТ КУПУВАЧА! ДРИЙМ ВИЖЪН НЕДВИЖИМИ ИМОТИ Продава тристаен апартамент на комуникативно място в близост до спирки на градски транспорт, магазини, множество помещения от обслужващият сектор, училище, детска градина. Нова качествено изграждаща се сграда с модерна визия и луксозни общи части. Жилището се състои от: входно антре, дневна с кухненски бокс и трапезария, две спални с дрешник към тях, баня с тоалетна, отделна тоалетна, склад/ мокро помещение, тераса. Отопление на ТЕЦ. Възможност за закупуване на паркомясто или гараж. В сградата предлагаме и други апартаменти. Строителство от ДОКАЗАН СТРОИТЕЛ. Оферта в агенцията 8928. Всички наши обяви ги работим с колеги. Още наши оферти може да намерите на www.dreamvision.bg Телефони за връзка: 02/421 96 35 ; 0886 13 22 91 Димитър Георгиев
"
65m²,"жк. Дървеница, София",False,"116,420",EUR,Необзаведен,6-ти,9,ТЕЦ,,Тухла,,,,,,,,,,,"БЕЗ КОМИСИОННА ОТ КУПУВАЧА! ДРИЙМ ВИЖЪН НЕДВИЖИМИ ИМОТИ Продава двустаен апартамент на комуникативно място в близост до спирки на градски транспорт, магазини, множество помещения от обслужващият сектор,училище, детска градина. Нова качествено изграждаща се сграда с модерна визия и луксозни общи части. Жилището се състои от: входно антре, дневна с кухненски бокс и трапезария, спалня с дрешник към нея, баня с тоалетна, тераса. Отопление на ТЕЦ. Възможност за закупуване на паркомясто или гараж. В сградата предлагаме и други апартаменти. Строителство от ДОКАЗАН СТРОИТЕЛ. Оферта в агенцията 8921. Всички наши обяви ги работим с колеги. Още наши оферти може да намерите на www.dreamvision.bg Телефони за връзка: 02/421 96 35 ; 0886 13 22 91 Димитър Георгиев
"
68m²,"жк. Дървеница, София",False,"99,000",EUR,Необзаведен,2-ри,5,,,Тухла,,,,,,,,,,,"ДРИЙМ ВИЖЪН НЕДВИЖИМИ ИМОТИ Продава двустаен апартамент в кв. Дървеница на тихо и спокойно място в близост до парк, спирки на градски транспорт, супермаркет и на 8 минути пешеходно разстояние от метростанция. Жилището се състои от: входно антре, дневна с кухненски бокс и трапезария, спалня, баня с тоалетна, тераса. С южно изложение!Възможност за допълнително закупуване на гараж/двоен гараж. В сградата предлагаме и други апартаменти. Оферта в агенцията 8436. Всички наши обяви ги работим с колеги. Още наши оферти може да намерите на www.dreamvision.bg Телефон за връзка: 0885 98 11 00 - Александър Гогов
"
93m²,"жк. Дървеница, София",False,"126,000",EUR,,3-ти,5,,,Тухла,,,,,,,,,,,"ДРИЙМ ВИЖЪН НЕДВИЖИМИ ИМОТИ Продава тристаен апартамент в кв. Дървеница на тихо и спокойно място в близост до парк, спирки на градски транспорт, супермаркет и на 8 минути пешеходно разстояние от метростанция. Жилището се състои от: входно антре, дневна с кухненски бокс и трапезария, две спални, дрешник, баня с тоалетна, тераса. Изложение: юг/север. Възможност за допълнително закупуване на гараж/двоен гараж. В сградата предлагаме и други апартаменти. Оферта в агенцията 8437. Всички наши обяви ги работим с колеги. Още наши оферти може да намерите на www.dreamvision.bg Телефон за връзка: 0885 98 11 00 - Александър Гогов
"
69m²,"жк. Дървеница, София",False,"90,000",EUR,Необзаведен,3-ти,5,,,Тухла,,,,,,,,,,,"ДРИЙМ ВИЖЪН НЕДВИЖИМИ ИМОТИ Продава двустаен апартамент в кв. Дървеница на тихо и спокойно място в близост до парк, спирки на градски транспорт, супермаркет и на 8 минути пешеходно разстояние от метростанция. Жилището се състои от: входно антре, дневна с кухненски бокс и трапезария, спалня, баня с тоалетна, тераса. Възможност за допълнително закупуване на гараж/двоен гараж. В сградата предлагаме и други апартаменти. Оферта в агенцията 8433. Всички наши обяви ги работим с колеги. Още наши оферти може да намерите на www.dreamvision.bg Телефон за връзка: 0885 98 11 00 - Александър Гогов
"
60m²,"жк. Дървеница, София",False,"75,000",EUR,Необзаведен,Партер,4,,,Тухла,,,,,,,,,,,"ДРИЙМ ВИЖЪН НЕДВИЖИМИ ИМОТИ Продава двустаен апартамент в кв. Дървеница на тихо и спокойно място в близост до парк, спирки на градски транспорт, супермаркет и на 8 минути пешеходно разстояние от метростанция. Жилището се състои от: входно антре, дневна с кухненски бокс и трапезария, спалня, дрешник, баня с тоалетна, тераса. Възможност за допълнително закупуване на гараж/двоен гараж. В сградата предлагаме и други апартаменти. Оферта в агенцията 8434. Всички наши обяви ги работим с колеги. Още наши оферти може да намерите на www.dreamvision.bg Телефон за връзка: 0885 98 11 00 - Александър Гогов
"
73m²,"жк. Дървеница, София",False,"105,000",EUR,Необзаведен,2-ри,5,,,Тухла,,,,,,,,,,,"ДРИЙМ ВИЖЪН НЕДВИЖИМИ ИМОТИ Продава двустаен апартамент в кв. Дървеница на тихо и спокойно място в близост до парк, спирки на градски транспорт, супермаркет и на 8 минути пешеходно разстояние от метростанция. Жилището се състои от: входно антре, дневна с кухненски бокс и трапезария, спалня, дрешник, баня с тоалетна, тераса. С южно изложение!Възможност за допълнително закупуване на гараж/двоен гараж. В сградата предлагаме и други апартаменти. Оферта в агенцията 8435. Всички наши обяви ги работим с колеги. Още наши оферти може да намерите на www.dreamvision.bg Телефон за връзка: 0885 98 11 00 - Александър Гогов
"
68m²,"жк. Дървеница, София",False,"99,300",EUR,,2-ри,7,ТЕЦ,,Тухла,,,,,,,,,,,"АГЕНЦИЯ ИРИДА ПРОДАВА БЕЗ КОМИСИОН ОТ КУПУВАЧ! ДВУСТАЙНО АТЕЛИЕ разположено на втори етаж в новострояща се сграда, в една от търсените локации на София, кв.Дървеница. Жилището се състои от дневна с кухненски бокс, една спалня, баня с тоалетна, коридор и балкон. Благоприятно Източно изложение. 

***

В сградата се продават и други едностайни, двустайни и тристайни апартаменти.

***

За контакти, повече информация и огледи, водещ брокер: Павлина Мутафчийска 0877 007 064

***

СВЪРЖЕТЕ СЕ С НАС! РАБОТИМ И В ПОЧИВНИТЕ ДНИ! 

Предлагаме БЕЗПЛАТНО СЪДЕЙСТВИЕ за одобрение и получаване на ипотечен кредит за покупка на жилище при най-добри условия за Вас, чрез услугите на лицензиран кредитен консултант! 

ПЕРФЕКТНО изработени и приключени документално имотни сделки! 

Агенцията ни поддържа БОГАТА И АКТУАЛНА БАЗА ДАННИ на имоти в нови, луксозни сгради в източната част на Столицата! 

Разполагаме с изпълнител за ДОВЪРШИТЕЛНИТЕ РАБОТИ и ремонт на закупеното от Вас  жилище."
84m²,"жк. Дървеница, София",False,"101,500",EUR,,1-ви,7,ТЕЦ,,Тухла,,,,,,,,,,,"АГЕНЦИЯ ИРИДА ПРОДАВА БЕЗ КОМИСИОН ОТ КУПУВАЧ! ДВУСТАЕН АПАРТАМЕНТ в престижен район и изключително търсена локация, в близост до бул.Андрей  Ляпчев   метростанция Мусагеница. Жилището е функционално разпределено и се състои от дневна с  кухненски бокс,  спалня, баня с тоалетна  антре,  тераса.    Изложение: юг/изток

***

В сградата се предлагат и други двустайни  апартаменти.

*** 

За контакти, повече информация и огледи, водещ брокер: Павлина Мутафчийска, тел. 0877 007 064

***

СВЪРЖЕТЕ СЕ С НАС! РАБОТИМ И В ПОЧИВНИТЕ ДНИ! 

Предлагаме БЕЗПЛАТНО СЪДЕЙСТВИЕ за одобрение и получаване на ипотечен кредит за покупка на жилище при най-добри условия за Вас, чрез услугите на лицензиран кредитен консултант! 

ПЕРФЕКТНО изработени и приключени документално имотни сделки!

Агенцията ни поддържа БОГАТА И АКТУАЛНА БАЗА ДАННИ на имоти в нови, луксозни сгради в източната част на Столицата.

Разполагаме с изпълнител за ДОВЪРШИТЕЛНИТЕ РАБОТИ и ремонт на закупеното от Вас жилище.  "
