Размер,Адрес,Точен адрес,Цена,Валута,Обзавеждане,Етаж,Етажи,Отопление,Състояние,Строителство,Спални,Бани,Двор,Площ на парцела,В регулация,Предназначение,Виза,Разрешение за строеж,Категория,Тип,Oписание
240m²,"жк. Западен Парк, София",False,"360,000",EUR,Обзаведен,2-ри,3,Електричество,,Тухла,,,,,,,,,,,"Homelife представя на вашето внимание отлично поддържан обзаведен апартамент на две нива в нова тухлена сграда. Намира се в близост до западен парк /на 2мин. пеша/, метростанция на 7мин. пешеходно разстояние, детски градини и училище. Сградата е построена с качествени материали, с разрешение за ползване от 2003г., с 10см външна изолация и допълнително вътрешна изолация с вата. Разположен е на две нива, първо ниво: просторно антре, килер, самостоятелна кухня с балкон с преход към просторна дневна с втори балкон, стая/кабинет/ с трети балкон, баня и тоалетна с прозорец. Второ ниво: три стаи от които родителската е с балкон, баня и тоалетна с прозорец. Настилки- гранитогрес и качествен ламинат, родителска стая-мокет. Обзавеждането е дизайнерско и е в много добро състояние!   Кухнята е поръчкова с висок клас уреди ""Miele"", включително и миялна машина.Отоплението е на ток с климатици, в сутерена има котле на нафта, което може да бъде заменено с друг вид котле. В апартамента има радиатори навсякъде. Висок клас алуминиева дограма. Аларма, оптично окабеляване за интернет. Светъл апартамент с изложение изток/запад/юг. В имотът може веднага да се живее без да се освежава, ремонт и обзавеждане преди 7години. Голямо мазе- 20кв.м. в сутерен! Изрядни документи! Имот, който заслужава да видите.  За повече информация и огледи-Виктория Пулева
"
90m²,"жк. Западен Парк, София",False,"154,700",EUR,,9-ти,11,,,Тухла,,,,,,,,,,,"ДО ВХОДА НА МЕТРОСТАНЦИЯ 'ВАРДАР'!!! Изцяло южен, вътрешен с панорама към 'Витоша'.СЛЕД основен ремонт.Вход с контролиран достъп. Площ на апартамента с тераса 71.00 кв.м. + 16кв.м. общи части /2%/, мазе 4кв.м. ТУХЛЕНА сграда от 1978г,. ЮЖЕН. ТОПЪЛ. ВЪТРЕШЕН!!! PVC дограма.ТЕЦ. Апартамента е основно ремонтиран. Всичко е в отлично състояние. PVC-дограма,нови настилилки.Разпределение: коридор, дневна с кухненски бокс, две самостоятелни спални, баня и тоалетна. Изцяло нови са електро и водопроводната инсталация. Вътрешното пространство e функционално организирано.Апартамента е изцяло завършен и готов за живеене. Паркинг.ПРИ НАС МОЖЕ ДА СЕ ВЪЗПОЛЗВАТЕ от безплатна консултация с независим кредитен консултант и да получите най-добрите условия за вашия ипотечен кредит!!! Агенцията работи с комисионна. ЛЪКИ НЕДВИЖИМИ ИМОТИ моб.тел. 0884 688 866. Всички наши оферти ги работим с КОРЕКТНИ КОЛЕГИ!"
60m²,"жк. Западен Парк, София",False,"99,400",EUR,,1-ви,6,,,Панел,,,,,,,,,,,"Код в агенцията: 39060. РЕАЛНА ОФЕРТА. ДО МЕТРОСТАНЦИЯ ВАРДАР И ФАНТАСТИКО. СЛЕД РЕМОНТ. Двустаен апартамент разположен на първи етаж от шест етажна сграда. Площ по нотариален акт 60кв/м. Разпределение: коридор, дневна, кухня, спалня, баня с тоалетна, килер, мокро помещение и два балкона единя остъклен. Обзаведен. Отопление на ТЕЦ и климатик. АСАНСЬОР с чип. Към имота има и мазе в отлично състояние. Разпределенето позволява всякакви преустройства! Отлично поддържан вход и общи части. ВИДЕОНАБЛЮДЕНИЕ. Контрол на достъпа.
ПРИ НАС МОЖЕ ДА СЕ ВЪЗПОЛЗВАТЕ от безплатна консултация с независим кредитен консултант и да получите най-добрите условия за вашия ипотечен кредит!!! Агенцията работи с комисионна. ЛЪКИ НЕДВИЖИМИ ИМОТИ моб.тел. 0884 688 866. Всички наши оферти ги работим с КОРЕКТНИ КОЛЕГИ!"
65m²,"жк. Западен Парк, София",False,"155,000",EUR,Обзаведен,5-ти,6,ТЕЦ,,Панел,,,,,,,,,,,"Линк към виртуална панорамна разходка (VR):
https://webobook.com/public/623c9aff5f9338321d009da2,bg

Оферта №: 1091
Агенция „Trust Broker Solutions” предлага на Вашето внимание обзаведен двустаен апартамент в ж.к. ""Западен парк"". До метро.

РАЗПРЕДЕЛЕНИЕ:
Апартамента се състои от коридор, стая, хол, кухня, баня, тоалетна, килер (мокро помещение), 2 тераси. Разполага с мазе.

ЛОКАЦИЯ:
Намира се в ж.к. ""Западен парк"" до бул. Ал. Стамболийски"". В Близост: Метростанция; Спирки на градски транспорт; Магазини Фантастико, Т-маркет, Лидъл, Била и др.; Пазар; Детски градини и училища.

СЪСТОЯНИЕ:
Апартаментът обзаведен. Сменени дограми. С външни ролетни щори.

ДОПЪЛНИТЕЛНА ИНФОРМАЦИЯ:
- Разрешение за ползване (Акт 16) от 1985 г.
- Вид строителство: Панел.
- Етаж: 5 от 6.
- Площ: 65м2
- Изложение: Изток - запад.
- Отопление: ТЕЦ.

Агенция „Trust Broker Solutions” предлага напълно безплатно кредитни консултации. Работим с всички банки в страната, на преференциални условия. Кредитният ни отдел е регистриран в БНБ като независим банков консултант по ипотечно кредитиране.
За още оферти посетете сайта ни: tbsestates.bg или се обадете на 0988830688."
59m²,"жк. Западен Парк, София",True,"87,000",EUR,Обзаведен,1-ви,6,ТЕЦ,,Тухла,,,,,,,,,,,"К - КОНСУЛТ продава 2-стаен апартамент на ключово място в кв. Западен парк, в непосредствена близост до метростанция Вардар, на пешеходно разстояние от множество спирки на градски транспорт, детски градини, училища, разнообразни търговски обекти, здравни заведения и други.
Сградата е поддържана с контрол на достъп. 
Апартаментът е непреходен, състои се от: Коридор, дневна, кухня, спалня, баня с тоалетна и тераса.
Саниран и обезопасен, с поставена PVC дограма и ламинат, след частичен освежителен ремонт.
Към апартамента има мазе около 5кв.м.  
Изложение - изток, запад.
Пред сградата има възможност за свободно паркиране.
К - КОНСУЛТ предлага висококачествени довършителни работи и ремонтни дейности, съобразени с вкуса и предпочитанията на всеки клиент."
35m²,"жк. Западен Парк, София",False,"80,000",EUR,Необзаведен,4-ти,4,Прокарва се,,Тухла,,,,,,,,,,,"Маломерен двустаен апартамент,  преустроен от едностаен. Жилището е компактно и с много функционално разпределение. Състои се от: антре, баня с тоалетна, самостоятелен светъл кухненски бокс, дневен тракт, спалня и балкон пред всички стаи. Изложението е западно. Апартаментът e напълно ремонтиран, като са сменени ВиК и електрическата инсталации, дограмата е ПВЦ,  монтиран е топлоизолиран окачен таван. Настилките в дневната и спалнята са от хубав естествен паркет, стени латекс, терасата, банята и кухненския бокс  са напълно отремонтирани с настилки теракот.  Входът е в перфектно състояние с напълно ремонтиран покрив, сменена дограма, шпаклован и боядисан. ЦЕНАТА Е ЗА НАПЪЛНО ОБЗАВЕДЕНО И ОБОРУДВАНО ЖИЛИЩЕ!
 Обади се сега и цитирай този код 557446"
65m²,"жк. Западен Парк, София",True,"95,000",EUR,Необзаведен,4-ти,6,ТЕЦ,,Панел,,,,,,,,,,,"Двустайно жилище след ремонт. Намира се близо до бул.Стамболийски, до предпоследната спирка на трамвая, на 10 минути от метрото. Състои се от кухня с усвоен балкон, стая, хол с балкон, баня, тоалетна, килер. Настилките са ламиниран паркет в коридора, кухнята и стаята, мокет в хола, нов фаянс и теракота в санитарните възли, ремонтът е правен преди две години. Целият вход е саниран и в прекрасно състояние."
100m²,"жк. Западен Парк, София",True,"116,000",EUR,Обзаведен,1-ви,8,ТЕЦ,,Тухла,,,,,,,,,,,"К - КОНСУЛТ продава просторен 3-стаен апартамент в кв. Западен парк.
Районът се характеризира със зеленина, спокойствие и комуникативност, в близост са разположени множество спирки на градски транспорт, метростанция, търговски обекти и много други, с бърз достъп до главни пътни артерии.
Апартаментът се намира на висок 1-ви етаж със самостоятелен вход.
Състои се от: Коридор, дневна, две стаи, кухня, баня с тоалетна, терасата е усвоена.
Имотът е използван като занималня.
Жилището разполага с мазе.

Изрядни документи, готови за сделка.

К - КОНСУЛТ предлага висококачествени довършителни ремонтни дейности и дизайн, съобразени с вкуса и предпочитанията на всеки клиент."
60m²,"жк. Западен Парк, София",True,"99,400",EUR,Обзаведен,1-ви,6,ТЕЦ,,Панел,,,,,,,,,,,"К - КОНСУЛТ продава светъл двустаен апартамент в кв. Западен парк.
Отлична локация на метри от парк Лебеда, спирки на градски транспорт, търговски обекти, Фантастико, LIDL, учебни заведения, ресторанти, както и бърз достъп до главни пътни артерии.
Имотът се намира във добре поддържан входа с контрол на достъп, видеонаблюдение и асансьор с чип.
Жилището се състои от: Входно антре, дневна, изнесена кухня, спалня, втора спалня, баня, тоалетна, килер и тераса.
Имотът е изключително атрактивен, както за закупуване за собствено ползване, така и с цел инвестиция."
60m²,"жк. Западен Парк, София",False,"87,990",EUR,,4-ти,6,ТЕЦ,,Панел,,,,,,,,,,,"- Двустаен апартамент за освежителен ремонт в панелно строителство от края на шестдесетте години. Ул. Суходолска. В близост до ул. Професор Вайганд. На пешеходно разстояние до парк ' Западен ' , метростанция ' Вардар ' , различни учебни заведения , малки и големи търгвоски обекти , както множество други удобства и комуникации.- Разположен на четвърти жилищен от шест етажа , имотът е изложен на североизток / югозапад. Състои се от входно антре , голям и светъл хол , баня , отделна тоалетна , складово помещение , непреходна спалня , отделна кухня с трапезария , както обширна тераса. PVC дограма. Частично саниран. Поддържани общи части с контролиран достъп.- Повече информация , уговорки относно огледи , както професионално съдействие за кредитиране от лицензирания ни финансов консултант , на тел . : 0889 550 950"
