Размер,Адрес,Точен адрес,Цена,Валута,Обзавеждане,Етаж,Етажи,Отопление,Състояние,Строителство,Спални,Бани,Двор,Площ на парцела,В регулация,Предназначение,Виза,Разрешение за строеж,Категория,Тип,Oписание
88m²,"жк. Изгрев, София",False,"135,000",EUR,Обзаведен,1-ви,8,,,Панел,,,,,,,,,,,"Екипът на YOHOME недвижими имоти има удоволствието да ви представи тристаен апартамент в тиха и спокойна част на кв. Дианабад. Имотът е на първи етаж от осем в панелен блок, входът е поддържан, отпред има паркоместа за свободно паркиране. Апартаментът се състои от : кухня, дневна, две спални, баня с тоалетна, самостоятелна тоалетна и мокро помещение, както и две остъклени тераси. Изложението е югоизточно. В близост до Ловен парк, спирки на градски транспорт, супермаркети, училища, метростанция и др. търговски обекти.

За повече информация и организиране на оглед се свържете с нас и цитирайте кода на обявата: 8192

Разгледайте останалите атрактивни предложения на страницата ни: www.yohome.bg"
49m²,"жк. Изгрев, София",False,"115,000",EUR,Обзаведен,1-ви,6,,,,,,,,,,,,,,"Имоти Премиер представя на Вашето внимание двустаен апартамент в кв. Изгрев. Изцяло обзаведено и след основен ремонт с мебели по поръчка. Жилището се състои от: трапезарна част с напълно обзаведен кухненски бокс, спалня и баня с тоалетна. Сградата е в комплекс от затворен тип осигуряващ безопасна и спокойна среда за живущите. Имотът разполага с идеална част от земя, което позволява обособяването на кът за отдих пред самото жилище. Отоплението е с централен ТЕЦ, подово отопление на ТЕЦ, отделно бойлер и климатик според желанията на новия собственик. Отдаван преди ремонта под наем за 900 лв на месец. На 6 минути пеша от метростанция Ж. Кюри и Г.М Димитров.



КОД НА ОБЯВАТА : 344517"
98m²,"жк. Изгрев, София",False,"249,100",EUR,Необзаведен,3-ти,7,ТЕЦ,,Тухла,,,,,,,,,,,"Home Life има удоволствието да ви представи изключително предложение за 3 стаен апартамент в луксозен комплекс с жилища и офиси в престижния квартал Изгрев.
Сграда със съвременен архитектурен стил с изчистени форми и луксозно изпълнение с висококачствени материали.
Жилищен проект от ново поколение. Създаден с идеята за смарт апартаменти, които оптимизират експлоатационните разходи и осигуряват комфорт. Затова допринасят и използваните висококачествени материали и изпълнение, иновативни технологии, комуникативната , предпочитана и престижна локация, с които се гарантира възвращаемост на инвестицията в дългосрочен план.
С ключовото си местоположение, сградата е на тиха улица на броени минути от Борисовата градина и Ловния парк, две метростанции, училища и детски градини, автобусни спирки, магазини, спортни и бизнес центрове и центъра на столицата.
Етап на строителство - преди акт 15.
Завършеност и акт 16 - август 2022г.
Разпределение: антре, дневна с трапезария и кухненски бокс, 2 спални, 1 баня с тоалетна, склад и  тераса.
Изложение: Запад.
В цената са включени климатици и  прилежащо паркомясто.
"
154m²,"жк. Изгрев, София",False,"399,990",EUR,Необзаведен,6-ти,7,ТЕЦ,,Тухла,,,,,,,,,,,"Home Life има удоволствието да ви представи изключително предложение за 4 стаен апартамент в луксозен комплекс с жилища и офиси в престижния квартал Изгрев.
Сграда със съвременен архитектурен стил с изчистени форми и луксозно изпълнение с висококачствени материали.
Жилищен проект от ново поколение. Създаден с идеята за смарт апартаменти, които оптимизират експлоатационните разходи и осигуряват комфорт. Затова допринасят и използваните висококачествени материали и изпълнение, иновативни технологии, комуникативната , предпочитана и престижна локация, с които се гарантира възвращаемост на инвестицията в дългосрочен план.
С ключовото си местоположение, сградата е на тиха улица на броени минути от Борисовата градина и Ловния парк, две метростанции, училища и детски градини, автобусни спирки, магазини, спортни и бизнес центрове и центъра на столицата.
Етап на строителство - преди акт 15.
Завършеност и акт 16 - август 2022г.
Разпределение: антре, дневна с трапезария и кухненски бокс, 3 спални, 2 бани с тоалетна, склад, мокро помещение и тераса.
Изложение: Юг / Изток.
Възможност за закупуване на паркомясто или гараж на отделна цена.
"
73m²,"жк. Изгрев, София",False,"188,300",EUR,Необзаведен,2-ри,7,ТЕЦ,,Тухла,,,,,,,,,,,"Home Life има удоволствието да ви представи изключително предложение за 2 стаен апартамент в луксозен комплекс с жилища и офиси в престижния квартал Изгрев.
Сграда със съвременен архитектурен стил с изчистени форми и луксозно изпълнение с висококачствени материали.
Жилищен проект от ново поколение. Създаден с идеята за смарт апартаменти, които оптимизират експлоатационните разходи и осигуряват комфорт. Затова допринасят и използваните висококачествени материали и изпълнение, иновативни технологии, комуникативната , предпочитана и престижна локация, с които се гарантира възвращаемост на инвестицията в дългосрочен план.
С ключовото си местоположение, сградата е на тиха улица на броени минути от Борисовата градина и Ловния парк, две метростанции, училища и детски градини, автобусни спирки, магазини, спортни и бизнес центрове и центъра на столицата.
Етап на строителство - акт 15.
Завършеност и акт 16 - август 2022г.
Разпределение: антре, дневна с трапезария и кухненски бокс, 1 спалня, 1 баня с тоалетна, склад и лоджия.
Изложение: Изток.
В цената е включено паркомясто.
"
157m²,"жк. Изгрев, София",False,"290,500",EUR,Необзаведен,4-ти,,ТЕЦ,,Тухла,,,,,,,,,,,"Имаме удоволствието да ви представим четиристаен апартамент в нова стилна и луксозна жилищна сграда. За хората който търсят луксозен и уютен нов дом , които да им предостави уединение и сигурност в съчетание с близост до комуникации, училища, детски градини и развита градска среда .Комплексът се състои от няколко сгради, които включват две ниски офис тела и две 17-етажни жилищни сгради, откриващи прекрасни гледки към града, планината, Ловен парк и Борисова градина. Разпределението на апартамента е следното:антре,коридор,три спални,две бани с тоалетни, тоалетна,тераса,всекидневна с кухненски бокс.Предвидени са различни търговски обекти, просторен фитнес център, ресторант за здравословно хранене, езиков център, вътрешна градина, рецепция и други удобства.Сградата е топлофицирана, с луксозни общи части и високоскоростни асансьори.. Цените на подземните паркоместа са около 24000 евро с ДДС. Предлагат се и гаражи.В стилният комплекс има възможност да се разгледат и други различни по квадратура апартаменти. Имотите се предават в степен на завършеност по БДС, на шпакловка и замазка.Сгратата е на етап строителство и АКТ 16 СЕ ОЧАКВА ПРЕЗ 2023 Г. За защита на взаимните интереси, преди да се покаже имота, задължително се подписва протокол за оглед, свързан с нашата услуга и възнаграждението ни при сделка с този имот.
Глобъл Сървисиз ООД е администратор на лични данни с удостоверение с 272996.
Номер на обявата : № 9694
За информация и огледи : Росина Михайлова- 0888906266
"
400m²,"жк. Изгрев, София",False,"1,584,000",EUR,Обзаведен,16-ти,16,ТЕЦ,,,,,,,,,,,,,"Многостаен апартамент по индивидуален дизайнерски проект в ж.к Изгрев!!!

Жилището е с площ от 400кв.м, които биват разпределени изключително функционално. 3.6м светла височина на помещенията дава усещане за простор, лукс и величие. Обзавеждането в апартамента е дизайнерско и по поръчкова изработка от TWINS DESIGN, мебелите са дело на италианските дизайнерски къщи B&B Italia. Оборудван с най-висок клас електроуреди на KUPPERSBUCH. Подовите настилки са от естествен орехов паркет. 
От всяко помещение се открива изключителна панорамна гледка.

Голяма, южна тераса, със собствен ландшафт
 Обади се сега и цитирай този код 563328"
130m²,"жк. Изгрев, София",False,"608,760",EUR,Обзаведен,15-ти,16,Прокарва се,,,,,,,,,,,,,"Дизайнерски обзаведен тристаен апартамент в ж.к Изгрев!!!

Жилището е с площ от 130 кв.м, които биват разпределени изключително функционално. По-голямата светла височина на помещенията дава усещане за простор и позволява монтирането на вентилационна, пречистваща система. Обзавеждането в апартамента е дизайнерско и по поръчкова изработка от TWINS DESIGN, мебелите са дело на италианските дизайнерски къщи B&B Italia и CIERRE. Оборудван с най-висок клас електроуреди на KUPPERSBUCH. Подовите настилки са от естествен дъбов паркет. 
От всяко помещение се открива изключителна панорамна гледка.
 Обади се сега и цитирай този код 560301"
186m²,"жк. Изгрев, София",False,"868,700",EUR,Обзаведен,15-ти,16,Прокарва се,,Тухла,,,,,,,,,,,"Тристаен апартамент с луксозно обзавеждане в ж.к Изгрев!!!

Жилището е с площ от 186 кв.м, които биват разпределени изключително функционално. По-голямата светла височина на помещенията дава усещане за простор и позволява монтирането на вентилационна, пречистваща система. Обзавеждането в апартамента е дизайнерско и по поръчкова изработка от TWINS DESIGN, мебелите са дело на италианските дизайнерски къщи B&B Italia и CIERRE. Оборудван с най-висок клас електроуреди на KUPPERSBUCH. Подовите настилки са от естествен дъбов паркет. 
От всяко помещение се открива изключителна панорамна гледка.
 Обади се сега и цитирай този код 560300"
158m²,"жк. Изгрев, София",False,"584,000",EUR,Обзаведен,16-ти,16,Прокарва се,,Тухла,,,,,,,,,,,"Тристаен апартамент с луксозно обзавеждане в ж.к Изгрев!!!

Жилището е с площ от 158 кв.м, които биват разпределени изключително функционално. По-голямата светла височина на помещенията дава усещане за простор и позволява монтирането на вентилационна, пречистваща система. Обзавеждането в апартамента е дизайнерско и по поръчкова изработка от TWINS DESIGN, мебелите са дело на италианските дизайнерски къщи B&B Italia и CIERRE. Оборудван с най-висок клас електроуреди на KUPPERSBUCH. Подовите настилки са от естествен дъбов паркет. 
От всяко помещение се открива изключителна панорамна гледка.
 Обади се сега и цитирай този код 560056"
