Размер,Адрес,Точен адрес,Цена,Валута,Обзавеждане,Етаж,Етажи,Отопление,Състояние,Строителство,Спални,Бани,Двор,Площ на парцела,В регулация,Предназначение,Виза,Разрешение за строеж,Категория,Тип,Oписание
45m²,"жк. Илинден, София",False,"79,990",EUR,Необзаведен,2-ри,8,ТЕЦ,,Панел,,,,,,,,,,,"Имоти Сердика продава двустаен апартамент в ж.к. Илинден. Имотът е с площ 35кв.м., състоящ се от хол, кухня, коридор и голям балкон - 8кв.м. Има ТЕЦ и мазе. Апартаментът има нужда от ремонт. Намира се в близост до метростанция, спирки на градски транспорт, магазини и заведения. За оглед на това и други атрактивни предложения, не се колебайте да ни потърсите на посочения телефон за връзка. В случай, че не ви отговорим на момента, ще ви върнем обаждане при първа възможност. Предлагаме безплатно съдействие за отпускане на ипотечни и потребителски кредити. Преференциални условия! Още актуални оферти за наеми и продажби може да намерите в нашия сайт: www.serdika1.bg. ID:14711




"
87m²,"жк. Илинден, София",False,"175,000",EUR,Обзаведен,3-ти,8,ТЕЦ,,Панел,,,,,,,,,,,"Екипът на YOHOME има удоволствието да ви представи 3-стаен апартамент в спокойна част на кв. Илинден. Жилището се намира на 3-ти от 8 етажа в сградата и е с обща площ 87кв.м. Състои от: антре, дневна, кухня, две спални, баня с тоалетна и тераса с излаз от едната спалня и от хола. Направен е основен ремонт, сменени са настилките във всички помещения, сменени вертикални ВИК щрангове и тръби, сменена електроинсталация, с нови интериорни врати, блиндирана входна врата, нова 5-камерна дограма. Отоплението е на ТЕЦ и висок клас климатици, има вътрешна и външна изолация. Апартаментът е напълно обзаведен, готов за нанасяне. Намира се в непосредствена близост до метростанция Вардар, спирки на градски транспорт, парк ""Бял Бор"", търговски обекти и др.

За повече информация и организиране на оглед свържете се с нас и цитирайте кода на обявата №8252

За повече обяви, може да разгледате и нашия сайт www.yohome.bg"
90m²,"жк. Илинден, София",False,"154,700",EUR,,9-ти,11,,,Тухла,,,,,,,,,,,"ДО ВХОДА НА МЕТРОСТАНЦИЯ 'ВАРДАР'!!! Изцяло южен, вътрешен с панорама към 'Витоша'.СЛЕД основен ремонт.Вход с контролиран достъп. Площ на апартамента с тераса 71.00 кв.м. + 16кв.м. общи части /2%/, мазе 4кв.м. ТУХЛЕНА сграда от 1978г,. ЮЖЕН. ТОПЪЛ. ВЪТРЕШЕН!!! PVC дограма.ТЕЦ. Апартамента е основно ремонтиран. Всичко е в отлично състояние. PVC-дограма,нови настилилки.Разпределение: коридор, дневна с кухненски бокс, две самостоятелни спални, баня и тоалетна. Изцяло нови са електро и водопроводната инсталация. Вътрешното пространство e функционално организирано.Апартамента е изцяло завършен и готов за живеене. Паркинг.ПРИ НАС МОЖЕ ДА СЕ ВЪЗПОЛЗВАТЕ от безплатна консултация с независим кредитен консултант и да получите най-добрите условия за вашия ипотечен кредит!!! Агенцията работи с комисионна. ЛЪКИ НЕДВИЖИМИ ИМОТИ моб.тел. 0884 688 866. Всички наши оферти ги работим с КОРЕКТНИ КОЛЕГИ!"
59m²,"жк. Илинден, София",False,"119,000",EUR,,6-ти,8,ТЕЦ,,Панел,,,,,,,,,,,"Тристаен 59 м2, преустроен от двустаен в кв.Илинден, среден, непреходен. Отлична локация! Разпределение:
- коридор;
- кухня, обособена на дневна;
- тераса пред кухнята с изнесен кухненски бокс;
- спалня;
- хол, преустроен на голяма спалня;
- баня с тоалетна.
Към апартамента има мазе 4 м2.
Апартаментът е вътрешен, среден, слънчев, топъл, просторен и непреходен. Чистата жилищна площ е 59 м2. Холът, който е преустроен на голяма спалня, е с изложение юг, а спалнята и кухнята, която е преустроена на дневна, са с изложение север. Мивката и готварската печка са изнесени на терасата, която е обособена на кухненски бокс. Дограмата е стара и дървена. Като цяло апартаментът се нуждае от основен ремонт. Сменени са единствено щранговете и радиаторите. Отоплението е ТЕЦ. Сградата е с асансьор, с прилични общи части и е с контрол на достъп. От стаите се разкрива прекрасна  панорама. Намира се сред много зеленина, с просторно околоблоково пространство и с достатъчно място за паркиране. В непосредствена близост е до детски градини, училища, множество търговски обекти, големи търговски хранителни вериги и спирки на градския транспорт: автобус 77, трамвай 8 и 10, както и метростанция Вардар, която е на около 300-400 м от жилището. При сериозен интерес е възможен разумен коментар на цената. 
Изрядни документи, изрядна собственост. 
Прекрасна възможност за Вашия нов дом!
Ние ценим Вашето време и искаме да Ви спестим излишни грижи. Гарантираме прецизност, точност и коректност! Доверете ни се! Оферта 1712 

"
59m²,"жк. Илинден, София",False,"119,000",EUR,,6-ти,8,ТЕЦ,,Панел,,,,,,,,,,,"Двустаен апартамент 59м2 в кв.Илинден, преустроен на тристаен. Отлична локация!
Разпределение:
- коридор;
- кухня, обособена на дневна;
- тераса пред кухнята с изнесен кухненски бокс;
- спалня;
- хол, преустроен на голяма спалня;
- баня с тоалетна.
Към апартамента има мазе 4 м2.
Апартаментът е вътрешен, среден, слънчев, топъл, просторен и непреходен. Чистата жилищна площ е 59 м2. Холът, който е преустроен на голяма спалня, е с изложение юг, а спалнята и кухнята, която е преустроена на дневна, са с изложение север. Мивката и готварската печка са изнесени на терасата, която е обособена на кухненски бокс. Дограмата е стара и дървена. Като цяло апартаментът се нуждае от основен ремонт. Сменени са единствено щранговете и радиаторите. Отоплението е ТЕЦ. Сградата е с асансьор, с прилични общи части и е с контрол на достъп. От стаите се разкрива прекрасна  панорама. Намира се сред много зеленина, с просторно околоблоково пространство и с достатъчно място за паркиране. В непосредствена близост е до детски градини, училища, множество търговски обекти, големи търговски хранителни вериги и спирки на градския транспорт: автобус 77, трамвай 8 и 10, както и метростанция Вардар, която е на около 300-400 м от жилището. При сериозен интерес е възможен разумен коментар на цената.
Изрядни документи, изрядна собственост. 
Ние ценим Вашето време и искаме да Ви спестим излишни грижи. Гарантираме прецизност, точност и коректност! Доверете ни се! Оферта 1712 


 "
65m²,"жк. Илинден, София",False,"119,000",EUR,Обзаведен,5-ти,8,ТЕЦ,,Панел,,,,,,,,,,,"Екипът на YOHOME недвижими имоти има удоволствието да ви представи 2-стаен апартамент в кв. Илинден. Намира се на 3-ти етаж от 8-етажна сграда, общата площ на имота е 68кв.м. и се състои от коридор, дневна, спалня, кухня, тераса, баня с тоалетна, има и мазе. Апартаментът е след частичен ремонт. Сменени са подови настилки, ВИК щрангове и тръби, сменена дограма. Напълно обзаведен, готов за нанасяне. Отоплението е на ТЕЦ и електричество. Входът е с контролиран достъп, асансьор. Намира се в непосредствена близост до училище, спирки на градски транспорт, търговски обекти, заведения и др. Комуникативно място.

За повече информация и организиране на оглед, свържете се с нас и цитирайте кода на обявата №8416

Други предложения може да разгледате и нашия сайт www.yohome.bg"
63m²,"жк. Илинден, София",False,"116,000",EUR,Обзаведен,4-ти,4,ТЕЦ,,Тухла,,,,,,,,,,,"Real Deal представя на Вашето внимание 
    ЕКСКЛУЗИВНА оферта RD-2610

   КЛЮЧ В АГЕНЦИЯТА

  За по-подробна представа, вижте клипа под текста.

 Просторен, слънчев двустаен апартамент в тухлена сграда за продажба в Илинден. Жилището се намира в тиха уличка, на 5 минути от метростанция Вардар, на метри от магазини за хранителни стоки, училище, детска градина. На пешеходно разстояние от парк Света Троица, спирки за градски транспорт и много други комуникации.

 Чистата жилищна площ на апартамента е 63 кв м. Имотът разполага с таван и мазе. Разпределението е следното: просторна дневна с излаз на тераса, спалня, отделна кухня, коридор, баня с тоалетна. Апартаментът се се продава частично обзаведен, в много добро състояние. Изложението е южно.
Общите части в сградата са поддържани. В района има възможност за свободно паркиране.

  Клип- https://www.youtube.com/watch?v=FOH1YZObHbs&feature=youtu.be

 Ние сме 'Real Deal' и предлагаме на нашите клиенти само реални, актуални и ексклузивнии оферти ! 

 За повече актуални обяви посетете нашия 
     сайт: www.realdeal.bg

  За повече информация и огледи:
  Магдалена Йорданова: 0890216849
  
  
"
63m²,"жк. Илинден, София",False,"116,000",EUR,Обзаведен,4-ти,5,,,,,,,,,,,,,,"416612 Двустаен апартамент в масивна тухлена сграда в кв. Илинден. Намира се в близост до метростанция Вардар. Свободно, лесно паркиране в междублоковите пространства. Отоплението е на ТЕЦ.

Жилището се състои от хол, спалня, кухня, баня с тоалетна и балкон. 
Предлага се в много добро състояние, заедно с обзавеждането.

Към апартамента има прилежащи мазе и таван.

Имотът има жилищен статут; Сградата няма асансьор; Продава се с обзавеждане, което подлежи на уточнение; ЕТАП НА СТРОИТЕЛСТВО: разрешение за ползване (Акт 16); ОТОПЛЕНИЕ: ТЕЦ; Има 1 балкон/тераса; Ремонтиран; Непреходен; ВИД СТРОИТЕЛСТВО: тухла; ГОДИНА НА СТРОИТЕЛСТВО: 1970 г.; ИЗЛОЖЕНИЕ: изток, запад; СПАЛНИ: 1; БАНИ: 1; ДОГРАМА: PVC

_________________________________________________________________________________________________

Към потенциалните продавачи! 
Ако продавате подобен имот или обмисляте дали да го направите в близко бъдеще, моля свържете се с мен. Имам клиенти, които търсят в района. Мога да дам ориентировъчна цена по телефон или имейл и по-точна цена при оглед на място.

ОГЛЕДЪТ И КОНСУЛТАЦИЯТА СА БЕЗПЛАТНИ.

МОЖЕТЕ СЪЩО ТАКА, ДА ПОДАДЕТЕ И БЕЗПЛАТНА ЧАСТНА ОБЯВА ЗА ПРОДАЖБА НА ВАШИЯ ИМОТ В MIRELA.BG, БЕЗ БРОКЕР И КОМИСИОНА. За повече информация попитайте за оферта 416612"
69m²,"жк. Илинден, София",False,"95,000",EUR,Обзаведен,2-ри,4,,,,,,,,,,,,,,"424547 Предлагам за продажба функционален 3-стаен апартамент в малка сграда, тухлено строителство от 50-те години, близо до бул. Александър Стамболийски.

Състои се от коридор, вестибюл, дневна стая, отделна кухня, която може да се приспособи като спалня, спалня, баня с тоалетна и тераса. Към имота има прилежащо мазе 8 кв. м.

Предава се в състояние за съвременен ремонт.

Имотът има жилищен статут; Сградата няма асансьор; Продава се без обзавеждане; ЕТАП НА СТРОИТЕЛСТВО: разрешение за ползване (Акт 16); ОТОПЛЕНИЕ: конвекторни радиатори; Има 1 балкон/тераса; Има нужда от ремонт; Непреходен; ВИД СТРОИТЕЛСТВО: гредоред; ЗАСТРОЕНА ПЛОЩ 69 кв.м; ГОДИНА НА СТРОИТЕЛСТВО: 1950 г.; ИЗЛОЖЕНИЕ: изток, запад; СПАЛНИ: 2; БАНИ: 1; ДОГРАМА: PVC

_________________________________________________________________________________________________

Към потенциалните продавачи! 
Ако продавате подобен имот или обмисляте дали да го направите в близко бъдеще, моля свържете се с мен. Имам клиенти, които търсят в района. Мога да дам ориентировъчна цена по телефон или имейл и по-точна цена при оглед на място.

ОГЛЕДЪТ И КОНСУЛТАЦИЯТА СА БЕЗПЛАТНИ.

МОЖЕТЕ СЪЩО ТАКА, ДА ПОДАДЕТЕ И БЕЗПЛАТНА ЧАСТНА ОБЯВА ЗА ПРОДАЖБА НА ВАШИЯ ИМОТ В MIRELA.BG, БЕЗ БРОКЕР И КОМИСИОНА. За повече информация попитайте за оферта 424547"
63m²,"жк. Илинден, София",True,"129,999",EUR,Полуобзаведен,4-ти,4,ТЕЦ,,Тухла,,,,,,,,,,,"К - КОНСУЛТ продава светъл тристаен апартамент в кв. Илинден, на метри от метростанция Вардар.
Районът се характеризира със зеленина, тих и същевременно комуникативен, в близост до множество спирки на градски транспорт, търговски обекти и такива на големи вериги магазини, учебни и здравни заведения, банки и много други.
Сградата е масивно тухлено строителство от 1950г. с добре поддържани общи части, с изцяло ремонтиран покрив.
Чистата жилищна площ на апартамента е посочената площ, без включени общи части, тераси и стени.
Апартаментът е в добро състояние, сменни са щранговете.
Състои се от: Коридор, дневна, кухня, спалня, баня с тоалетна и тераса.
Изложението е юг - север.
Към имота има прилежащи избено помещение с площ 7кв.м. и таванско помещение, над апартамента с площ 4кв.м.

К - КОНСУЛТ предлага висококачествени довършителни работи и дизайн, съобразени с вкуса и предпочитанията на всеки клиент.


"
