Размер,Адрес,Точен адрес,Цена,Валута,Обзавеждане,Етаж,Етажи,Отопление,Състояние,Строителство,Спални,Бани,Двор,Площ на парцела,В регулация,Предназначение,Виза,Разрешение за строеж,Категория,Тип,Oписание
165m²,"кв. Княжево, София",False,"295,000",EUR,Обзаведен,1-ви,5,,,Тухла,,,,,,,,,,,"град София, Карпузица
Предлагаме Ви луксозено обзаведен тристаен апартамент в затворен комплекс в един от най-желаните квартали на София - Горна баня. Комплексът сенамира на тиха и спокойна улица точно зад Дипломатическия клуб и в близост има спирки на градски транспорт, училища, детски градини, НБУ. В двора има беседка с барбекю, детски кът, фонтан с рибки и тревни площи.
Апартаментът се състои от хол с кухненски бокс, тераса с кът за отдих, родителска спалня, детска стая, баня с тоалетна, отделно тоалетна и мокро помещение. Всички мебели са правени по поръчка. Апартаментът се продава заедно два подземни гаража. Площта е 165кв.м с общи части, както и идеални части от земята.
Цена 295 000евро.
№ в агенцията 3944
Тел;0878788401
https://www.facebook.com/groups/3201870026521931/
"
118m²,"кв. Княжево, София",False,"229,000",EUR,Обзаведен,3-ти,5,,,Тухла,,,,,,,,,,,"ГАРАЖ В ЦЕНАТА!!!Имоти Премиер представя на Вашето внимание обзаведен тристаен апартамент в кв.Карпузица.Състои се от просторна дневна с трапезария и кухненски бокс, две спални, баня с вана и джакузи, голяма тераса, килер и мазе Отоплението е локално - камина с водна риза, отделно има климатик, СОТ. Красив изглед към Витоша. Изложение-юг.Сградата е с отлично поддържани общи части.В близост до спирки на градски транспорт и магазини, училище.Към апрартамента има подземен гараж 20кв.м.

КОД НА ОБЯВАТА:343772"
85m²,"кв. Княжево, София",False,"189,500",EUR,Обзаведен,1-ви,4,,,Тухла,,,,,,,,,,,"ИРИДА НЕДВИЖИМИ ИМОТИ Ви предлага за продажба просторен, обзаведен,ремонтиран партерен тристаен апартамент с голям самостоятелен двор .Жилището е разположено на партерен етаж в тухлена кооперация от 2008г.и е със ЗП от 75 кв.м.
Имотът има следното разпределение: голям хол с френски прозорци /Ка стъкло/ от който се излиза на двора, кухненски бокс с трапезария, две спални-голяма и малка, голяма баня и предверие/коридор/. Собствен, ограден, озеленен двор/около 150м2/ и изграден навес 15м2 / Барбекю Зона/ в единият край на двора. Входа е самостоятелен, с ограда, независим от кооперацията.
ПАРКОМЯСТО.Отопление на ток.ИМОТ С ДОБАВЕНА СТОЙНОСТ! ИМОТ С ПОТЕНЦИАЛ!

***

За контакти, повече информация и огледи, водещ брокер: Васил Георгиев 0898 77 17 25

***

СВЪРЖЕТЕ СЕ С НАС! РАБОТИМ И В ПОЧИВНИТЕ ДНИ!

Предлагаме БЕЗПЛАТНО СЪДЕЙСТВИЕ за одобрение и получаване на ипотечен кредит за покупка на жилище при най-добри условия за Вас, чрез услугите на лицензиран кредитен консултант!

ПЕРФЕКТНО изработени и приключени документално имотни сделки! "
100m²,"кв. Княжево, София",False,"150,000",EUR,,2-ри,3,,,Тухла,,,,,,,,,,,"Втори етаж от триетажна къща. Къщата е построена през 70-те години. Санирана и в отлично състояние. Добра локация, близо до последната спирка на трамваите. Към етажа има земя 145кв.м. от общо 500кв.м. равен, подържан и озеленен двор. Към имота има барбекю с гараж - 40кв.м. Покривът на къщата е ремонтиран преди 15 години и е в отлично състояние. ПВЦ дограма. Разпределение на етажа: коридор, хол, отделна кухня, 2 спални, баня с тоалетна, остъклен балкон. Настилки- естествен паркет и теракота. Камина. Отопление на ток. Изгоден имот!"
118m²,"кв. Княжево, София",True,"229,000",EUR,Обзаведен,3-ти,5,Локално отопление,,Тухла,,,,,,,,,,,"ВиВ Хоумс представя на вашето внимание:
 
Тристаен апартамент с гараж, в квартал Карпузица, ОП площ 118 кв. м.,чиста площ 104 кв.м., етаж - 3 от 5!
 
СГРАДА: Тухла, с отлично подържани общи части, година на строителство 2001 г.
 
РАЗПРЕДЕЛЕНИЕ: Входно антре, хол с трапезария и кухненски бокс, две спални, санитарен възел, килер и тераса.
 
ОТОПЛЕНИЕ: Локално отопление и климатици.
 
ИЗЛОЖЕНИЕ: ЮГ
 
ЛОКАЦИЯ: В близост до спирки на градски транспорт и магазини, училище и други.
 
ЗА ИМОТА: Чудесен, изцяло обзаведен апартамент, разположен на 3-ти етаж с просторен хол с трапезария и кухненски бокс, голяма баня с вана с джакузи, голяма тераса, локално отопление - камина с водна риза, отделно има климатик, СОТ и красив изглед към Витоша. Към апрартамента има подземен гараж 20кв.м. с ток и рафтове, който е включен в цената.
 
 
 
ЦЕНА: 249 000 €
 
Ако желаете да получите повече информация за този имот, обадете се и цитирайте този >>> КОД 7734
 
За още предложения от нашата база не се колебайте да се свържете с нас!
'ВиВ Хоумс' Вашият доверен партньор при сключване на сделки с недвижими имоти.
Ние предлагаме:
- Професионално извършване на огледите.
- Проверка на имота за тежести и възбрани.
- Комплектоване на нужните документи за сделка.
- Юридическа помощ при възникнали казуси.
- Независими финансови консултанти, които безплатно Ви предоставят най-добрите условия от всички банкови институции.
"
120m²,"кв. Княжево, София",False,"187,000",EUR,Обзаведен,1-ви,4,,,Тухла,,,,,,,,,,,"Продава се 3-стаен апартамент , кв. Княжево, 120 кв.м, 1-ви ет. от 4, Тухла 2015 г. С големи тераси, камина, гараж и мазе. Разпределение: спалня със северно изложение -14 м2, втора спалня с източно изложение - 14м2, хол с кухненски кът и кът-трапезария с южно изложение-35м2. Баня - 5м2. Към едната спалня има тераса 35м2, към хола има тераса с тента и френски прозорец - 10м2. Френският прозорец е с площ 10м2.В хола има икономична френска камина, която може да отоплява цялото жилище с изградена въздуховодна система. Жилището разполага и с хиперинверторни климатици с високо кпд и ниски разходи. Жилището е изключително нестандартно и добре разчупено, като създава много уют. В сградата има газ. Дограмата е висок клас. Към него има голям гараж - 25м2, който е включен в цената и мазе - 5м2. Намира се на 5мин. от спирка на трамвай 5 и същевременно в много тих и чист район. Посочената цена е за директни клиенти на агенцията. За информация и огледи: тел. 0886067888, Оферта номер 10471
"
120m²,"кв. Княжево, София",True,"185,000",EUR,Обзаведен,1-ви,4,Локално отопление,,Тухла,,,,,,,,,,,"К - КОНСУЛТ продава прекрасен 3-стаен апартамент в кв. Княжево.
Локацията се отличава със зеленина и чист въздух, намира се на метри от спирки на градски транспорт, търговски обекти, детска площадка магазин Билла и други.
Сградата е газифицирана с АКТ16 от 2015 г.
Жилището се състои от: Входно антре, дневна с трапезария и кухненски бокс- 35кв.м., спалня- 14кв.м., втора спалня- 14кв.м., баня с тоалетна- 5кв.м. 
Към едната спалня има тераса- 35кв.м., към хола има тераса с тента и френски прозорец - 10кв.м. 
В хола има икономична френска камина, която може да отоплява цялото жилище с изградена въздуховодна система. Жилището разполага и с хиперинверторни климатици с високо кпд и ниски разходи.  
Към жилището има прилежащи гараж- 25кв.м. и мазе- 5кв.м. 
К - КОНСУЛТ предлага висококачествени довършителни работи и дизайн, съобразени с вкуса и предпочитанията на всеки клиент."
91m²,"кв. Княжево, София",True,"134,000",EUR,Необзаведен,2-ри,5,Локално отопление,,Тухла,,,,,,,,,,," акт 14 ново строителство. Намира се на бул Борис III No 234 в локалното на булеварда близо до сградата на СУ ; Климент Охридски; и близо до НБУ . В близост , Лидъл , училища , трамвай и автобус. Обща квадратура 88.86 две бани и тоалетни на втори етаж в бутикова сграда + 2 кв. склад на партера.
Разположен изток- запад- юг , отопление на газ и ток по избор. Сградата има собствено дворно място и е с ограничен достъп , асансьор. Паркирането е безпроблемно но ако желаете може да си закупите подземно паркомясто от инвеститора . Всички апартаменти в сградата са продадени . Предстоящ акт 16, юли тази година. 
Сградата е със формата на кораб и предлаганият апартамент е в ОСТРАТА ЧАСТ на сградата - оцветяване във розово. 0888720101 "
150m²,"кв. Княжево, София",True,"235,000",EUR,Обзаведен,2-ри,3,Електричество,,Тухла,,,,,,,,,,,"Компания за реализации 'ЕКС' представя на Вашето внимание Вашият бъдещ ДОМ в един от най- уютните квартали за живеене и с изключителна локация, а именно кв. Княжево. Сгушен сред зеленина, на тиха и спокойна локация, красиви гледки и прекрасен двор, където можете да прекарвате летните следобеди с приятели и семейство. Вашият нов ДОМ, разполага с чиста застроена площ от 150 кв.м, разгърнати в следното разпределение: входно антре, просторна дневна, отделна кухня, две спални, две тераси и баня с тоалетна, към които за разкош ще добавим ГАРАЖ с квадратура 20кв.м. Ориентиран на ЮГоизток, природната светлина и топлина обитава естествено жилището, дори и през зимата, придавайки незаменим уют. А отоплението може да изберете сами- електричество или локално отопление на пелети. Имотът е прекрасен избор, както за хора, които искат да се откъснат от градския шум и да се събуждат от шума на птичките, на минути от центъра на Столицата, така и за тези, който търсят подходящ вариант за инвестиция, тъй като имотът е на изключително комуникативно място, в близост до спирки на обществен транспорт, паркове, магазини от всякакъв вид и всичко, от което някога ще имате нужда! Не се колебайте, свържете се с нас! Заповядайте да Ви го покажем. Използвайки нашите услуги Вие ще превърнете закупуването на новия си дом в едно приятно изживяване, ще получите персонален консултант, съдействие при кандидатстване за кредит от всички банки в България, интериорни дизайнери и екип, който да се погрижи за нужните документи по Вашата сделка. На Ваше разположение сме всеки ден, от понеделник до неделя от 09:00 до 20:00ч.Заповядайте на консултация в наш офис, където ще ви спестим време и ще ви запознаем с всички актуални имоти в България, отговарящи на Вашето търсене. Нужен Ви е само кодът към имота: 34045"
72m²,"кв. Княжево, София",False,"87,900",EUR,Необзаведен,1-ви,4,Без отопление,,Тухла,,,,,,,,,,,"Продавам 2-стаен апартамент в . Карпузица ЗП- 65.40кв.м. 
Имотът Представлява: Входно антре,Дневен тракт с кухненска част и трапезария - 26.3 кв.м., Спалня - 16.7 кв.м. с излаз на тераса. Апартаментът разполага с Баня с тоалетна - 3.4 кв.м. и коридор- 5,9 кв.м. Имотът е изключително светъл! Намира сев новострояща се тухлена сграда с АКТ 14 и ПРЕДСТОЯЩ АКТ 15 ! Бутикова сграда, на тихо място.Близостта му до НБУ, го прави чудесно жилище, както за живеене, така и за инвестиция със сигурен доход.Паркомясто на -1 етаж -цена 16000Евро

Състояние: Имотът се издава съгласно БДС Луксозна блиндирана входна врата. Под : нивелирана замазка подготвена за полагане на гранитогрес, паркет или настилка по Ваш избор. Стени :гипсова мазилка подготвена за боя или тапет по ваш избор. Мокри Помещения : ръчно обработена циментова мазилка подготвена за полагане на фаянс и теракота. ВиК инсталацияна тапа . ЕЛ инсталация : контакти, ключ и фасонки. 5-камерна ПВЦ дограма на ' Weiss profil' . Строи се с червена тухла.
Отлична Локация: Имотът се намира в един от най-предпочитаните за живеене инвестиция райони на град София кв.Карпузица. Близостта му до Витоша и , прави локацията предпочетана. Намира се на пешеходно разстояние от автобусни линии: 102, 11, 60, 73, N 3, няколко супермаркета, МЕТРОСТАНЦИЯ и НБУ. Лесен и бърз достъп до главни пътни артерии, административни учреждения, банки, училища, детски градини,площадки иаптеки.
"
