Размер,Адрес,Точен адрес,Цена,Валута,Обзавеждане,Етаж,Етажи,Отопление,Състояние,Строителство,Спални,Бани,Двор,Площ на парцела,В регулация,Предназначение,Виза,Разрешение за строеж,Категория,Тип,Oписание
50m²,"жк. Красна Поляна, София",False,"80,000",EUR,Обзаведен,6-ти,,Локално отопление,,ЕПК,,,,,,,,,,,"Имоти Комфорт, Ви предлага прекрасно обзаведен апартамент в Красна поляна. Имота е саниран и има спалня, хол с кухня и баня с тоалетна. Района е изключително комуникативен.Изложение юг/изток.
"
80m²,"жк. Красна Поляна, София",False,"128,000",EUR,Обзаведен,8-ми,8,ТЕЦ,,Панел,,,,,,,,,,,"Имоти Сердика има удоволствието да Ви представи за продажба двустаен апартамент в ж.к. Красна поляна 2. Имотът е обзаведен с вътрешна и външна изолация. Хол с усвоен балкон, мазе. Сменени Вик и ел. инсталация, алуминиева дограма, радиатори+лира. Намира се в близост до автобусна спирка. За оглед на това и други атрактивни предложения, не се колебайте да ни потърсите на посочения телефон за връзка. В случай, че не ви отговорим на момента, ще ви върнем обаждане при първа възможност. Предлагаме безплатно съдействие за отпускане на ипотечни и потребителски кредити. Преференциални условия! Още актуални оферти за наеми и продажби може да намерите в нашия сайт: www.serdika1.bg. ID:6161
"
82m²,"жк. Красна Поляна, София",False,"142,900",EUR,Обзаведен,2-ри,17,ТЕЦ,,ЕПК,,,,,,,,,,,"Имоти Сердика 1 има удоволствието да Ви представи класически непреходен тристаен апартамент в ж.к. Красна поляна 2. Разпределението на имота е: входно антре, кухня, хол, тераса, две спални, мокро помещение, тоалетна и баня с тоалетна. Настилката е мозайка и естествен паркет. Квадратурата с прилежащото мазе е общо 82кв.м. Жилището е ситуирано в най-хубавата част на квартала. Непосредствено до пазар Красна поляна, на метри от автобусна и трамвайна спирка, на 10 минути от метростанция Вардар, на 50 метра от детска градина, на 100 метра от училище и местната църква. Имотът е с подменена ВИК инсталация. Отопление на ТЕЦ. Апартаментът се продава с наличното обзавеждане, като има възможност да се премахне изцяло или частично. Към блока има собствен паркинг, градинка и противоземетръсна система. За оглед на това и други атрактивни предложения, не се колебайте да ни потърсите на посочения телефон за връзка. В случай, че не ви отговорим на момента, ще ви върнем обаждане при първа възможност. Предлагаме безплатно съдействие за отпускане на ипотечни и потребителски кредити. Преференциални условия! Още актуални оферти за наеми и продажби може да намерите в нашия сайт: www.serdika1.bg. ID:12862
"
66m²,"жк. Красна Поляна, София",False,"119,000",EUR,,11-ти,14,ТЕЦ,,ЕПК,,,,,,,,,,,"Номер на оферта 2699
Нов имот на пазара с възможност за преустройство в тристаен!

Просторен 2-стаен апартамент в кв. Красна поляна, на тиха зелена уличка, с панорама към Стара планина.
Находящ се в ж.к. Красна поляна II част, ул. Спас Вацов, с площ 66 кв.м.

Разпределение: коридор, самостоятелна кухня 8.10 кв.м. с усвоена тераса, спалня 14.84 кв.м., дневна 17.23 кв.м., тераса с достъп от дневна и спалня 3.5 кв.м.,
баня с WC 4 кв.м., перално 1.5 кв.м.
сервизно помещение на 9 етаж - 4.43 кв.м. + 1.146% идеални части от общите части на сградата и толкова идеални част от правото на строеж.

Обадете се сега и запишете час за оглед."
130m²,"жк. Красна Поляна, София",False,"200,000",EUR,Обзаведен,4-ти,6,ТЕЦ,,Тухла,,,,,,,,,,,"Имоти премиер представя на Вашето внимание тристаен апартамент в Красна поляна 3.

Жилището се намира в тухлена сграда с издаден АКТ 16. Разположено е на четвърти етаж със застроена площ от 135 кв.м. 

Имотът има следното разпределение: антре, дневна с кухненски бокс и трапезария, спалня, детска стая, баня с тоалетна, отделна тоалетна, две тераси, две мазета. Отопление е предвидено на ТЕЦ, като в дневната има монтиран климатик. Апартаментът е напълно обзаведено с мебели и електроуреди - готов за нанасяне!

Общите части на сградата са добре поддържани. С контролиран достъп и видеонаблюдение. 

Възможност за закупуване на надземен гараж на цена от 35 000 евро.

Отлична локация - в близост до спирки на градски транспорт, детски градини, училища, магазини.

КОД НА ОБЯВАТА:336889."
96m²,"жк. Красна Поляна, София",False,"135,000",EUR,Необзаведен,3-ти,7,ТЕЦ,,ЕПК,,,,,,,,,,,"Имоти Премиер предлага на Вашето внимание тристаен апартамент в Красна поляна 1.

Апартаментът е с южно изложение, разпределението е както следва: кухня с дневна, спалня, детска стая, баня с тоалетна и още една самостоятелна тоалетна, мокро помещение,външна и вътрешна изолация,дограма кйомерлинг 5 камерна окачени тавани,подготвен само за боя и настилки.

Голямо мазе 20кв.м. Входа е с видеонаблюдение.! В близост до центъра на града, пазари, магазини, градски транспорт! Код на обявата: 327753"
63m²,"жк. Красна Поляна, София",False,"106,000",EUR,,12-ти,18,ТЕЦ,,ЕПК,,,,,,,,,,,"ИРИДА НЕДВИЖИМИ ИМОТИ Ви предлага за продажба просторен,частично ремонтиран преходен двустаен апартамент в сграда тип строителство ЕПК в кв. Красна поляна 2.

Имота се състои от просторен хол с преход към спалня, голяма кухня, баня с тоалетна, отделно тоалетна, голям двоен балкон пред стаите.Изложение ЮГ/ ЗАПАД. Апартамента е със сменени ВиК, ПВЦ Дограма и финна шпакловка на стени и тавани. Лесно може да се преустрои на тристаен апартамент.Поддържан вход и общи части,контролиран достъп с видео наблюдение. 

Локацията е добра, в непосредственна близост до спирка на Градски транспорт Училище и Трамвайното Депо в Красна Поляна. 
Чиста документация на Имота.

ПОДХОДЯЩ ЗА ЖИВЕЕНЕ И/ ИЛИ ЗА ОТДАВАНЕ ПОД НАЕМ!

***

За контакти, повече информация и огледи, водещ брокер: Илиана Тошева 0876 72 00 20

***

СВЪРЖЕТЕ СЕ С НАС! РАБОТИМ И В ПОЧИВНИТЕ ДНИ!

Предлагаме БЕЗПЛАТНО СЪДЕЙСТВИЕ за одобрение и получаване на ипотечен кредит за покупка на жилище при най-добри условия за Вас, чрез услугите на лицензиран кредитен консултант!

ПЕРФЕКТНО изработени и приключени документално имотни сделки! "
95m²,"жк. Красна Поляна, София",False,"184,900",EUR,Обзаведен,6-ти,16,,,ЕПК,,,,,,,,,,,"ЛУКСОЗЕН, НАПЪЛНО ОБЗАВЕДЕН АПАРТАМЕНТ СЛЕД ОСНОВЕН РЕМОНТ!!! СЛЪНЧЕВ , УЮТЕН, ПРОСТОРЕН!!! Предлага за продажба, напълно обзаведен тристаен апартамент в Красна поляна 2 до спирка на градски транспорт, метро и близост до Центъра.Състои се от: кухня с трапезария и голяма всекидневна с тераса, 2 спални, баня с тоалетна и перално помещение с втора тоалетна. Жилището е след пълен основен ремонт, с напълно ново обзавеждане и оборудване. Дизайнерски полилеи ръчна изработка, поръчкови мебели. Външна изолация, 5-камерна дограма със стъкла 4 сезона. Има ТЕЦ и топла вода, свалени са радиаторите. Апартамента е много топъл зимата и прохладен лятото. Входната врата е блиндирана с ограничен достъп. Контролиран достъп с чип, видеонаблюдение в общите части на сградата. Съдействие при покупка на жилище с ипотечен кредит при най-добри условия. Работим с всички банки в България.За ваше улеснение има прикачен видеоклип! За улеснение цитирайте следния код: www.realnewhomeltd.cominstagram.com/realnewhomewww.facebook.com/realnewhomehttps://www.tiktok.com/@realnewhome"
95m²,"жк. Красна Поляна, София",False,"118,750",EUR,,7-ми,9,,,Тухла,,,,,,,,,,,"ИРИДА НЕДВИЖИМИ ИМОТИ ПРОДАВА БЕЗ КОМИСИОН ОТ КУПУВАЧ ТРИСТАЕН АПАРТАМЕНТ!

Апартамент А12 е тристаен и се намира на седми етаж от общо девет. Част е от новострояща се сграда разположена на комуникативно място с лесен достъп до централните пътни артерии на град София. Апартамента разполага със застроена площ от 100 кв. м. и има разпределение състоящо се от дневна с кухненски бокс, две спални, две бани с тоалетна, коридор, склад, антре и тераса. Жилището е с югозападно изложение. В сградата се предлагат паркоместа срещу допълнително заплащане. Сградата се намира в югозападната част на София, предвидени са множество  зелени кътове предаващи усещането за живот сред природата. 
Местоположението на сградата е в близост до супермаркети, търговски центрове и места за отдих и почивка.

В сградата се предлагат и други двустайни и тристайни апартаменти.

***

За контакти, повече информация и огледи, водещ брокер: Павлина Мутафчийска 0877007064

***

СВЪРЖЕТЕ СЕ С НАС! РАБОТИМ И В ПОЧИВНИТЕ ДНИ!

Агенцията ни поддържа БОГАТА И АКТУАЛНА БАЗА ДАННИ на имоти в нови, луксозни сгради в югозападната част на Столицата.

Предлагаме БЕЗПЛАТНО СЪДЕЙСТВИЕ за одобрение и получаване на ипотечен кредит за покупка на жилище при най-добри условия за Вас, чрез услугите на лицензиран кредитен консултант!

ПЕРФЕКТНО изработени и приключени документално имотни сделки!

Разполагаме с изпълнител за ДОВЪРШИТЕЛНИТЕ РАБОТИ и ремонт на закупеното от Вас жилище. "
62m²,"жк. Красна Поляна, София",False,"106,000",EUR,,12-ти,18,ТЕЦ,,ЕПК,,,,,,,,,,,"ИРИДА НЕДВИЖИМИ ИМОТИ Ви предлага за продажба просторен,частично ремонтиран преходен двустаен апартамент в сграда тип строителство ЕПК в кв. Красна поляна 2.

Имота се състои от просторен хол с преход към спалня,голяма кухня, баня с тоалетна,отделно тоалетна, голям двоен балкон пред стаите.Изложение ЮГ/ ЗАПАД. Апартамента е със сменени ВиК, ПВЦ Дограма и финна шпакловка на стени и тавани. Лесно може да се преустрои на тристаен апартамент.Поддържан вход и общи части,контролиран достъп с видео наблюдение. 

Локацията е добра, в непосредственна близост до спирка на Градски транспорт Училище и Трамвайното Депо в Красна Поляна. 

Чиста документация на Имота.
ПОДХОДЯЩ ЗА ЖИВЕЕНЕ И/ ИЛИ ЗА ОТДАВАНЕ ПОД НАЕМ!

***

За контакти, повече информация и огледи, водещ брокер: Илиана Тошева 0876 72 00 20

***

СВЪРЖЕТЕ СЕ С НАС! РАБОТИМ И В ПОЧИВНИТЕ ДНИ!

Предлагаме БЕЗПЛАТНО СЪДЕЙСТВИЕ за одобрение и получаване на ипотечен кредит за покупка на жилище при най-добри условия за Вас, чрез услугите на лицензиран кредитен консултант!

ПЕРФЕКТНО изработени и приключени документално имотни сделки! "
