Размер,Адрес,Точен адрес,Цена,Валута,Обзавеждане,Етаж,Етажи,Отопление,Състояние,Строителство,Спални,Бани,Двор,Площ на парцела,В регулация,Предназначение,Виза,Разрешение за строеж,Категория,Тип,Oписание
300m²,"кв. Кръстова Вада, София",False,"485,130",EUR,Необзаведен,1-ви,5,ТЕЦ,,Тухла,,,,,,,,,,,"ОТЛИЧНА ЛОКАЦИЯ! МОЛ ПАРАДАЙС! ЮЖЕН ПАРК! МЕТРОСТАНЦИЯ!

АДАМАНТ Недвижими имоти представя ПРОСТОРЕН, СВЕТЪЛ и ФУНКЦИОНАЛЕН 4 - СТАЕН МЕЗОНЕТ в ЛУКСОЗНА ЖИЛИЩНА СГРАДА в кв. КРЪСТОВА ВАДА на тиха улица на метри от:
 бул. Черни връх, Мол Парадайс и Метростанция Витоша;
 Автобусни и трамвайни спирки; 
Паркове; Супермаркети; Банки; Аптеки и Множество търговски обекти и Молове.
От апартамента се открива прекрасна гледна към Витоша. 

ЛОКАЦИЯ: ул. Иван Андонов 2.

СТАТУТ - Апартамент

КВАДРАТУРА: Чиста Жилищна площ - 211,96 кв.м.

РАЗПРЕДЕЛЕНИЕ:
Първи етаж- кухня с трапезаря (18,86 кв.м.) дневна (17.95кв.м.), 
първа спалня (10.93кв.м.), баня (3.96кв.м.), тоалетна (1.93кв.м.), дрешник (5.44кв.м), фоайе (5.49кв.м.), коридор (5.49кв.м.), мокро помещение (6.81кв.м.), стълбище (7.26кв.м.), избено помещение (8.57кв.м.)
Втори етаж- втора спалня (18.00кв.м.), трета спалня (12.90кв.м.), дрешник(9.13кв.м.), баня с тоалетна(3.49кв.м.), тоалетна (2.92к.м.), коридор (5.12кв.м.), стълбище (6.82кв.м.), лоджия (3.97кв.м.).
Включен гараж (23.57кв.м.) и Голям ЮЖЕН собствен двор!

ИЗЛОЖЕНИЕ: ЮГ/ ЗАПАД.

ЕТАП НА СТРОЙТЕЛСТВО: Предвижда се начало на стройтелството 28.02.2022г.

СЪСТОЯНИЕ: Издава се на шпакловка и замазка.

-
Възможност за закупуване на ВТОРИ ГАРАЖ на цена от 30 000 Евро.
-
За повече информация, записване за оглед ви очакваме на тел.: 

0894 94 20 22 - Елизабет Миланова.
"
101m²,"кв. Кръстова Вада, София",False,"180,000",EUR,Необзаведен,2-ри,5,Без отопление,,Тухла,,,,,,,,,,,"ТОП ЛОКАЦИЯ! ФУНКЦИОНАЛЕН! СВЕТЪЛ!
АДАМАНТ Недвижими имоти представя
ПРОСТОРНИ 2-СТАЙНИ иж3 - СТАЙНИ апартамент от 59кв.м. до 108кв.м., в нова сграда от 2020г. находяща се на бул. Черни Връх,на метри от:
Автобусни спирки и спира на Метрото.
Паркове; Супермаркети; Банки; Аптеки и Множество търговски обекти и Молове.
с бърз и лесен достъп до центъра на града.
-
Етап на строителство: АКТ 15. АКТ16 се очаква да бъде издаден до края на 2022г.
-
В тази оферта представяме Апартаменти 5 и 7 със следните параметри:
СТАТУТ - Апартамент
КВАДРАТУРА: Чиста Жилищна площ - 101кв.м., общи площи - 86кв.м.;
РАЗПРЕДЕЛЕНИЕ: Просторна дневна с трапезария и кухненски бокс (25.53м2),
първа спалня (12.05м2),
втора спалня (11.00 м2),
баня (3.00м2), тоалетна (2.63м2),
склад/мокро помещение (3.53м2),
антре (5.18м2)
коридор (6.47м2),
тераса(2.04м2) с излаз от трапезарията и от едната спалня.
-
ОТОПЛЕНИЕ: Газ. Австрийски индивидуални газови котлета VITODENS 100-W-
-
СЪСТОЯНИЕ: Хидро и топло изолирана. Дограмите са EXALCO-109 супертермо, троен стъклопакет. Фасадата е окачена, въздушна. Двойно отводняване.
Общите части са покрити с гранит, стените с естествена ламперия, лакобел и стъклени парапети.Предава се на шпакловка и замазка. По желание на клиента апартаментите могат да бъдат завършени до ключ.
-
Възможност за закупуване на подземно или надземно парко място.
-
За повече информация за останалите апартаменти и записване за оглед ви очакваме на тел.:
0894 94 20 22 - Елизабет Миланова.
"
93m²,"кв. Кръстова Вада, София",False,"161,998",EUR,Необзаведен,4-ти,6,,,Тухла,,,,,,,,,,,"ТОП ЛОКАЦИЯ! ФУНКЦИОНАЛЕН! ИДЕАЛЕН ЗА ИНВЕСТИЦИЯ! ЮЖНО ИЗЛОЖЕНИЕ!
АДАМАНТ Недвижими имоти представя
ПРОСТОРЕНИ 2 -СТАЙНИ И 3 - СТАЙНИ апартаменти, в нова сграда в строеж находяща се на метри от:
 Автобусни спирки и Метростанция Витоша.
Мол Парадайс, Южен Парк, магазин БИЛЛА, редица Училища и детски градини;
бул. Черни връх
-
В строеж са две сгради на 6 етажа.
-
Етап на строителство: АКТ 14 се очаква да бъде издаден през декември 2022г.
-
В тази оферта представяме Апартамент 17 в сграда А на етаж 4 със следните параметри:
СТАТУТ - Апартамент
КВАДРАТУРА: Жилищна площ с общи части- 92.57 кв.м. кв.м.; 
РАЗПРЕДЕЛЕНИЕ: Дневна с трапезария и кухненски бокс, 
две спални,
баня с тоалетна , тоалетна за гости
склад/мокро помещение, 
антре, 
коридор,
две тераси с излаз от трапезарията и спалните.
Имаме и други налични двустайни и тристайни апартаменти. За повече информация моля да се свържете с нас.
-
Изложение: ЮГ
-
СЪСТОЯНИЕ: Предава се на шпакловка и замазка.
-
Възможност за закупуване на паркомясто или гараж.
-
За повече информация за останалите апартаменти и записване за оглед ви очакваме на тел.: 
0894 94 20 22 - Елизабет Миланова.
"
127m²,"кв. Кръстова Вада, София",False,"287,800",EUR,Необзаведен,4-ти,11,,,Тухла,,,,,,,,,,,"OТЛИЧНА ЛОКАЦИЯ! МОЛ ПАРАДАЙС! ЮЖЕН ПАРК МЕТРОСТАНЦИЯ!АДАМАНТ Недвижими имоти представя ПРОСТОРЕН, ЮЖЕН и ФУНКЦИОНАЛЕН 3 - СТАЕН апартамент в ЛУКСОЗНА СГРАДА в кв. КРЪСТОВА ВАДА на бул. Черни връх на метри от:Мол Парадайс и Метростанция Витоша;Автобусни и трамвайни спирки; Паркове; Супермаркети; Банки; Аптеки и Множество търговски обекти и Молове.От апартамента се открива прекрасна гледна към Витоша. СТАТУТ - АпартаментКВАДРАТУРА: Чиста Жилищна площ - 114 кв.м.; РАЗПРЕДЕЛЕНИЕ:Кухня с трапезаря, първа спалня, втора спалня, баня с тоалетна, тоалетна , антре , склад, голяма тераса с излаз от всички стаи.ИЗЛОЖЕНИЕ: ЮГЕТАП НА СТРОЙТЕЛСТВО: Предвижда се АКТ 16 юни 2022г.СЪСТОЯНИЕ: Издава се до ключ.-Възможност за закупуване на паркомясто на цена от 30 000 Евро.-За повече информация, записване за оглед ви очакваме на тел.: 0894 94 20 22 - Елизабет Миланова."
66m²,"кв. Кръстова Вада, София",False,"120,450",EUR,Необзаведен,4-ти,6,,,Тухла,,,,,,,,,,,"ТОП ЛОКАЦИЯ! ФУНКЦИОНАЛЕН! ИДЕАЛЕН ЗА ИНВЕСТИЦИЯ!
АДАМАНТ Недвижими имоти представя
ПРОСТОРНИ 2 -СТАЙНИ И 3 - СТАЙНИ апартаменти, в нова сграда в строеж находяща се на метри от:
 Автобусни спирки и Метростанция Витоша.
Мол Парадайс, Южен Парк, магазин БИЛЛА, редица Училища и детски градини;
бул. Черни връх
-
В строеж са две сгради на 6 етажа.
-
Етап на строителство: АКТ 14 се очаква да бъде издаден през септември 2022г.
-
В тази оферта представяме Апартамент 23 в сграда А на етаж 4 със следните параметри:
СТАТУТ - Апартамент
КВАДРАТУРА: Жилищна площ с общи части- 65.59 кв.м. кв.м.; 
РАЗПРЕДЕЛЕНИЕ: Дневна с трапезария и кухненски бокс, 
спалня,
баня с тоалетна , 
склад/мокро помещение, 
антре, 
коридор,
тераса с излаз от трапезарията.
Имаме и други налични двустайни и тристайни апартаменти. За повече информация моля да се свържете с нас.
-
СЪСТОЯНИЕ: Предава се на шпакловка и замазка.
-
Възможност за закупуване на паркомясто и гараж.
-
За повече информация за останалите апартаменти и записване за оглед ви очакваме на тел.: 
0894 94 20 22 - Елизабет Миланова.
"
70m²,"кв. Кръстова Вада, София",False,"126,162",EUR,Необзаведен,2-ри,5,Електричество,,Тухла,,,,,,,,,,,"ТОП ЛОКАЦИЯ! АКТ 16!
АДАМАНТ Недвижими имоти представя
ПРОСТОРНИ 2-СТАЙНИ и 3 - СТАЙНИ апартаменти от 59кв.м. до 108кв.м., в нова сграда от 2020г. находяща се на бул. Черни Връх,на метри от:
Автобусни спирки и спира на Метрото.
Паркове; Супермаркети; Банки; Аптеки и Множество търговски обекти и Молове. 
 с бърз и лесен достъп до центъра на града.
-
Етап на строителство: АКТ 16!
-
В тази оферта представяме Апартамент със следните параметри:
СТАТУТ - Апартамент
КВАДРАТУРА: Чиста Жилищна площ - 59,07кв.м., с общи площи - 70,09кв.м.; 
РАЗПРЕДЕЛЕНИЕ: Дневна с трапезария и кухненски бокс, спалня, баня с тоалетна, склад/мокро помещение, две тераси.
Изложение-ЮГ!
-
ОТОПЛЕНИЕ: Газ. Австрийски индивидуални газови котлета VITODENS 100-W-
-
СЪСТОЯНИЕ: Хидро и топло изолирана. Дограмите са EXALCO-109 супертермо, троен стъклопакет. Фасадата е окачена, въздушна. Двойно отводняване.
Общите части са покрити с гранит, стените с естествена ламперия, лакобел и стъклени парапети.Предава се на шпакловка и замазка. По желание на клиента апартаментите могат да бъдат завършени до ключ.
-
Възможност за закупуване на подземно или надземно паркомясто.
-
За повече информация за останалите апартаменти и записване за оглед ви очакваме на тел.: 
0894 94 20 22 - Елизабет Миланова.
"
55m²,"кв. Кръстова Вада, София",False,"82,650",EUR,Необзаведен,4-ти,7,,,Тухла,,,,,,,,,,,"ОТЛИЧНА ЛОКАЦИЯ! МОЛ ПАРАДАЙС! ЮЖЕН ПАРК! МЕТРОСТАНЦИЯ!

АДАМАНТ Недвижими имоти представя ПРОСТОРЕН, СВЕТЪЛ и ФУНКЦИОНАЛЕН 2 - СТАЕН апартамент в ЛУКСОЗНА ЖИЛИЩНА СГРАДА в кв. КРЪСТОВА ВАДА на тиха улица на метри от:
бул. Черни връх, Мол Парадайс и Метростанция Витоша;
Автобусни и трамвайни спирки;
Паркове; Супермаркети; Банки; Аптеки и Множество търговски обекти и Молове.

ЛОКАЦИЯ: ул. Иван Андонов 2.

СТАТУТ - Апартамент

КВАДРАТУРА: Чиста Жилищна площ - 48.65 кв.м.;

РАЗПРЕДЕЛЕНИЕ:
Кухня с дневна (23 кв.м.) с тераса към тях (4.09кв.м.),
спалня (10.14кв.м.), баня с тоалетна(4.49кв.м.), антре (3.37кв.м.).

ИЗЛОЖЕНИЕ: ЮГ/ ЗАПАД.

ЕТАП НА СТРОЙТЕЛСТВО: Предвижда се начало на стройтелството 28.02.2022г.

СЪСТОЯНИЕ: Издава се на шпакловка и замазка.

-
Възможност за закупуване на ГАРАЖ на цена от 30 000 Евро.
-
За повече информация, записване за оглед ви очакваме на тел.:

0894 94 20 22 - Елизабет Миланова.
"
138m²,"кв. Кръстова Вада, София",False,"251,000",EUR,Необзаведен,Партер,6,,,Тухла,,,,,,,,,,,"ТОП ЛОКАЦИЯ! С ДВОР! ИДЕАЛЕН ЗА ИНВЕСТИЦИЯ! ЮЖНО ИЗЛОЖЕНИЕ!

АДАМАНТ Недвижими имоти представя ПРОСТОРНИ 2 -СТАЙНИ И 3 - СТАЙНИ апартаменти, в нова сграда в строеж находяща се на метри от:

Автобусни спирки и Метростанция Витоша.
Мол Парадайс, Южен Парк, магазин БИЛЛА, редица Училища и детски градини;
бул. Черни връх
-
В строеж са две сгради на 6 етажа.
-
Етап на строителство: АКТ 14 се очаква да бъде издаден през ДЕКЕМВРИ 2022г.
-
В тази оферта представяме Апартамент 2 в сграда 1 на партерен етаж със следните параметри:
СТАТУТ - Апартамент
КВАДРАТУРА: Жилищна площ с общи части- 99.46кв.м. + 38 кв.м. ДВОР;
РАЗПРЕДЕЛЕНИЕ: Дневна с трапезария и кухненски бокс, три спални,две бани с тоалетна ,, склад/мокро помещение, коридор, тераса с излаз от трапезарията, двор около целият апартамент.
Изложение: ЮГ
-
Имаме и други налични двустайни и тристайни апартаменти. За повече информация моля да се свържете с нас.
-
СЪСТОЯНИЕ: Предава се на шпакловка и замазка.
-
Възможност за закупуване на паркомясто или гараж.
-
За повече информация за останалите апартаменти и записване за оглед ви очакваме на тел.:
0894 94 20 22 - Елизабет Миланова.
"
109m²,"кв. Кръстова Вада, София",False,"163,935",EUR,Необзаведен,3-ти,6,,,Тухла,,,,,,,,,,,"ОТЛИЧНА ЛОКАЦИЯ - ДО МОЛ ПАРАДАЙС! ЮЖЕН! 

АДАМАНТ Недвижими имоти представя ПРОСТОРЕН, СВЕТЪЛ и ФУНКЦИОНАЛЕН 3 - СТАЕН апартамент в ЛУКСОЗНА ЖИЛИЩНА СГРАДА в кв. КРЪСТОВА ВАДА на тиха улица на метри от:
бул. Черни връх, Мол Парадайс и Метростанция Витоша;
Автобусни и трамвайни спирки;
Паркове; Супермаркети; Банки; Аптеки и Множество търговски обекти и Молове.
От апартамента се открива прекрасна гледна към Витоша.

ЛОКАЦИЯ: ул. Иван Андонов 2.

СТАТУТ - Апартамент

КВАДРАТУРА: Чиста Жилищна площ - 109,29 кв.м.;

РАЗПРЕДЕЛЕНИЕ:
Кухня с трапезаря (30,67 кв.м.) с тераса към тях (4.09кв.м.),
първа спалня (12.87кв.м.) с тераса (2кв.м.), втора спалня (11.50кв.м.), баня с тоалетна(4.91кв.м.), тоалетна (2.53к.м.), антре (7.75кв.м.), склад(1.05кв.м.).

ИЗЛОЖЕНИЕ: ЮГ/ ИЗТОК.

ЕТАП НА СТРОЙТЕЛСТВО: Предвижда се начало на стройтелството 28.02.2022г.

СЪСТОЯНИЕ: Издава се на шпакловка и замазка.

-
Възможност за закупуване на ГАРАЖ на цена от 30 000 Евро.
-
За повече информация, записване за оглед ви очакваме на тел.:

0894 94 20 22 - Елизабет Миланова.
"
127m²,"кв. Кръстова Вада, София",False,"230,000",EUR,Необзаведен,3-ти,6,,,Тухла,,,,,,,,,,,"ТОП ЛОКАЦИЯ! ЛУКСОЗЕН! СВЕТЪЛ! С ПАРКО МЯСТО! 

С АКТ 16!

АДАМАНТ Недвижими имоти представя
ПРОСТОРЕН, МОДЕРЕН, ЮЖЕН И ГОТОВ ДО КЛЮЧ3 - СТАЕН апартамент в нов комплекс на метри от бул. Черни връх, Мол Парадайс и Метростанция. От апартамента се открива прекрасна гледна към Витоша. Комплекса се намира на минути от:

Автобусни и трамвайни спирки и метро станция;
Паркове; Супермаркети; Банки; Аптеки и Множество търговски обекти и Молове.
-
ЛОКАЦИЯ: Луксозен комплекс от затворен тип в 'Белия квартал'.
-
КВАДРАТУРА: Квадратура - 127кв.м. обща площ; 109кв.м. застроена площ.
-
РАЗПРЕДЕЛЕНИЕ: антре, просторна дневна с трапезария и кухненски бокс, две спални, две големи бани с тоалетна, мокро помещение, тераса.
-
ОТОПЛЕНИЕ: ГАЗ с инсталирано подово отопление.
-
ИЗЛОЖЕНИЕ: ЮГ
-
ПОДЗЕМНО ПАРКОМЯСТО с топла връзка може да се закупи отделно- 20 000евро!

ВСИЧКИ ЦЕНИ СА БЕЗ ДДС!
-
Отговорен брокер 0894 94 20 22 - Елизабет Миланова
"
