Размер,Адрес,Точен адрес,Цена,Валута,Обзавеждане,Етаж,Етажи,Отопление,Състояние,Строителство,Спални,Бани,Двор,Площ на парцела,В регулация,Предназначение,Виза,Разрешение за строеж,Категория,Тип,Oписание
122m²,"жк. Лагера, София",False,"247,000",EUR,Обзаведен,4-ти,6,Локално отопление,,Тухла,,,,,,,,,,,"Имоти Комфорт, Ви предлага разкошен имот в ж.к. Лагера. Апартамента е луксозно обзаведен и е със следното разпределение: хол с кухня, две големи спални, две тераси, просторна баня с тоалетна и мокро помещение. Не преходен и на страхотно място. В близост две метростанции, и на минути от центъра на града. ТОП ОФЕРТА!!!"
95m²,"жк. Лагера, София",False,"200,000",EUR,Обзаведен,7-ми,8,Електричество,,Тухла,,,,,,,,,,,"Имоти премиер представя на Вашето внимание двустаен апартамент в жк. Лагера. Жилището е след основен ремонт, напълно обзаведен с мебели по поръчка и уреди висок клас. Разпределение: хол с трапезария и кухненски бокс, тераса, спалня, баня с тоалетна, мокро помещение и коридор. Има възможност да се преустрои на тристаен. Изложение: югоизток / северозапад. Входът е поддържан, с ограничен достъп. Отоплението е на ток. Към имота има и мазе с площ 2,7 м2.

КОД НА ОБЯВАТА:336818"
90m²,"жк. Лагера, София",False,"150,000",EUR,Обзаведен,2-ри,8,,,Панел,,,,,,,,,,,"ДРИЙМ ВИЖЪН НЕДВИЖИМИ ИМОТИ Продава тристаен апартамент в кв. Лагера на комуникативно място в близост до супермаркет, спирки на градски транспорт, магазини на 7 минути пешеходно разстояние от метростанция Красно село. Жилището се състои от: входно антре, дневна, отделна кухня с трапезария, две спални, баня с тоалетна, тераса. Отопление на ток. Свободно паркиране около блока. Оферта в агенцията 8930. Всички наши обяви ги работим с колеги. Още наши оферти може да намерите на www.dreamvision.bg Телефон за връзка: 0885 98 11 00 - Александър Гогов
"
116m²,"жк. Лагера, София",False,"130,848",EUR,Необзаведен,7-ми,9,Електричество,,Тухла,,,,,,,,,,,"ДРИЙМ ВИЖЪН НЕДВИЖИМИ ИМОТИ Продава четиристаен апартамент в кв. Красна Поляна 2 в непосредствена близост до бъдещия комплекс Галакси , който ще бъде построен на мястото на бившия електрокарен завод. Жилището се намира в новострояща се сграда, която ще бъде завършена в края на 2023г. с качествени материали и модерни технологии. В сградата ще има и детска градина. Удобна връзка с главни пътни артерии и метро. Жилището се състои от входно антре, дневна с кухненски бокс и трапезария, три спални, две бани с тоалетна и склад. Жилището разполага с един балкон. Чистата застроена площ е 116кв.м., с общите части 104кв.м. На чертежа са е посочена СВЕТЛА ПЛОЩ! Изложението е югозапад. Възможност за закупване на подземен гараж или паркомясто.
Схеми на плащане:
Вариант I (5% отстъпка от основната цена)
40% от цената при подписване на предварителен договор
15% от цената-на кота 0
10% от цената - при достигане на плоча
25 % от цената - Акт 14
10% от цената Акт 16 
Вариант II - (основна цена)
30% от цената при подписване на предварителен договор
15% от цената - на кота 0
10% от цената - при достигане на плоча
35% от цената Акт 14
10% от цената - на Акт 16
Вариант III (5% оскъпяване над основната цена)
20% от цената при подписване на предварителен договор
15% от цената-на кота 0
10% от цената - при достигане на плоча
45% от цената - Акт 14
 10% от цената Акт 16 
Резервационен Депозит
Двустаен - 3000 (три хиляди) Евро
Tристаен - 4000 (четири хиляди) Евро
Многостаен - 5000 (пет хиляди) Евро
Лофт /последен етаж/ - 8000 (осем хиляди) Евро
Търговска площ - 4 % от цената
 Външно паркомясто - 1000 (хиляда) Евро
 Гараж - 1500 ( хиляда и петстотин ) Евро
* Подписва се Споразумение за депозит. Депозитът се приспада при подписване на Предварителен договор.

Жилището се предава на шпакловка и замазка, блиндирана входна врата. В сградата предлагаме и други апартаменти. Качествено строителство от ДОКАЗАН СТРОИТЕЛ. Оферта в агенцията 8530. Всички наши обяви ги работим и с колеги. Още наши оферти може да намерите на www. dreamvision. bg Телефон за връзка: 0885 98 11 00 - Александър Гогов
"
223m²,"жк. Лагера, София",False,"175,839",EUR,Необзаведен,9-ти,9,Електричество,,Тухла,,,,,,,,,,,"ДРИЙМ ВИЖЪН НЕДВИЖИМИ ИМОТИ Продава панорамен, четиристаен апартамент в кв. Красна Поляна 2 в непосредствена близост до бъдещия комплекс Галакси , който ще бъде построен на мястото на бившия електрокарен завод. Жилището се намира в новострояща се сграда, която ще бъде завършена в края на 2023г. с качествени материали и модерни технологии. В сградата ще има и детска градина. Удобна връзка с главни пътни артерии и метро. Жилището се състои от входно антре, дневна с кухненски бокс и трапезария, три спални, две бани с тоалетна и склад. Панорамна тераса 90,85кв.м. ИЗВЪН ЖИЛИЩНАТА ПЛОЩ! Чистата застроена площ е 118кв.м., с общите части 132кв.м. На чертежа е посочена СВЕТЛА ПЛОЩ! Изложението е юг. Възможност за закупване на подземен гараж или паркомясто.

Схеми на плащане:
Вариант I (5% отстъпка от основната цена)
40% от цената при подписване на предварителен договор
15% от цената-на кота 0
10% от цената - при достигане на плоча
25 % от цената - Акт 14
10% от цената Акт 16 

Вариант II - (основна цена)
30% от цената при подписване на предварителен договор
15% от цената - на кота 0
10% от цената - при достигане на плоча
35% от цената Акт 14
10% от цената - на Акт 16

Вариант III (5% оскъпяване над основната цена)
20% от цената при подписване на предварителен договор
15% от цената-на кота 0
10% от цената - при достигане на плоча
45% от цената - Акт 14
10% от цената Акт 16 

Резервационен Депозит
Двустаен - 3000 (три хиляди) Евро
Tристаен - 4000 (четири хиляди) Евро
Многостаен - 5000 (пет хиляди) Евро
Лофт /последен етаж/ - 8000 (осем хиляди) Евро
Търговска площ - 4 % от цената
Външно паркомясто - 1000 (хиляда) Евро
Гараж - 1500 ( хиляда и петстотин ) Евро

* Подписва се Споразумение за депозит. Депозитът се приспада при подписване на Предварителен договор.

Жилището се предава на шпакловка и замазка, блиндирана входна врата. В сградата предлагаме и други апартаменти. Качествено строителство от ДОКАЗАН СТРОИТЕЛ. Оферта в агенцията 8540. Всички наши обяви ги работим и с колеги. Още наши оферти може да намерите на www. dreamvision. bg Телефон за връзка: 0885 98 11 00 - Александър Гогов
"
105m²,"жк. Лагера, София",False,"148,130",EUR,Необзаведен,9-ти,9,Електричество,,Тухла,,,,,,,,,,,"ДРИЙМ ВИЖЪН НЕДВИЖИМИ ИМОТИ Продава панорамен, тристаен апартамент в кв. Красна Поляна 2 в непосредствена близост до бъдещия комплекс Галакси , който ще бъде построен на мястото на бившия електрокарен завод. Жилището се намира в новострояща се сграда, която ще бъде завършена в края на 2023г. с качествени материали и модерни технологии. В сградата ще има и детска градина. Удобна връзка с главни пътни артерии и метро. Жилището се състои от входно антре, дневна с кухненски бокс и трапезария, две спални, две бани с тоалетна и склад. Панорамна тераса 77,6кв.м. ИЗВЪН ЖИЛИЩНАТА ПЛОЩ! Чистата застроена площ е 105кв.м., с общите части 94кв.м. На чертежа е посочена СВЕТЛА ПЛОЩ! Изложението е югоизток. Възможност за закупване на подземен гараж или паркомясто.

Схеми на плащане:
Вариант I (5% отстъпка от основната цена)
40% от цената при подписване на предварителен договор
15% от цената-на кота 0
10% от цената - при достигане на плоча
25 % от цената - Акт 14
10% от цената Акт 16 

Вариант II - (основна цена)
30% от цената при подписване на предварителен договор
15% от цената - на кота 0
10% от цената - при достигане на плоча
35% от цената Акт 14
10% от цената - на Акт 16

Вариант III (5% оскъпяване над основната цена)
20% от цената при подписване на предварителен договор
15% от цената-на кота 0
10% от цената - при достигане на плоча
45% от цената - Акт 14
10% от цената Акт 16 

Резервационен Депозит
Двустаен - 3000 (три хиляди) Евро
Tристаен - 4000 (четири хиляди) Евро
Многостаен - 5000 (пет хиляди) Евро
Лофт /последен етаж/ - 8000 (осем хиляди) Евро
Търговска площ - 4 % от цената
Външно паркомясто - 1000 (хиляда) Евро
Гараж - 1500 ( хиляда и петстотин ) Евро

* Подписва се Споразумение за депозит. Депозитът се приспада при подписване на Предварителен договор.

Жилището се предава на шпакловка и замазка, блиндирана входна врата. В сградата предлагаме и други апартаменти. Качествено строителство от ДОКАЗАН СТРОИТЕЛ. Оферта в агенцията 8539. Всички наши обяви ги работим и с колеги. Още наши оферти може да намерите на www. dreamvision. bg Телефон за връзка: 0885 98 11 00 - Александър Гогов
"
72m²,"жк. Лагера, София",False,"81,441",EUR,Необзаведен,1-ви,9,Електричество,,,,,,,,,,,,,"ДРИЙМ ВИЖЪН НЕДВИЖИМИ ИМОТИ Продава двустаен апартамент в ж.к. Лагера в непосредствена близост до бъдещия комплекс Галакси , който ще бъде построен на мястото на бившия електрокарен завод. Жилището се намира в новострояща се сграда, която ще бъде завършена в края на 2023г. с качествени материали и модерни технологии. В сградата ще има и детска градина. Удобна връзка с главни пътни артерии и метро. Жилището се състои от входно антре, дневна с кухненски бокс и трапезария, спалня, баня с тоалетна и склад. Жилището разполага с два балкона. Чистата застроена площ е 65кв.м., с общите части 72кв.м. На чертежа са е посочена СВЕТЛА ПЛОЩ! Изложението е североизток. Възможност за закупване на подземен гараж или паркомясто.

Схеми на плащане:

Вариант I (5% отстъпка от основната цена)
40% от цената  при подписване на предварителен договор
15% от цената-на кота 0
10% от цената - при достигане на плоча
25 % от цената - Акт 14
10% от цената  Акт 16 

Вариант II - (основна цена)
30% от цената  при подписване на предварителен договор
15% от цената - на кота 0
10% от цената - при достигане на плоча
35% от цената  Акт 14
10% от цената - на Акт 16

Вариант III (5% оскъпяване над основната цена)
20% от цената  при подписване на предварителен договор
15% от цената-на кота 0
10% от цената - при достигане на плоча
45% от цената - Акт 14
 10% от цената  Акт 16 

Резервационен Депозит
Двустаен - 3000  (три хиляди) Евро
Tристаен - 4000  (четири хиляди) Евро
Многостаен - 5000  (пет хиляди) Евро
Лофт /последен етаж/ - 8000 (осем хиляди) Евро
Търговска площ - 4 % от цената
Външно паркомясто - 1000  (хиляда) Евро
Гараж - 1500  ( хиляда и петстотин ) Евро

* Подписва се Споразумение за депозит. Депозитът се приспада при подписване на Предварителен договор.

Жилището се предава на шпакловка и замазка, блиндирана входна врата. В сградата предлагаме и други апартаменти. Качествено строителство от ДОКАЗАН СТРОИТЕЛ. Оферта в агенцията 8537. Всички наши обяви ги работим и с колеги. Още наши оферти може да намерите на www. dreamvision. bg Телефон за връзка: 0885 98 11 00 - Александър Гогов
"
102m²,"жк. Лагера, София",False,"121,624",EUR,Необзаведен,7-ми,9,Електричество,,Тухла,,,,,,,,,,,"ДРИЙМ ВИЖЪН НЕДВИЖИМИ ИМОТИ Продава тристаен апартамент в кв. Красна Поляна 2 в непосредствена близост до бъдещия комплекс Галакси , който ще бъде построен на мястото на бившия електрокарен завод. Жилището се намира в новострояща се сграда, която ще бъде завършена в края на 2023г. с качествени материали и модерни технологии. В сградата ще има и детска градина. Удобна връзка с главни пътни артерии и метро. Жилището се състои от входно антре, дневна с кухненски бокс и трапезария, две спални, две бани с тоалетна и склад. Жилището разполага с един балкон. Чистата застроена площ е 91кв.м., с общите части 102кв.м. На чертежа са е посочена СВЕТЛА ПЛОЩ! Изложението е югоизток. Възможност за закупване на подземен гараж или паркомясто.
Схеми на плащане:
Вариант I (5% отстъпка от основната цена)
40% от цената  при подписване на предварителен договор
15% от цената-на кота 0
10% от цената - при достигане на плоча
25 % от цената - Акт 14
10% от цената  Акт 16 
Вариант II - (основна цена)
30% от цената  при подписване на предварителен договор
15% от цената - на кота 0
10% от цената - при достигане на плоча
35% от цената  Акт 14
10% от цената - на Акт 16
Вариант III (5% оскъпяване над основната цена)
20% от цената  при подписване на предварителен договор
15% от цената-на кота 0
10% от цената - при достигане на плоча
45% от цената - Акт 14
 10% от цената  Акт 16 
Резервационен Депозит
Двустаен - 3000  (три хиляди) Евро
Tристаен - 4000  (четири хиляди) Евро
Многостаен - 5000  (пет хиляди) Евро
Лофт /последен етаж/ - 8000 (осем хиляди) Евро
Търговска площ - 4 % от цената
 Външно паркомясто - 1000  (хиляда) Евро
 Гараж - 1500  ( хиляда и петстотин ) Евро
* Подписва се Споразумение за депозит. Депозитът се приспада при подписване на Предварителен договор.

Жилището се предава на шпакловка и замазка, блиндирана входна врата. В сградата предлагаме и други апартаменти. Качествено строителство от ДОКАЗАН СТРОИТЕЛ. Оферта в агенцията 8529. Всички наши обяви ги работим и с колеги. Още наши оферти може да намерите на www. dreamvision. bg Телефон за връзка: 0885 98 11 00 - Александър Гогов
"
90m²,"жк. Лагера, София",False,"98,543",EUR,Необзаведен,1-ви,9,Електричество,,Тухла,,,,,,,,,,,"ДРИЙМ ВИЖЪН НЕДВИЖИМИ ИМОТИ Продава тристаен апартамент в кв. Красна Поляна 2 в непосредствена близост до бъдещия комплекс Галакси , който ще бъде построен на мястото на бившия електрокарен завод. Жилището се намира в новострояща се сграда, която ще бъде завършена в края на 2023г. с качествени материали и модерни технологии. В сградата ще има и детска градина. Удобна връзка с главни пътни артерии и метро. Жилището се състои от входно антре, дневна с кухненски бокс и трапезария, две спални, бана с тоалетна, тоалетна и склад. Жилището разполага с един балкон. Чистата застроена площ е 91кв.м., с общите части 102кв.м. На чертежа са е посочена СВЕТЛА ПЛОЩ! Изложението е югоизток. Възможност за закупване на подземен гараж или паркомясто.

Схеми на плащане:
Вариант I (5% отстъпка от основната цена)
40% от цената при подписване на предварителен договор
15% от цената-на кота 0
10% от цената - при достигане на плоча
25 % от цената - Акт 14
10% от цената Акт 16 

Вариант II - (основна цена)
30% от цената при подписване на предварителен договор
15% от цената - на кота 0
10% от цената - при достигане на плоча
35% от цената Акт 14
10% от цената - на Акт 16

Вариант III (5% оскъпяване над основната цена)
20% от цената при подписване на предварителен договор
15% от цената-на кота 0
10% от цената - при достигане на плоча
45% от цената - Акт 14
10% от цената Акт 16 

Резервационен Депозит
Двустаен - 3000 (три хиляди) Евро
Tристаен - 4000 (четири хиляди) Евро
Многостаен - 5000 (пет хиляди) Евро
Лофт /последен етаж/ - 8000 (осем хиляди) Евро
Търговска площ - 4 % от цената
Външно паркомясто - 1000 (хиляда) Евро
Гараж - 1500 ( хиляда и петстотин ) Евро

* Подписва се Споразумение за депозит. Депозитът се приспада при подписване на Предварителен договор.

Жилището се предава на шпакловка и замазка, блиндирана входна врата. В сградата предлагаме и други апартаменти. Качествено строителство от ДОКАЗАН СТРОИТЕЛ. Оферта в агенцията 8538. Всички наши обяви ги работим и с колеги. Още наши оферти може да намерите на www. dreamvision. bg Телефон за връзка: 0885 98 11 00 - Александър Гогов
"
81m²,"жк. Лагера, София",False,"97,287",EUR,Необзаведен,8-ми,9,Електричество,,Тухла,,,,,,,,,,,"ДРИЙМ ВИЖЪН НЕДВИЖИМИ ИМОТИ Продава двустаен апартамент в кв. Красна Поляна 2 в непосредствена близост до бъдещия комплекс „Галакси“, който ще бъде построен на мястото на бившия електрокарен завод. Жилището се намира в новострояща се сграда, която ще бъде завършена в края на 2023г. с качествени материали и модерни технологии. В сградата ще има и детска градина. Удобна връзка с главни пътни артерии и метро. Жилището се състои от входно антре, дневна с кухненски бокс и трапезария, спалня, баня с тоалетна и склад. Жилището разполага с два балкона. Чистата застроена площ е 72кв.м., с общите части 81кв.м. На чертежа са е посочена СВЕТЛА ПЛОЩ! Изложението е югоизток. Възможност за закупване на подземен гараж или паркомясто.
Схеми на плащане:
Вариант I (5% отстъпка от основната цена)
40% от цената – при подписване на предварителен договор
15% от цената-на кота 0
10% от цената - при достигане на плоча
25 % от цената - Акт 14
10% от цената – Акт 16 
Вариант II - (основна цена)
30% от цената – при подписване на предварителен договор
15% от цената - на кота 0
10% от цената - при достигане на плоча
35% от цената – Акт 14
10% от цената - на Акт 16
Вариант III (5% оскъпяване над основната цена)
20% от цената – при подписване на предварителен договор
15% от цената-на кота 0
10% от цената - при достигане на плоча
45% от цената - Акт 14
 10% от цената – Акт 16 
Резервационен Депозит
Двустаен - 3000 € (три хиляди) Евро
 Tристаен - 4000 € (четири хиляди) Евро
 Многостаен - 5000 € (пет хиляди) Евро
 Лофт /последен етаж/ - 8000 (осем хиляди) Евро
 Търговска площ - 4 % от цената
 Външно паркомясто - 1000 € (хиляда) Евро
 Гараж - 1500 € ( хиляда и петстотин ) Евро
* Подписва се Споразумение за депозит. Депозитът се приспада при подписване на Предварителен договор.
Жилището се предава на шпакловка и замазка, блиндирана входна врата. В сградата предлагаме и други апартаменти. Качествено строителство от ДОКАЗАН СТРОИТЕЛ. Оферта в агенцията 8528. Всички наши обяви ги работим и с колеги. Още наши оферти може да намерите на www. dreamvision. bg Телефон за връзка: 0885 98 11 00 - Александър Гогов
"
