Размер,Адрес,Точен адрес,Цена,Валута,Обзавеждане,Етаж,Етажи,Отопление,Състояние,Строителство,Спални,Бани,Двор,Площ на парцела,В регулация,Предназначение,Виза,Разрешение за строеж,Категория,Тип,Oписание
95m²,"жк. Левски В, София",False,"133,500",EUR,Обзаведен,4-ти,6,ТЕЦ,,Панел,,,,,,,,,,,"Номер в агенцията 46763. Агенция Абела предлага тристаен апартамент в ж.к. Левски В. Намира се в близост до 92-ра детска градина, училища, магазин Била, бъдеща метростанция. Състои се от кухня, хол, две спални, килер, тоалетна, баня с тоалетна, три балкона. Отоплението е ТЕЦ. ПВЦ дограма, сменени щрангове. Възможност за преустройство в 4ст. Оглед с уговорка.
"
30m²,"жк. Левски В, София",False,"22,000",EUR,,1-ви,6,,,Тухла,,,,,,,,,,,"  Real Deal представя на Вашето внимание 
    ЕКСКЛУЗИВНА оферта №RD-2315:

  Два гаража- един партерен и един подземен.Всеки от гаражите е с размери 30м2.В непосредствена близост до бул.Владимир Вазов.

  За повече актуални обяви посетете нашия сайт: www.realdeal. bg

  За повече информация и огледи: 
   Милко Милев тел:0893019479
"
67m²,"жк. Левски В, София",False,"90,000",EUR,Необзаведен,4-ти,6,Електричество,,Тухла,,,,,,,,,,,"'Real Deal' представя на Вашето внимание :

   Ексклузивна оферта RD-2454  

  За по-подробна представа, вижте клипа под текста.

 Акт 16 до края на годината ! С влязъл в сила акт 14. Възможност закупуване на надземен гараж. 

 Двустаен апартамент ново строителство , на метри от новоизграждащата се метростанция в ж.к.""Левски"" В. Нова сграда в напреднала фаза на строителство. Сградата е с акт 14 от няколко месеца и вече с поставена дограма, измазано е, поставени входни врати, в момента се прави и фасадата.

 Вторична продажба , от първия собственик на имота. Един собственик , чисти документи. 

  От същия собственик се продава и надземен гараж 26,82 кв.м. на цена от 22000 евро. Голям гараж с отделно складово помещение.

  Клип към имота - https://youtu.be/9vbEhjJjYnE

 Ние сме 'Real Deal' и предлагаме на нашите клиенти само реални, актуални и ексклузивнии оферти ! 

 Имаме директни договори със 7 от най-големите банки в страната и ще Ви помогнем за финансиране при най-изгодни условия !  

 За повече актуални обяви посетете нашия сайт: www.realdeal.bg

    За въпроси и огледи:
  Милко Милев: 0893019479
"
126m²,"жк. Левски В, София",True,"208,000",EUR,Обзаведен,2-ри,4,Електричество,,Тухла,,,,,,,,,,,"PLACE2LIVE предлага на Вашето внимание тристаен апартамент в кв. Левски В. Апартаментът се намира на ул. Летоструй между два големи булеварда - Ботевградско шосе и Владимир Вазов, което осигурява достъп до центъра с кола за няколко минути, а до северна скоростна тангента още по-бързо. Районът е тих и спокоен, спирката на автобус №120 е на 20 метра, както и магазин за хранителни стоки. В близост има аптеки, детски градини, училища и хипермаркети. На 400 метра има спирки на трамвай, тролейбус и автобуси, както и предстояща метростанция. Достъпът до кооперацията и прилежащия към нея двор е с чипове. Тихият и слънчев вътрешен двор може да бъде прекрасно място за игра на децата Ви или вашата почивка. Общите части се поддържат в отлично състояние-всички комуникации са прибрани в кутии, фотоклетки за осветление и почистване два пъти седмично, мазетата са сухи, боядисани, с настилки и е инсталирана помпа, която да реагира при евентуален теч. Кооперацията има две големи общи тераси, като едната е покрита и има маси със столове. В сградата и по фасадата няма никакви течове или забележки.
Апартаментът е с обща площ от 126 кв.м, разпределени в коридор, всекидневна с кухненски бокс и тераса, две спални, баня с тоалетна и тоалетна за гости. Към имота има мазе 17 кв. м, както и идеални части от земята на парцела. Възможно е преустройство в четиристаен. Висококачествено обзавеждане, черна и бяла техника висок клас, в гаранция.

За повече информация и огледи, този номер ще Ви е необходим: 564!
PLACE2LIVE предлага професионално съдействие при :
- Съдействие за одобрение на жилищен и потребителски кредит
- Всички видове застраховки
- Юридически и счетоводни услуги
- Строително - Ремонтни дейности до ключ
- Обзавеждане
"
72m²,"жк. Левски В, София",True,"114,000",EUR,Обзаведен,1-ви,8,ТЕЦ,,Панел,,,,,,,,,,,"Предлагаме за продажба 3/стаен/ апартамент с двойно изложение до метростанция на бул.Владимир Вазов, детска градина, близо до 18-то ДКЦ и магазин Билла.
РАЗПРЕДЕЛЕНИЕ: Входно антре с вграден гардероб. Голям хол/всекидневна/ с изграден кухненски бокс, въпреки наличието на ТЕЦ в имота и сградата има изградена финкционираща камина, която допринася допълнително за чара и уюта на жилището. Голяма спалня със спален комплект. Малка спалня/бившата кухня/ с излаз на балкон лоджия.Баня с тоалета. Към имота има и мазе - измазано и с рафтове. Отоплението е на ТЕЦ. Топлата вода е  на бойлер. Имотът е в отлично състояние. Настилките са са естествен паркет и теракота. Дограмата нявсякъде е ПВЦ с вътрешни и външни ролетни щори. Жилище е обезопасено. Всички стени са на гипсова шпакловка и латекс. В околоблоково пространство - пред и зад блока има места за свободно паркиране. Имотът може да се ползва без нужда от ремонт. Предлага се обзаведен, с изключение на някой дребни вещи. ВиК щранговете са сменени. Изцяло саниран - вътрешна и външна топлоизолация. С ниски разходи за отопление."
73m²,"жк. Левски В, София",False,"89,900",EUR,Необзаведен,3-ти,10,ТЕЦ,,ЕПК,,,,,,,,,,,"- Светъл и топъл двустаен , непреходен , вътрешен апартамент в ЕПК строителство от началото на деветдесетте години. За ремонт. Ул. св. Тома Иконописец. В близост до ул. Летоструй , бул. Владимир Вазов , различни учебни заведения , малки и големи търговски обекти , множество комуникации и удобства.- Разположен на трети жилищен от десет етажа , имотът е изложен на юг и изток. Състои се от широко входно антре , просторна дневна с трапезария и кухненски бокс , баня с тоалетна , мокро помещение , голяма и светла спалня , както обширна тераса. Отопление на ТЕЦ. PVC дограма. Общи части в отлично състояние. Контролиран достъп.- Повече информация , уговорки относно огледи , както професионално съдействие за кредитиране от лицензирания ни финансов консултант , на тел : 0889 550 950"
126m²,"жк. Левски В, София",False,"208,000",EUR,Обзаведен,2-ри,5,Прокарва се,,Тухла,,,,,,,,,,,"Тристаен апартамент с РЗП 109 кв.м., с голяма дневна и тераса с гледка към Витоша. Отделно две самостоятелни спални, голяма баня, отделно тоалетна. Качествени настилки.    Отлични общи части. Усещане за дом и прекрасни съседи, които с любов поддържат сградата. Голяма тераса, която се ползва от всички живеещи за техните семейни празници. Мазе 14, 56 кв.м., разположено в сутерена. Идеални части от общите части на сградата и от дворното място.
 Обади се сега и цитирай този код 569265"
51m²,"жк. Левски В, София",False,"66,794",EUR,,4-ти,6,,,Тухла,,,,,,,,,,,"Явлена има удоволствието да ви представи за продажба едностаен апартамент в новострояща се сграда в кв. Левски В. Сградата е ситуирана близо до бул. Владимир Вазов и бъдеща метростанция. Имота е със ЗП 51,30кв.м. и с ОЧ 45,02кв.м. има следното разпределение - коридор 3,7м2, склад 1.3м2, санитарен възел 3,78м2, мокро 0.5м2 всекидневна 20,23м2 и балкон 8,48м2, за ваше улеснение прилагаме и схема на имота. Сградата ще бъде завършена края на 2024г. Цените са до следващ етап в стройтелството. В сградата предлагаме и други 2стайни и 3стайни апартаменти, паркоместа и гаражи. Агенцията съдейства за ипотечни кредити към всички банки. За повече информация и оглед Борис Колев ID - 127117"
119m²,"жк. Левски В, София",False,"192,000",EUR,Обзаведен,7-ми,7,,,Панел,,,,,,,,,,,"Имоти Комфорт ВИ предлага изцяло обзведен четиристаен непреходен апаратмент в ж.к. Левски В. Жилището се намира на етаж 7 от общо 8, изложението е изток-запад и се състои от 
3 спални, хол, кухня, баня с тоалетна, още една тоалетна, мокро помещение и килер.Апартаментът  е вътрешен.
"
126m²,"жк. Левски В, София",False,"208,000",EUR,Обзаведен,2-ри,4,Електричество,,Тухла,,,,,,,,,,,"Имоти Премиер представя на Вашето внимание тристаен обзаведен апартамент в кв. Левски В.

Жилището се намира на втори етаж и се състои от просторна дневна с кухненски бокс, две спални, баня с тоалетна, отделна тоалетна, тераса, мазе - 17 кв.м. Изложение юг - запад, отоплението - ток.

Кооперацията разполога с големи общи тераси, както и с двор - перфектно място за игра и почивка.

Чудесна локация в близост до спирки на градски транспорт (вкл. предстояща метростанция), магазини, детски градини, училища и др.

КОД НА ОБЯВАТА: 341669."
