Размер,Адрес,Точен адрес,Цена,Валута,Обзавеждане,Етаж,Етажи,Отопление,Състояние,Строителство,Спални,Бани,Двор,Площ на парцела,В регулация,Предназначение,Виза,Разрешение за строеж,Категория,Тип,Oписание
48m²,"жк. Левски Г, София",False,"92,000",EUR,Обзаведен,9-ти,9,ТЕЦ,,Панел,,,,,,,,,,,"ЛИНК КЪМ ВИРТУАЛНА ПАНОРАМНА РАЗХОДКА:
https://webobook.com/tour/CbbmW-5EL8sjtgbLqDBoFeDD2tz8nGiN/oIgSNdV5rLkvVAHCSkUYJqBFFs90nVQf

Оферта №: 1051
Агенция „Trust Broker Solutions” предлага на Вашето внимание ремонтиран и обзаведен двустаен апартамент преустроен от гарсониера в ж.к. ""Левски Г"". До бъдещо метро.

РАЗПРЕДЕЛЕНИЕ:
Апартамента се състои от коридор с изнесена кухня, стая, хол с трапезария, баня с тоалетна, тераса. Разполага с мазе.

ЛОКАЦИЯ:
Намира се в ж.к. ""Левски Г"" до бъдеща метростанция (строежа на която започва през 03.2022г и ще продължи около 2 години); Спирки на градски транспорт; Детска градина и училище.

СЪСТОЯНИЕ:
Апартаментът е ремонтиран и обзаведен. Вътрешен апартамент. Оборудван напълно за живеене в добро състояние. Апартаментът е с метална блиндирана врата и вътрешна дървена, с нови уреди. Покрива е ремонтиран с 10 години гаранция. Входа е със сменена дограма. Поддържани общи части.

ДОПЪЛНИТЕЛНА ИНФОРМАЦИЯ:
- Разрешение за ползване (Акт 16) от 1992 г.
- Вид строителство: Панел.
- Етаж: 9 от 9
- Площ: 47.7м2
- Изложение: Юг.
- Отопление: ТЕЦ.

Агенция „Trust Broker Solutions” предлага напълно безплатно кредитни консултации. Работим с всички банки в страната, на преференциални условия. Кредитният ни отдел е регистриран в БНБ като независим банков консултант по ипотечно кредитиране.
За още оферти посетете сайта ни: tbsestates.bg или се обадете на 0988830688."
48m²,"жк. Левски Г, София",False,"85,000",EUR,Обзаведен,9-ти,9,ТЕЦ,,Панел,,,,,,,,,,,"Real Deal представя на Вашето внимание : 

   ЕКСКЛУЗИВНА оферта №RD-3456 

 Просторен светъл двустаен апартамент в ж.к. ""Левски Г"" . На тихо и спокойно място , с много комуникативна локация.Жилището е в близост до бъдеща метро станция- на десетина минути автомобилно разстояние от центъра на града.В непосредствена близост до детска градина,училище,множество хранителни магазини и други.

 Имотът се продава НАПЪЛНО ОБЗАВЕДЕН!


 ПОДОБРЕНИЯ : ПВЦ дограма в целия апартамент. -ИЗЦЯЛО ПОДМЕНЕНА ЕЛ ИНСТАЛАЦИЯ.
-СМЕНЕНИ ВЕРТИКАЛНИ И ХОРИЗОНТАЛНИ ЩРАНГОВЕ.
-МЕБЕЛИ ПО ПОРЪЧКА
-КОНТРОЛ НА ДОСТЪП.
-ДЕНОНОЩНО ВИДЕО НАБЛЮДЕНИЕ.
-ИЗЦЯЛО РЕМОНТИРАН ПОКРИВ ПРЕДИ 2 ГОДИНИ

Топъл и с много светлина.Добре поддържани общи части.

 Имотът е поддържан и много добре обзаведен, директно има възможност да се нанесете и да започнете да живеете.

 Разпределение : входно антре с удобно пригоден кухненски бокс,просторен коридор, баня с тоалетна,спалня с тераса и отделен хол.


48м2 чиста жилищна площ по нотариален АКТ, БЕЗ БАЛКОНА и общи части, отделно има и мазе-2м2, което не е включено в квадратурата.Чисти документи. 

Работим с всички коректни колеги на цена от 90000 евро

 Всички наши оферти са АКТУАЛНИ и ЕКСКЛУЗИВНИ!

  За повече актуални обяви посетете нашия сайт: www.realdeal. bg

  За повече информация и огледи:
   Милко Милев тел:0893019479
"
90m²,"жк. Левски Г, София",True,"179,000",EUR,Обзаведен,7-ми,8,ТЕЦ,,Панел,,,,,,,,,,,"Предлага 3 стаен луксозно ремонтиран и напълно обзаведен в кв Левски Г ,състоящ се от :входно антре,хол,кухня ,2 спални,баня с тоалетна,тоалетна,2 тераси,външна изолация,Ал дограми тихо и спокойно място в близост до транспорт."
98m²,"жк. Левски Г, София",True,"200,000",EUR,Обзаведен,2-ри,5,Електричество,,Тухла,,,,,,,,,,,"К - КОНСУЛТ продава напълно обзаведен тристаен апартамент с паркомясто в кв. Левски Г. 
Локацията е спокойна и същевременно комуникативна, на  метри от множество спирки на градски транспорт, търговски обекти, детска градина, училище, куриерски офиси, аптеки и други.
Сградата е улегнало строителство от 2010г., с отлично поддържани общи части и контрол на достъп, разполага с собствен двор и паркинг.
Апартаментът е напълно обзаведен и оборудван с всичко необходимо за едно пълноценно домакинство.
Състои се от: Входно антре, дневна с кухненски бокс, две спалня, баня с тоалетна, мокро помещение (с възможност за втора тоалетна) и две остъклени тераси.
Изложение - изток.
Има възможност за закупуване на самостоятелен гараж.
Имотът е изключително атрактивен, както за закупуване за собствено ползване, така и с цел инвестиция, за всички които търсят своя нов дом.
"
90m²,"жк. Левски Г, София",True,"219,000",EUR,Обзаведен,6-ти,9,Електричество,,Тухла,,,,,,,,,,,"К - КОНСУЛТ продава дизайнерски апартамент в новопостроена сграда с АКТ16 в кв. Левски Г.
Сградата е изградена с качествени и устойчиви на времето материали, с луксозни фасада и общи части.
Ситуирана е в комуникативен район, на метри от бъдещата метростанция Левски, множество спирки на градски транспорт, детска градина, училище, фитнес Pulse, Decathlon, басейн, разнообразни търговски обекти и други, с бърз достъп до главни пътни артерии.
Апартаментът е светъл и топъл с изложение юг - изток.
Има следното функционално разпределение: Входно антре, дневна с кухненски бокс, две спални, две бани с тоалетна и тераса с декинг и мека мебел и прекрасна гледка към Витоша планина.
Апартаментът е изцяло обзаведен и оборудван с висок клас електроуреди и мебели по поръчка.
Отоплението е решено посредством smart инверторен климатик, smart немски стъклокерамични конвектори  и инфрачервено подово в хола, коридора и банята, също и камина с истински огън на биоетанол в една от спалните.
Имотът е изключително атрактивен, както за закупуване за собствено ползване, така и с цел инвестиция, за всички които търсят своя прекрасен и луксозен дом.
"
45m²,"жк. Левски Г, София",False,"79,000",EUR,Обзаведен,3-ти,8,ТЕЦ,,Панел,,,,,,,,,,,"Класическа непреходна гарсониера, състояща се от голямо входно антре с вграден гардероб, хол, кухня, балкон и баня с WC.
 Обади се сега и цитирай този код 565834"
60m²,"жк. Левски Г, София",True,"119,000",EUR,Необзаведен,4-ти,8,Електричество,,Тухла,,,,,,,,,,,"НОВА ЛУКС СГРАДА С АКТ 16  от 2022 год.!НАПЪЛНО ЗАВЪРШЕН!
Отличен имот за живеене или инвестиция!
В близост до бул.'Владимир Вазов', бъдеща метростанция, спирки на градски транспорт, детски градини, училища и магазини.Изложение - изток, ет.4/8.Жилището се състои от входно антре, хол с кухненски бокс, самостоятелна спалня, баня с тоалетна - фаянс, гранитогрес, балкон-достъп до него от хол и спалня.Настилки: ламиниран паркет, гранитогрес.Свободно паркиране.
0898600630, 0887789199, 0878348391"
90m²,"жк. Левски Г, София",False,"220,000",EUR,Обзаведен,5-ти,9,Без отопление,,Тухла,,,,,,,,,,,"- Луксозно обзаведен тристаен апартамент в изискана нова сграда с АКТ - 16 от 2021 г. Ул. ' Поручик Георги Кюмюрджиев '. На метри от бъдеща метростанция ' Левски '. На пешеходно разстояние до различни учебни заведения , търговски обекти , както множество други удобства и комуникации в отличително спокойния район.- Разположен на пети жилищен от девет етажа , имотът е изложен на юг и изток. Състои се от входно антре , просторна и светла дневна с трапезария и изцяло оборудван кухненски бокс , баня с тоалетна , втора баня с тоалетна , две големи самостоятелни спални , както обширна тераса. Възможност за закупуване на надземно паркомясто.- Повече информация , уговорки относно огледи , както професионално съдействие за кредитиране от лицензирания ни финансов консултант , на тел . : 0887 776 190"
85m²,"жк. Левски Г, София",False,"144,900",EUR,,6-ти,8,,,Панел,,,,,,,,,,,"Явлена Ви представя просторен тристаен апартамент, находящ се в ж.к. Левски Г, непосредствено до магазин ""Домко"", на 5 мин. пешеходно разстояние от бул. ""Владимир Вазов"", спирки на градски транспорт и новостроящата се местростанция . Жилището е разположено на 6-и етаж от 8, в панелен блок от 1989г. Изложение на изток и запад и следното разпределение: коридор, дневна, кухня с трапезария, две непреходни стаи, баня с тоалетна, отделна тоалетна, килер и два балкона.
Апартаментът е след основен ремонт."
98m²,"жк. Левски Г, София",True,"195,000",EUR,Обзаведен,6-ти,8,Електричество,,Тухла,,,,,,,,,,,"ЕКСКЛУЗИВНО! Революшън Естейт представя напълно обзаведен тристаен апартамент в новопостроена сграда с висок клас материали и с поддържани общи части ж.к. Левски Г. Намира се в близост до бул. Владимир Вазов, освен това - множество малки и големи търговски обекти, училища и детска градина. Ситуиран е на 6-ти жилищен етаж с площ 98 кв.м. разгърната в следното разпределение: входно антре, просторна дневна с кухненски бокс, две спални, голяма тераса, баня с тоалетна и отделна тоалетна. Също така сградата разполага със място за отдих и забавление за децата. Възможност за закупуване на паркомясто. Отопление: електичество. Изложение: юг/запад. Референтен номер: 35179"
