Размер,Адрес,Точен адрес,Цена,Валута,Обзавеждане,Етаж,Етажи,Отопление,Състояние,Строителство,Спални,Бани,Двор,Площ на парцела,В регулация,Предназначение,Виза,Разрешение за строеж,Категория,Тип,Oписание
57m²,"жк. Левски, София",False,"70,625",EUR,,5-ти,7,Електричество,,Тухла,,,,,,,,,,,"ЦЕНА БЕЗ АНАЛОГ!!! РАЗНООБРАЗИЕ ОТ ДВУСТАЙНИ И ТРИСТАЙНИ АПАРТАМЕНТИ!!! ДОКАЗАН ИНВЕСТИТОР!!!



EVOLUT Недвижими имоти предстатвя на Вашето внимание двустаен апартамент кв. Васил Левски.

Жилището е със статут на апартамент и има слендото разпределение: Антре, спалня, дневна с кухненски бокс, баня с тоалетна, балкон.

Обща площ 57 кв.м. Към всяко жилище са осигурени сот система, звънчева(видео) система, мрежа за кабелна телевизия и интернет, изводи за климатици.

При проектиране на сградата са заложени най-модерните технологии и съвременни материали, които ще бъдат използвани в процеса на строителството, за да се създаде висок стандарт, уют и спокойствие на живущите в комплекса. Разнообразие от двустайни и тристайни апартаменти, има възможност за закупуване на подземни гаражи. За Ваше улеснение прилагаме схема с разпределението на имота.



Обадете се сега, за да запазите час за консултация и цитирайте този код: 32323"
58m²,"жк. Левски, София",False,"71,812",EUR,,4-ти,7,Локално отопление,,Тухла,,,,,,,,,,,"БЕЗ КОМИСИОННА ОТ КУПУВАЧА!!!ДРИЙМ ВИЖЪН НЕДВИЖИМИ ИМОТИ Продава двустаен апартамент кв. Левски. Жилището се намира в новостояща се сграда, разположена на много комуникативно място в непосредствена близо до изграждащата се в момента метростанция Витиня, спирки на градският транспорт, училища, детски градини и търговски обекти, бърза връзка до центъра на града и други основни пътни артерии. Състои се от входно антре, дневна с трапезария и кухненски бокс, спалня, баня с тоалетна, тераса. Предава се на шпакловка и замазка. Качествено строителство от доказал се строител с множество завършени обекти. Възможност за покупка на паркоместа и гаражи. В сградата предлагаме и други апартаменти. Оферта в агенцията 9111. Всички наши обяви ги работим с колеги. Още наши оферти може да намерите на www.dreamvision.bg Телефони за връзка: 02 421 96 35 ; 0886 13 22 91 Димитър Георгиев
"
90m²,"жк. Левски, София",False,"112,350",EUR,,4-ти,7,Локално отопление,,Тухла,,,,,,,,,,,"БЕЗ КОМИСИОННА ОТ КУПУВАЧА!!!ДРИЙМ ВИЖЪН НЕДВИЖИМИ ИМОТИ Продава тристаен апартамент кв. Левски. Жилището се намира в новостояща се сграда, разположена на много комуникативно място в непосредствена близо до изграждащата се в момента метростанция Витиня, спирки на градският транспорт, училища, детски градини и търговски обекти, бърза връзка до центъра на града и други основни пътни артерии. Състои се от входно антре, дневна с трапезария и кухненски бокс, две спални, баня с тоалетна, отделна тоалетна, склад, тераса. Предава се на шпакловка и замазка. Качествено строителство от доказал се строител с множество завършени обекти. Възможност за покупка на паркоместа и гаражи. В сградата предлагаме и други апартаменти. Оферта в агенцията 9108. Всички наши обяви ги работим с колеги. Още наши оферти може да намерите на www.dreamvision.bg Телефони за връзка: 02 421 96 35 ; 0886 13 22 91 Димитър Георгиев
"
79m²,"жк. Левски, София",False,"140,000",EUR,,3-ти,5,,,Тухла,,,,,,,,,,,"ДРИЙМ ВИЖЪН НЕДВИЖИМИ ИМОТИ Продава тристаен апартамент в кв. Левски на тихо и спокойно място в близост до спирки на градски транспорт, магазини, заведения, училище, бъдеща метростанция. Жилището се състои от: входно антре, дневна с кухненски бокс и трапезария, две спални, баня с тоалетна, килер, тераса. с приятна гледка. Възможност за закупуване на надземен гараж ( 25 000 евро ). АКТ 16 до края на 2022година!! Оферта в агенцията 9006. Всички наши обяви ги работим с колеги. Още наши оферти може да намерите на www.dreamvision.bg Телефон за връзка: 0885 98 11 00 - Александър Гогов
"
102m²,"жк. Левски, София",False,"127,637",EUR,,6-ти,7,Локално отопление,,Тухла,,,,,,,,,,,"БЕЗ КОМИСИОННА ОТ КУПУВАЧА!!!ДРИЙМ ВИЖЪН НЕДВИЖИМИ ИМОТИ Продава тристаен апартамент кв. Левски. Жилището се намира в новостояща се сграда, разположена на много комуникативно място в непосредствена близо до изграждащата се в момента метростанция Витиня, спирки на градският транспорт, училища, детски градини и търговски обекти, бърза връзка до центъра на града и други основни пътни артерии. Състои се от входно антре, дневна с трапезария и кухненски бокс, две спални, баня с тоалетна, отделна тоалетна, склад, тераса. Предава се на шпакловка и замазка. Качествено строителство от доказал се строител с множество завършени обекти. Възможност за покупка на паркоместа и гаражи. В сградата предлагаме и други апартаменти. Оферта в агенцията 9109. Всички наши обяви ги работим с колеги. Още наши оферти може да намерите на www.dreamvision.bg Телефони за връзка: 02 421 96 35 ; 0886 13 22 91 Димитър Георгиев
"
57m²,"жк. Левски, София",False,"70,625",EUR,,4-ти,7,Локално отопление,,Тухла,,,,,,,,,,,"БЕЗ КОМИСИОННА ОТ КУПУВАЧА!!!ДРИЙМ ВИЖЪН НЕДВИЖИМИ ИМОТИ Продава двустаен апартамент кв. Левски. Жилището се намира в новостояща се сграда, разположена на много комуникативно място в непосредствена близо до изграждащата се в момента метростанция Витиня, спирки на градският транспорт, училища, детски градини и търговски обекти, бърза връзка до центъра на града и други основни пътни артерии. Състои се от входно антре, дневна с трапезария и кухненски бокс, спалня, баня с тоалетна, тераса. Предава се на шпакловка и замазка. Качествено строителство от доказал се строител с множество завършени обекти. Възможност за покупка на паркоместа и гаражи. В сградата предлагаме и други апартаменти. Оферта в агенцията 9110. Всички наши обяви ги работим с колеги. Още наши оферти може да намерите на www.dreamvision.bg Телефони за връзка: 02 421 96 35 ; 0886 13 22 91 Димитър Георгиев
"
98m²,"жк. Левски, София",False,"139,000",EUR,Обзаведен,2-ри,5,Електричество,,Тухла,,,,,,,,,,,"Оферта №: 849

Агенция „Trust Broker Solutions” предлага на Вашето внимание обзаведен тристаен апартамент в кв. ""Левски"".

РАЗПРЕДЕЛЕНИЕ:

Апартамента се състои от коридор, две стаи, хол, кухня, баня с тоалетна, две тераси. Разполага с мазе. Без преход.

ЛОКАЦИЯ:

Намира се в кв. ""Левски"" в пряка на ул. ""Рилска обител"" м/у училището и бул. ""Ботевградско шосе"". В Близост: Спирки на градски транспорт; Градинка.; Детски градини и училища.

СЪСТОЯНИЕ:

Апартаментът е обзаведен. Сменена дограма. Ремонтирана баня. Има нужда от освежаване. Квадратурата е без общите части.

ДОПЪЛНИТЕЛНА ИНФОРМАЦИЯ:

- Разрешение за ползване (Акт 16) от 1994 г.
- Вид строителство: Тухла.
- Етаж: 2 от 5.
- Площ: 98 кв.м.
- Изложение: Юг-север.
- Отопление: Електричество.
Агенция „Trust Broker Solutions” предлага напълно безплатно кредитни консултации. Работим с всички банки в страната, на преференциални условия. Кредитният ни отдел е регистриран в БНБ като независим банков консултант по ипотечно кредитиране.

За още оферти посетете сайта ни: tbsestates.bg или се обадете на 0988830688"
28m²,"жк. Левски, София",False,"30,000",EUR,,1-ви,1,,,Тухла,,,,,,,,,,,"  'Real Deal' представя на Вашето
   внимание оферта №RD-2320 :

 Гараж от 28 кв.м , заедно с правото на строеж върху общинска земя , целият имот с площ от 463 кв.м. Бил е използван като гумаджийница. Възможно е да се използва и с друго предназначение.. 

  В регулация , ток , вода и път. Намира се на ""Ботевградско шосе"" и ул. "" Ген. Георги Вазов"" , директен достъп от булеварда - до магазин ""Юбис"" . 

  Агенцията работи САМО с актуални обяви , работим и през почивните дни !

  За повече актуални обяви посетете нашия сайт: www.realdeal.bg

  За въпроси и огледи:
 Божидар Зашев 0889 402 968
"
64m²,"жк. Левски, София",False,"72,337",EUR,Необзаведен,2-ри,6,ТЕЦ,,Тухла,,,,,,,,,,,"  ""Риъл Диъл"" представя на Вашето внимание оферта RD-2435:

  Двустаен апартамент в малка бутикова сграда на комуникативно място на пешеходно разстояние до бъдеща метростанция в квартал Левски. Сградата е на етап пред акт 14.
 
  Конкретното жилище се състои от входно предверие 4 кв.м, дневна с кухненски бокс 25 кв.м, спалня с дрешник 12,5 кв.м, баня с WC 4 кв.м. и балкон 4 кв.м. Складовите помещениясе продават отделно и са на цени мужду 2100 и 4000 е. 

  Може да се закупи гараж или паркомясто на цени между 10400е и 25500е. 

  Агенцията съдейства до окончателно финализиране на сделката и може да Ви помогне при отпускането на ипотечен кредит при преференциални условия !

  Агенцията работи САМО с актуални обяви!

  За повече актуални обяви посетете нашия
    сайт: www.realdeal. bg

  За повече информация и огледи:
  Дария Захариева - 0887 353738
"
108m²,"жк. Левски, София",False,"143,077",EUR,Необзаведен,5-ти,5,ТЕЦ,,Тухла,,,,,,,,,,,"              !!! АКТ 15!!!
  ""Риъл Диъл"" представя на Вашето внимание 
      оферта RD-2439:

  Тристаен апартамент (108 кв.м.) в малка бутикова сграда на комуникативно място на пешеходно разстояние до бъдеща метростанция в квартал Левски. Сградата е на етап пред акт 14.
 
  Конкретното жилище се състои от входно предверие 7 кв.м, дневна с кухненски бокс 31 кв.м, спалня с дрешник 16 кв.м, баня с WC 5 кв.м., втора спалня 13,5 кв.м., втора баня с тоалетна 2 кв.м. и два балкона по 3 кв.м.

  Складовите помещения се продават отделно и са на цени между 2100 и 4000 евро. 

  Може да се закупи гараж или паркомясто на цени между 10400 и 25500 евро. 

  За повече въпроси и огледи ни потърсете.

  Агенцията съдейства до окончателно финализиране на сделката и може да Ви помогне при отпускането на ипотечен кредит при преференциални условия !

  Агенцията работи САМО с актуални обяви!

  За повече актуални обяви посетете нашия
     сайт: www.realdeal. bg

  За повече информация и огледи:
  Дария Захариева - 0887 353738
"
