Размер,Адрес,Точен адрес,Цена,Валута,Обзавеждане,Етаж,Етажи,Отопление,Състояние,Строителство,Спални,Бани,Двор,Площ на парцела,В регулация,Предназначение,Виза,Разрешение за строеж,Категория,Тип,Oписание
132m²,"жк. Лозенец, София",False,"333,000",EUR,Обзаведен,5-ти,6,Локално отопление,,Тухла,,,,,,,,,,,"Кв. Лозенец , Тристаен -132 м2 , отделно 16,9 % земя.  На гърба на Семинарията, срещу гората в близост до
 болница Токуда и Телевизионната кула! УНИКАЛНА ПАНОРАМА В 4-те ПОСОКИ ! В стъклена сграда и с марково - лукс обзавеждане и оборудване - готов за нанасяне ! Инверторни климатици , локално - подово и радиаторно отопление , двойни блиндирани входни врати , автоматизирани щори и решетки на врати и прозорци! Сейф. Видео наблюдение, СОТ, охрана с TV . Хол с голяма кухня , 2 спални , 3 тераси , 2 бани и перално , склад , аквариум-терариум . Подови настилки червен и бял гранит. Огледален асансьор."
183m²,"жк. Лозенец, София",False,"317,000",EUR,,5-ти,6,,,Тухла,,,,,,,,,,,"Ако искате да живеете на крачка от Рая /Парадайз/, предлагам на Вашето внимание многостаен апартамент на възлово място в Лозенец, на метри от метростанция. Жилището е разположено на пети етаж от шестетажна сграда, предадена с Разрешение за ползване през 1994 г. Разпределение: голяма входно антре, просторна дневна, отделна кухня, три спални - едната от които със собствена баня, още една баня, тоалетна, две тераси. Изложението е югоизток и северозапад. Апартаментът е ремонтиран. Оферта 24697. За повече информация и огледи - Емилия Христова - 0884188279
"
180m²,"жк. Лозенец, София",False,"450,000",EUR,Обзаведен,3-ти,5,Локално отопление,,Тухла,,,,,,,,,,,"ДИЗАЙНЕРСКИ!!! ПРОСТОРЕН!!! ЛУКСОЗЕН!!! EVOLUT недвижими имоти има удоволствието да Ви представи, един чудесен апартамент, намиращ се в кв. Лозенец. Апартаментът е единствен на етаж, от общо пет апартамента, в малка луксозна сграда. Напълно обзаведен и оборудван е, по дизайнерски проект. Разположението на имота е на изключително комуникативно място. В непосредствена близост до 'Семинарията', 'Телевизионната кула', голяма верига супермаркети, магазини, търговски обекти и спирки на градски транспорт. Пред входа на сградата, както и във вътрешния двор, има паркоместа, които са предвидени за живущите. Към апартамента има мазе, с големина 7.5 кв.м, както и собственост върху идеални части, от поземления имот, върхо който е изградена сградата. Отоплението е на електрическо котле и климатици.

Разпределението на апартамента е следното:
- предверие, разделящо апартамента на дневна и нощна част;
- родителска спалня - 20кв.м;
- детска стая -18 кв.м;
- хол с кухня и трапезария - 70 кв.м;
- голяма баня с тоалетна - 7 кв.м;
- отделна тоалетна;
- две тераси с прекрасна гледка към 'Семинарията'.

За повече информация се обадете сега и цитирайте този код:30829.

"
194m²,"жк. Лозенец, София",False,"495,000",EUR,Обзаведен,5-ти,6,Електричество,,Тухла,,,,,,,,,,,"Агенция за недвижими имоти Perfe предлага на Вашето внимание многостаен апартамент ТИП МЕЗОНЕТ в един от най-предпочитаните квартали за живеене , а именно кв Лозенец. Района се характеризира с изключителната си близост до центъра на град София , множество хипермаркети , училища и детски градини, На 5 мин пешеходно разстояние от Южен Парк и метро станция Джеймс Баучер . Апартамента е разположен в стара тухлена сграда и заема 5ти и 6ти жилищен етаж . 
Разпределението е следното :
 1ви етаж : голямо входно антре , баня с тоалетна , спалня с тераса , хол с кухненски бокс и 2 тераси . 
2ри етаж : 2 спални , тераса , баня с тоалетна и тераса .

Разполагаме с множество имоти, които не са обявени в публичното пространство. За въпроси и записване на час за оглед обадете се на: +359 896505656. Референтен номер на имота:13341
"
90m²,"жк. Лозенец, София",False,"259,000",EUR,Обзаведен,3-ти,7,Електричество,,Тухла,,,,,,,,,,,"Агенция за недвижими имоти 'Perfe' има удоволствеото да Ви представи:


Тристаен апартамент с локация ж.к. Лозенец

Жилището е ситуирано на 3 от 7 етажа.

Разполага с площ  от 90 кв.м. и е със следното практично разпределение:

антре, хол с кухненски бокс, две спални, баня с тоалетна, мокро помещение, тераса.

Локацията е комуникативна непосредствено до учебни заведения, спирка на градски транспорт, метростанция, парк, плувен басейн 'Спартак' , множество заведения.

Към апартамента има достъп до общи части с двор с барбекю.


За повече въпроси и записване на час за оглед, обадете се на тел.: +359 896505656.

Референтен номер на имота:30717



"
132m²,"жк. Лозенец, София",False,"398,000",EUR,Обзаведен,5-ти,6,Локално отопление,,Тухла,,,,,,,,,,,"Агенция за недживими имоти ""Perfe"" представя на Вашето внимание:

Тристаен апартамент ЗА ПРОДАЖБА град София, кв. Лозенец


Тристаен апартамент -132 м2 , отделно 16,9 % земя. На 5-ти ЦЯЛ ЕТАЖ - не последен . 

Намира се на гърба на Семинарията, срещу гората в близост до болница Токуда и Телевизионната кула! 
УНИКАЛНА ПАНОРАМА В 4-те ПОСОКИ ! 
В стъклена сграда,  луксoзно обзавеждане и оборудване - готов за нанасяне ! 
Инверторни климатици , локално - подово и радиаторно отопление , двойни блиндирани входни врати , автоматизирани щори и решетки на врати и прозорци! Сейф. 
Видео наблюдение, СОТ, охрана с TV .
Апартаментът е със следното разпределение:
Хол с голяма кухня , 2 спални , 3 тераси , 2 бани и перално , склад , аквариум-терариум . Подови настилки червен и бял гранит. Огледален асансьор.


Разполагаме с множество имоти, които не са обявени в публичното пространство.

За повече въпроси и записване за час за оглед, обадете се на +359896505656

Референтен номер на имота:9608
"
119m²,"жк. Лозенец, София",False,"190,000",EUR,Необзаведен,5-ти,5,Електричество,,Тухла,,,,,,,,,,,"Агенция за недвижими имоти 'Perfe' има удоволствието да Ви представи:


Двустаен апартамент с локация ж.к. Лозенец

Жилището е ситуирано 5-ти последен етаж в тухлена кооперация от 1996г.

Разполага с площ от 119 кв.м. и 90 кв.м. чиста площ

Разпределение: входно антре, хол с кухненски бокс, спалня, баня с тоалетна, просторен балкон с прекрасна панорамна гледка към Витоша.

Отоплението е чрез електричество.

Изложението е изцяло южно.

Към имота има прилежащо мазе, както и 7,64% ид. части от земята.

Апартаментът може да бъде преустроен в тристаен.

Локацията е комуникативна, в близост до метростанция Джеймс Баучер, училища, детски градини,  спирка на градски транспорт, магазини, заведения, търговски център, салони за красота, зони за спрот.

Чисти и поддържани общи части на сградата.


За повече въпроси и записване на час за оглед, обадете се на тел.: +359 896505656.

Референтен номер на имота:32065


"
72m²,"жк. Лозенец, София",False,"280,000",EUR,Обзаведен,3-ти,6,,,Тухла,,,,,,,,,,,"!!! Готов за нанасяне !!! Паркомясто в цената !!!

Имоти Премиер има удоволствието да ви представи луксозно обзаведен апартамент в Лозенец.

Жилището сe намира на трети етаж, площта му е 72 кв.м и се състои от антре с кухненски бокс, дневна стая с трапезария, спалня, баня с тоалетна и тераса.

Апартаментът е с изцяло западно изложение, много светъл и топъл с разположение и тераса към тихият и спокоен заден двор.

В сградата се помещават на разположение на всички собственици клубен ресторант , фитнес, и СПА център с отопляем басейн. Целогодишна 24 часова охрана и видеонаблюдение.

В непосредствена близост се намират Семинарията, Софийският университет, Борисовата градина.

Код на обявата: 339450."
180m²,"жк. Лозенец, София",False,"450,000",EUR,Обзаведен,3-ти,5,Електричество,,Тухла,,,,,,,,,,,"Имоти Премиер представя на Вашето внимание дизайнерски обзаведен тристаен апартамент в кв.Лозенец, до Семинарията.

Състои се от:

- предверие, разделящо апартамента на дневна и нощна част;

- родителска спалня - 20кв.м;

- детска стая -18 кв.м;

- хол с кухня и трапезария - 70 кв.м;

- голяма баня с тоалетна - 7 кв.м;

- отделна тоалетна;

- две тераси с прекрасна гледка

- складово помещение

Единствен на етаж (общо пет апартамента в сградата). Предлага се обзаведен изцяло оборудван. Използвани са естествени материали, технически камък, италиански гранитогрес.

﻿Отопление на електрическо котле и климатици.

Паркомясто във вътрешния двор.



КОД НА ОБЯВАТА:332676"
129m²,"жк. Лозенец, София",False,"349,500",EUR,Обзаведен,2-ри,5,ТЕЦ,,Тухла,,,,,,,,,,,"iHOME Real Estate представя ЕКЛУЗИВНО предложение! 3-стаен просторен, дизайнерски апартамент до PARADISE Center, до входа на метростанция Витоша, 5 минути от Южен парк.
Жилището е с голяма всекидневна с камина и отделена кухненска и трапезарна част, голяма спалня, втора спалня, баня с тоалетна, отделна тоалетна, коридор с гардеробна ниша. Имота е климатизиран с система за всмукателно-нагнетателна инверторна система. Обзавеждането е дизайнерско и създава ЛУКС и спокойствие на обитателите. Апартаментът е оборудван и обзаведен с всичко необходимо и към момента се отдава под наем . 
Сградата е безупречно поддържана и разполага с търговски център на партера, два асансьора в жилищните входове с контролиран достъп и видеонаблюдение. Газифирана. 
Изключително поддържан имот, с много добри общи части, СОТ
За повече информация и огледи : Христо Георгиев 0896667310
iHOME REAL ESTATE работи по изискванията на БДС EN15733 в съответствие с нормите, заложени в Етичния Професионален Кодекс. Отговаряме за качеството на предоставяните услуги и консултации, свързани с покупка, продажба, наем-управление на имоти и кредитиране!
АГЕНЦИЯ НА ГОДИНАТА ЗА 2021 на годишните награди на imoti.net, пълноправен член на НСНИ и CEPI.
"
