Размер,Адрес,Точен адрес,Цена,Валута,Обзавеждане,Етаж,Етажи,Отопление,Състояние,Строителство,Спални,Бани,Двор,Площ на парцела,В регулация,Предназначение,Виза,Разрешение за строеж,Категория,Тип,Oписание
114m²,"кв. Манастирски Ливади, София",False,"142,500",EUR,Необзаведен,3-ти,5,,,Тухла,,,,,,,,,,,"Агенция Тиара Естейтс ви предлага 3-стаен апартамент в кв.Манастирски ливади. Апартаментът е със степен на завършеност АКТ15. Разпределение: входно антре, всекидневна с кухненски бокс с преход към спалня, спалня, баня с тоалетна, тоалетна/мокро помещение и 2 балкона. Апартаментът е с изложение югоизток - много светъл и топъл. Възможност за покупка на подземно паркомясто. Предлагаме и други апартаменти в сградата. За повече информация позвънете на 0885260107 Борис Георгиев
"
60m²,"кв. Манастирски Ливади, София",False,"148,000",EUR,Обзаведен,3-ти,5,Електричество,,Тухла,,,,,,,,,,,"Имоти Комфорт Ви предлага двустаен апартамент в близост до Мол България. Жилището се състои от просторен дневен тракт , спалня, баня с тоалет и балконс  изглед към озеленен вътрешен двор.Изложение юг/запад. Тих и спокоен район , въпреки комуникативното място. Отлично обзаведен.
"
80m²,"кв. Манастирски Ливади, София",False,"200,000",EUR,Обзаведен,6-ти,6,Електричество,,Тухла,,,,,,,,,,,"ЛУКСОЗЕН ИМОТ!! ГОТОВ ЗА НАНАСЯНЕ! Имоти Комфорт Ви предлага  прекрасен 3-стаен апартамент  в ""Манастирски ливади"",с чудесна панорамна гледка към планина Витоша . Апартаментът есъс следното разпределение: дневен тракт , две спални ,гардеробна, баня с тоалет.  Видеонаблюдение и система на умен дом . Имотът се предлага напълно завършен и обзаведен с висококачествени материали, кухненски уреди (ел.фурна аспиратор,ел. плот, вградена микровълнова фурна, хладилник, съдомиялна, пералня). Сградата е от 2020г. Изложение : юго-изток. 
"
103m²,"кв. Манастирски Ливади, София",False,"228,000",EUR,Обзаведен,3-ти,5,Електричество,,Тухла,,,,,,,,,,,"Имоти Комфорт Ви предлага  просторен, светъл и на тихо място тристаен апартамент в кв. Манастирски ливади Запад. Апартаментът е чисто нов, с акт 16 от 09.2021 г. На комуникативно място, в близост до бул. Братя Бъкстон, бул. България, Мол България, магазин Била, училища, детски градини, магазини и спирки на градски транспорт. Напълно обзаведен с нови мебели и уреди, който се състои от хол, с кухня и трапезария, две големи спални, баня и тоалетна, тоалетна и две тераси. Жилището е готово за ползване с всички екстри, като в него никога не е живяно. Изложение юг запад, с гледка към планината и много зеленина. 
"
83m²,"кв. Манастирски Ливади, София",False,"200,000",EUR,Обзаведен,6-ти,6,,,,,,,,,,,,,,"Предлагам на Вашето внимание тристаен апартамент с площ 83,31 кв.м. в квартал Манастирски ливади-запад. Жилището се намира на отлична локация в квартала и има панорамни гледки към Витоша и града. Апартаментът се продава заедно с уреди и обзавеждане (фурна, аспиратор,плот, вградена микровълнова фурна, хладилник, съдомиялна, пералня), които са включени в цената. Отоплението е с климатици, като има възможност да се монтира котле на газ. Сградата, в която се намира апартамента е построена с качествени материали, има представителен външен вид и е нова (2020 г.). Изложение: юг/изток и север/запад. Разпределение: дневна с кухненски бокс, гардероб, спалня, кабинет (възможно е да се използва като малка детска стая), баня с тоалетна. Има възможност да се закупи гараж на цена 20000 евро. Агенция ВАЛЕР е вече 28 години на пазара на недвижими имоти. Утвърдили сме се като професионалисти. Водещи принципи в нашата работа са лоялността и коректността към клиентите на агенцията. Огледи - с подписан Протокол за оглед, комисионна 2,5% от продажната цена.За контакт:  0894591461, http://www.valer.bg/bg
"
103m²,"кв. Манастирски Ливади, София",False,"228,000",EUR,Обзаведен,3-ти,5,,,Тухла,,,,,,,,,,,"Предлагам на Вашето внимание тристаен апартамент с площ 103 кв.м. (чиста застроена площ 93 кв.м.) в квартал Манастирски ливади-Запад. Локацията на имота е отлична - мястото е много комуникативно, като в същото време е тихо и спокойно. Апартаментът е разположен в нова сграда, която е населена и има Разрешение за ползване (АКТ16) от 2021 г. Жилището се продава заедно с обзавеждането ( което е чисто ново и неизползвано) и е включено в цената на апартамента. Отоплението и топлата вода са на газ - газово индивидуално котле и алуминиеви радиатори. Разпределение: Коридор, дневна с кухненски бокс и трапезария и тераса пред дневната - изложение ЮГ; спалня, втора спалня и тераса ( с излаз от двете спални) - изложение ЗАПАД. Входът на сградата е с луксозни общи части и контролиран достъп, сградата има хидравличен асансьор. Офертата е за частни лица! Агенция ВАЛЕР е вече 28 години на пазара на недвижими имоти. Утвърдили сме се като професионалисти. Водещи принципи в нашата работа са лоялността и коректността към клиентите на агенцията. Огледи - с подписан Протокол за оглед, комисионна 2,5% от продажната цена.За контакт: 0894591461,http://www.valer.bg/bg
"
109m²,"кв. Манастирски Ливади, София",False,"204,000",EUR,Обзаведен,3-ти,5,,,Тухла,,,,,,,,,,,"ЕКСКЛУЗИВНА ОФЕРТА! С ключ! АПАРТАМЕНТ С ПРОСТОРЕН ГАРАЖ! Предлагам на Вашето внимание просторен тристаен апартамент с площ 109,33 кв.м. (92,65 кв.м. чиста застроена площ) в квартал Манастирски ливади - запад. Апартаментът е в отлично състояние и се продава обзаведен. Жилището може да бъде закупено САМО ЗАЕДНО с голям подземен гараж с площ 25,47 кв.м. (цена на гаража 26000 евро, в гаража може да се паркира голям джип), който е с топла връзка със сградата. ЦЕНАТА НА АПАРТАМЕНТА ЗАЕДНО С ГАРАЖА е 230000 евро!!! Апартаментът е много топъл и слънчев - основното изложение е ЮГ, има също западно и източно изложение. Сградата е въведена в експлоатация през 2013 г. (акт 16) и се намира на тихо и спокойно място, което е много комуникативно - бърз достъп до бул. България, Околовръстен път и бул. Бъкстон, спирката на трамвай 7 е на 200 метра. От апартамента се открива панорамна гледка към Витоша. Отоплението на апартамента е с климатици, топлата вода е от електрически бойлер. Разпределение: антре, дневна с кухненски бокс и трапезария, тераса, спалня, втора спалня, две бани с тоалетни, складово помещение.Офертата е за частни лица! Агенция ВАЛЕР е вече 28 години на пазара на недвижими имоти. Утвърдили сме се като професионалисти. Водещи принципи в нашата работа са лоялността и коректността към клиентите на агенцията. Огледи - с подписан Протокол за оглед, комисионна 3% от продажната цена. За контакт:  0894591461, http://www.valer.bg/bg

"
88m²,"кв. Манастирски Ливади, София",False,"170,000",EUR,Обзаведен,1-ви,5,Електричество,,,,,,,,,,,,,"ПРЕКРАСЕН АПАРТАМЕНТ ДО ЮЖНИЯ ПАРК!!! Предлагам на Вашето внимание просторен двустаен апартамент с площ 88 кв.м. в квартал Манастирски ливади - изток. Жилището се намира в хубав затворен комплекс с Разрешение за ползване (акт 16), локацията на имота е отлична - до Лидъл и Южния парк. В цената са включени всички мебели и обзавеждане, които са нови (използвани са само 3 месеца). Апартаментът има собствен двор 14 кв.м.! Разпределение: антре, дневна с кухненски бокс и трапезария, спалня, баня с тоалетна, мазе. Имотът е в отлично състояние, можете да се нанасете ВЕДНАГА! Агенция ВАЛЕР е вече 28 години на пазара на недвижими имоти. Утвърдили сме се като професионалисти. Водещи принципи в нашата работа са лоялността и коректността към клиентите на агенцията. Огледи - с подписан Протокол за оглед, комисионна 2,5% от продажната цена.За контакт:  0894591461, http://www.valer.bg/bg
"
102m²,"кв. Манастирски Ливади, София",False,"200,000",EUR,,3-ти,,,,Тухла,,,,,,,,,,,"Предлагам на вашето внимание тристаен апартамент 102 кв.м. (чиста площ 95 кв.м.) в квартал Манастирски ливади (Запад). Жилището се намира на много тихо и спокойно място, в близост до спирка на трамвай - 7, 27 и основни пътни артерии - бул. България, бул. Бъкстон и ул. Тодор Каблешков. Апартаментът е разположен на 3-ти етаж, сградата няма асансьор. Разпределение: 
входно антре, дневна с кухненски бокс , спалня, втора спалня, баня с тоалетна, килер (мокро помещение), тераса. Жилището е с изложение изток/юг, отоплението е с инверторни климатици. Има възможност да се закупи надземен гараж с площ 24 кв.м. на цена 30000 евро.  Агенция ВАЛЕР е вече 28 години на пазара на недвижими имоти. Утвърдили сме се като професионалисти. Водещи принципи в нашата работа са лоялността и коректността към клиентите на агенцията. Огледи - с подписан Протокол за оглед, комисионна 2,5% от продажната цена.За контакт:  0894591461, http://www.valer.bg/bg
"
40m²,"кв. Манастирски Ливади, София",False,"127,500",EUR,Обзаведен,2-ри,5,,,,,,,,,,,,,,"Предлагам на Вашето внимание обзаведен маломерен двустаен апартамент с площ 40 кв.м. в квартал Манастирски Ливад - Запад, Жилището се намира на отлична локация - комуникативно място, което е тихо и спокойно. Разпределение: антре, дневна с кухненски бокс, спалня, тераса, баня с тоалетна. Статут на имота:ателие. В цената са включени мебелите и обзавеждането, в апартамента има всичко необходимо за конфортно жевеене, можете да се нанесете веднага, без нужда от ремонт. Отоплението е чрез електричество (радиоатор), жилището е вътрешно и много топло с малки разходи за ток. Агенция ВАЛЕР е вече 28 години на пазара на недвижими имоти. Утвърдили сме се като професионалисти. Водещи принципи в нашата работа са лоялността и коректността към клиентите на агенцията. Огледи - с подписан Протокол за оглед, комисионна 2,5% от продажната цена.За контакт:  0894591461, http://www.valer.bg/bg
"
