Размер,Адрес,Точен адрес,Цена,Валута,Обзавеждане,Етаж,Етажи,Отопление,Състояние,Строителство,Спални,Бани,Двор,Площ на парцела,В регулация,Предназначение,Виза,Разрешение за строеж,Категория,Тип,Oписание
125m²," Медицинска академия, София",False,"240,000",EUR,Необзаведен,6-ти,7,,,Тухла,,,,,,,,,,,"Просторен, южен мезонет със  ЗП от 125 кв.м. в отлична тухлена сграда от 1996г., на  ет.6 и 7 С АСАНСЬОР,  на тихо място - ул.Доспат, до Руски паметник!
Разпределение: I ниво - ЗП 78 кв.м. -  входно антре,  просторен светъл хол с трапезария  и кухненски бокс , към тях тераса тераса 8 кв.м. - ЮЖНО изложение с невероятна панорама, баня  с тоалетна.   II ниво   две стаи. 
НАСТИЛКИ   естествен паркет, стени на латекс, баня - теракот ,фаянс. 
ОБЩИ ЧАСТИ - отлично поддържан вход, асансьор, ремонтиран покрив! Към жилището има ИЗБЕНО ПОМЕЩЕНИЕ - 7,30 кв.м. и прилежащи идеални части на сградата и от правото на строеж върху поз. имот. 
Лице за контакти-МАРИЯ МЛАДЕНОВА 0887122012"
105m²," Медицинска академия, София",False,"210,000",EUR,Необзаведен,15-ти,16,ТЕЦ,,ЕПК,,,,,,,,,,,"Номер в агенцията 45695. 
Агенция абела предлага тристаен апартамент в Медицинска академия. Състои се от дневна, две спални, обширна кухня, баня с тоалетна, втора тоалетна и балкони към всияки стаи. Разположението на дневната и кухнята са изток-североизток, двете спали запад-югозапад. Панорамна гледка на изток - цяла централна част на София, от спалните - Витоша. Апартамента е топъл и много светъл. Покрива е с въздушна възглавница с височина около 80см. и е отлично подържан. Апартамента е подготвен за основен ремонт. 
Огледи с уговорка.
"
74m²," Медицинска академия, София",False,"180,000",EUR,Обзаведен,5-ти,7,Електричество,,Тухла,,,,,,,,,,,"Имоти Премиер представя на Вашето внимание двустаен апартамент в Медицинска академия. Жилището се състои от: дневна с кухненски бокс, спалня, баня с тоалетна и две тераси. Апартаментът е след ремонт, намира се на изключително комуникативно, но същевременно тихо място. Към сградата има двор за паркиране.

КОД НА ОБЯВАТА:338725"
96m²," Медицинска академия, София",False,"288,000",EUR,Обзаведен,2-ри,5,ТЕЦ,,Тухла,,,,,,,,,,,"Имоти Премиер представя на Вашето внимание тристаен апартамент в Центъра. Жилището е с площ от 96 кв.м.,качествено строителство, тухла със стоманобентонова конструкция. Състои се от една южна стая, една югозападна стая ,кухня и хол със северно изложение, баня с тоалетна отделно, входно антре и малка тераса. Към имота има таванско помещение 6 кв.м., мазе 3 кв.м. и идеални части от дворното място. Локацията е много добра- в непосредствена близост до детска градина, детски парк, плувен басейн , множество спирки на градски транспорт, на 3 мин от метростанция ""Медицински университет"". Улицата е тиха и спокойна, не се усеща трафика на централните булеварди. Подходящо е за живеене, офис, кантора, медицинки кабинет.

КОД НА ОБЯВАТА:336924"
201m²," Медицинска академия, София",False,"425,000",EUR,Обзаведен,6-ти,7,ТЕЦ,,Тухла,,,,,,,,,,,"iHOME REAL ESTATE, предлага неповторимо жилище до ВМА, на тиха уличка с нови кооперации и добро отстояние от съседните сгради. Имота е в тухлена кооперация от 2010г от реномиран строител и инвеститор. Безупречно качество, високо технологични материали.
Жилището представлява мезонет с много добро разпределение. На първо ниво разполага с голяма дневна с камина, кухня с голяма тераса тип веранда, санитарен възел, стая за гости. На второ ниво разполага с три спални, санитарен възел, гардеробна ниша. Много приятни леки скосявания придават на жилището неповторима индивидуалност и артистичност. Спокойствие на върха на сградата, penthouse с много слънце, панорама към Витоша в неповторим район на града!
Към имота принадлежи мазе, посочената квадратура е реална и видима.
Повече за имота- Христо Георгиев 0896667310
iHOME REAL ESTATE работи по изискванията на БДС EN15733 в съответствие с нормите, заложени в Етичния Професионален Кодекс. Отговаряме за качеството на предоставяните услуги и консултации, свързани с покупка, продажба, наем-управление на имоти и кредитиране!
АГЕНЦИЯ НА ГОДИНАТА ЗА 2021 на годишните награди на imoti.net, пълноправен член на НСНИ и CEPI.
"
85m²," Медицинска академия, София",False,"191,670",EUR,Обзаведен,1-ви,5,,,Тухла,,,,,,,,,,,"Нова луксозна сграда в района на Медицинска академия. Двустаен апартамент на първи етаж /надпартерен/, ЗП - 75 кв.м. Разпределение: дневна с трапезария и кухненски бокс, спалня, баня с тоалетна, складово помещение. Апартаментът се продава с чисто ново обзавеждане: мека мебел, холна маса, трапезарна маса и столове, напълно оборудвана кухня с уреди Bosch (съдомиялна, хладилник, фурна, котлони и аспиратор), спален комплект, скрин, гардероб и два телевизора. Довършителните работи в апартамента са изпълнени с висококачествени материали: настилки - гранитогрес и висок клас ламинат; испанска санитария; стени - латекс. Сградата е изпълнена с качествени материали: фасадата е решена в съчетание на топлоизолационна система с дебелина 12 см и външен слой от минерална мазилка; декоративни фризове от естествен камък при прозорците и терасите и архитектурни елементи от стъкло, които придават красива завършеност на сградата. Дограма - Reynaers. Отоплителна и ВиК система - Viessmann с висока енергийна ефективност. Видеонаблюдение и видеодомофонна система. Възможност за закупуване на паркомясто във вътрешен двор с контролиран достъп - цена 18 000 евро. Обявената продажна цена е без ДДС, цена с ДДС - 230 000 евро. За огледи и допълнителна информация: Мариела Китанова тел. 0888660255, Оферта номер: 9590
"
427m²," Медицинска академия, София",False,"424,850",EUR,Обзаведен,11-ти,12,Локално отопление,,Тухла,,,,,,,,,,,"ДРИЙМ ВИЖЪН НЕДВИЖИМИ ИМОТИ Продава многостаен апартамент /тип мезонет/ с хпрекрасни гледки в кв. Медицинска академия. Състои се от- Първо ниво: входно антре, дневна с камина, трапезария и кухненски кът, две спални, две бани с тоалетни, отделна тоалетна, килер, две тераси; Второ ниво: Две спални ( едната разполага със собствена баня с джакузи, тераса и дрешник), кабинет, вестибюл, тераса, баня с тоалетна.Продава се изцяло обзаведен. Възможност за покупка на гараж. Оферта в агенцията 9221. Всички наши обяви ги работим с колеги. Още наши оферти може да намерите на www.dreamvision.bg Телефони за връзка: 02/421 96 35 ; 0886 13 22 91 Димитър Георгиев
"
427m²," Медицинска академия, София",False,"424,865",EUR,Обзаведен,11-ти,12,,,Тухла,,,,,,,,,,,"ДРИЙМ ВИЖЪН НЕДВИЖИМИ ИМОТИ Продава многостаен апартамент, тип мезонет, в кв. Медицинска академия. Състои се от- Първо ниво: входно антре, дневна с камина, трапезария и кухненски кът, две спални, две бани с тоалетни, отделна тоалетна, килер, две тераси; Второ ниво: Две спални ( едната разполага със собствена баня с джакузи, тераса и дрешник), кабинет, вестибюл, тераса, баня с тоалетна .Продава се изцяло обзаведен. Възможност за покупка на гараж за две коли. Оферта в агенцията 8886. Всички наши обяви ги работим с колеги. Още наши оферти може да намерите на www.dreamvision.bg Телефони за връзка: 02/421 96 35 ; 0886 13 22 91 Димитър Георгиев"
100m²," Медицинска академия, София",False,"248,000",EUR,Необзаведен,2-ри,8,ТЕЦ,,Тухла,,,,,,,,,,,"- Тристаен апартамент в нова кооперация с АКТ - 16 от 2007 г. Бул. Тотлебен. В непосредствена близост до ул. Виктор Григорович. На пешеходно разстояние до парк ' Възраждане ' , метростанция Медицинска академия , различни учебни заведения , малки и големи търговски обекти , както множество други удобства и комуникации.- Разположен на втори жилищен от осем етажа , имотът е изложен на север / юг. Състои се от входно антре , просторна и светла дневна с трапезария и кухненска част , две големи самостоятелни спални , баня с тоалетна , отделна тоалетна , както две обширни тераси. Отопление на ТЕЦ. Отлични , чудесно поддържани общи части.- Повече информация , уговорки относно огледи , както професионално съдействие за кредитиране от лицензирания ни финансов консултант , на тел . : 0889 550 950"
105m²," Медицинска академия, София",False,"210,000",EUR,,15-ти,16,,,ЕПК,,,,,,,,,,,"Оферта: ***13049*** КОРТА ИМОТИ предлага нов, просторен и светъл тристаен апартамент в най-хубавата част на Медицинска академия. Имота се намира на изключително комуникативно място в близост до метростонция, спирки на градски транспорт, магазини, училища, детски градини и др.

***РАЗПРЕДЕЛЕНИЕ***  
Състои се от антре,  дневна, две самостоятелни  спални, обширна кухня, баня с тоалетна, втора тоалетна и балкони към всички стаи.

***АКЦЕНТИ*** 
 * Панорамна гледка към Витоша; 
 * Поддържени общи части.

***ДОПЪЛНИТЕЛНА ИНФОРМАЦИЯ***
- ЕПК; 
- Прилежащо мазе;
- Комуникативно място.

За нови предложения и подобни оферти, посетете нашия сайт www.cortaimoti.com или се обадете на *** Тел. 0887 000 452 ***
Очакваме Ви на посочения телефон, за да Ви дадем подробна информация относно предлагания имот. Ние сме реномирана компания, което ни задължава да Ви предоставим допълнителни услуги и следпродажбено обслужване. Професионалистите от КОРТА ИМОТИ ще бъдат с Вас през целия процес по покупко-продажба на имота. Допълнитетелните услуги, които предлага екипът ни включва проучване и предлагане на най-добрите оферти на банкови институции за получаване на одобрение за Ипотечен и/или Потребителски кредит, юридически и нотариални услуги, застраховки и др. Ние се стремим да влагаме качество и индивидуален подход във всичко, което правим и да предлагаме на нашите клиенти само най-доброто качество и обслужване.  
"
