Размер,Адрес,Точен адрес,Цена,Валута,Обзавеждане,Етаж,Етажи,Отопление,Състояние,Строителство,Спални,Бани,Двор,Площ на парцела,В регулация,Предназначение,Виза,Разрешение за строеж,Категория,Тип,Oписание
85m²,"жк. Младост 1а, София",False,"190,000",EUR,,13-ти,16,,,ЕПК,,,,,,,,,,,"Топ локация. На метростанция Младост. До пазара,магазини,офиси,спирки,заведения. ЕПК от 1979г. Отлично строителство,поддържан блок,2 работещи асансьора. Изложение: югоизток/изток и север/кухня само/. Функционален и с отлично разпределение. Отлично състояние. Обзаведен и поддържан имот с ниски консумативи . Перфектен за дългосрочна инвестиция! Състои се от два коридора, просторна светла дневна,две спални,баня с тоалетна,отделна кухня,балкон, помещение за печката с абсорбатора,може да се направи на тоалетна. Прекрасна панорама! Уютен имот! Работим с коректни колеги! Огледи в удобно време за потенциалните купувачи!"
89m²,"жк. Младост 1а, София",False,"170,000",EUR,Обзаведен,2-ри,5,,,Тухла,,,,,,,,,,,"Комуникативно местоположение, ул. Йерусалим, в близост до метро. Настоящо разпределение с със сваляеми прегради - голям южен хол, голяма южна стая, малка западна стая, западна кухня, антре с вградени гардероби, мокро помещение с автоматична пералня. Отопление - ТЕЦ, четири работещи чугунени радиатори с четири големи прозореца над тях. Навсякъде подът е италиански светлосив гранитогрес, леки прегради от алуминий и стъкло, банята е теракот и фаянс с алуминиева врата, стените и таваните са бял латекс. Обзаведен е с масивна дървена мебел масив червена череша - три библиотеки, овална маса разтегателна 6-8 стола, бюро, комод. Ползван и обзаведен за офис, готов за работа с всички комуникации. Към апартамента има прилежащо мазе. Два големи безплатни общински паркинга в непосредствена близост, както и дворен ограден паркинг за собствениците с дистанционно управляема бариера без такси.
ЗП - 79 кв.м., мазе - 6 кв.м., общи части - 10 кв.м. 
За огледи и допълнителна информация: Мариела Китанова тел. 0888660255, Оферта номер: 7399
"
47m²,"жк. Младост 1а, София",False,"85,000",EUR,Обзаведен,7-ми,7,ТЕЦ,,Панел,,,,,,,,,,,"Предлагам за продажба обзаведена, в добро състояние гарсониера в Младост -1А. Състои се от: самостоятелна кухня, просторна стая, коридор с вграден гардероб, баня с тоалетна.  ПВЦ дограма. Сменени ВИК щрангове. Баня и тоалетна на фаянс и теракот -  ремонтирана. Кухненски шкафове, оборудвана с електроуреди: хладилник, пералня и печка. Много топъл и уютен апартамент.. С леко освежаване може да се ползва веднага. 
 Обади се сега и цитирай този код 570540"
399m²,"жк. Младост 1а, София",False,"335,000",EUR,,7-ми,7,ТЕЦ,,Тухла,,,,,,,,,,,"Слънчев и светъл многостаен апартамент със застроена площ от 258 кв.м.

Състои се от: дневна с обособен кухненски бокс и трапезарна зона,  две спални, баня/WC, антре и стълбище към второто ниво.

На второ ниво: емпоре, спалня, баня/WC

Апартаментът е с прекрасни панорамни тераси.
 Обади се сега и цитирай този код 557731"
382m²,"жк. Младост 1а, София",False,"280,000",EUR,,7-ми,7,ТЕЦ,,Тухла,,,,,,,,,,,"Слънчев и светъл тристаен апартамент със застроена площ от 227 кв.м.

Състои се от: дневна с обособен кухненски бокс и трапезарна зона, спалня, баня/WC, антре и стълбище към второто ниво.

На второ ниво: емпоре, спалня, баня/WC

Апартаментът е с прекрасни панорамни тераси. 
 Обади се сега и цитирай този код 557733"
68m²,"жк. Младост 1а, София",False,"125,000",EUR,,6-ти,8,ТЕЦ,,Панел,,,,,,,,,,,"Агенция Явлена предлага за продажба двустаен, среден, непреходен апартамент в Младост 1А, в панелен блок от 89 г.  Апартаментът се намира на ет. 6 от ет 8, със застроена площ 68 кв.м. Имотът има следното разпределение: коридор, кухня с тераса, хол с тераса, спалня, баня с тоалетна и мазе. Изложение: изток - запад. Отопление - ТЕЦ. Имотът се нуждае от ремонт. На 2 мин. пешеходно разстояние се намира ДГ 75 Слънчице, на 1 мин. 145 СУ Симеон Радев, на 10 мин. метростанция метростанция Младост 3. Свободно място за паркиране. Ключ в Агенцията.
ИД 84739"
124m²,"жк. Младост 1а, София",False,"242,500",EUR,Обзаведен,6-ти,7,Прокарва се,,Тухла,,,,,,,,,,,"Напълно обзаведен тристаен апартамент с обща площ 123.14 кв.м.

Разпределени в: Застроена площ 86.69 кв.м + 16,71 кв.м. общи части+ 19.74 кв.м тераса към апартамента, 2/3 от която която е приобщена към спалните.

Състои се от: Входно антре с тоалетна за гости, огромен хол с кухненска част, кът с мека мебел и трапезарна маса и излаз на тераса, две големи и просторни спални, баня с тоалетна.

Апартаментът е изцяло южен, напълно обзаведен и готов за живеене.

Нуждае се от козметичен ремонт по вкуса на новите собственици.

Отоплението е с климатици. Има и ТЕЦ в сградата, който не се ползва от апартамента.

Уютно и красиво жилище, обляно от много светлина и невероятни нескриваеми гледки.

 
 Обади се сега и цитирай този код 558585"
89m²,"жк. Младост 1а, София",True,"147,500",EUR,Необзаведен,9-ти,9,ТЕЦ,,Панел,,,,,,,,,,,"  Продавам тристаен, саниран, непреходен апартамент, в панелна сграда. Намира се на тихо място, в непосредствена близост до МЕТРОСТАНЦИЯ 'Младост 3'. Входът на блока е ремонтитан, с ПВЦ дограма и се заключва. Сградата е с асансьор! В жилището дограмата е сменена с ПВЦ с изключение на кухнята. Състои се от входно антре, хол, две непреходни стаи, отделна кухня, баня с WC, втора WC, мокро помещение и два балкона тип лоджии пред спалнята (с излаз и от хола) и пред кухнята. Изложение- ЮЗ/СИ, с прекрасна панорама към Витоша.  С КЛЮЧ, огледи в удобно за Вас време! Водещ брокер: Нина Илиева - 0889233266."
67m²,"жк. Младост 1а, София",False,"189,500",EUR,Обзаведен,7-ми,9,ТЕЦ,,Панел,,,,,,,,,,,"ном.в агенцията-5451
Агенция Ивена Консулт предлага -
Слънчев и просторен апартамент на топ локация в най-добрата част на Младост. След основен ремонт. С гледка към града и Витоша. С огромен публичен паркинг и два частни в непосредствена близост. На много комуникативно място - до метро, спирка 'пътеките', детски градини, училища, игрални площадки, паркове, ДКЦ, избягва задръстванията на Ал. Малинов с директен достъп до Цариградско шосе и околовръстен път. На тиха, добре осветена и озеленена улица. Жилището е много слънчево и топло, санирано, модерно обзаведено и с функционално разпределение. Южно и северно изложение - съответно топъл през зимата и прохладен през лятото. Има и климатик. Съответства на тристайно жилище. Състои се от: -входно антре с голям и стилен вграден гардероб. -кухня, оборудвана с вградени ел. уреди на AEG и обособена малка трапезария. -две непреходни просторни стаи, всяка с три функционални зони, съответно за сън, работа и почивка. -баня с душ кабина и хидромасажен душ панел -мазе 6 кв.м. Апартаментът е с външна изолация, трикамерна PVC дограма, модерни подови настилки, подменени ел. и ВИК инсталации. Продава се напълно обзаведен. 
Ако ви предстои покупка или продажба на имот, не се колебайте да ни се доверите!
* Възползвайте се от нашите усулуги:
+ безплатна консултация
+безплатно съдействие за кредит
+ безплатно изготвяне на документи
За повече информация за тази оферта и други атрактивни в района звъннете на посочения телефон.
"
46m²,"жк. Младост 1а, София",True,"86,500",EUR,Обзаведен,8-ми,8,ТЕЦ,,Панел,,,,,,,,,,," продавам едностаен, обзаведен, супер локация в много добро състояние .
Апартамента се състои от: антре,коридор с вграден гардероб, просторна дневна и отделно кухня, тоалетна с баня, със застроена площ 46,38 кв.м."
