Размер,Адрес,Точен адрес,Цена,Валута,Обзавеждане,Етаж,Етажи,Отопление,Състояние,Строителство,Спални,Бани,Двор,Площ на парцела,В регулация,Предназначение,Виза,Разрешение за строеж,Категория,Тип,Oписание
83m²,"жк. Младост 4, София",False,"185,000",EUR,Обзаведен,1-ви,6,ТЕЦ,,Тухла,,,,,,,,,,,"Просторен двустаен апартамент, луксозно обзаведен и напълно оборудван! Инвестицията която бихте направили може да ви донесе добра доходност. Поради изключителното  местоположение  , добри транспортни връзки и инфраструктура.  Намира в близост до училище и детска градина, метростанция, парк, община Младост, поликлиника, хранителни магазини и др.Разпределението е следното : Входно антре, всекидневна с кухненски бокс, спалня, баня с тоалетна, и голяма тераса."
105m²,"жк. Младост 4, София",False,"210,000",EUR,Необзаведен,5-ти,8,ТЕЦ,,Тухла,,,,,,,,,,,"ОТЛИЧНА ЛОКАЦИЯ! ОКОЛОВРЪСТЕН ПЪТ! МЕТРОСТАНЦИЯ!
АДАМАНТ НЕДВИЖИМИ ИМОТИ представя многофамилна жилищна сграда, състояща се от 76
самостоятелни обекта, от които 64 апартамента ,12 ателиета, 3 офиса и прилежащи
към тях гаражи/ парко места. Намираща се в гр. София, жк. Младост 4
В близост до 'Околовръстен път', 'Бизнес парк',
магазин 'Лидл' и новооткрития 'Кауфланд', апрк ' КАМБАНИТЕ' и други.
Цената е спрямо етажността и изложението на самостоятелните обекти.
-
Представяме ап. А - 25 на етаж 5 от общо 8 етажа.

КВАДРАТУРА: Чиста Жилищна площ - 87 кв.м.;

РАЗПРЕДЕЛЕНИЕ:Кухня с дневна, две спални,две бани с тоалетни, антре, тераса, складово помещение.

Етап на стройтелсво: С АКТ 15!
-
Характеристики на проекта/сградата:
Желязо внос от Украйна, доставено от фирма 'РИС - ВВ' ЕООД
- Клас бетон - Б25
- Тип тухла 'Винербергер' (Австрия)
- Тип мазилка 'Теразид' (България)
- Тип ВИК инсталации 'Пайплайф' (Германия)
- Тип ОВК инсталации 'Пайплайф' (Германия)
- Ел. инсталация 'Шнайдер' (Германия)
- Ел. табла 'Шнайдер' (Германия)
- Тип външна изолация 'Баумит' (Австрия)
- ТЕЦ с абонатна станция
- Дограма - алуминий с прекъснaт термомост система EW70, производител 'Етем'
- Стъклопакет - 44мм, троен с коефициент на топлоприемане под 0.7 W/m2
-
Възможност за закупуване на ПРКОМЯСТО или ГАРАЖ в подземен паркинг с ограничен достъп за живущите.
-
За повече информация, записване за оглед ви очакваме на тел.:
0894 94 20 22 - Елизабет Миланова.
"
95m²,"жк. Младост 4, София",False,"240,000",EUR,Обзаведен,9-ти,9,,,Тухла,,,,,,,,,,,"ПОДЗЕМНО ПАРКОМЯСТО В ЦЕНАТА! ГОТОВ ЗА ЖИВЕЕНЕ!
Екипът на YOHOME недвижими имоти има удоволствието да ви представи тристаен апартамент на две нива тип мезонет в ж.к. Младост 4. Апартаментът е със застроена площ от 75кв.м, изложението му е юг/изток, намира се на 9-ти жилищен етаж и има следното разпределение: първо ниво - всекидневна с кухненски бокс, трапезария, две непреходни спални, баня с тоалетна, голяма тераса, която разкрива панорамна гледка към Витоша; второ ниво - помещение обособено като спалня, баня с тоалетна, мокро помещение и още една тераса. Сградата има разрешение за ползване от 2007г. с отлично поддържани общи части и контролиран достъп. В непосредствена близост се намират метростанция ""Бизнес парк"", Околовръстен път, спирки на градски транспорт, супермаркети и др.
За повече информация и организиране на оглед се свържете с нас и цитирайте кода на обявата №8728."
92m²,"жк. Младост 4, София",False,"197,000",EUR,Обзаведен,1-ви,8,ТЕЦ,,Панел,,,,,,,,,,,"Екипът на YOHOME недвижими имоти има удоволствието да ви представи 3-стаен апартамент в Младост 4. Апартаментът се намира на първи жилищен етаж, реално втори над офиси. Чистата му площ е 92кв.м. с мазе 4кв.м. и се състои от: коридор, дневна, кухня, две спални, баня с тоалетна, самостоятелна тоалетна, мокро помещение и остъклена тераса откъм едната спалня и хола. Напълно саниран, с нови настилки, сменени ВиК тръби и щрангове, електроинсталация, 7 камерна дограма с трислоен стъклопакет, окачен таван, изолиран с каменна вата, външни ролетни щори, алуминиеви радиатори, СОТ система, климатици и др. Жилището е обзаведено с внимание към детайла, вложени са висок клас електроуреди и мебели, изработени по поръчка. Изложението му е север/ юг. Входът на сградата е добре поддържан, достъпът е с чип. Намира се в близост до Бизнес парка, метростанция, училища, детски градини, паркове и множество търговски обекти.

За повече информация и организиране на оглед, свържете се с нас и цитирайте кода на обявата №8663."
75m²,"жк. Младост 4, София",False,"113,500",EUR,,5-ти,8,ТЕЦ,,Панел,,,,,,,,,,,"СРЕДЕН ЕТАЖ! СВЕТЪЛ И ПРОСТОРЕН!

Екипът на YOHOME недвижими имоти има удоволствието да ви представи просторен,светъл 2-стаен апартамент в най- тихата и същевременно комуникативна част на кв. Младост 4. Апартаментът се намира на 5-ти жилищен етаж в сграда с отлично поддържани общи части и вход с контролиран достъп. Жилището е с площ от 65кв.м, разгърнати в следното разпределение: коридор с четирикрилен вграден гардероб, хол с остъклен балкон и гледка към Витоша, спалня, самостоятелна кухня с остъклен балкон, баня с тоалетна. Сменени са ВиК щрангове както и дограмата е сменена с PVC. Отоплението е на ТЕЦ. Пред блока се паркира свободно. В непосредствена близост се намират: парк, детски площадки, Бизнес Парк, метростанция, спирки на градски транспорт, супермаркети, училища и детски градини.

За повече информация и организиране на оглед свържете се с нас и цитирайте кода на обявата № 8820.

Разгледайте останалите атрактивни предложения на страницата ни: www.yohome.bg"
77m²,"жк. Младост 4, София",False,"138,550",EUR,Необзаведен,4-ти,8,Електричество,,Тухла,,,,,,,,,,,"МЕТРОСТАНЦИЯ!!! СРЕДЕН ЕТАЖ!!! ТОП ЛОКАЦИЯ!!! 
ЕVOLUT недвижими имоти представя на Вашето внимание двустаен апартамент в затворен к-с Белс хил с площ от 77 кв.м.
Намира се в Младост 4, един от най-модерните и бързо развиващите се квартали на София. В непосредствена близост се намират възлови локации и обекти: Бизнес парк, София ринг мол,  метространция Бизнес парк, Garitage park.
Сградата е завършена и в процес на въвеждане в ескплоатация.
Апартаментът има следното разпределение: Входно антре, просторна дневна с трапезария и кухненски бокс, слънчева спалня, баня с тоалет, мокро помещение и две тераси. Изложението е юг - север. 
Жилището ще бъде издадено по БДС с изградена инсталация на газ, домофонна система, интериорни врати и блиндирана входна. Възможност за закупуване на гаражи. За Ваше улеснение прилагаме схема с разпределението на имота. Обадете се или пишете сега и цитирайте този код: 31922"
92m²,"жк. Младост 4, София",False,"197,000",EUR,Обзаведен,1-ви,8,ТЕЦ,,Панел,,,,,,,,,,,"Имоти Премиер представя просторен тристаен апартамент в кв. Младост 4. Апартаментът е изцяло ремонтиран с най-високо качество на материали и най-висок клас енергоспестяващи уреди. Жилището  е с чиста площ от 92 кв м + 4 кв м мазе. Разположение север / юг. Четири отделни стаи, непреходен голям хол, два санитарни възела, мокро помещение, две усвоени тераси, коридори. Текущо разпределение:  спалня, хол, детска стая и кухня. Първи жилищен етаж над офиси (реално втори).
Четири климатика Мицубиши (три броя 9-ки, една 12-ка)4 тв Самсунг смарт тв (3 тв 42 инча; един 32); голям двукрилен хладилник с ледогенератор и диспенсър за вода Самсунг; вградена миялна Whirlpool, абсорбатор, вградени фурна и котлони, мелница за отпадъци; пералня (чисто нова) и сушилня 6-то чувство Whirlpool. Вградени тоалетни структури и батерии Grohe; бойлер обезпечаващ аварии и профилактики; хидро и аеро масажна вана (джакузи). След освежителен ремонт. Напълно саниран, седем камерна дограма ВЕКА с трислоен стъклопакет, подова изолация на усвоените тераси, окачен таван изолиран с каменна вата, външни ролетни щори, аломиниеви радиатори. Мебелите са или изработени по поръчка или поръчани според съобразен размер (което е причината да продавам апартамента както е), холна гарнитура с дамаска и релакс механизми, входна врата Солид с най-висок клас на защита, охраната е обезпечена със СОТ обемни и магнитни (скрити в дограмата) датчици, тъчпад клавиатура, IP модул за управление на системата от разстояние, секюрити обков и заключване на дограмата. Настилни дебел ламинат / паркет, гранитогрес.

Код на обявата: 342830



"
60m²,"жк. Младост 4, София",False,"169,000",EUR,Обзаведен,2-ри,9,ТЕЦ,,Тухла,,,,,,,,,,,"iHOME REAL ESTATE, предлага дизайнерско обзаведено жилище в квартал Младост 4. Сградата е в близост до метростанция 'Бизнес Парк' и на пешеходно разстояние от '131 СУ', детска градина 'Сърничка', детска градина 'Вяра, Надежда и Любов' и хранителни магазини. Проект на реномирания строител 'Scanwel', с разрешение за ползване (АКТ 16) от 2021-ва година. 
Апартаментът представлява голяма всекидневна с трапезария, кухненски бокс и обособено мокро помещение; непреходна спалня; баня с тоалетна; антре. Имотът се продава с наличното обзавеждане включващо мека мебел, трапезна маса, холна маса, Смарт TV Sony, вградена кухня със самопочистваща се фурна AEG, керамични котлони AEG, съдомиялна, пералня AEG, сушилня Miele и хладилник Liebherr. Всички уреди са с клас А+++. Поръчкова спалня с гардероб. В санитарния възел обзавеждането е Roca. Жилището е вътрешно, слънчево, уютно и с ниски енергийни разходи. Има възможност за закупуване на подземно паркомясто или гараж.
Отлично предложение за живеене или инвестиция с цел отдаване под наем. Имот, който си заслужава да се види!
За повече информация и оглед - Антон Тонев 0879604171.
iHOME REAL ESTATE работи по изискванията на БДС EN15733 в съответствие с нормите, заложени в Етичния Професионален Кодекс. Отговаряме за качеството на предоставяните услуги и консултации, свързани с покупка, продажба, наем-управление на имоти и кредитиране!
АГЕНЦИЯ НА ГОДИНАТА ЗА 2021 на годишните награди на imoti.net, пълноправен член на НСНИ и CEPI.
"
135m²,"жк. Младост 4, София",False,"260,000",EUR,,2-ри,8,ТЕЦ,,ЕПК,,,,,,,,,,,"ИРИДА НЕДВИЖИМИ ИМОТИ продава многостаен апартамент в Младост 4. Жилището се намира на втори жилищен етаж в ПК сграда от 1998г. Изложениe север|юг.

Има следното разпределение:просторна всекидневна с кухненски бокс (32кв.м), 3 спални със собствени бани с тоалетни(като към едната има втори кухненски бокс), една остъклена и една голяма южна тераса, мазе (4кв.м)
Жилището е подходящо както за инвестиция така и за дом. 

*** 

За повече информация и оглед: Водещ брокер Васил Георгиев тел: 0898 771725 

*** 

СВЪРЖЕТЕ СЕ С НАС! РАБОТИМ И В ПОЧИВНИТЕ ДНИ! 

Предлагаме БЕЗПЛАТНО СЪДЕЙСТВИЕ за одобрение и получаване на ипотечен кредит за покупка на жилище при най-добри условия за Вас, чрез услугите на лицензиран кредитен консултант! 

ПЕРФЕКТНО изработени и приключени документално имотни сделки! 

Разполагаме с изпълнител за ДОВЪРШИТЕЛНИТЕ РАБОТИ и ремонт на закупеното от Вас жилище."
110m²,"жк. Младост 4, София",False,"260,000",EUR,,9-ти,9,ТЕЦ,,Тухла,,,,,,,,,,,"ИРИДА НЕДВИЖИМИ ИМОТИ Ви предлага за продажба четиристаен мезонет в Младост 4. 
Жилишщето се намира в тухлена сграда от 2007г. Изложение - ЮГ/ИЗТОК. Отлична локация в непосредствена близост до Бизнес Парк. 
Към имота има подземно ПАРКОМЯСТО - 16 кв. и мазе. 

Разпределние:
НИВО 1 : Всекидневна с кухненски бокс и трапезен кът, две непреходни спални, баня с тоалетна, тераса.
НИВО 2 : една спалня , тоалетна, мокро помещение и тераса с гледка към Витоша.

***

За повече информация и оглед: Водещ брокер Васил Георгиев тел: 0898 771725

***

СВЪРЖЕТЕ СЕ С НАС! РАБОТИМ И В ПОЧИВНИТЕ ДНИ!

Предлагаме БЕЗПЛАТНО СЪДЕЙСТВИЕ за одобрение и получаване на ипотечен кредит за покупка на жилище при най-добри условия за Вас, чрез услугите на лицензиран кредитен консултант!

ПЕРФЕКТНО изработени и приключени документално имотни сделки!"
88m²,"жк. Младост 4, София",False,"144,990",EUR,,2-ри,8,ТЕЦ,,Панел,,,,,,,,,,,"Тристаен апартамент 88,15 м2 в Младост 4, бл.442, до Бизнес парка и метро, вътрешен, среден, за ремонт. Отлична локация. Разпределение:
-коридор;
-кухня с тераса;
-хол;
-спалня с тераса;
-втора спалня;
-баня с тоалетна;
-отделна тоалетна;
-килер.
Към апартамента има мазе 5 м2.
Апартаментът е вътрешен, среден, топъл, просторен, непреходен и необзаведен. Нуждае се от основен ремонт. Холът и спалнята са с изложение юг, а кухнята и втората спалня - север. Отоплението е ТЕЦ. Сградата е с асансьор, с добре поддържани общи части и с контрол на достъп. Разположен в непосредствена близост до Бинес парка, метростанция, детски градини, училища, магазин БИЛЛА и множество други търговски обекти. Свободно паркиране около блока.
Прекрасна възможност за Вашия нов дом!
Ние ценим Вашето време и искаме да Ви спестим излишни грижи. Гарантираме прецизност, точност и коректност! Доверете ни се! Ключ в агенцията. Огледи всеки ден, включително и през почивните дни. Ключ в агенцията. Огледи всеки ден, включително и през почивните дни. Оферта 1718 "
88m²,"жк. Младост 4, София",False,"155,000",EUR,Обзаведен,1-ви,8,ТЕЦ,,Панел,,,,,,,,,,,"Номер в агенцията 38112
Агенция И Консултинг продава Тристаен апартамент в Младост 4. Апартаментът се намира в близост до метростанция. Жилището се състои от: входно антре, баня с тоалетна, отделна тоалетна, 3 спални, дневна с излаз на балкон, кухня, гардеробна. Жилището се продава с прилежащо мазе с големина от 3,04 кв. Апартаментът се продава напълно обзаведен. 
За контакти Иван Иванов 0896977866 
Разгледайте и нашият сайт www.iconsulting-bg.com "
110m²,"жк. Младост 4, София",False,"260,000",EUR,,9-ти,9,ТЕЦ,,Тухла,,,,,,,,,,,"ИРИДА НЕДВИЖИМИ ИМОТИ Ви предлага за продажба четиристаен мезонет в Младост 4. Жилишщето се намира в тухлена сграда от 2007г. Изложение - ЮГ/ИЗТОК. Отлична локация в непосредствена близост до Бизнес Парк. 
Към имота има подземно ПАРКОМЯСТО- 16 кв. и мазе. 

Разпределние:
НИВО 1 : Всекидневна с кухненски бокс и трапезен кът, две непреходни спални, баня с тоалетна, тераса.
НИВО 2 : една спалня , тоалетна, мокро помещение и тераса с гледка към Витоша.

***

За повече информация и оглед: Водещ брокер Васил Георгиев тел: 0898 771725

***

СВЪРЖЕТЕ СЕ С НАС! РАБОТИМ И В ПОЧИВНИТЕ ДНИ!

Предлагаме БЕЗПЛАТНО СЪДЕЙСТВИЕ за одобрение и получаване на ипотечен кредит за покупка на жилище при най-добри условия за Вас, чрез услугите на лицензиран кредитен консултант!

ПЕРФЕКТНО изработени и приключени документално имотни сделки!"
