Размер,Адрес,Точен адрес,Цена,Валута,Обзавеждане,Етаж,Етажи,Отопление,Състояние,Строителство,Спални,Бани,Двор,Площ на парцела,В регулация,Предназначение,Виза,Разрешение за строеж,Категория,Тип,Oписание
77m²,"жк. Мусагеница, София",False,"145,000",EUR,Необзаведен,7-ми,8,ТЕЦ,,Панел,,,,,,,,,,,"Агенция за недвижими имоти 'Perfe' има удоволствието да Ви представи:


Тристаен апартамент за продажба с локация ж.к. Мусагеница

Жилището е ситуирано на 7 от 8 етажа в панелен блок от 1980г.

Разполага с площ от 77 кв.м. и е със следното практично разпределение:

коридор, хол, кухня, две спални, баня, толаетна, тераса.

Отоплението е на ТЕЦ.

Общото състояние на жилището е за ремонт.

Локацията е непосредствено до супермаркет, недалеч от метростанция, спирка на градски транспорт, зони за спорт и отдих.


За повече въпроси и записване на час за оглед, обадете се на тел.: +359 896505656.

Референтен номер на имота:28268



"
58m²,"жк. Мусагеница, София",False,"126,790",EUR,,1-ви,7,,,Тухла,,,,,,,,,,,"ДРИЙМ ВИЖЪН НЕДВИЖИМИ ИМОТИ Продава двустаен апартамент в кв. Мусагеница на комуникативно място в близост до метростанция Мусагеница, спирки на градски транспорт, магазини, заведения, училище. Жилището се състои от: входно антре, дневна с кухненски бокс и трапезария, спалня, баня с тоалетна, тераса. В сградата предлагаме и други апартаменти. Възможност за закупуване на паркомясто или гараж. Строителство от ДОКАЗАН СТРОИТЕЛ. Оферта в агенцията 8869. Всички наши обяви ги работим с колеги. Още наши оферти може да намерите на www.dreamvision.bg Телефон за връзка: 0885 98 11 00 - Александър Гогов
"
262m²,"жк. Мусагеница, София",False,"505,260",EUR,Необзаведен,7-ми,7,,,Тухла,,,,,,,,,,,"ДРИЙМ ВИЖЪН НЕДВИЖИМИ ИМОТИ Продава четиристаен апартамент в кв. Мусагеница на комуникативно място в близост до метростанция Мусагеница, спирки на градски транспорт, магазини, заведения, училище. Жилището се състои от: входно антре, просторна дневна с кухненски бокс и трапезария, три спални, едната със собствена баня с тоалетна, втората със гардеробна, три тераси. В сградата предлагаме и други апартаменти. Възможност за закупуване на паркомясто или гараж. Строителство от ДОКАЗАН СТРОИТЕЛ. Оферта в агенцията 8873. Всички наши обяви ги работим с колеги. Още наши оферти може да намерите на www.dreamvision.bg Телефон за връзка: 0885 98 11 00 - Александър Гогов"
152m²,"жк. Мусагеница, София",False,"333,780",EUR,,2-ри,7,,,Тухла,,,,,,,,,,,"ДРИЙМ ВИЖЪН НЕДВИЖИМИ ИМОТИ Продава четиристаен апартамент в кв. Мусагеница на комуникативно място в близост до метростанция Мусагеница, спирки на градски транспорт, магазини, заведения, училище. Жилището се състои от: входно антре, просторна дневна с кухненски бокс и трапезария, три спални, две бани с тоалетни, мокро помещение, две тераси. С югозападно изложение. В сградата предлагаме и други апартаменти. Възможност за закупуване на паркомясто или гараж. Строителство от ДОКАЗАН СТРОИТЕЛ. Оферта в агенцията 8872. Всички наши обяви ги работим с колеги. Още наши оферти може да намерите на www.dreamvision.bg Телефон за връзка: 0885 98 11 00 - Александър Гогов"
64m²,"жк. Мусагеница, София",False,"140,210",EUR,Необзаведен,1-ви,7,,,Тухла,,,,,,,,,,,"ДРИЙМ ВИЖЪН НЕДВИЖИМИ ИМОТИ Продава двустаен апартамент в кв. Мусагеница на комуникативно място в близост до метростанция Мусагеница, спирки на градски транспорт, магазини, заведения, училище. Жилището се състои от: входно антре, дневна с кухненски бокс и трапезария, спалня, баня с тоалетна, тераса. В сградата предлагаме и други апартаменти. Възможност за закупуване на паркомясто или гараж. Строителство от ДОКАЗАН СТРОИТЕЛ. Оферта в агенцията 8870. Всички наши обяви ги работим с колеги. Още наши оферти може да намерите на www.dreamvision.bg Телефон за връзка: 0885 98 11 00 - Александър Гогов"
77m²,"жк. Мусагеница, София",False,"146,000",EUR,Необзаведен,7-ми,8,ТЕЦ,,Панел,,,,,,,,,,,"Номер в Агенцията 47024
Агенция Абелла предлага тристаен апартамент в кв. Мусагеница в близост до 8 СУ. Започнат ремонт- изхвърлени тежки отпадъци при къртене.
Жилището е с изложение Юг състои се от отделна кухня, хол, две спални, баня и тоалетна отделни  и две тераси. 
Усигуряваме жилищно кредитиране.
Огледи с предварителна уговорка.


"
78m²,"жк. Мусагеница, София",False,"136,000",EUR,Обзаведен,4-ти,8,ТЕЦ,,Панел,,,,,,,,,,,"Номер в агенцията 48031. 
Предлагаме тристаен апартамент в ж.к. Мусагеница. Състои се от хол, две спални, кухня, баня и тоалетна, два балкона, единият остъклен към кухнята и втори голям балкон към спалнята и хола, неостъклен. Непреходен. Сградата е с добра локация до площада на Авиацията, в близост до градски транспорт, метро, болница, училище и пазар. 
Огледи с уговорка.
"
165m²,"жк. Мусагеница, София",False,"340,000",EUR,Обзаведен,7-ми,7,ТЕЦ,,Тухла,,,,,,,,,,,"Четиристаен прекрасен апартамент със статут на ателие обзаведен в представителна кооперация на комуникативно място / до Национална Следствена Служба и болница София Мед. Е Апартамента е с жилищна площ оТ 137 кв.м. и 165 с общи части.Три самостоятелни просторни спални / две със скосявания,две бани и два санитарен възела просторен дневен тракт с тераса и кухненски бокс. Просторен коридор с вградени гардероби /асансьора има връзка с апартамента директен достъп от входното антре. Към кооперацията има подземни гаражи ,възможност за закупуване на паркомясто или гараж.  Единичен гараж- 40000Е, двоен -60000Е Номер на оферта 8506 За въпроси ,оглед и контакт : Петрова 0882480457
"
83m²,"жк. Мусагеница, София",False,"147,000",EUR,,3-ти,8,ТЕЦ,,Панел,,,,,,,,,,,"Явлена Изток продава тристаен вътрешен апартамент на среден етаж .Апартаментът е с изцяло външна топлоизолация.Намира се между две метростанции.Разпределението е както следва:хол,кухня,две спални,баня с тоалетна и тоалетна.Към апартаментът има и мазе."
101m²,"жк. Мусагеница, София",False,"219,000",EUR,,2-ри,10,ТЕЦ,,Тухла,,,,,,,,,,,"Явлена Изток продава тристаен апартамент, находящ се на пешеходно разстояние от метростанция Мусагеница. Апартаментът се състои от антре, всекидневна с кухненски бокс, две спални, баня с тоалетна, отделно тоалетна и две тераси. Към апартамента има мазе."
