Размер,Адрес,Точен адрес,Цена,Валута,Обзавеждане,Етаж,Етажи,Отопление,Състояние,Строителство,Спални,Бани,Двор,Площ на парцела,В регулация,Предназначение,Виза,Разрешение за строеж,Категория,Тип,Oписание
50m²," Оборище, София",False,"185,000",EUR,Обзаведен,1-ви,5,ТЕЦ,,Тухла,,,,,,,,,,,"Предлагам луксозен апартамент с отлична комуникация,светъл и топъл. Състои се от спалня, хол с кухня и баня с тоалетна с душ кабина. Сменени ВИК ел.алуминиеви радиатори с ТЕЦ. Височина на таваните 3.40м, дебелина на стените 60 см. С луксозни миещи се мазилки по всички стени, скрито осветление, дизайнерски полилеи, дизайнерско поръчково обзавеждане за хола и спалнята. Кухня от гланц с италианска мивка и смесител с вградени хладилник, пералня със сушилня, съдомиялна, фурна, индукционен котлон, фурна и аспиратор.  Паркомясто в голям вътрешен двор с ел.врата с чип."
100m²," Оборище, София",False,"145,000",EUR,,3-ти,3,,,Тухла,,,,,,,,,,,"iHOME REAL ESTATE продава идеални части от имот - сграда и парцел, намиращи се на ул. ""Екзарх Йосиф"", близо до градинката на старата баня, сега музей на София.
Това е инвестиция с дългосрочна перспектива.
iHOME REAL ESTATE работи по изискванията на БДС EN15733 в съответствие с нормите, заложени в Етичния Професионален Кодекс. Отговаряме за качеството на предоставяните услуги и консултации, свързани с покупка, продажба, наем-управление на имоти и кредитиране!
АГЕНЦИЯ НА ГОДИНАТА ЗА 2021 на годишните награди на imoti.net, пълноправен член на НСНИ и CEPI.
"
52m²," Оборище, София",False,"92,500",EUR,Обзаведен,1-ви,2,Електричество,,Гредоред,,,,,,,,,,,"iHOME real estate представя имот в историческия център на София - ул. 11 Август, в близост до СМГ. Жилището представлява апартамент в къща с чиста площ от 52 кв. м. и се състои от:
входно антре, баня с тоалетна, стая, голяма спалня, отделна кухня с трапезария и остъклена тераса. Намира се на висок първи етаж над ателиета. Апартаментът се нуждае от ремонт. Къщата се състои от партер с ателиета с външни входове и два жилищни етажа с отделен вход.

Сградата е с гредоредна конструкция с отделен вход за жилищата на първи и втори етаж. През годините са правени подобрения, но има нужда от съвременен ремонт. В собствеността влиза и част от парцела под къщата.

Районът е от най-предпочитаните в София, поради близостта с административния център на столицата и непрекъснато растящите цени на малкото продавани имоти.

iHOME Real Estate работи по изискванията на БДС EN 15 733 в съответствие с нормите, заложени в Етичния Професионален Кодекс. Oтговаряме за качеството на предоставяните услуги и консултации, свързани с покупка, продажба, управление и кредитиране! Наградени от Imoti.net за най-добра стартираща компания за 2020 г., пълноправен член на НСНИ и CEPI.

За повече информация и огледи - Ради Лафи - 0886688821
"
229m²," Оборище, София",False,"461,669",EUR,Обзаведен,3-ти,7,Електричество,,Тухла,,,,,,,,,,,"Представяме Ви модерен многостаен апартамент, част от богатото ни портфолио от луксозни имоти в София.
Апартаментът се намира в нова сграда с денонощна охрана в кв. ""Оборище"".
Апартаментът е решен в съвременен дизайн с индивидуален почерк.
Жилището е светло и просторно.
Настилките са естествен паркет и теракот.
Кухнята е напълно оборудвана според най- високите стандарти.
В наемната цена е включена такса за охрана и поддръжка на общите части на сградата, такса за СОТ, кабелна телевизия, интернет и подземно паркомясто.
Цената е без ДДС.

Разпределение
Четири спални
Просторна всекидневна
Трапезария с кухненски бокс
3 бани с вана с WC
Тоалетна за гости
Тераса
Подземно паркомясто

Предимства
Модерна сграда
Съвременен дизайн
Денонощна охрана"
178m²," Оборище, София",False,"700,000",EUR,Необзаведен,4-ти,5,ТЕЦ,,Тухла,,,,,,,,,,,"ДРИЙМ ВИЖЪН НЕДВИЖИМИ ИМОТИ Продава просторен четиристаен апартамент с паркомясто в малка луксозна бутикова сграда само с 5 апартамента в кв.Оборище. Отлична локация близост до Военният Парк , Парк Заимов, бърз достъп към центъра на града, множество магазини и заведения. Жилището е със следното разпределение: входно антре, просторна дневна с кухненски бокс и трапезария, три спални като към две от тях има баня с тоалетна,трета баня с тоалетна, две тераси. Предава се на шпакловка и замазка, блиндирана входна врата. Отопление на ТЕЦ. Подземно паркомясто включено в цената . Висококачествено строителство, луксозни общи части от доказан строител в годините.Оферта в агенцията 8622. Всички наши обяви ги работим с колеги. Още наши оферти може да намерите на www.dreamvision.bg Телефони за връзка: 02/421 96 35 ; 0886 13 22 91 Димитър Георгиев
"
90m²," Оборище, София",True,"235,000",EUR,Необзаведен,5-ти,6,ТЕЦ,,Тухла,,,,,,,,,,,"""АСГАРД ПРОПЪРТИС"" продава панорамен апартамент, разполжен на 4-ти надпартерен етаж в санирана сграда до кръстовището на ул. ""Оборище"" и ул. ""Черковна"". Жилището е  с чиста площ 90 кв.м. и се състои от голям вестибюл с преход към две спални, самостоятелна кухня, баня, тоалетна и килер. PVC дограма, сменени вертикални шрангове, нова входна врата. Просторен апартамент, който търпи различни варианти на преустройство. Отлично уреден район на минути от парка на Военната академия,. Отопление: ТЕЦ. Продава се с мазе. За контакти: 0899/032-036, 02/465-19-50."
56m²," Оборище, София",False,"140,000",EUR,,1-ви,3,,,Тухла,,,,,,,,,,,"Просторен двустаен апартамент в стара тухлена сграда от 60-те години. Две стаи, кухня, баня с тоалетна. Апартаментът няма тераса и с 56м2 реална застроена площ. Стаите са със западно изложение, а кухнята е на север. Поддържано жилище в обгрижен блок. Подови настилки-естествен паркет,теракота. Подменени водопровод и канализация с ПВЦ тръби и частично ел. инсталация. Двукатна дървена дограма. Към апартамента има голямо светло мазе от 16 м2, като мазетата в блока се дават под наем за складови помещения на фирми, търгуващи в МОЛ Сердика. Входът е обгрижен и поддържан. Блокът е на тихо и спокойно,но същевременно комуникативно място-до бул.Ситняково, ул. Черковна и МОЛ Сердика. Паркова среда, детска площадка, детска градина, училище, спирки на гр.транспорт. Катанска 0888876734"
55m²," Оборище, София",False,"125,000",EUR,Необзаведен,6-ти,8,ТЕЦ,,Тухла,,,,,,,,,,,"Номер в агенцията 37444
Агенция И Консултинг продава Двустаен апартамент в Оборище. Жилището се намира в близост до парк Заимов. Състои се от входно антре, с малка ниша за мокро помещение (гардероб), дневна с кухненски бокс, спалня, с обща тераса към двете помещения и баня с тоалетна. Към апартамента има вече закупени климатици за централна климатизация и радиатори от висок клас. 
За контакти Иван Иванов 0896977866
Разгледайте и другите ни предложения 
www.iconsulting-bg.com"
84m²," Оборище, София",False,"350,000",EUR,,3-ти,5,ТЕЦ,,Тухла,,,,,,,,,,,"ИРИДА НЕДВИЖИМИ ИМОТИ Ви предлага за проджба просторно тристайно жилище с ТОП локация. 

Жилището се състои от просторна дневна с кухненска част /40 кв.м/ с излаз на тераса, голяма спалня, втора по-малка спалня /12 кв.м/ с излаз на втора тераса, антре и баня с тоалетна,към имота има таван и мазе. Жилищната сграда е монолитно строителство в духа на стара София, аристократична и с отлично поддържани общи части. Намира се в непосредствена близост до градинката на Докторски паметник, СУ Климент Охридски', редица забележителности на нашата столица, на пет минути от метростанция СУ Св. Климент Охридски'. Изложение: изток/юг.Перфектен за инвестиция или за живеене!

***

За контакти, повече информация и огледи, водещ брокер: Илиана Тошева 0876 72 00 20

***

СВЪРЖЕТЕ СЕ С НАС! РАБОТИМ И В ПОЧИВНИТЕ ДНИ!

Предлагаме БЕЗПЛАТНО СЪДЕЙСТВИЕ за одобрение и получаване на ипотечен кредит за покупка на жилище при най-добри условия за Вас, чрез услугите на лицензиран кредитен консултант!

ПЕРФЕКТНО изработени и приключени документално имотни сделки! "
80m²," Оборище, София",False,"185,000",EUR,,1-ви,3,Електричество,,Тухла,,,,,,,,,,,"ИРИДА НЕДВИЖИМИ ИМОТИ Ви предлага за продажба просторен ,ремонтиран етаж от къща с излаз на двор в сърцето на стара София.

Жилището е разположено на първи етаж в тухлена къща от 1933г.НЕ Е ПРУСКИ СВОД! СГРАДАТА НЕ Е ПАМЕТНИК НА КУЛТУРАТА!

Имотът има следното разпределение: Хол с преход към спалня,втора самостоятелна спалня,кухня с трапезария,баня с тоалетна , балкон със излаз към вътрешен двор/ може да стане зимна градина/.Апартамента е саниран,сменени ВиК щрангове,сменена ел.инсталация и се нуждае от освежаване. Към имота има избено помещение около 10 кв.м ,таван с леки скосявания около 35 кв.м,който може да се направи на ателие и да се отдава под наем или студио.Има около 100 кв.м. собствен двор /. Ремонтиран покрив.Източно изложение.
ИМОТ С ДОБАВЕНА СТОЙНОСТ! ИМОТ С ПОТЕНЦИАЛ!

***

За контакти, повече информация и огледи, водещ брокер: Илиана Тошева 0876 72 00 20

***

СВЪРЖЕТЕ СЕ С НАС! РАБОТИМ И В ПОЧИВНИТЕ ДНИ!

Предлагаме БЕЗПЛАТНО СЪДЕЙСТВИЕ за одобрение и получаване на ипотечен кредит за покупка на жилище при най-добри условия за Вас, чрез услугите на лицензиран кредитен консултант!

ПЕРФЕКТНО изработени и приключени документално имотни сделки!"
