Размер,Адрес,Точен адрес,Цена,Валута,Обзавеждане,Етаж,Етажи,Отопление,Състояние,Строителство,Спални,Бани,Двор,Площ на парцела,В регулация,Предназначение,Виза,Разрешение за строеж,Категория,Тип,Oписание
54m²,"жк. Овча Купел 1, София",False,"87,800",EUR,Необзаведен,5-ти,11,,,Тухла,,,,,,,,,,,"Oферта  23777 АКТ 15! ЮЖНО ИЗЛОЖЕНИЕ! ТОП ИНВЕСТИЦИЯ! ДО НОВ БЪЛГАРСКИ УНИВЕРСИТЕТ! МЕТРО СТАНЦИЯ - ""МИЗИЯ"" . Роялс предлага на Вашето внимание двустаен апартамент, състоящ се от : дневна с кухненски бокс, спалня, баня с тоалетна , коридор и тераса. Жилището се намира на пети етаж , чист ЮГ и невероятна гледка към Витоша. Жилищната сграда е пред АКТ 15, изградена е с модерна визия, според съвременните норми за шумо и топло изолация, с висок клас материали за фасада, дограма и общи части. Апартамента е подходящ както за инвестиция, така и за живеене. В близост се намира Метростанция Мизия', магазин Била , магазин Фантастико, автобусни спирки и Нов Български Университет. Близостта на Витоша планина, дава възможност за чист въздух и прохлада. В сградата може да закупите и паркомясто.
За повече информация: Рая Велчева - 0876 003 004
"
61m²,"жк. Овча Купел 1, София",False,"85,500",EUR,Необзаведен,3-ти,11,,,Тухла,,,,,,,,,,,"Агенция Роялс предлага на Вашето внимание двустаен апартамент, състоящ се от дневна с кухненски бокс, спалня, баня с тоалетна , коридор и тераса. Жилището се намира на втори етаж , в строяща се сграда на етап пред акт 15. Жилищната сграда е изградена с модерна визия, според съвременните норми за шумо и топло изолация, с висок клас материали за фасада, дограма и общи части. Имотът е подходящ както за инвестиця, така и за живеене. В близост се намира Метростанция “Мизия"", магазин Била , магазин Фантастико, автобусни спирки и Нов Бългасрки Университет. Близостта на Витоша планина, дава възможност за чист въздух и прохлада. В сградата може да закупите и паркомясто.
За повече информация: Рая Велчева - 0876 003 004
"
64m²,"жк. Овча Купел 1, София",False,"98,990",EUR,,2-ри,11,,,Тухла,,,,,,,,,,,"Оферта 17424 НОВА СГРАДА! МЕТРО! ПРОСТОР! ПРЕД АКТ 16!  Еволют Ви предлага за продажба апартаменти в жилищна сграда в един от най-бързо развиващият се квартал 'Овча Купел', гр. София, в полите на Витоша. Сградата се състои от два входа по единадесет етажа, на подземния и партерен етажи са разположени парко места и гаражи, от втори до десети етажи са разположени жилищата. За удобство асансьорите в сградата тръгват от подземния паркинг с топла връзка към жилищата. Някои от жилищата разполагат със складово помещение на подземния етаж, а други имат такова в самия имот. Сградата е в строеж, пред акт 15. Апартаментите ще бъдат издадени в степен на завършеност БДС (шпакловка, замазка, ВиК на тапи, входна врата). Предвидено е място за поставяне на един брой климатик с изпълнена тръбна и електрическа разводка. При желание на купувача, могат да бъдат договорени и ремонтни работи за завършване на жилищата до ключ (поставени подови настилки, боядисани стени, монтирани ключове за осветление и контакти, фаянс и санитария в банята, интериорни врати). Стълбищните клетки и коридорите в кооперацията ще бъдат изпълнени от гранит, а парапетите от метал. Проектирането е изпълнено в унисон със съвременните норми за шумо и топло изолация, използвайки немска Пет камерна PVC дограма 'THYSSEN', с троен стъклопакет от високачестъвени стъкла. Фасадите са проектирани с 10 см топлоизолационен пакет 'BAUMIT' . Сградата ще бъде газифицирана, както и кв. ''Овча Купел'' е с най-новата Метро станция в гр. София, на бул. 'Монтевидео' . Предимства на района са: добре развит жилищен квартал с няколко магазина на големи вериги супермаркети, автобусни линии: 11, 45, 60, 73, 102 и трамвай 11; Нов Български университет и две висши училища по застраховане и строителство; пет средни училища, пет детски градини; предстои да бъде възстановена Минерална баня Овча купел , към която има действащ и към момента плаж с минерален басейн; няколко лечебни заведения; стадион 'Славия' , фитнеси, ресторанти и други, през квартала минава и Владайска река. За повече информация: Даниела Тенева - 0878 20 44 50.
"
128m²,"жк. Овча Купел 1, София",False,"172,908",EUR,Необзаведен,3-ти,6,Локално отопление,,Тухла,,,,,,,,,,,"Номер в Агенцията 48404
Агенция Абелла предлага в новострояща се сграда на Акт 14. срок на завършване  31.12.2023г. голям тристаен непреходен апартамент с изглед юг.
Свободни четири тристайни апартамента на ет.първи надпартерен, втори, трети, и четвърти предпоследен.
Отговарям на всички въпроси.
Огледи с предварителна уговорка. 
Агенцията разполага с един от петте най добри кредитни консултанти в България. 
 
"
104m²,"жк. Овча Купел 1, София",False,"184,900",EUR,,Партер,6,ТЕЦ,,Панел,,,,,,,,,,,"Явлена предлага 4-стаен апартамента в хубава и спокойна част на Овча Купел, изключително комуникативна локация до: училища, магазини, банки и Нов Български Университет. Метростанцията е до самия блок. Поддържан вход с асансьор и контрол на достъпа. Нов паркинг пред входа за свободно паркиране. Разпределението на апартамента е следното 3 спални помещения, всекидневна с кухненски бокс, баня с тоалетна, втора баня, килер (перално помещение), широк и голям коридор, мазе (5кв.м.) и допълнително складово помещение на етажа."
120m²,"жк. Овча Купел 1, София",False,"185,000",EUR,,6-ти,8,ТЕЦ,,Панел,,,,,,,,,,,"ИРИДА НЕДВИЖИМИ ИМОТИ ПРОДАВА ЧЕТИРИСТАЕН АПАРТАМЕНТ В КВ. ОВЧА КУПЕЛ 1

Разположен на шести непоследен етаж в панелен блок от 1991 г. Намира се на комуникативномясто в близост до метростанция Мизия и търтовски обекти.

Апартаментът има следното разпределение: четири спални, дневна, две тераси /тази преддневната е усвоена като кухненски бокс/, баня с тоалетна, тоалетна и килер. Изложението е изток-запад. Площ 119 кв.м.
Отопление на ТЕЦ. Сменени вертикални щрангове.Към апартамента има и маэе.
Паркирането пред блока е свободно.

***

За контакти, повече информация и огледи брокер:Васил Георгиев тел.: 0898 771725

***

СВЪРЖЕТЕ СЕ С НАС! РАБОТИМ И В ПОЧИВНИ ДНИ!

Предлагаме БЕЗПЛАТНО СЪДЕЙСТВИЕ за одобрение и получаване на ипотечен кредит за покупкана жилище при най-добри условия за Вас, чрез услугите на лицензиран кредитен консултант!

ПЕРФЕКТНО изработени и приключени документално имотни сделки!

Агенцията ни поддържа БОГАТА И АКТУАЛНА БАЗА ДАННИ за имоти в нови, луксозни сгради вюжната част на Столицата!

Разполагаме с изпълнител за ДОВЪРШИТЕЛНИТЕ РАБОТИ и ремонт на закупеното от Вас жилище. "
120m²,"жк. Овча Купел 1, София",False,"185,000",EUR,,6-ти,8,ТЕЦ,,Панел,,,,,,,,,,,"ИРИДА НЕДВИЖИМИ ИМОТИ ПРОДАВА МНОГОСТАЕН АПАРТАМЕНТ В КВ. ОВЧА КУПЕЛ 1

Разположен на шести непоследен етаж в панелен блок от 1991 г. Намира се на комуникативномясто в близост до метростанция Мизия и търтовски обекти.
Апартаментът има следното разпределение: четири спални, дневна, две тераси /тази пред дневната е усвоена като кухненски бокс/, баня с тоалетна, тоалетна и килер. Изложението е изток-запад. Площ 119 кв.м.Отопление на ТЕЦ. Сменени вертикални щрангове.Към апартамента има и маэе.Паркирането пред блока е свободно.

***

За контакти, повече информация и огледи брокер:Васил Георгиев тел.: 0898 771725

***

СВЪРЖЕТЕ СЕ С НАС! РАБОТИМ И В ПОЧИВНИ ДНИ!

Предлагаме БЕЗПЛАТНО СЪДЕЙСТВИЕ за одобрение и получаване на ипотечен кредит за покупкана жилище при най-добри условия за Вас, чрез услугите на лицензиран кредитен консултант!

ПЕРФЕКТНО изработени и приключени документално имотни сделки!

Агенцията ни поддържа БОГАТА И АКТУАЛНА БАЗА ДАННИ за имоти в нови, луксозни сгради в южната част на Столицата!

Разполагаме с изпълнител за ДОВЪРШИТЕЛНИТЕ РАБОТИ и ремонт на закупеното от Вас жилище. "
49m²,"жк. Овча Купел 1, София",False,"51,103",EUR,,1-ви,4,,,Тухла,,,,,,,,,,,"АГЕНЦИЯ ИРИДА ПРОДАВА БЕЗ КОМИСИОН ОТ КУПУВАЧ! ЕДНОСТАЕН АПАРТАМЕНТ, част от новострояща се жилищна сграда, разположена в един от новоизграждащите се и най-бързоразвиващи се райони на София, кв.Овча Купел 1. Жилището е с функционално вътрешно разпределение на площ от 35 кв.м. и се състои от просторна дневна, с обособени дневна зона, място за почивка и кухненски бокс, баня с тоалетна. Изложение: запад. Имот, подходящ и за инвестиция. 
Сградата предлага подземни паркоместа и гаражи. Изключително благоприятно местоположение на имота, в близост до големи вериги хранителни магазини, средни и висши учебни заведения. Съчетание между урбанизирана територия, разнообразни възможности за ползване на градски транспорт и предимствата от близостта на природата. 

*** 

В сградата се предлагат и други едностайни, двустайни и тристайни апартаменти.

 *** 

За контакти, повече информация и огледи, водещ брокер: Павлина Мутафчийска 0877007064                           

***

 СВЪРЖЕТЕ СЕ С НАС! РАБОТИМ И В ПОЧИВНИТЕ ДНИ! 

Предлагаме БЕЗПЛАТНО СЪДЕЙСТВИЕ за одобрение и получаване на ипотечен кредит за покупка на жилище при най-добри условия за Вас, чрез услугите на лицензиран кредитен консултант!

 ПЕРФЕКТНО изработени и приключени документално имотни сделки! 

Агенцията ни поддържа БОГАТА И АКТУАЛНА БАЗА ДАННИ на имоти в нови, луксозни сгради в Студентски град, Малинова долина, Витоша, Овча Купел и всички Южни локации на Столицата.

 Разполагаме с изпълнител за ДОВЪРШИТЕЛНИТЕ РАБОТИ и ремонт на закупеното от Вас жилище. "
76m²,"жк. Овча Купел 1, София",False,"79,348",EUR,,2-ри,4,,,Тухла,,,,,,,,,,,"АГЕНЦИЯ ИРИДА ПРОДАВА БЕЗ КОМИСИОН ОТ КУПУВАЧ! ДВУСТАЕН  АПАРТАМЕНТ, част от новострояща се жилищна сграда, разположена в един от новоизграждащите се и най-бързоразвиващи се райони на София, кв.Овча Купел 1. Жилището е с функционално вътрешно разпределение на площ от 55 кв.м. и се състои от  дневна  място за  и кухненски бокс, баня с тоалетна,предверие,спалння с дрешник,балкон. Изложение: ЮГ/запад. Имот, подходящ и за инвестиция. Сградата предлага подземни паркоместа и гаражи. Изключително благоприятно местоположение на имота, в близост до големи вериги хранителни магазини, средни и висши учебни заведения. Съчетание между урбанизирана територия, разнообразни възможности за ползване на градски транспорт и предимствата от близостта на природата. 

*** 

В сградата се предлагат и други едностайни, двустайни и тристайни апартаменти. 

*** 

За контакти, повече информация и огледи, водещ брокер: Павлина Мутафчийска 0877007064                           

*** 

СВЪРЖЕТЕ СЕ С НАС! РАБОТИМ И В ПОЧИВНИТЕ ДНИ! 

Предлагаме БЕЗПЛАТНО СЪДЕЙСТВИЕ за одобрение и получаване на ипотечен кредит за покупка на жилище при най-добри условия за Вас, чрез услугите на лицензиран кредитен консултант! 

ПЕРФЕКТНО изработени и приключени документално имотни сделки! 

Агенцията ни поддържа БОГАТА И АКТУАЛНА БАЗА ДАННИ на имоти в нови, луксозни сгради в Студентски град, Малинова долина, Витоша, Овча Купел и всички Южни локации на Столицата. 

Разполагаме с изпълнител за ДОВЪРШИТЕЛНИТЕ РАБОТИ и ремонт на закупеното от Вас жилище. "
60m²,"жк. Овча Купел 1, София",False,"122,000",EUR,Обзаведен,4-ти,5,,,Тухла,,,,,,,,,,,"ЕКСКЛУЗИВНА ОФЕРТА!!!БУТИКОВ, ЛУКСОЗНО ОБЗАВЕДЕН АПАРТАМЕНТ в непосредствена бизост до 'Нов български университет' и на 15 мин. пешеходно разстояние от метростация 'Мизия'. ЗАТВОРЕН КОМПЛЕКС !!! ЗАДЪЛЖИТЕЛНО ЗАКУПУВАНЕ НА ПАРКОМЯСТО срещу доплнително заплащане. Тухлена кооперация с разрешение за ползване от 2015г. Апартаментът се намира на 4-ти /жилищен/ етаж от общо 6 етажа. Общата площ на апартамента е 63,00 кв.м. Отопление: ГАЗ,има и поставени климатици. Изложение: юг, запад.Разпределение: коридор, мокро помещение, дневна с трапезария и кухненски бокс, спалня, обща тераса, баня с тоалетна с душ кабина. Жилището е завършено. Вътрешното пространство e функционално организирано. Жилището е напълноно обзаведено с висококачествени мебели и електроуреди. ПРИ НАС МОЖЕ ДА СЕ ВЪЗПОЛЗВАТЕ от безплатна консултация с независим кредитен консултант и да получите най-добрите условия за вашия ипотечен кредит!!! Агенцията работи с комисионна. ЛЪКИ НЕДВИЖИМИ ИМОТИ моб.тел. 0884 688 866.Посетете нашия сайт за повече актуални оферти: lucky2011.com Виж по-малко... Виж повече"
