Размер,Адрес,Точен адрес,Цена,Валута,Обзавеждане,Етаж,Етажи,Отопление,Състояние,Строителство,Спални,Бани,Двор,Площ на парцела,В регулация,Предназначение,Виза,Разрешение за строеж,Категория,Тип,Oписание
65m²,"кв. Орландовци, София",False,"95,000",EUR,Необзаведен,3-ти,4,Електричество,,Панел,,,,,,,,,,,"Имоти Сердика 1 продава двустаен необзаведен апартамент в ж.к. Орландовци. Имотът се намира в тихата част до автобусна спирка и Сточна гара. Изцяло основен ремонт, ПВЦ дограма, вътрешна изолация с вата, нови интериорни врати, сменена вик инсталация, ел. инсталация, нова баня, нова настилка в целият апартамент, монтирано модерно осветление, осветителни тела, ключове и контакти шнайдер електрик. Среден имот с голям хол и южно изложение, спалня, коридор и самостоятелна кухня с два балкона. За оглед на това и други атрактивни предложения, не се колебайте да ни потърсите на посочения телефон за връзка. В случай, че не ви отговорим на момента, ще ви върнем обаждане при първа възможност. Предлагаме безплатно съдействие за отпускане на ипотечни и потребителски кредити. Преференциални условия! Още актуални оферти за наеми и продажби може да намерите в нашия сайт: www.serdika1.bg. ID:11741
"
110m²,"кв. Орландовци, София",False,"110,000",EUR,Необзаведен,2-ри,3,,,Тухла,,,,,,,,,,,"ЛУКС! СВЕТЛИНА! КАЧЕСТВО!АДАМАНТ Недвижими имоти представя ПРОСТОРНИ Светли и Функционални 3 - СТАЙНИ апартаменти в &#127969; НОВОСТРОЯЩА СЕ БУТИКОВА СГРАДА на тиха улица на метри от:&#127795;Парк Столетник;&#128696; Детски градини и училища;&#128652;Автобусна и трамвайна спирка;&#128696;Супермаркети, Магазини, Банки, Ресторанти и др.На минути от:&#128664;пл.Сточна гара, бул. Сливница; &#128205; с бърз и лесен достъп до центъра на града. -&#9888; Етап на стройтелство: разрешение за строеж-В тази оферта представяме Апартаменти 4 и 6 със следните параметри:СТАТУТ - АпартаментКВАДРАТУРА: Чиста Жилищна площ - 90.70 кв.м., общи площи - 19.28 кв.м.; РАЗПРЕДЕЛЕНИЕ: Просторна дневна с трапезария и кухненски бокс (28.05м2), първа спалня (14.05м2),втора спалня (12.07 м2),баня с тоалетна (4.1м2),коридор(4.8м2),тераса(9.05м2) с излаз от трапезарията.-&#129517;ИЗЛОЖЕНИЕ: ЮГ/Запад/Север.СЪСТОЯНИЕ: Издава се на шпакловка и замазка.-Сградата е бутикова, само 6 апартамента. Изпълнява се с най - висок клас материали и качество на изпълнение!-&#128664;Възможност за закупуване на парко място във вътрешен двор с ограничен достъп за живущите - от 12кв.м. до 18кв.м.-Посочените цени са БЕЗ ДДС.Изключително ГЪВКАВИ СХЕМИ за плащане!-НАШИТЕ УСЛУГИ: Агенция 'Adamant Real Estates' е с Вас във всяка стъпка от покупката на Вашето ново жилище!От избора на най - подходящия имот, през кредитирането на преференциални условия и пълната юридичека подкрепа, до споделянето на радостта от успешната сделка!За повече информация, записване за оглед ви очакваме на тел.: &#128242;0894 94 20 22 - Елизабет Миланова. "
123m²,"кв. Орландовци, София",False,"122,950",EUR,Необзаведен,2-ри,3,Без отопление,,Тухла,,,,,,,,,,,"ЛУКС! СВЕТЛИНА! КАЧЕСТВО!
АДАМАНТ Недвижими имоти представя ПРОСТОРНИ Светли и Функционални 3 - СТАЙНИ апартаменти в НОВОСТРОЯЩА СЕ БУТИКОВА СГРАДА на тиха улица на метри от:

Парк Столетник;
Детски градини и училища;
Автобусна и трамвайна спирка;
Супермаркети, Магазини, Банки, Ресторанти и др.
На минути от:
пл.Сточна гара, бул. Сливница;
с бърз и лесен достъп до центъра на града.
-
Етап на стройтелство: Завършен е грубият строеж на сградата.
Очакван АКТ 16 октомври 2022г.!
-
В тази оферта представяме Апартаменти 3 и 5 със следните параметри н втори жилищен етаж:
СТАТУТ - Апартамент
КВАДРАТУРА: Чиста Жилищна площ - 122.95 кв.м., общи площи - 101.40 кв.м.;
РАЗПРЕДЕЛЕНИЕ:
Просторна дневна с трапезария и кухненски бокс (28.1м2),
първа спалня (15.5м2),
втора спалня (13.6 м2),
баня с тоалетна (3.9м2),
дрешник/мокро/тоалетна с баня (3.8м2)
коридор(6.4м2),
тераса(13.4м2) с излаз от трапезарията и първата спалня.
-
ИЗЛОЖЕНИЕ: ЮГ/Изток/Север.
СЪСТОЯНИЕ: Издава се на шпакловка и замазка.
-
Сградата е бутикова, само 6 апартамента. Изпълнява се с най - висок клас материали и качество на изпълнение!
-
Възможност за закупуване на паркомясто във вътрешен двор с ограничен достъп за живущите - от 12кв.м. до 18кв.м.
-
Посочените цени са БЕЗ ДДС.
Изключително ГЪВКАВИ СХЕМИ за плащане!
-
НАШИТЕ УСЛУГИ: Агенция 'Adamant Real Estates' е с Вас във всяка стъпка от покупката на Вашето ново жилище!
От избора на най - подходящия имот, през кредитирането на преференциални условия и пълната юридичека подкрепа, до споделянето на радостта от успешната сделка!
За повече информация, записване за оглед ви очакваме на тел.:

0894 94 20 22 - Елизабет Миланова.
"
78m²,"кв. Орландовци, София",False,"99,990",EUR,,3-ти,5,,,Тухла,,,,,,,,,,,"Код в агеннцията: 54025. РЕАЛНА ОФЕРТА. 
ТОП ЦЕНА. РЕАЛНА КВАДРАТУРА. ОТЛИЧЕН ЗА СОБСТВЕНО ПОЛЗВАНЕ ИЛИ ИНВЕСТИЦИЯ. 
НА 2 МИНУТИ ОТ ГРАДСКИ ТРАНСПОРТ И 10МИН ОТ ЦЕНТЪРА НА СОФИЯ. Двустаен апартамент разположен в нова сграда на трети етаж в тухлена сграда от 2006г. АКТ 16. Жилището разполага със  застроена площ от 78кв/м , като са усвоени в следното разпределение: входно антре, голяма дневна с  кухненски бокс и трапезария, просторна спалня, баня с тоалетна и тераса. Напълно обзаведен. Оборудвана кухня. Жилището е отлично както за лично ползване така и за инвестиция, тъй като обзавеждането включва всичко необходимо. Отоплението е на електричество. ПВЦ дограма. Настилки- ламинат, теракот и фаянс. Стени- латекс. Отлично поддържани общи части. Паркинг пред сградата на свободен принцип. ПРИ НАС МОЖЕ ДА СЕ ВЪЗПОЛЗВАТЕ от безплатна консултация с независим кредитен консултант и да получите най-добрите условия за вашия ипотечен кредит!!! Агенцията работи с комисионна. ЛЪКИ НЕДВИЖИМИ ИМОТИ моб.тел. 0884 688 866. Всички наши оферти ги работим с КОРЕКТНИ КОЛЕГИ!"
60m²,"кв. Орландовци, София",True,"79,900",EUR,Обзаведен,1-ви,8,Електричество,,Тухла,,,,,,,,,,,"АЯКС Ви представя страхотен двустаен апартамент в сграда от 1990г в кв.Орландовци. Ситуиран е на 1ви жилищен етаж и разполага с площ от 60кв.м.
Разпределение:вх.антре,дневна,кухня, спалня, баня с тоалетна и тераса. Апартамента е с външна изолация. Сградата се намира на комуникативно място, близо до супермаркет и спирки на градски транспорт.

Покупката на жилище е изключително важен момент от живота на всеки човек и за това искаме да предложим най- доброто. Услугите, които можем да предложим, включват:
Получаване на одобрение за ипотечен кредит.
Застраховка на движимо и недвижимо имущество.
Строителни ,ремонтни дейности и изготвяне на 3-д интериорен дизайн , за да си представите как би изглеждал вашия мечтан дом
Юридически и счетоводни услуги и др.

За удобство на клиента, екипът ни е договорил с нашите финансови партньори преференциални условия за банков кредит.

При интерес към този или друг имот се свържете с нас за повече информация, безплатна консултация или уговорка за оглед.

Референтен номер:128592"
72m²,"кв. Орландовци, София",True,"99,990",EUR,Полуобзаведен,3-ти,5,Електричество,,Тухла,,,,,,,,,,,"партаментът се намира на комуникативно място в квартала, на ул.Мара Бунева,тухла от 2006,монолитно,качествено строителство , до спирки, магазини, топъл,`южен, слънчев, вътрешен, качествено строителство. Жилището се състои от: непреходни две помещения- трапезария с кухня, с тераса,спалня , баня с тоалетна, ПВЦ дограми ,отлично състояние,ОТЛИЧЕН... ИЗРЯДНИ ДОКУМЕНТИ! АТРАКТИВНО ПРЕДЛОЖЕНИЕ НА РАЗУМНА ЦЕНА В ЕДИН БЪРЗОРАЗВИВАЩИТЕ СЕ РАЙОНИ НА СТОЛИЦАТА С ОТЛИЧНО РАЗВИТА ИНФРАСТРУКТУРА. ЦЕНАТА Е ЗА КРАЙНИ КЛИЕНТИ, ПРОФЕСИОНАЛНО СЪДЕЙСТВИЕ ЗА КРЕДИТИРАНЕ... Оферта 8107. Ч. Л
"
65m²,"кв. Орландовци, София",True,"99,500",EUR,Необзаведен,3-ти,4,Електричество,,Панел,,,,,,,,,,,"Place2live предлага на Вашето внимание двустаен, непреходен апартамент, след основен ремонт в кв. Орландовци. Отлична локация, в близост до спирка на градски транспорт, училище, детска градина и магазини за хранителни стоки. Жилището се намира на трети етаж от четири, в панелен блок от 1982 г. Площ от 65 кв.м. разпределени по следния начин: входно антре, голям хол, самостоятелна кухня, спалня, баня с тоалетна и два балкона. Изцяло основен ремонт - ПВЦ дограма, вътрешна изолация с вата, нови интериорни врати, сменена вик инсталация, електроинсталация, нова баня, нова настилка в целия апартамент, монтирано модерно осветление - лед, осветителни тела, ключове и контакти- шнайдер електрик. Среден апартамент, отоплението е на Ток. Изложението е югозапад/ североизток. Свободно паркиране в околоблоковото пространство.
За повече информация и огледи, този номер ще Ви е необходим: 148
PLACE2LIVE предлага професионално съдействие при : 
- Съдействие за одобрение на жилищен и потребителски кредит; 
- Всички видове застраховки; 
- Юридически и счетоводни услуги; 
- Строително - Ремонтни дейности до ключ; 
- Обзавеждане
"
33m²,"кв. Орландовци, София",False,"49,000",EUR,Обзаведен,,5,Прокарва се,,Тухла,,,,,,,,,,,"Ателие което е разположено  на приземен етаж в малка пет етажна кооперация с  площ 33 кв.м . Състои се от една спалня с излаз на балкон, малка преходна кухня, баня с тоалетна, входно антре.

Изложение изток. 
 Обади се сега и цитирай този код 571720"
84m²,"кв. Орландовци, София",False,"120,000",EUR,Полуобзаведен,1-ви,6,Прокарва се,,Панел,,,,,,,,,,,"Тристаен апартамент в много добро състояние , 84 кв.м.Имотът се състои от две стаи , хол , кухня , баня с тоалетна , отделна тоалетна , мазе и две тераси. Изложение юг - север .
 Обади се сега и цитирай този код 564571"
72m²,"кв. Орландовци, София",False,"95,000",EUR,Обзаведен,8-ми,8,Локално отопление,,Панел,,,,,,,,,,,"- Просторен и светъл двустаен апартамент в панелно строителство от края на осемдесетте години. Ул. Свобода. В близост до ул. Овчарска. На пешеходно разстояние до различни учебни заведения , малки и големи търговски обекти , множество комуникации и удобства.- Разположен на осми жилищен етаж , имотът е изложен на югоизток. Състои се от широко входно антре, обширна дневна с тераса, кухня с всички необходими електроуреди и усвоена тераса, баня с тоалетна, голяма спалня. Напълно ремонтиран с качествени материали едва преди година. Нови ВиК, ел. инсталации. Саниран. Отопление склиматик - 3 бр. ПВЦ дограма Ка стъкло. Ремонтиран покрив през изминалата есен. Входът е с контролиран достъп.- За повече информация, уговорки относно огледи, както и професионално съдействие за кредитиране от лицензирания ни финансов консултант, на тел: 0877 882 889"
