Размер,Адрес,Точен адрес,Цена,Валута,Обзавеждане,Етаж,Етажи,Отопление,Състояние,Строителство,Спални,Бани,Двор,Площ на парцела,В регулация,Предназначение,Виза,Разрешение за строеж,Категория,Тип,Oписание
87m²,"кв. Павлово, София",False,"147,000",EUR,Обзаведен,3-ти,6,,,Тухла,,,,,,,,,,,"Предлагам на Вашето внимание просторен двустаен апартамент с чиста жилищна площ 86,45 кв.м. в квартал Павлово. Жилището се намира на тихо и спокойно място в близост до 5 ОУ""Иван Вазов"", сградата е построена през 1997 г. Имотът е в много добро състояние и може да се ползва веднага без нужда от ремонт, отоплението е с радиатори (с електрическо котле), външна топлоизолация на апартамента. Разпределение: просторно антре, кухня (16 кв.м.) и спалня (16 кв.м.) с изложение североизток, втора спалня (просторна, 25 кв.м.) и тераса със западно изложение. Апартаментът се продава с обзавеждането. Офертата е за частни лица! Агенция ВАЛЕР е вече 28 години на пазара на недвижими имоти. Утвърдили сме се като професионалисти. Водещи принципи в нашата работа са лоялността и коректността към клиентите на агенцията. Огледи - с подписан Протокол за оглед, комисионна 2,5% от продажната цена. За контакт:  0894591461, http://www.valer.bg/bg
"
97m²,"кв. Павлово, София",False,"179,000",EUR,Необзаведен,5-ти,,Електричество,,Тухла,,,,,,,,,,,"Предлагам на Вашето внимание много слънчев и топъл (южно изложение) тристаен апартамент 97 кв.м. в Павлово. Сградата, в която се намира апартамента е луксозна и нова, с Разрешение за ползване (Акт 16) от 2021 г. Локацията на имота е отлична, в близост до градинка с борове, спирки на градския транспорт, детски градини, училища, магазини, ресторанти, здравни заведения и други. Сградата е с контролиран достъп, луксозен асансьор и общи части. Апартаментът се продава на шпакловка и замазка. Разпределение: антре,  дневна с трапезария и кухненски бокс, спалня, втора спалня, баня с тоалетна, тоалетна, три тераси, складово помещение. Отопление - газ или електичество ( в дневната е направена инсталация за поставяне на климатик). Офертата е за частни лица! Агенция ВАЛЕР е вече 28 години на пазара на недвижими имоти. Утвърдили сме се като професионалисти. Водещи принципи в нашата работа са лоялността и коректността към клиентите на агенцията. Огледи - с подписан Протокол за оглед, комисионна 2,5% от продажната цена.За контакт:  0894591461,http://www.valer.bg/bg
"
33m²,"кв. Павлово, София",False,"75,500",EUR,Обзаведен,2-ри,7,Локално отопление,,Панел,,,,,,,,,,,"Луксозен ,обзаведен след основен ремонт. Бърз и  лесен  достъп  до града . За хора,търсещи тишина и спокойствие от напрегднатото ежедневие.В един от най- представителни райони на София –Павлово. На изключително комуникативно място, удобен градски транспорт, в непосредствена близост до детска градина, училище, пазар, поликлиника, супермаркет- Аванти, Фантастико, Kaufland. Разположен на втори жилищен етаж от седем. Разпределение : входно антре, дневна с кухненски бокс и спалня, баня и тоалетна.След основен ремонт.Нова ПВЦ - дограма настилки: ламинат.Обзаведен с чисто нови уреди и мебели. Изложение – югоизток.Апартаментът е среден, предпоставки за ниски сметки за отопление.Добре поддържани общи части,заключващи се врати на етажа,сменени дограми,вход чип.Широки и озеленени междублокови пространства.Свободно паркиране около блока.
,"
47m²,"кв. Павлово, София",False,"72,000",EUR,Необзаведен,8-ми,10,,,Тухла,,,,,,,,,,,"Луксозен едностаен апартамент в нова, луксозна бутикова сграда с изключително комуникативна локация, в близост до кръстовището на бул. Цар Борис III и ул. Александър Пушкин.В района - детска градина, училища, хранителни вериги и др. Разпределение: голямо еднопространствено помещение с кухненски бокс, антре и баня с тоалетна. Сградата ще разполага с 800 кв.м. вътрешен двор с детски кът и места за отдих на живущите.Акценти във фасадата ще бъдат изпъкнали рамки, облицовани с естествен камък.Първокласно ново строителство от утвърдена строително-инвестиционна компания. Срок на изпълнение март 2023 г."
229m²,"кв. Павлово, София",False,"370,000",EUR,,4-ти,5,,,Тухла,,,,,,,,,,,"Home Life Ви представя за продажба просторен слънчев мезонет с чиста застроена площ от 167,32 м2 в квартал Павлово. 
Сградата е бутикова и се намира на тихо и спокойно място. Качествено ново строителство с висок клас материали на етап след Акт 14.
Мезонетът е ситуиран на 4 и 5 етаж. Отоплението е на газ.

Разпределение:
На първо ниво входно антре от 7 м2, дневна с кухненски бокс от 37 м2 с излаз на панорамна тераса, баня с тоалетна и спалня.
На второ ниво се намират коридор 8м2, втора спалня от 22 м2 с баня с тоалетна, две панорамни тераси с обща площ 36 м2, втора спалня с две панорамни тераси с обща площ 20 м2, баня с тоалет, склад.  

Изложение: Юг / Изток.
Към апартамента има гараж с цена 33,300 €.
Акт 16 се очаква се очаква до края на 2023 г.

"
74m²,"кв. Павлово, София",False,"125,681",EUR,,2-ри,6,Без отопление,,Тухла,,,,,,,,,,,"ДРИЙМ ВИЖЪН НЕДВИЖИМИ ИМОТИ Продава тристаен апартамент в кв.Павлово. Намира се в новострояща се сграда, разположена на тихо и спокойно , но същевременно и комуникативно място с бърз достъп до ул. Ал Пушкин, бул.Цар Борис и Околовръстен път. Жилището е със следното разпределение: входно антре, дневна с кухненски бокс и трапезария, две спални, баня с тоалетна, килер, тераса. Предава се на шпакловка и замазка.Отопление на газ. Възможност за закупуване на гараж или паркомясто. Сградата ще бъде изпълнена с висококачествени материали и луксозни общи части. ДОКАЗАЛ СЕ СТРОИТЕЛ. В сградата предлагаме и други апартаменти. Всички наши обяви ги работим с колеги. Оферта в агенцията  9093. Още наши оферти може да намерите на www. dreamvision. bg Телефони за връзка: 02/421 96 35 ; 0886 13 22 91 Димитър Георгиев
"
93m²,"кв. Павлово, София",False,"148,128",EUR,,4-ти,6,Без отопление,,Тухла,,,,,,,,,,,"ДРИЙМ ВИЖЪН НЕДВИЖИМИ ИМОТИ Продава тристаен апартамент в кв.Павлово. Намира се в новострояща се сграда, разположена на тихо и спокойно , но същевременно и комуникативно място с бърз достъп до ул. Ал Пушкин, бул.Цар Борис и Околовръстен път. Жилището е със следното разпределение: входно антре, дневна с кухненски бокс и трапезария, две спални, баня с тоалетна, килер, тераса. Предава се на шпакловка и замазка.Отопление на газ. Възможност за закупуване на гараж или паркомясто. Сградата ще бъде изпълнена с висококачествени материали и луксозни общи части. ДОКАЗАЛ СЕ СТРОИТЕЛ. В сградата предлагаме и други апартаменти. Всички наши обяви ги работим с колеги. Оферта в агенцията 9095. Още наши оферти може да намерите на www. dreamvision. bg Телефони за връзка: 02/421 96 35 ; 0886 13 22 91 Димитър Георгиев
"
52m²,"кв. Павлово, София",False,"82,992",EUR,,2-ри,6,Без отопление,,Тухла,,,,,,,,,,,"ДРИЙМ ВИЖЪН НЕДВИЖИМИ ИМОТИ Продава двустаен апартамент в кв.Павлово. Намира се в новострояща се сграда, разположена на тихо и спокойно , но същевременно и комуникативно място с бърз достъп до ул. Ал Пушкин, бул.Цар Борис и Околовръстен път. Жилището е със следното разпределение: входно антре, дневна с кухненски бокс и трапезария, спалня, баня с тоалетна, килер, тераса. Предава се на шпакловка и замазка.Отопление на газ. Възможност за закупуване на гараж или паркомясто. Сградата ще бъде изпълнена с висококачествени материали и луксозни общи части. ДОКАЗАЛ СЕ СТРОИТЕЛ. В сградата предлагаме и други апартаменти. Всички наши обяви ги работим с колеги. Оферта в агенцията 9094. Още наши оферти може да намерите на www. dreamvision. bg Телефони за връзка: 02/421 96 35 ; 0886 13 22 91 Димитър Георгиев"
152m²,"кв. Павлово, София",False,"255,000",EUR,Обзаведен,5-ти,6,,,Тухла,,,,,,,,,,,"ДРИЙМ ВИЖЪН НЕДВИЖИМИ ИМОТИ Продава напълно обзаведен четиристаен апартамент с в кв. Павлово. Намира се в нова сграда, разположена на много комуникативно и спокойно място. Жилището е преустроено на два апартамента със следното разпределение: Апартамент 1 - дневна с кухненски бокс и трапезария, спалня, баня с тоалетна и тераса.Апартамент 2 - дневна с кухненски бокс и трапезария, спалня с гардеробна, баня с тоалетна и тераса. Оферта в агенцията 8780. Всички наши обяви ги работим с колеги. Още наши оферти може да намерите на www.dreamvision.bg Телефони за връзка: 02 421 96 35 ; 0886 13 22 91 Димитър Георгиев
"
132m²,"кв. Павлово, София",False,"201,560",EUR,Необзаведен,3-ти,6,,,Тухла,,,,,,,,,,,"ДРИЙМ ВИЖЪН НЕДВИЖИМИ Продава тристаен апартамент в кв. Павлово на тихо и спокойно място в близост до спирки на градски транспорт, магазини, заведения. Нова сграда с луксозни общи части. Жилището се състои от:входно антре, дневна с кухненски бокс и трапезария, две спални,баня с тоалетна,тоалетна,склад, дветераси. Възможност за допълнително закупуване на гараж или паркомясто. В сградата предлагаме и други апартаменти. Строителство от ДОКАЗАН СТРОИТЕЛ. Оферта в агенцията 7598. Всички наши обяви ги работим с колеги. Още наши оферти може да намерите на www.dreamvision.bg Телефони за връзка: 02/421 96 35 ; 0886 13 22 91 Димитър Георгиев
"
