Размер,Адрес,Точен адрес,Цена,Валута,Обзавеждане,Етаж,Етажи,Отопление,Състояние,Строителство,Спални,Бани,Двор,Площ на парцела,В регулация,Предназначение,Виза,Разрешение за строеж,Категория,Тип,Oписание
56m²,"кв. Подуяне, София",False,"140,000",EUR,,1-ви,3,,,Тухла,,,,,,,,,,,"Просторен двустаен апартамент в стара тухлена сграда от 60-те години. Две стаи, кухня, баня с тоалетна. Апартаментът няма тераса и с 56м2 реална застроена площ. Стаите са със западно изложение, а кухнята е на север. Поддържано жилище в обгрижен блок. Подови настилки-естествен паркет,теракота. Подменени водопровод и канализация с ПВЦ тръби и частично ел. инсталация. Двукатна дървена дограма. Към апартамента има голямо светло мазе от 16 м2, като мазетата в блока се дават под наем за складови помещения на фирми, търгуващи в МОЛ Сердика. Входът е обгрижен и поддържан. Блокът е на тихо и спокойно,но същевременно комуникативно място-до бул.Ситняково, ул. Черковна и МОЛ Сердика. Паркова среда, детска площадка, детска градина, училище, спирки на гр.транспорт. Катанска 0878686843"
53m²,"кв. Подуяне, София",True,,,Обзаведен,6-ти,7,Електричество,,Тухла,,,,,,,,,,,"Представяме Ви маломерен двустаен апартамент, ЮЖЕН, прекрасна гледка към Витоша .
Дневна с преход към спалня, самостоятелна кухня, слънчева тераса.
Жилището има нужда от освежителен ремонт. Ключ в агенцията . 
"
103m²,"кв. Подуяне, София",False,"175,300",EUR,,5-ти,9,ТЕЦ,,Тухла,,,,,,,,,,,"Просторен тристаен апартамент със застроена площ от 88.80 кв.м. Състои се от: хол с кухненски бокс, две спални, баня с тоалетна, отделна тоалетна и две тераси. Изложението е юг-север. Има възможност за закупуване на паркомясто или гараж.

 
 Обади се сега и цитирай този код 561239"
109m²,"кв. Подуяне, София",False,"184,600",EUR,,6-ти,8,ТЕЦ,,Тухла,,,,,,,,,,,"Просторен тристаен апартамент със застроена площ от 93.50 кв.м. Състои се от: хол с кухненски бокс, две спални, баня с тоалетна, отделна тоалетна и две тераси. Изложението е юг-север. Има възможност за закупуване на паркомясто или гараж.

 
 Обади се сега и цитирай този код 561244"
162m²,"кв. Подуяне, София",False,"274,500",EUR,,8-ми,9,ТЕЦ,,Тухла,,,,,,,,,,,"Просторен многостаен мезонет със застроена площ от 139 кв.м. Състои се от: хол с кухненски бокс, три спални, две бани с тоалетни и три тераси. Изложението е юг-север. Има възможност за закупуване на паркомясто или гараж.
 Обади се сега и цитирай този код 561248"
71m²,"кв. Подуяне, София",False,"121,000",EUR,,1-ви,9,ТЕЦ,,Тухла,,,,,,,,,,,"Двустаен апартамент със застроена площ от 61.30 кв.м. Състои се от: хол с кухненски бокс, спалня, баня с тоалетна и тераса. Изложението е изцяло южно. Има възможност за закупуване на паркомясто или гараж.

 
 Обади се сега и цитирай този код 561230"
64m²,"кв. Подуяне, София",False,"102,000",EUR,,1-ви,9,ТЕЦ,,Тухла,,,,,,,,,,,"Двустайно жилище със застроена площ от 54.80 кв.м. Състои се от: хол с кухненски бокс, спалня, баня с тоалетна и тераса. Изложението е северно. Жилището е със статут на ателие. Има възможност за закупуване на паркомясто или гараж.

 
 Обади се сега и цитирай този код 561232"
109m²,"кв. Подуяне, София",False,"184,600",EUR,,7-ми,8,ТЕЦ,,Тухла,,,,,,,,,,,"Прекрасен тристаен апартамент със застроена площ от 93.50 кв.м. Състои се от: хол с кухненски бокс, две спални, баня с тоалетна, отделна тоалетна и две тераси. Изложението е юг-север. Има възможност за закупуване на паркомясто или гараж.

 
 Обади се сега и цитирай този код 561245"
170m²,"кв. Подуяне, София",False,"288,500",EUR,,7-ми,9,ТЕЦ,,Тухла,,,,,,,,,,,"Уникален многостаен апартамент със застроена площ от 146.10 кв.м. Състои се от: хол с кухненски бокс, три спални, две бани с тоалетни, отделна тоалетна и две тераси. Изложението е изцяло южно. Има възможност за закупуване на паркомясто или гараж.

 
 Обади се сега и цитирай този код 561246"
63m²,"кв. Подуяне, София",False,"101,600",EUR,,7-ми,9,ТЕЦ,,Тухла,,,,,,,,,,,"Двустайно жилище със застроена площ от 54.70 кв.м. Състои се от: хол с кухненски бокс, спалня, баня с тоалетна и тераса. Изложението е северно. Жилището е със статут на ателие. Има възможност за закупуване на паркомясто или гараж.

 
 Обади се сега и цитирай този код 561247"
162m²,"кв. Подуяне, София",False,"274,500",EUR,,8-ми,9,ТЕЦ,,Тухла,,,,,,,,,,,"Страхотен тристаен мезонет със застроена площ от 139 кв.м. Състои се от: хол с кухненски бокс, две спални, баня с тоалетна, две тоалетни и две тераси. Изложението е юг-север. Има възможност за закупуване на паркомясто или гараж. 
 Обади се сега и цитирай този код 561250"
62m²,"кв. Подуяне, София",False,"99,600",EUR,,3-ти,9,ТЕЦ,,Тухла,,,,,,,,,,,"Двустайно жилище със застроена площ от 53.60 кв.м. Състои се от: кухненски бокс, спалня, баня с тоалетна и тераса. Изложението е северно. Жилището е със статут на ателие. Има възможност за закупуване на паркомясто или гараж.
 Обади се сега и цитирай този код 561236"
118m²,"кв. Подуяне, София",False,"200,800",EUR,,5-ти,9,ТЕЦ,,Тухла,,,,,,,,,,,"Страхотен тристаен апартамент със застроена площ от 101.70 кв.м. Състои се от: хол с кухненски бокс, две спални, две бани с тоалетни и две тераси. Изложението е юг-север. Има възможност за закупуване на паркомясто или гараж. 
 Обади се сега и цитирай този код 561242"
99m²,"кв. Подуяне, София",False,"168,800",EUR,,1-ви,9,ТЕЦ,,Тухла,,,,,,,,,,,"Просторен тристаен апартамент със застроена площ от 85.50 кв.м. Състои се от: хол с кухненски бокс, две спални, баня с тоалетна, отделна тоалетна и тераса. Изложението е юг-север. Има възможност за закупуване на паркомясто или гараж. 
 Обади се сега и цитирай този код 561228"
99m²,"кв. Подуяне, София",False,"168,800",EUR,,2-ри,9,ТЕЦ,,Тухла,,,,,,,,,,,"Просторен тристаен апартамент със застроена площ от 85.50 кв.м. Състои се от: хол с кухненски бокс, две спални, баня с тоалетна, отделна тоалетна и две тераси. Изложението е юг-север. Има възможност за закупуване на паркомясто или гараж.
 Обади се сега и цитирай този код 561235"
118m²,"кв. Подуяне, София",False,"200,800",EUR,,4-ти,9,ТЕЦ,,Тухла,,,,,,,,,,,"Просторен тристаен апартамент със застроена площ от 101.70 кв.м. Разположен е на среден етаж. Състои се от: хол с кухненски бокс, две спални, две бани с тоалетни и две тераси. Изложението е юг-север. Има възможност за закупуване на паркомясто или гараж.
 Обади се сега и цитирай този код 561238"
75m²,"кв. Подуяне, София",False,"199,900",EUR,Обзаведен,1-ви,8,ТЕЦ,,Тухла,,,,,,,,,,,"Имоти Сердика 1 продава тристаен апартамент в кв.Подуяне,гр. София. Имотът се намира на  ул. Черковна. Жилището има следното разпределение:входно антре,самостоятелна кухня,хол,две спални,баня и тоалетна.Апартаментът е обзаведен,готов за ползване. Подови настилки естествен паркет и теракота. Отоплението е на ТЕЦ.Имотът е с площ от 75 кв.м. За оглед на това и други атрактивни предложения, не се колебайте да ни потърсите на посочения телефон за връзка. В случай, че не ви отговорим на момента, ще ви върнем обаждане при първа възможност. Предлагаме безплатно съдействие за отпускане на ипотечни и потребителски кредити. Преференциални условия! Още актуални оферти за наеми и продажби може да намерите в нашия сайт: www.serdika1.bg. ID:9522
 

  
 

. 
 
"
73m²,"кв. Подуяне, София",False,"143,000",EUR,Необзаведен,2-ри,9,,,Тухла,,,,,,,,,,,"New Estates представя на вашето внимание изцяло южен двустаен апартамент в сграда от ново поколение отличаваща се със съвременната си архитектура, съчетана с луксозно изпълнени общи части и пространства около сградата.
Сградата е с отлично разпределени жилищни площи, като всеки апартамент има всекидневна с южно изложение. В близост се намират на пешеходно разстояние парк ""Заимов"", аптека, клиника, частна болница, метростанция, спирки на градкси транспорт, детска градина и множество магазини. Отопление на ТЕЦ.
Разрешение за ползване (Акт 16): Октомври 2024г
"
104m²,"кв. Подуяне, София",False,"199,000",EUR,,2-ри,9,,,Тухла,,,,,,,,,,,"New Estates представя на вашето внимание изцяло южен тристаен апартамент в сграда от ново поколение отличаваща се със съвременната си архитектура, съчетана с луксозно изпълнени общи части и пространства около сградата.
Сградата е с отлично разпределени жилищни площи, като всеки апартамент има всекидневна с южно изложение. В близост се намират на пешеходно разстояние парк ""Заимов"", аптека, клиника, частна болница, метростанция, спирки на градкси транспорт, детска градина и множество магазини. Отопление на ТЕЦ.
Разрешение за ползване (Акт 16): Октомври 2024г
"
115m²,"кв. Подуяне, София",True,"213,000",EUR,Необзаведен,1-ви,,Електричество,,Тухла,,,,,,,,,,," Тристаен апартамент в район Подуяне.
Апартаментът се състои от входно антре, с килер и мокро помещение, голяма дневна с кухненски бокс, две непреходни спални, баня и отделно тоалетна.

За повече информация и оглед се свържете с нас!

Имотът може да бъде резервиран и свален от продажба със заплащане на депозит, след което се прекратява провеждането на огледи с други купувачи и започва подготовка на документите за сключване на предварителен и окончателен договор.
Допълнителни услуги и следпродажбено обслужване
Ние сме реномирана компания и ще бъдем с вас не само по време на покупката, но и след това, осигурявайки ви допълнителни услуги по ваше изискване с цел пълноценно и безпроблемно ползване на новозакупения имот. Услугите, които можем да предложим, включват получаване на одобрение за ипотечен кредит, застраховка на движимо и недвижимо имущество, строителни и ремонтни дейности, обзавеждане, юридически и счетоводни услуги и др.

Реф. номер: 37483"
240m²,"кв. Подуяне, София",True,"265,000",EUR,Обзаведен,2-ри,5,Локално отопление,,Тухла,,,,,,,,,,,"ТОП ОФЕРТА! ЦЕНА С ДВА НАДЗЕМНИ ГАРАЖА! 4 СПАЛНИ!САНИРАН! МАСИВНА ТУХЛЕНА СГРАДА ОТ 1998г. с контролиран достъп и добри общи части.  ЗП-200кв.м., два гаража по 20кв.м.,  мазе-5кв.м. ОБЗАВЕДЕН, ПРОСТОРЕН, СЛЪНЧЕВ. ТИП МЕЗОНЕТ/ разположен на висок първи и втори жилищен етаж/. Близо до парк! РАЗПРЕДЕЛЕНИЕ: Първо ниво – входно антре, просторна дневна с трапезария и кухня,  тераса пред дневната, тоалетна. Второ ниво:  четири спални, две бани с тоалетни. ИЗЛОЖЕНИЕ: И/З. за контакти: 0888720101"
78m²,"кв. Подуяне, София",False,"93,400",EUR,Необзаведен,5-ти,6,,,,,,,,,,,,,,"367819 БЕЗ КОМИСИОНА ОТ КУПУВАЧА! ЦЕНИ НА ИНВЕСТИТОРА!

Разрешение за строеж - 05.2020!!! Депозирайте своето жилище сега срещу 2000€!

Предлагаме за продажба 1-стайни, 2-стайни и 3-стайни апартаменти в бутикова жилищна сграда в кв. Подуяне, разположена на тихо място - в близост до училище, детска градина и недалеч от бул. Ботевградско шосе.

Районът е спокоен, зелен и с ниско застрояване предимно от къщи. Спирки на градски транспорт има на 300м от мястото на ул. Бесарабия, както и множество магазини и ресторанти на бул. Ботевградско шосе на 5 мин с кола от сградата.

Проектът ще бъде завършен и предаден с Разрешение за ползване пролетта на 2022г. Строително-инвестиционната компания е построила и продължава да строи множество сгради на топ локации в столицата.

С тази оферта ви представяме 2-стаен апартамент, състоящ се от: антре, дневна с кухненски бокс и трапезария, спалня, баня с тоалетна и балкон.

Към всеки имот може да може да бъде закупен гараж на цена от 13500€ и паркоместа на цена от 7500€.

За да получите актуална информация и цени на свободните апартаменти, както и друга подробна информация относно проекта, моля използвайте формата за контакт с агента.

ЕТАП НА СТРОИТЕЛСТВО: завършен груб строеж (Акт 14); ОТОПЛЕНИЕ: локално; Има 1 балкон/тераса; Предава се на шпакловка и замазка; Непреходен; ВИД СТРОИТЕЛСТВО: стоманобетонна конструкция; ЗАСТРОЕНА ПЛОЩ 65.85 кв.м; ПУСКОВ СРОК: 10.2024; ИЗЛОЖЕНИЕ: запад, юг; СПАЛНИ: 1; БАНИ: 1; ДОГРАМА: Пет камерна PVC

_________________________________________________________________________________________________

Към потенциалните продавачи! 
Ако продавате подобен имот или обмисляте дали да го направите в близко бъдеще, моля свържете се с мен. Имам клиенти, които търсят в района. Мога да дам ориентировъчна цена по телефон или имейл и по-точна цена при оглед на място.

ОГЛЕДЪТ И КОНСУЛТАЦИЯТА СА БЕЗПЛАТНИ.

МОЖЕТЕ СЪЩО ТАКА, ДА ПОДАДЕТЕ И БЕЗПЛАТНА ЧАСТНА ОБЯВА ЗА ПРОДАЖБА НА ВАШИЯ ИМОТ В MIRELA.BG, БЕЗ БРОКЕР И КОМИСИОНА. За повече информация попитайте за оферта 367819"
