Размер,Адрес,Точен адрес,Цена,Валута,Обзавеждане,Етаж,Етажи,Отопление,Състояние,Строителство,Спални,Бани,Двор,Площ на парцела,В регулация,Предназначение,Виза,Разрешение за строеж,Категория,Тип,Oписание
67m²,"жк. Полигона, София",False,"129,100",EUR,Необзаведен,5-ти,11,ТЕЦ,,Тухла,,,,,,,,,,,"БЕЗ КОМИСИОННА ОТ КУПУВАЧА!!! ДРИЙМ ВИЖЪН НЕДВИЖИМИ ИМОТИ Продава двустаен апартамент в кв. Полигона на тихо и спокойно място в близост до The Mall, спирки на градски транспорт, супермаркет, училище, детска градина. Жилището се състои от: входно антре, дневна с кухненски бокс и трапезария, спалня, баня с тоалетна, тераса. Отопление на ТЕЦ. Възможност за допълнително закупуване на паркомясто или гараж. В сградата предлагаме и други апартаменти. Предава се на шпакловка и замазка с блиндирана входна врата, висококачествена PVC дограма. Качествено строителство с луксозни общи части, ДОКАЗАН СТРОИТЕЛ. Обявената цена е с включено ДДС! Оферта в агенцията 8280. Всички наши обяви ги работим с колеги. Още наши оферти може да намерите на www.dreamvision.bg Телефони за връзка: 0886 13 22 91 Димитър Георгиев
"
116m²,"жк. Полигона, София",False,"215,684",EUR,Необзаведен,6-ти,11,ТЕЦ,,Тухла,,,,,,,,,,,"БЕЗ КОМИСИОННА ОТ КУПУВАЧА!!! ДРИЙМ ВИЖЪН НЕДВИЖИМИ ИМОТИ Продава тристаен апартамент в кв. Полигона на тихо и спокойно място в близост до The Mall, спирки на градски транспорт, супермаркет, училище, детска градина. Жилището се състои от: входно антре, дневна с кухненски бокс и трапезария, две спални, две бани с тоалетна, мокро помещение, тераса. Отопление на ТЕЦ. Възможност за допълнително закупуване на паркомясто или гараж. В сградата предлагаме и други апартаменти. Предава се на шпакловка и замазка с блиндирана входна врата, висококачествена PVC дограма. Качествено строителство с луксозни общи части, ДОКАЗАН СТРОИТЕЛ. Обявената цена е с включено ДДС! Оферта в агенцията 8284. Всички наши обяви ги работим с колеги. Още наши оферти може да намерите на www.dreamvision.bg Телефони за връзка: 0886 13 22 91 Димитър Георгиев
"
64m²,"жк. Полигона, София",False,"118,570",EUR,Необзаведен,2-ри,11,ТЕЦ,,Тухла,,,,,,,,,,,"БЕЗ КОМИСИОННА ОТ КУПУВАЧА!!! ДРИЙМ ВИЖЪН НЕДВИЖИМИ ИМОТИ Продава двустаен в кв. Полигона на тихо и спокойно място в близост до The Mall, спирки на градски транспорт, супермаркет, училище, детска градина. Жилището се състои от: входно антре, дневна с кухненски бокс и трапезария, спалня, баня с тоалетна, тераса. Отопление на ТЕЦ. Възможност за допълнително закупуване на паркомясто или гараж. В сградата предлагаме и други апартаменти. Предава се на шпакловка и замазка с блиндирана входна врата, висококачествена PVC дограма. Качествено строителство с луксозни общи части, ДОКАЗАН СТРОИТЕЛ. Обявената цена е с включено ДДС! Оферта в агенцията 8281. Всички наши обяви ги работим с колеги. Още наши оферти може да намерите на www.dreamvision.bg Телефони за връзка: 0886 13 22 91 Димитър Георгиев
"
101m²,"жк. Полигона, София",False,"220,510",EUR,Необзаведен,2-ри,9,ТЕЦ,,Тухла,,,,,,,,,,,"ДРИЙМ ВИЖЪН НЕДВИЖИМИ ИМОТИ Продава тристаен апартамент в кв. Полигона на тихо и спокойно място в близост до The Mall, спирки на градски транспорт, супермаркет, училище, детска градина. Жилището се състои от: входно антре, дневна с кухненски бокс и трапезария, две спални, едната от които със собствена баня с тоалетна, втора баня с тоалетна, тераса. Отопление на ТЕЦ. Възможност за допълнително закупуване на паркомясто или гараж. В сградата предлагаме и други апартаменти. Предава се на шпакловка и замазка с блиндирана входна врата, висококачествена PVC дограма. Качествено строителство с луксозни общи части, ДОКАЗАН СТРОИТЕЛ. Обявената цена е с ДДС. Оферта в агенцията 8227. Всички наши обяви ги работим с колеги. Още наши оферти може да намерите на www.dreamvision.bg Телефони за връзка: 0886 13 22 91 Димитър Георгиев
"
109m²,"жк. Полигона, София",False,"202,460",EUR,Необзаведен,8-ми,11,ТЕЦ,,Тухла,,,,,,,,,,,"БЕЗ КОМИСИОННА ОТ КУПУВАЧА!!! ДРИЙМ ВИЖЪН НЕДВИЖИМИ ИМОТИ Продава тристаен апартамент в кв. Полигона на тихо и спокойно място в близост до The Mall, спирки на градски транспорт, супермаркет, училище, детска градина. Жилището се състои от: входно антре, дневна с кухненски бокс и трапезария, две спални, едната от които със собствена баня с тоалетна, втора баня с тоалетна, мокро помещение, тераса. Отопление на ТЕЦ. Възможност за допълнително закупуване на паркомясто или гараж. В сградата предлагаме и други апартаменти. Предава се на шпакловка и замазка с блиндирана входна врата, висококачествена PVC дограма. Качествено строителство с луксозни общи части, ДОКАЗАН СТРОИТЕЛ. Обявената цена е с включено ДДС! Оферта в агенцията 8283. Всички наши обяви ги работим с колеги. Още наши оферти може да намерите на www.dreamvision.bg Телефони за връзка: 0886 13 22 91 Димитър Георгиев
"
115m²,"жк. Полигона, София",False,"251,310",EUR,Необзаведен,3-ти,9,ТЕЦ,,Тухла,,,,,,,,,,,"ДРИЙМ ВИЖЪН НЕДВИЖИМИ ИМОТИ Продава тристаен апартамент в кв. Полигона на тихо и спокойно място в близост до The Mall, спирки на градски транспорт, супермаркет, училище, детска градина. Жилището се състои от: входно антре, дневна с кухненски бокс и трапезария, две спални, едната от които със собствена баня с тоалетна, втора баня с тоалетна, тераса. Отопление на ТЕЦ. Възможност за допълнително закупуване на паркомясто или гараж. В сградата предлагаме и други апартаменти. Предава се на шпакловка и замазка с блиндирана входна врата, висококачествена PVC дограма. Качествено строителство с луксозни общи части, ДОКАЗАН СТРОИТЕЛ. Обявената цена е с ДДС. Оферта в агенцията 8228. Всички наши обяви ги работим с колеги. Още наши оферти може да намерите на www.dreamvision.bg Телефони за връзка: 0886 13 22 91 Димитър Георгиев
"
60m²,"жк. Полигона, София",False,"111,838",EUR,Необзаведен,4-ти,11,ТЕЦ,,Тухла,,,,,,,,,,,"БЕЗ КОМИСИОННА ОТ КУПУВАЧА!!! ДРИЙМ ВИЖЪН НЕДВИЖИМИ ИМОТИ Продава двустаен в кв. Полигона на тихо и спокойно място в близост до The Mall, спирки на градски транспорт, супермаркет, училище, детска градина. Жилището се състои от: входно антре, дневна с кухненски бокс и трапезария, спалня, баня с тоалетна, тераса. Отопление на ТЕЦ. Възможност за допълнително закупуване на паркомясто или гараж. В сградата предлагаме и други апартаменти. Предава се на шпакловка и замазка с блиндирана входна врата, висококачествена PVC дограма. Качествено строителство с луксозни общи части, ДОКАЗАН СТРОИТЕЛ. Обявената цена е с включено ДДС! Оферта в агенцията 8263. Всички наши обяви ги работим с колеги. Още наши оферти може да намерите на www.dreamvision.bg Телефони за връзка: 0886 13 22 91 Димитър Георгиев
"
66m²,"жк. Полигона, София",False,"109,110",EUR,Необзаведен,9-ти,11,ТЕЦ,,Тухла,,,,,,,,,,,"БЕЗ КОМИСИОННА ОТ КУПУВАЧА!!! ДРИЙМ ВИЖЪН НЕДВИЖИМИ ИМОТИ Продава двустаен апартамент в кв. Полигона на тихо и спокойно място в близост до The Mall, спирки на градски транспорт, супермаркет, училище, детска градина. Жилището се състои от: входно антре, дневна с кухненски бокс и трапезария, спалня, баня с тоалетна, тераса. Отопление на ТЕЦ. Възможност за допълнително закупуване на паркомясто или гараж. В сградата предлагаме и други апартаменти. Предава се на шпакловка и замазка с блиндирана входна врата, висококачествена PVC дограма. Качествено строителство с луксозни общи части, ДОКАЗАН СТРОИТЕЛ. Обявената цена е с включено ДДС! Оферта в агенцията 8282. Всички наши обяви ги работим с колеги. Още наши оферти може да намерите на www.dreamvision.bg Телефони за връзка: 0886 13 22 91 Димитър Георгиев
"
91m²,"жк. Полигона, София",False,"186,966",EUR,Необзаведен,2-ри,9,ТЕЦ,,Тухла,,,,,,,,,,,"ДРИЙМ ВИЖЪН НЕДВИЖИМИ ИМОТИ Продава двустаен апартамент в кв. Полигона на тихо и спокойно място в близост до The Mall, спирки на градски транспорт, супермаркет, училище, детска градина. Жилището се състои от: входно антре, дневна с кухненски бокс и трапезария, спалня със собствена баня с тоалетна, тоалетна с мокро помещение към нея, две тераси. Отопление на ТЕЦ. Възможност за допълнително закупуване на паркомясто или гараж. В сградата предлагаме и други апартаменти. Предава се на шпакловка и замазка с блиндирана входна врата, висококачествена PVC дограма. Качествено строителство с луксозни общи части, ДОКАЗАН СТРОИТЕЛ. Обявената цена е с ДДС. Оферта в агенцията 8225. Всички наши обяви ги работим с колеги. Още наши оферти може да намерите на www.dreamvision.bg Телефони за връзка: 0886 13 22 91 Димитър Георгиев
"
177m²,"жк. Полигона, София",False,"343,520",EUR,Необзаведен,8-ми,9,ТЕЦ,,Тухла,,,,,,,,,,,"ДРИЙМ ВИЖЪН НЕДВИЖИМИ ИМОТИ Продава тристаен апартамент в кв. Полигона на тихо и спокойно място в близост до The Mall, спирки на градски транспорт, супермаркет, училище, детска градина. Жилището се състои от: входно антре, дневна с кухненски бокс и трапезария, две спални, едната от които със собствена баня с тоалетна, втора баня с тоалетна, склад,три тераси. Отопление на ТЕЦ. Възможност за допълнително закупуване на паркомясто или гараж. В сградата предлагаме и други апартаменти. Предава се на шпакловка и замазка с блиндирана входна врата, висококачествена PVC дограма. Качествено строителство с луксозни общи части, ДОКАЗАН СТРОИТЕЛ. Обявената цена е с ДДС. Оферта в агенцията 8229. Всички наши обяви ги работим с колеги. Още наши оферти може да намерите на www.dreamvision.bg Телефони за връзка: 0886 13 22 91 Димитър Георгиев
"
110m²,"жк. Полигона, София",False,"203,430",EUR,Необзаведен,5-ти,11,ТЕЦ,,Тухла,,,,,,,,,,,"БЕЗ КОМИСИОННА ОТ КУПУВАЧА!!! ДРИЙМ ВИЖЪН НЕДВИЖИМИ ИМОТИ Продава тристаен апартамент в кв. Полигона на тихо и спокойно място в близост до The Mall, спирки на градски транспорт, супермаркет, училище, детска градина. Жилището се състои от: входно антре, дневна с кухненски бокс и трапезария, две спални, едната от които със собствена баня с тоалетна, втора баня с тоалетна, мокро помещение, тераса. Отопление на ТЕЦ. Възможност за допълнително закупуване на паркомясто или гараж. В сградата предлагаме и други апартаменти. Предава се на шпакловка и замазка с блиндирана входна врата, висококачествена PVC дограма. Качествено строителство с луксозни общи части, ДОКАЗАН СТРОИТЕЛ. Обявената цена е с включено ДДС! Оферта в агенцията 8285. Всички наши обяви ги работим с колеги. Още наши оферти може да намерите на www.dreamvision.bg Телефони за връзка: 0886 13 22 91 Димитър Георгиев
"
61m²,"жк. Полигона, София",False,"96,760",EUR,,5-ти,10,ТЕЦ,,Тухла,,,,,,,,,,,"Без комисион. Лукс и комфорт на метри от The mall.

Двустаен, източно изложение. Опция за довършване до ключ или пълно обзавеждане по два дизайнерски проекта. Остъпки според начина на плащане. Акт 16  2024 год.
 Обади се сега и цитирай този код 545171"
67m²,"жк. Полигона, София",False,"125,000",EUR,Необзаведен,3-ти,9,Електричество,,Тухла,,,,,,,,,,,"Оферта №: 1294
Агенция „Trust Broker Solutions” предлага на Вашето внимание двустаен апартамент в ж.к. ""Полигона"". До София Тех Парк и бъдещо метро. Възможност за избор на етаж от 1-ви до 3-ти.
СХЕМА НА ПЛАЩАНЕ:
31 400 € - При подписване на предварителен договор.
93 600 € - След Акт 16.
РАЗПРЕДЕЛЕНИЕ:
Апартамента се състои от коридор, хол с кухненски бокс, стая с гардеробна, баня с тоалетна, тераса.
ЛОКАЦИЯ:
Намира се в ж.к. ""Полигона"" непосредствено до София Тех Парк. В Близост: Спирки на градски транспорт; Магазини Фантастико, Била и др.; Мол The Mall; Зала Арена Армеец; Бизнес сгради;.
СЪСТОЯНИЕ:
Апартаментът ще бъде издаден на замаска и шпакловка. Луксозни общи части. Сградата се очаква да е с Акт 16 към края на 2024 г. Доказан строител с над 30 сгради в София.
ДОПЪЛНИТЕЛНА ИНФОРМАЦИЯ:
- Разрешение за ползване (Акт 16) към края на 2024 г.
- Вид строителство: Тухла.
- Етаж: 2 от 9.
- Площ: 66.5 м2
- Изложение: Изток - запад.
- Отопление: Електричество.
Агенция „Trust Broker Solutions” предлага напълно безплатно кредитни консултации. Работим с всички банки в страната, на преференциални условия. Кредитният ни отдел е регистриран в БНБ като независим банков консултант по ипотечно кредитиране.
За още оферти посетете сайта ни: tbsestates.bg или се обадете на 0988830688.
"
66m²,"жк. Полигона, София",False,"120,000",EUR,Необзаведен,2-ри,9,Електричество,,Тухла,,,,,,,,,,,"Оферта №: 1293
Агенция „Trust Broker Solutions” предлага на Вашето внимание двустаен апартамент в ж.к. ""Полигона"". До София Тех Парк и бъдещо метро. Възможност за избор на етаж от 1-ви до 3-ти.
СХЕМА НА ПЛАЩАНЕ:
30 900 € - При подписване на предварителен договор.
89 100 € - След Акт 16.
РАЗПРЕДЕЛЕНИЕ:
Апартамента се състои от коридор, хол с кухненски бокс, стая с гардеробна, баня с тоалетна, тераса.
ЛОКАЦИЯ:
Намира се в ж.к. ""Полигона"" непосредствено до София Тех Парк. В Близост: Спирки на градски транспорт; Магазини Фантастико, Била и др.; Мол The Mall; Зала Арена Армеец; Бизнес сгради;.
СЪСТОЯНИЕ:
Апартаментът ще бъде издаден на замаска и шпакловка. Луксозни общи части. Сградата се очаква да е с Акт 16 към края на 2024 г. Доказан строител с над 30 сгради в София.
ДОПЪЛНИТЕЛНА ИНФОРМАЦИЯ:
✅ Разрешение за ползване (Акт 16) към края на 2024 г.
✅ Вид строителство: Тухла.
✅ Етаж: 2 от 9.
✅ Площ: 66.5 м2
✅ Изложение: Изток - запад.
✅ Отопление: Електричество.
Агенция „Trust Broker Solutions” предлага напълно безплатно кредитни консултации. Работим с всички банки в страната, на преференциални условия. Кредитният ни отдел е регистриран в БНБ като независим банков консултант по ипотечно кредитиране.
За още оферти посетете сайта ни: tbsestates.bg или се обадете на 0988830688.
"
71m²,"жк. Полигона, София",False,"146,000",EUR,Обзаведен,3-ти,6,,,,,,,,,,,,,,"414146 Продавам компактен 3-СТАЕН апартамент в кв. Полигона, в новата жилищна зона зад The Mall. Сградата е с контролиран достъп, асансьор и поддържани общи части. Разрешението за ползване е от 2007 г.

Апартаментът е с източно изложение, със застроена площ от 60 кв. м, които са разпределени в антре, дневна с кухненски бокс, преходна спалня, втора самостоятелна спалня, баня с тоалетна и един остъклен балкон. 
Предлага се обзаведен.
Има прилежащо мазе.

Имотът има жилищен статут; Сградата има асансьор; Продава се с обзавеждане, което подлежи на уточнение; ЕТАП НА СТРОИТЕЛСТВО: разрешение за ползване (Акт 16); ОТОПЛЕНИЕ: ТЕЦ; Има 1 балкон/тераса; Ремонтиран; Преходен; ВИД СТРОИТЕЛСТВО: тухла; ЗАСТРОЕНА ПЛОЩ 60 кв.м; ГОДИНА НА СТРОИТЕЛСТВО: 2007 г.; ИЗЛОЖЕНИЕ: изток; СПАЛНИ: 2; БАНИ: 1; ДОГРАМА: PVC

_________________________________________________________________________________________________

Към потенциалните продавачи! 
Ако продавате подобен имот или обмисляте дали да го направите в близко бъдеще, моля свържете се с мен. Имам клиенти, които търсят в района. Мога да дам ориентировъчна цена по телефон или имейл и по-точна цена при оглед на място.

ОГЛЕДЪТ И КОНСУЛТАЦИЯТА СА БЕЗПЛАТНИ.

МОЖЕТЕ СЪЩО ТАКА, ДА ПОДАДЕТЕ И БЕЗПЛАТНА ЧАСТНА ОБЯВА ЗА ПРОДАЖБА НА ВАШИЯ ИМОТ В MIRELA.BG, БЕЗ БРОКЕР И КОМИСИОНА. За повече информация попитайте за оферта 414146"
