Размер,Адрес,Точен адрес,Цена,Валута,Обзавеждане,Етаж,Етажи,Отопление,Състояние,Строителство,Спални,Бани,Двор,Площ на парцела,В регулация,Предназначение,Виза,Разрешение за строеж,Категория,Тип,Oписание
61m²,"жк. Разсадника, София",False,"98,000",EUR,Необзаведен,6-ти,8,ТЕЦ,,Панел,,,,,,,,,,,"Имоти Сердика 1 продава двустаен апартамент в ж.к. Разсадника. Имотът се състои от хол, спалня, кухня, баня, мокро помещение, тоалетна, балкон, коридор и мазе. Изложение: изток-запад. Апартаментът е за основен ремонт. Намира се на комуникативно място, в близост до метростанция, парк, детска градина, училище, магазини. За оглед на това и други атрактивни предложения, не се колебайте да ни потърсите на посочения телефон за връзка. В случай, че не ви отговорим на момента, ще ви върнем обаждане при първа възможност. Предлагаме безплатно съдействие за отпускане на ипотечни и потребителски кредити. Преференциални условия! Още актуални оферти за наеми и продажби може да намерите в нашия сайт: www.serdika1.bg. ID:14074
"
45m²,"жк. Разсадника, София",False,"89,000",EUR,Обзаведен,8-ми,8,ТЕЦ,,Панел,,,,,,,,,,,"Номер в агенцията 48086.
 Предлагаме гарсониера, преустроена в двусатен апартамент в ж.к. Разсадника. След основен ремонт. Намира се на метри от пазар и спирки на градския транспорт. Жилището е вътрешно с тец и климатик с ниски месечни разходи, готово за живеене или отдаване под наем. 
Огледи с уговорка.
"
94m²,"жк. Разсадника, София",False,"120,000",EUR,,3-ти,6,ТЕЦ,,Тухла,,,,,,,,,,,"ДРИЙМ ВИЖЪН НЕДВИЖИМИ ИМОТИ Продава тристаен апартамент в кв. Разсадника на комуникативно място в близост до метростанция, спирки на градски транспорт, магазини, заведение, училище, детска градина, парк, пазар. Жилището се състои от: входно антре, дневна с кухненски бокс и трапезария, две спални, баня с тоалетна, тераса. Отопление на ТЕЦ. Предава се на шпакловка и замазка. Възможност за допълнително закупуване на паркомясто или гараж. В сградата предлагаме и други апартаменти. Оферта в агенцията 8552. Всички наши обяви ги работим с колеги. Още наши оферти може да намерите на www.dreamvision.bg Телефон за връзка: 0885 98 11 00 - Александър Гогов
"
85m²,"жк. Разсадника, София",False,"122,000",EUR,Необзаведен,1-ви,9,Електричество,,Тухла,,,,,,,,,,,"ЛИНК КЪМ ВИРТУАЛЕН ОГЛЕД:
http://bit.ly/3xenZS0
Оферта №: 1298
Агенция „Trust Broker Solutions” предлага на Вашето внимание два необзаведени (офиси) тристайни апартаменти в ж.к. ""Разсадника"". До метро.
РАЗПРЕДЕЛЕНИЕ:
Апартамента се състои от коридор, 4 стаи, баня с тоалетна.
ЛОКАЦИЯ:
Намира се в ж.к. ""Разсадника"" на бул. ""Александър Стамолийски"". В Близост: Метростанция; Спирки на градски транспорт ; Магазини Фантастико, Била и др.; Детски градини и училища.
СЪСТОЯНИЕ:
Апартаментът е необзаведен и готов за ползване като офис.
ДОПЪЛНИТЕЛНА ИНФОРМАЦИЯ:
- Разрешение за ползване (Акт 16) от 2010 г.
- Вид строителство: Тухла.
- Етаж: 1 от 9.
- Площ: 85м2
- Изложение: Изток и Запад.
- Отопление: Електричество.
Агенция „Trust Broker Solutions” предлага напълно безплатно кредитни консултации. Работим с всички банки в страната, на преференциални условия. Кредитният ни отдел е регистриран в БНБ като независим банков консултант по ипотечно кредитиране.
За още оферти посетете сайта ни: tbsestates.bg или се обадете на 0988830688.
"
88m²,"жк. Разсадника, София",False,"150,000",EUR,Обзаведен,2-ри,8,,,Панел,,,,,,,,,,,"град София, ж.к. Разсадника, до Парк Св.Св. Петър и Павел, в близост до Бул. Възкресение и Бул. Константин Величков. Напълно обзаведен след ремонт, алуминиева дограма, ламиниран паркет. Състои се от хол, 2 спални, кухня, баня с тоалетна и отделна тоалетна, две големи тераси; гараж- самостоятелна клетка и паркомясто. За колеги цената е 184 000. За повече инф и огледи Мариела Китанова 0888660255, оферта номер 9720
"
117m²,"жк. Разсадника, София",False,"218,000",EUR,Необзаведен,7-ми,9,ТЕЦ,,Тухла,,,,,,,,,,,"Тристаен апартамент с функционално разпределени е в нова сграда, в района на Бул. Ал. Стамболийски и Бул. Константин Величков с Акт 16.  ЗП- 105 кв.м..Състои се от хол с кухненски бокс, две спални, баня с тоалетна, отделна тоалетна, входно антре и тераса. Изложение - изток. За повече инф. и огледи Мариела Китанова 0888660255, оферта номер 6472 !!!
"
89m²,"жк. Разсадника, София",True,"139,000",EUR,Необзаведен,4-ти,9,Електричество,В строеж,Тухла,,,,,,,,,,,"АЯКС Ви представя страхотен тристаен апартамент в чисто нова сграда в ж.к Разсадника. Ситуиран е на 4ти жилищен етаж и разполага с площ от 89кв.м.
Разпределение:вх.антре, дневна с кухня и трапезария, 2 спални, баня, отделна тоалетна,терасаАрхитектурата на сградата е с изключително модерен стил с луксозно изпълнение на фасада и общи части. Сигурността на сградата ще бъде обезпечена чрез контролиран достъп и видео наблюдение.

По желание на собствениците може да се предложи и напълно довършване на жилището.
Покупката на жилище е изключително важен момент от живота на всеки човек и за това искаме да предложим най- доброто. Услугите, които можем да предложим, включват:
Получаване на одобрение за ипотечен кредит.
Застраховка на движимо и недвижимо имущество.
Строителни ,ремонтни дейности и изготвяне на 3-д интериорен дизайн , за да си представите как би изглеждал вашия мечтан дом
Юридически и счетоводни услуги и др.

За удобство на клиента, екипът ни е договорил с нашите финансови партньори преференциални условия за банков кредит.

При интерес към този или друг имот се свържете с нас за повече информация, безплатна консултация или уговорка за оглед.

Референтен номер:128422"
52m²,"жк. Разсадника, София",True,"75,000",EUR,Необзаведен,2-ри,9,Електричество,В строеж,Тухла,,,,,,,,,,,"АЯКС Ви представя страхотен едностаен апартамент в чисто нова сграда в ж.к Разсадника.Ситуиран е на 2ри жилищен етаж и разполага с площ от 52кв.м.
Разпределение:вх.антре,дневна с кухня и трапезария, спалня, баня с тоалетна, склад. Архитектурата на сградата е с изключително модерен стил с луксозно изпълнение на фасада и общи части. Сигурността на сградата ще бъде обезпечена чрез контролиран достъп и видео наблюдение.

По желание на собствениците може да се предложи и напълно довършване на жилището.
Покупката на жилище е изключително важен момент от живота на всеки човек и за това искаме да предложим най- доброто. Услугите, които можем да предложим, включват:
Получаване на одобрение за ипотечен кредит.
Застраховка на движимо и недвижимо имущество.
Строителни ,ремонтни дейности и изготвяне на 3-д интериорен дизайн , за да си представите как би изглеждал вашия мечтан дом
Юридически и счетоводни услуги и др.

За удобство на клиента, екипът ни е договорил с нашите финансови партньори преференциални условия за банков кредит.

При интерес към този или друг имот се свържете с нас за повече информация, безплатна консултация или уговорка за оглед.

Референтен номер:128422"
80m²,"жк. Разсадника, София",True,"121,000",EUR,Необзаведен,3-ти,9,Електричество,В строеж,Тухла,,,,,,,,,,,"АЯКС Ви представя страхотен двустаен апартамент в чисто нова сграда в ж.к Разсадника. Ситуиран е на 3ти жилищен етаж и разполага с площ от 80кв.м.
Разпределение: вх. антре, дневна с кухня и трапезария, спалня, баня, тераса,склад. Архитектурата на сградата е с изключително модерен стил с луксозно изпълнение на фасада и общи части. Сигурността на сградата ще бъде обезпечена чрез контролиран достъп и видео наблюдение.

По желание на собствениците може да се предложи и напълно довършване на жилището.
Покупката на жилище е изключително важен момент от живота на всеки човек и за това искаме да предложим най- доброто. Услугите, които можем да предложим, включват:
Получаване на одобрение за ипотечен кредит.
Застраховка на движимо и недвижимо имущество.
Строителни, ремонтни дейности и изготвяне на 3-д интериорен дизайн, за да си представите как би изглеждал вашия мечтан дом
Юридически и счетоводни услуги и др.

За удобство на клиента, екипът ни е договорил с нашите финансови партньори преференциални условия за банков кредит.

При интерес към този или друг имот се свържете с нас за повече информация, безплатна консултация или уговорка за оглед.

Референтен номер:128422 "
94m²,"жк. Разсадника, София",True,"122,000",EUR,Необзаведен,3-ти,5,Електричество,В строеж,Тухла,,,,,,,,,,,"АЯКС Ви представя страхотен тристаен апартамент в чисто нова сграда в ж.к. Разсадника. Сградата се намира на 150 метра от метростанция Константин Величков. Ситуиран е на 3ти жилищен етаж и разполага с площ от 94кв.м.
Разпределение:вх.антре, дневна с кухненски бокс, две спални помещения, две бани с тоалетна и тераса. Архитектурата на сградата е с изключително модерен стил с луксозно изпълнение на фасада и общи части. Сигурността на сградата ще бъде обезпечена чрез контролиран достъп и видео наблюдение.

По желание на собствениците може да се предложи и напълно довършване на жилището.
Покупката на жилище е изключително важен момент от живота на всеки човек и за това искаме да предложим най- доброто. Услугите, които можем да предложим, включват:
Получаване на одобрение за ипотечен кредит.
Застраховка на движимо и недвижимо имущество.
Строителни ,ремонтни дейности и изготвяне на 3-д интериорен дизайн , за да си представите как би изглеждал вашия мечтан дом
Юридически и счетоводни услуги и др.

За удобство на клиента, екипът ни е договорил с нашите финансови партньори преференциални условия за банков кредит.

При интерес към този или друг имот се свържете с нас за повече информация, безплатна консултация или уговорка за оглед.

Референтен номер:128431"
41m²,"жк. Разсадника, София",True,"64,000",EUR,Необзаведен,2-ри,5,Електричество,В строеж,Тухла,,,,,,,,,,,"АЯКС Ви представя страхотен едностаен апартамент в чисто нова сграда в ж.к Разсадника.Сградата се намира на 150 метра от метростанция Константин Величков. Ситуиран е на 2ри жилищен етаж и разполага с площ от 41кв.м.
Разпределение:вх.антре, дневна с кухненски бокс и спалня, баня с тоалетна и тераса. Архитектурата на сградата е с изключително модерен стил с луксозно изпълнение на фасада и общи части. Сигурността на сградата ще бъде обезпечена чрез контролиран достъп и видео наблюдение.

По желание на собствениците може да се предложи и напълно довършване на жилището.
Покупката на жилище е изключително важен момент от живота на всеки човек и за това искаме да предложим най- доброто. Услугите, които можем да предложим, включват:
Получаване на одобрение за ипотечен кредит.
Застраховка на движимо и недвижимо имущество.
Строителни ,ремонтни дейности и изготвяне на 3-д интериорен дизайн , за да си представите как би изглеждал вашия мечтан дом
Юридически и счетоводни услуги и др.

За удобство на клиента, екипът ни е договорил с нашите финансови партньори преференциални условия за банков кредит.

При интерес към този или друг имот се свържете с нас за повече информация, безплатна консултация или уговорка за оглед.

Референтен номер:128431"
