Размер,Адрес,Точен адрес,Цена,Валута,Обзавеждане,Етаж,Етажи,Отопление,Състояние,Строителство,Спални,Бани,Двор,Площ на парцела,В регулация,Предназначение,Виза,Разрешение за строеж,Категория,Тип,Oписание
175m²,"кв. Редута, София",False,"267,800",EUR,Обзаведен,4-ти,4,Локално отопление,,Тухла,,,,,,,,,,,"Имоти Сердика 1 продава тризонет в ж.к. Редута. Характеристики на имота на първо ниво: дневна, кухненски бокс, трапезария, баня с WC, балкони; на второ ниво: спалня и прилежащ към нея балкон, баня, мокро помещение; на трето ниво: спалня и панорамна тераса. Подходящ както живеене, така и за инвестиция. Напълно обзаведен с електрическо котле. За оглед на това и други атрактивни предложения, не се колебайте да ни потърсите на посочения телефон за връзка. В случай, че не ви отговорим на момента, ще ви върнем обаждане при първа възможност. Предлагаме безплатно съдействие за отпускане на ипотечни и потребителски кредити. Преференциални условия! Още актуални оферти за наеми и продажби може да намерите в нашия сайт: www.serdika1.bg. ID:8608
"
95m²,"кв. Редута, София",False,"154,850",EUR,Необзаведен,3-ти,6,Електричество,,Тухла,,,,,,,,,,,"БЕЗ КОМИСИОННА ОТ КУПУВАЧА!!! ДРИЙМ ВИЖЪН НЕДВИЖИМИ ИМОТИ Продава тристаен апартамент в кв. Редута на тихо и спокойно място в близост до спирка на градски транспорт, училище, магазини. Апартамента се състои от: входно антре, дневна с трапезария, кухня, две спални, баня с тоалетна, тераса. Продава се на шпакловка и замазка. Възможност за допълнително закупуване на гаражи и паркоместа. В сградата предлагаме и други апартаменти. Строителство от ДОКАЗАН СТРОИТЕЛ. Оферта в агенцията 8469. Всички наши обяви ги работим с колеги. Още наши оферти може да намерите на www.dreamvision.bg Телефони за връзка: 02/421 96 35 ; 0886 13 22 91 Димитър Георгиев
"
95m²,"кв. Редута, София",False,"156,100",EUR,Необзаведен,3-ти,6,Електричество,,Тухла,,,,,,,,,,,"БЕЗ КОМИСИОННА ОТ КУПУВАЧА!!! ДРИЙМ ВИЖЪН НЕДВИЖИМИ ИМОТИ Продава тристаен апартамент в кв. Редута на тихо и спокойно място в близост до спирка на градски транспорт, училище, магазини. Апартамента се състои от: входно антре, дневна с кухненски бокс и трапезария, две спални, баня с тоалетна, килер, тераса. Продава се на шпакловка и замазка. Възможност за допълнително закупуване на гаражи и паркоместа. В сградата предлагаме и други апартаменти. Строителство от ДОКАЗАН СТРОИТЕЛ. Оферта в агенцията 8394. Всички наши обяви ги работим с колеги. Още наши оферти може да намерите на www.dreamvision.bg Телефони за връзка: 02/421 96 35 ; 0886 13 22 91 Димитър Георгиев


"
65m²,"кв. Редута, София",False,"107,300",EUR,Необзаведен,2-ри,6,Електричество,,Тухла,,,,,,,,,,,"БЕЗ КОМИСИОННА ОТ КУПУВАЧА!!! ДРИЙМ ВИЖЪН НЕДВИЖИМИ ИМОТИ Продава двустаен апартамент в кв. Редута на тихо и спокойно място в близост до спирка на градски транспорт, училище, магазини. Апартамента се състои от: входно антре, дневна с кухненски бокс и трапезария, спалня, баня с тоалетна, килер, тераса. Продава се на шпакловка и замазка. Възможност за допълнително закупуване на гаражи и паркоместа. В сградата предлагаме и други апартаменти. Строителство от ДОКАЗАН СТРОИТЕЛ. Оферта в агенцията 8393. Всички наши обяви ги работим с колеги. Още наши оферти може да намерите на www.dreamvision.bg Телефони за връзка: 02/421 96 35 ; 0886 13 22 91 Димитър Георгиев
"
111m²,"кв. Редута, София",False,"207,000",EUR,Полуобзаведен,8-ми,9,Прокарва се,,Тухла,,,,,,,,,,,"Тристаен южен апартамент в тухлена сграда от 2008 г. Разпределението на стаите е светъл артистичен хол, кухня с траезария, две спални, две санитарни помещения, входно антре и две тераси. Прилежащо мазе.  Изложение юг/изток/север. Прекрасна панорама към Витоша. 
 Обади се сега и цитирай този код 562753"
133m²,"кв. Редута, София",False,"288,000",EUR,,4-ти,6,Електричество,,Тухла,,,,,,,,,,,"Код в агенцията: 38090. РЕАЛНА ОФЕТРА. ЧИСТО НОВ, ДИЗАЙНЕРСКИ И ЛУКСОЗЕН ТРИСТАЕН АПАРТАМЕНТ В БЛИЗОСТ ДО ПАРК  ГЕО МИЛЕВ . Разположен на четвърти от шест етажна нова тухлена сграда от 2019г. Площ по нотариален акт: 111кв.м + мазе 2,6кв.м. общи части 19.4 кв.м. Разпределение: входно антре, дневна с кухненска част и трапезария, две спални, гардеробна, баня с тоалетна, мокро помещение и две тераси. Отопление : функционираща камина с биоетанол, климатик във всяка стая и подово отопление. Изложение: Изток/Запад/Север. Луксозно обзавеждане. Най-висок клас дограма /троен стъклопакет TROCAL/. Сградата  разполага с контрол на достъпа. Добре поддържани общи части. ПРИ НАС МОЖЕ ДА СЕ ВЪЗПОЛЗВАТЕ от безплатна консултация с независим кредитен консултант и да получите най-добрите условия за вашия ипотечен кредит!!! Агенцията работи с комисионна. ЛЪКИ НЕДВИЖИМИ ИМОТИ моб.тел. 0884 688 866. Всички наши оферти ги работим с КОРЕКТНИ КОЛЕГИ!  "
75m²,"кв. Редута, София",False,"143,000",EUR,,5-ти,2,,,Тухла,,,,,,,,,,,"Нов двустаен апартамент 75,21м2 в кв.Редута до парк Гео Милев и в близост до МОЛ Сердика. Разпределение:
-антре 3,70 м2;
-хол с трапезария и кухненски бокс 27,20 м2 с тераса 1,10 м2, изложение запад и север;
-спалня 17 м2, изложение запад;
-баня с тоалетна 4,80 м2;
-мазе 3 м2.
Апартаментът е със застроена площ 64,20 м2 и се намира на първи жилищен етаж над гаражи в малка жилищна напълно завършена нова сграда с асансьор. Изложение запад и север. Отопление - електричество. Предлага се на шпакловка и замазка с външна блиндирана врата. Акт 16 до края на 2022 г. Вторичен пазар. Има възможност за ползване под наем на надземен гараж с площ 18,30 м3, както и към хола допълнително може да се приобщи голяма тераса с площ 12 м2 при интерес от новия собственик. Сградата се изграждана с висококачествени материали, като общите части са с гранитогрес и латекс. Намира се на тихо и спокойно място - ул.Каймакчалан, до парк Гео Милев и на пешеходно разстояние от МОЛ Сердика. В близост има спирки на автобуси и трамвай. Около сградата има нови жилищни сгради. Доказан строител с изградени сгради в София.    
Ние ценим Вашето време и искаме да Ви спестим излишни грижи. Гарантираме прецизност, точност и коректност! Доверете ни се! Оферта 1598"
50m²,"кв. Редута, София",False,"67,000",EUR,,1-ви,6,,,Тухла,,,,,,,,,,,"Помещение 50,16м2, подходящо за живеене, офис, мед.кабинет, учебна зала, занималня, и др., в близост до парк Гео Милев и зала Фестивална. Застроената площ е 43,60 м2 + 6,56 м2 идеални части от общите части на сградата. 
Разпределение:
-еднопространствено просторно помещение;
-малък склад/килер;
-санитарно помещение.
Имотът е със статут на магазин. Намира се на ниво партер в нова сграда, на тиха и спокойна улица. Има възможност за закупуване на паркомясто във вътрешения двор на сградата, като цената на помещението с паркомястото е 85000 евро. 
Много добра бизнес инвестиция!
Ние ценим Вашето време и искаме да Ви спестим излишни грижи. Гарантираме прецизност, точност и коректност! Доверете ни се!
Оферта 1659"
82m²,"кв. Редута, София",False,"187,000",EUR,,2-ри,5,ТЕЦ,,Тухла,,,,,,,,,,,"ИРИДА НЕДВИЖИМИ ИМОТИ Ви представя за продажба светъл и просторен тристаен апартамент в Редута срещу Мол Сердика Център.

Апартаментът е с чиста площ 63кв.м. на втори надпартерен етаж в тухлена сграда от 2018год. с югоизточно изложение. Имота се състои от антре,килер,дневна с кухненски бокс,две спални, баня с тоалетна и три балкона.Апартамента е луксозно обзаведен и всичко в него е чисто ново,неизползвано до сега. 
Намира се на тиха улица и гледа към вътрешен двор.

***

За повече информация и оглед: 0876 72 00 20 Водещ брокер: Илиана Тошева

***

СВЪРЖЕТЕ СЕ С НАС! РАБОТИМ И В ПОЧИВНИТЕ ДНИ!

Предлагаме БЕЗПЛАТНО СЪДЕЙСТВИЕ за одобрение и получаване на ипотечен кредит за покупка на жилище при най-добри условия за Вас, чрез услугите на лицензиран кредитен консултант!

ПЕРФЕКТНО изработени и приключени документално имотни сделки!

Разполагаме с изпълнител за ДОВЪРШИТЕЛНИТЕ РАБОТИ и ремонт на закупеното от Вас жилище."
97m²,"кв. Редута, София",False,"179,900",EUR,Необзаведен,2-ри,4,Електричество,,Тухла,,,,,,,,,,,"'Real Deal' представя на Вашето внимание 
   ЕКСКЛУЗИВНА оферта RD-2497:

     АКТ 16!!!

  Двустаен, преустроен на тристаен апартамент на много добра локация в ж.к. ""Редута"". Намира се в близост до ул. ""Велчо Атанасов"", на няколко минути от парк ""Гео Милев"", магазин Лидъл и всичко необходимо. Тихо и спокойно място. Апартаментът има две тераси, като едната е голяма.

 ИМОТЪТ СЕ ПРОДАВА С ДВА КЛИМАТИКА И БОЙЛЕР, включени в цената. Перфектна възможност за инвестиция с цел оттдаване под наем или възможност да го закупите и да се нанесете веднага.
 
 Разпределение: голямо антре, хол с кухненски бокс (изведени изводи за кухня, пералня и миялна ), водещ до по - малка тераса, спалня също водеща към друга тераса, складово помещение или мокро помещение, баня с тоалетна, и още една стая, която води до голяма тераса.

 Чиста квадратура по нот. акт 86 кв.м. БЕЗ Общите части, отделно към апартамента се продава и гараж с прилежащо складово помещение към него. 

 В имота са поставени настилки, изцяло направена баня, плочки в мокрото помещение, интериорни врати, външни електрически ролетни щори, ролетни комарници.
  
  В съседство се продава и едностаен апартамент, които търпят обединяване.
 
  Ние сме 'Real Deal' и предлагаме на нашите клиенти само реални, актуални и ексклузивнии оферти ! 

 Имаме директни договори със 7 от най-големите банки в страната и ще Ви помогнем за финансиране при най-изгодни условия !  

 За повече актуални обяви посетете нашия 
     сайт: www.realdeal.bg

    За въпроси и огледи:
   Моника Дамянова 0893 045 006
"
45m²,"кв. Редута, София",False,"80,000",EUR,Обзаведен,2-ри,4,Електричество,,Тухла,,,,,,,,,,,"'Real Deal' представя на Вашето внимание 
   ЕКСКЛУЗИВНА оферта RD-2498:

     АКТ 16!!!

  Еднопространствен, обзаведен апартамент на много добра локация в ж.к. ""Редута"". Намира се в близост до ул.""Велчо Атанасов"", на няколко минути от парк ""Гео Милев"", магазин Лидъл и всичко необходимо. Тихо и спокойно място. Апартаментът има тераса.

 ИМОТЪТ СЕ ПРОДАВА НАПЪЛНО ОБЗАВЕДЕН. Перфектна възможност за инвестиция с цел оттдаване под наем или възможност да го закупите и да се нанесете веднага.
 
 Разпределение: антре, хол с кухненски бокс и място за отдих, падащ механизъм с матрак, водещ до по - малка тераса, баня с тоалетна, тераса

  Отделно до апартамента в съседство се продава и апартамент с гараж и прилежащо складово помещение към него, които търпят обединяване.

 В имота са поставени настилки, изцяло направена баня, плочки, интериорни врати, уреди.
 
  Ние сме 'Real Deal' и предлагаме на нашите клиенти само реални, актуални и ексклузивнии оферти! 

 Имаме директни договори със 7 от най-големите банки в страната и ще Ви помогнем за финансиране при най-изгодни условия!  

 За повече актуални обяви посетете нашия 
     сайт: www.realdeal.bg

    За въпроси и огледи:
   Моника Дамянова 0893 045 006
"
111m²,"кв. Редута, София",True,"207,000",EUR,Полуобзаведен,8-ми,9,Електричество,,Тухла,,,,,,,,,,,"Продаваме слънчев и панорамен имот, който със сигурност можем да наречем интересен.
В първоначалният си проект жилището е било решено с три спални и общо помещение, помещаващо дневна с трапезария и кухненски бокс.
Още при строителството на сградата, собствениците са премахнали едната спалня, като на нейно място е изградена кухня с трапезария, а общото помещение е сепарирано на дневна и работен кът.
Поради тристранното си изложение, жилището е огрято от слънчева светлина от изгрев до залез.
От всяко помещение се откриват панорамни гледки, които биха се запазили, дори и при бъдещо застрояване, в района на сградата.
Имотът лесно може да бъде възстановен във вариант с три спални, понеже разводките в общото помещение са запазени.
Жилището се продава полуобзаведено.
Отоплението и топлата вода са решени на ток.
Застроената площ на жилището е 88,47м2, като има и прилежащо мазе, с площ от 3,11м2.
На разположение на бъдещите собственици биха могли да бъдат две външни паркоместа, гарантирани със скоби.
Вижте всички наши оферти на www.universi.bg"
48m²,"кв. Редута, София",True,"105,000",EUR,Обзаведен,2-ри,,Електричество,,ЕПК,,,,,,,,,,,"НОВА ОФЕРТА! ГОТОВ ЗА ЖИВЕЕНЕ! ТОП ИНВЕСТИЦИЯ! БЕЗ ТЕЖЕСТИ! Функционален и слънчев апартамент, находящ се на комуникативно място, в близост до магазини, спирки на автобус 72, детска площадка, парк и училище!
Върху имота НЯМА вписани тежести - ипотеки, искови молби и други!
Апартаментът се състои от: входно антре, кухненски бокс с трапезария и усвоена тераса, голяма стая, баня, мазе.
Състояние: изцяло обзаведен и готов за живеене.
Отопление: климатици.
Топла вода: бойлер.
Поддържан вход с контрол на достъпа.
Голям паркинг около блока със свободно паркиране!
Възможност за покупка с кредит! "
