Размер,Адрес,Точен адрес,Цена,Валута,Обзавеждане,Етаж,Етажи,Отопление,Състояние,Строителство,Спални,Бани,Двор,Площ на парцела,В регулация,Предназначение,Виза,Разрешение за строеж,Категория,Тип,Oписание
89m²,"жк. Света Троица, София",False,"153,999",EUR,Необзаведен,7-ми,7,ТЕЦ,,Панел,,,,,,,,,,,"Перфектно място.До парк „Св.Троица”и ул.”Ц.Симеон”.Нов панел от 1988год..В близост до училища,детски градини и спирки на градския транспорт.Наоколо множество магазини вкл.”Билла”и „Кауфланд”.В околоблоковото пространство свободно място за паркиране и много зеленина.Отстояние от съседните сгради с детски площадки и градинки.Отличен блок и вход(с контролиран достъп).Апартаментът  е изцяло с пвц дограма.Разпределение:Хол,две спални(на естествен паркет),коридор и кухня(на гранитогрес),баня и тоалетна(на фаянс и теракот),мокро п-ние,три балкона(два от които усвоени).Изложение:изток-запад-север."
90m²,"жк. Света Троица, София",False,"139,500",EUR,Необзаведен,4-ти,7,ТЕЦ,,Панел,,,,,,,,,,,"Номер в агенцията - 46916. Агенция Абела предлага тристаен апартамент в Света Троица, непосредствено до парка в квартала. Жилището е на среден етаж в панелен блок и е за ремонт. Състои се от хол, кухня с трапезарна част, две спални, баня с тоалетна, отделна тоалетна, мокро помещение, килер, балкон и коридор. За повече информация и огледи позвънете на телефон 0877/29 47 48.
"
90m²,"жк. Света Троица, София",False,"139,500",EUR,Необзаведен,4-ти,7,ТЕЦ,,Панел,,,,,,,,,,,"Номер в агенцията - 46916. Агенция Абела предлага тристаен апартамент в ж.к.Света Троица, непосредствено до парка в квартала. Жилището е на среден етаж в панелен блок и е за ремонт. Състои се от хол, кухня с усвоен балкон, две спални, баня с тоалетна, отделна тоалетна, мокро помещение, килер, балкон и коридор. За повече информация и огледи позвънете на телефон 0877/29 47 48.
"
57m²,"жк. Света Троица, София",False,"95,000",EUR,Полуобзаведен,3-ти,12,Електричество,,ЕПК,,,,,,,,,,,"Екипът на YOHOME недвижими имоти има удоволствието да ви представи двустаен апартамент в кв. Света Троица. Апартаментът се намира на 3-ти етаж от 12 етажна сграда, която предстои да бъде изцяло санирана в началото на 2023-та година. Имотът е среден на етажа, топъл и светъл, обща площ 50кв. и състои се от: антре, дневна с кухненски бокс, спалня, баня с тоалетна и склад за съхранение, включва и мазе. Частично ремонтиран. Имотът се продава без обзавеждането. Намира се в близост до спирки на градски транспорт, супермаркети, търговски обекти, училища, детски градини и други.

За повече информация и организиране на оглед свържете се с нас и цитирайте кода на обявата №8313

За повече обяви, може да разгледате и нашия сайт www.yohome.bg"
130m²,"жк. Света Троица, София",False,"359,000",EUR,Обзаведен,2-ри,5,,,Тухла,,,,,,,,,,,"ДРИЙМ ВИЖЪН НЕДВИЖИМИ ИМОТИ Продава луксозно завършен и обзаведен тристаен апартамент в кв. Света Троица на комуникативно място в близост до спирки на градски транспорт, магазини, заведения, 52 ДГ Илинденче, две училища, 10на минути метростанция. Жилището се състои от: входно антре, дневна с кухненски бокс и трапезария, две спални, едната от които със собствена баня с душ кабина, тоалетна и хидромасажна вана, втора баня с душ кабина и тоалетна, обособен дрешник, три тераси! Слънчеви и функционални помещения. Обзаведен и завършен по дизайнерски проект с висок клас материали и внимание към детайла! Отопление на ТЕЦ, а в дневната има и био-камина и във всяка стая японски климатици! Възможност за допълнително закупуване на подземно паркомясто в подземния гараж на цена от 16 000 €. Към апартамента има и мазе 3 кв.м..Оферта в агенцията 8794. Всички наши обяви ги работим с колеги. Още наши оферти може да намерите на www.dreamvision.bg Телефон за връзка: 0885 98 11 00 - Александър Гогов
"
68m²,"жк. Света Троица, София",False,"119,000",EUR,,5-ти,8,,,Панел,,,,,,,,,,,"www.AlphaGroup.bg ОФЕРТА 7002. Апартамент в отлично състояние до площад 'Преображение', пицария 'Анкора', на ул. Цар Симеон, ул. Божурище, ул. Иван Хаджиенев. На 5 мин. от парка 'Света Троица', на 2 мин. от Трета градска болница, на 3 мин. от метростанция 'Вардар', близо до магазини 'Лидъл', 'Фантастико' и търговски център 'Глобус'. В близост до Западен парк, детска градина, училища, хипермаркети, градинка с детска площадка. Ремонтиран вход със сменена дограма и контролиран достъп. Нов панел 1985г. Застроена площ на апартамента по Нотариален акт 68 кв.м, на етаж 5-ти от 8. Изложение: изток/запад. Външна изолация, PVC дограма. Сменени са ВиК тръби и щрангове. Отопление: ТЕЦ. Настилки: естествен дъбов паркет, теракот. Апартамента е ремонтиран и преустроен по следния начин: коридор; просторен хол който може да се използва и за спалня; балкон пред хола с изглед към детска площадка и голямо междублоково пространство; усвоен е втория балкон пред бившата спалня и е направено на трапезария с кухненски бокс; бившата кухня е направена на спалня; баня с тоалетна. Апартамента се продава във вида който го виждате на сниките. Мазе 3,5 кв.м. към апартамента. Около блока има достатъчно свободни места за паркиране. АЛФА ГРУП тел. 0888 60 60 88"
106m²,"жк. Света Троица, София",True,"160,000",EUR,Необзаведен,5-ти,9,ТЕЦ,,ЕПК,,,,,,,,,,,"""АСГАРД ПРОПЪРТИС"" продава просторен апартамент с чиста площ 106 кв.м. (в която не са включени терасите) в отлично поддържан блок на тиха улица в кв. ""Света Троица"". Жилището се намира на 5-ти етаж с асансьор и се състои от обширен, двустранно осветен хол, самостоятелна кухня, две непреходни спални, две бани с тоалетни, мокро помещение и два балкона. В момента част от апартамента се ремонтира, двете бани са основно обновени с нови инсталации и плочки, предстои да се направят нови шпакловки  и латекс в коридора и едната спалня. Прекрасно функционално разпределение с обособени зони ""ден"" и ""нощ"", възможно е да се отдели трета спалня. Тих и зелен район, на 5 минути от магазин ""Lidl"". За контакти: 0899/032-036 , 02/465-19-50."
64m²,"жк. Света Троица, София",False,"116,990",EUR,Обзаведен,7-ми,9,,,Панел,,,,,,,,,,,"Предлагаме двустаен апартамент в ж.к. Света Троица.Имота се намира в един от най-предпочитаните за живеене и инвестиция райони на град София. Лесен и бърз достъп до главни пътни артерии; административни учреждения, банки, училища, детски градини, автобусни спирки, детски площадки, аптеки, търговски центрове, супермаркети, заведения.Жилището се продава напълно обзаведено, наскоро ремонтирано и санирано.Прекрасна гледка към Витоша!Състои се от застроена площ 63 м2 + два балкона, единият от които усвоен + мазе + съотвените идеални части на сградата.Среден апартамент! Без преход! До училище! Саниран! Обзаведен!"
91m²,"жк. Света Троица, София",False,"154,700",EUR,,9-ти,11,,,Тухла,,,,,,,,,,,"ДО ВХОДА НА МЕТРОСТАНЦИЯ 'ВАРДАР'!!! Изцяло южен, вътрешен с панорама към 'Витоша'.
СЛЕД основен ремонт.Вход с контролиран достъп. Площ на апартамента с тераса 71.00 кв.м. + 16кв.м. общи части /2%/, мазе 4кв.м. ТУХЛЕНА сграда от 1978г,. ЮЖЕН. ТОПЪЛ. ВЪТРЕШЕН!!! PVC дограма.ТЕЦ. Апартамента е основно ремонтиран. Всичко е в отлично състояние. PVC-дограма,нови настилилки.Разпределение: коридор, дневна с кухненски бокс, две самостоятелни спални, баня и тоалетна. Изцяло нови са електро и водопроводната инсталация. Вътрешното пространство e функционално организирано.Апартамента е изцяло завършен и готов за живеене. Паркинг.
ПРИ НАС МОЖЕ ДА СЕ ВЪЗПОЛЗВАТЕ от безплатна консултация с независим кредитен консултант и да получите най-добрите условия за вашия ипотечен кредит!!! Агенцията работи с комисионна. ЛЪКИ НЕДВИЖИМИ ИМОТИ моб.тел. 0884 688 866. Всички наши оферти ги работим с КОРЕКТНИ КОЛЕГИ!"
57m²,"жк. Света Троица, София",False,"94,900",EUR,,3-ти,12,,,ЕПК,,,,,,,,,,,"Предлага, двустаен апартамент в кв. Света Троица. Апартаментът се намира на 3-ти етаж от 12 етажна сграда, която предстои да бъде изцяло санирана в началото на 2023-та година. Имотът е среден на етажа, топъл и светъл, обща площ от 57кв. и е със следното разположение:антре, дневна с кухненски бокс, спалня, баня с тоалетна и склад за съхранение, включва и голямо мазе. Частично ремонтиран. Имотът се продава без обзавеждането. Намира се в близост до спирки на градски транспорт, супермаркети, търговски обекти, училища, детски градини и други."
