Размер,Адрес,Точен адрес,Цена,Валута,Обзавеждане,Етаж,Етажи,Отопление,Състояние,Строителство,Спални,Бани,Двор,Площ на парцела,В регулация,Предназначение,Виза,Разрешение за строеж,Категория,Тип,Oписание
62m²,"жк. Свобода, София",False,"78,000",EUR,Обзаведен,4-ти,6,,,Панел,,,,,,,,,,,"Имоти Комфорт Ви предлага апартамент  в София жк, ’Свобода ’на ет.4 от 6 етажа.  Сменена дограма pvc. Сменени щрангове на водата в
 целия вход.
 Състои се от кухня, хол, спалня, коридор, баня и тоалетна, балкон. Асансьорът и входът са с карти за достъп.
"
65m²,"жк. Свобода, София",False,"87,000",EUR,,5-ти,6,,,Панел,,,,,,,,,,,"Предлага, просторен двустаен апартамент в Свобода на метри от спирака на автобус и училище, имота се намира на изключително тихо място в близост до спирки на градски транспорт, магазини, аптеки, училища, детски градини и др.Разпределение : Входно антре, кухня, хол, спалня, баня с тоалетна, килер и две тераси.За Ваше улеснение има прикачен видеоклип на имота! Работим със всички банки в България. За улеснение цитирайте следния код:"
100m²,"жк. Свобода, София",False,"110,000",EUR,Необзаведен,6-ти,8,ТЕЦ,,Панел,,,,,,,,,,,"ВиВ Хоумс представя на вашето внимание:

Тристаен апартамент, в квартал Свобода, ОП 100кв.м, Чиста площ на жилището 89кв.м + 6 кв.м мазе + 5кв.м идеални части, Етаж-6/8!

СГРАДА: Панелно строителство, с отлично подържани общи части, година на строителство 1986г.
 
РАЗПРЕДЕЛЕНИЕ: Хол, кухня, два санитарни възела, две спални, три тераси, като терасата при кухнята е усвоена.

ОТОПЛЕНИЕ: Електричество, ТЕЦ        

ЛОКАЦИЯ: В близост до „Лидл“ , спирки на градски транспорт, магазини, училища, детски градини, аптеки.

ЗА ИМОТА: Имота е за ремонт, със сменена дограма и направена изолация. Намира се на отлична локация, с чудесни съседи. Входа е подържан и реновиран.

Ако желаете да получите повече информация за този имот, обадете се и цитирайте този >>>КОД 5367


За още предложения от нашата база не се колебайте да се свържете с нас!

'ВиВ Хоумс' Вашият доверен партньор при сключване на сделки с недвижими имоти.
Ние предлагаме:
- Професионално извършване на огледите.
- Проверка на имота за тежести и възбрани.
- Комплектоване на нужните документи за сделка.
- Юридическа помощ при възникнали казуси.
- Независими финансови консултанти, които безплатно Ви предоставят най-добрите условия от всички банкови институции.
 
"
45m²,"жк. Свобода, София",True,"68,990",EUR,Необзаведен,6-ти,8,ТЕЦ,,Панел,,,,,,,,,,,"Вътрешен, топъл едностаен апартамент на шести жилищен етаж, срещу Северния парк. Поддържани общи части, след скорошен ремонт. Контролиран достъп. Изложение югозапад. Имотът е за ремонт, с отлична възможност за преустройство. Разпределение: обширен коридор, кухня, спалня/всекидневна, просторна баня с тоалетна, остъклена тераса /лоджия/. В близост до 141 ОУ Народни будители , 171 ДГ Свобода , 153 Спортно Училище Неофит Рилски . Спирка на градски транспорт пред блока: автобуси 86,108, трамвай 6. Пешеходно разстояние /15 мин/ до метростанция Бели Дунав.  "
90m²,"жк. Свобода, София",True,"113,000",EUR,Полуобзаведен,6-ти,8,ТЕЦ,,Панел,,,,,,,,,,,"Агенция за недвижими имоти Калиста Естейт има огромното удоволствие да ви представи тристаен апартамент в ж.к. Свобода.

ОБЗАВЕЖДАНЕ: полуобзаведен;
РАЗПРЕДЕЛЕНИЕ: входно антре, хол, кухня с усвоена тераса и трапезария, две спални, баня с тоалетна, втора тоалетна, килер и две тераси;
ЗАСТРОЕНА ПЛОЩ: 90 кв. м;
ЕТАЖ: 6-ти от 8;
ОТОПЛЕНИЕ: ТЕЦ;
ИЗЛОЖЕНИЕ: Изток/Север/Юг;
СТРОИТЕЛСТВО: панел;
ИЗОЛАЦИЯ: да;
РЕФ.НОМЕР: 39456;
ПРЕДИМСТВА: топъл апартамент с изолация и сменена дограма. Намира се в непосредствена близост до: хранителен магазин, училище и детска градина, спирки на градски транспорт и парк. Към жилището има мазе - 6 кв. м.

При проявен интерес към тази оферта или ако желаете БЕЗПЛАТНА консултация, може да се свържете с нас на посочения телефон."
65m²,"жк. Свобода, София",True,"124,990",EUR,Обзаведен,2-ри,6,Локално отопление,,Панел,,,,,,,,,,,"Отличен двустаен апартамент до Северния парк. Големи междублокови пространства и зеленина, бърз достъп до центъра, в близост до удобен градски транспорт и големи търговски вериги. Жилището е след основен ремонт, обзаведено (без телевизора). Състои се от коридор, самостоятелна кухня с усвоен балкон, хол със спален кът, отделна спалня, баня с тоалетна."
90m²,"жк. Свобода, София",True,"115,000",EUR,Полуобзаведен,6-ти,8,ТЕЦ,,Панел,,,,,,,,,,,"Оферта 1665  Aгенция  Уидуок продава 3-стаен преходен апартамент до Лидл, спирка на трамвай 6, автобус 85,108,83,86 детска градина, училища, 24 поликлиника, Северен парк. 
МЕСТОПОЛОЖЕНИЕ- Свобода
РАЗПРЕДЕЛЕНИЕ - коридор, хол спреход към спалня с балкони, стая, кухня с усвоен балкон, баня с тоалетна, тоалетна, мазе- 6 кв.м .
СЪСТОЯНИЕ:за тотален ремонт,
Изложение :изток/юг/ север."
60m²,"жк. Свобода, София",False,"74,500",EUR,Полуобзаведен,2-ри,6,ТЕЦ,,Панел,,,,,,,,,,,"  Двустаен апартамент в близост до ""Северен парк"". Изцяло вътрешен апартамент на среден етаж. Състои се от дневна, спалня, кухня, баня, отделна тоалетна и килер. Към имота има и мазе. Възможно преустройство в тристаен. 
 Обади се сега и цитирай този код 555273"
62m²,"жк. Свобода, София",False,"87,000",EUR,Обзаведен,5-ти,8,ТЕЦ,,Панел,,,,,,,,,,,"Номер в агенцията 47939. 
Продава се непреходен двустаен апартамент в ж.к. Свобода. Жилището е със следното разпределение: коридор, кухня с тераса, спалня, всекидневна с тераса, килер, баня, тоалетна. Апартамента е вътрешен и топъл. Свободно паркиране около блока. Намира се на минути от Северен парк и спирки на градскич транспорт. Кварталът е тих, зелен, с големи отстояния между блоковете, има училища, хипермаркети, поликлиика. 
Огледи с уговорка.
"
62m²,"жк. Свобода, София",False,"76,800",EUR,Обзаведен,5-ти,6,ТЕЦ,,Панел,,,,,,,,,,,"- Просторен и светъл двустаен апартамент в близост до ул. Народни Будители. Панелно строителство от седемдесетте години. Пешеходно разстояние до спирки на градски транспорт, училища и детски градини, магазини, както и до Северния парк.- Разположен на пети жилищен етаж от шест, вътрешен апартамент много топъл. Състои се от широко входно антре, самостоятелна кухня, баня с тоалетна, дневна и спалня. Отопление на ТЕЦ. Общите части на входа са в отлично състояние. Контрол на достъп.- За повече информация, уговорки относно огледи, както и професионално съдействие за кредитиране от лицензирания ни финансов консултант, на тел: 0877 882 889"
