Размер,Адрес,Точен адрес,Цена,Валута,Обзавеждане,Етаж,Етажи,Отопление,Състояние,Строителство,Спални,Бани,Двор,Площ на парцела,В регулация,Предназначение,Виза,Разрешение за строеж,Категория,Тип,Oписание
47m²,"жк. Славия, София",False,"108,000",EUR,,2-ри,6,ТЕЦ,,Панел,,,,,,,,,,,"ЕВТИН ДОМ РЕАЛ ЕСТЕЙТ, предлага на вашето внимание продажба на прекрасен двустаен апартамент с големина 46.6 кв.м. (идеални части)ет. 2 oт 6, в един от най-предпочитаните и спокойни квартали в гр. София, кв. Славия, ул. Хайдушко изворче. Напълно обзаведен, сменена ПВЦ дограма , след основен ремонт:
смяна на цялата ел. инсталация и подменени водопроводи, преустроен: голям просторен хол с кухня с големина 22 кв.м; бяла техника: печка, абсорбатор, пералня и сушилня 2 в 1, голям ъглов диван, трапезна стъклена маса и столове, холна стъклена маса на две нива, холна секция със щкафче, скрин със щкафче за телевизор и още един малък щкаф. Голям коридор с масивна дървена външна врата, портманто с огледало, щкафче за обувки, голям просторен гардероб с огледало.
Банята с тоалетна, душ и тоалетнка с мивка.
Спалня: /13 кв.м./ голяма спална 2 на 2.
Детското обзавеждане и креватче НЕ се продават! Ще се освободи доста голяма площ в стаята.
Подови настилки: нов ламинат.
Отопление: ТЕЦ и ТОК.
Изложение: ЮЗ;
Паркомясто: има възможност да се спира около блока, отделно може да се ползва поднаем гаражна клетка.
На изключително комуникативно, спокойно и тихо място в гр. София, мeждублокови пространства c нови детски площадки.
На 5 мин от Училище 132 и държавна детска градина и ясла Славия.
До 6-то районно управление, което определя място за живеенe с изключително ниска престъпност.
Транспорт: на 3 мин до метростанция:  Красно село, автобусни линии: 102, 83 и 73; трамвай: ном. 5 и ном. 11 - 15 минути до центъра на града.
На 350 метра до хипермаркети : БИЛА и ФАНТАСТИКО; пазар Красно село;
До парк Овча купел и спортен комплекс СЛАВИЯ с фитнес център и басейн.
На 2 мин от конната база Хан Аспарух.
Иделно жилище за младо семейство или двойка.
Ексклузивна оферта caмo и eдинcтвeнo oт ЕВТИН ДОМ PEAЛ ECTEЙT .
"
20m²,"жк. Славия, София",False,"35,000",EUR,,Партер,,,,Тухла,,,,,,,,,,,"Агенция „ИМОТИ ПРОСПЕРИТИ“ има удоволствието да представи на Вашето ВНИМАНИЕ имот с реф. № 122!!!
Продава подземен ГАРАЖ, за продажна цена от 35 000 EUR, находящ се в град София, кв. „Славия“, в близост до кръстовището на ул. „Съвет на Европа“ и ул. „Житница“, срещу хипермаркет „Billa”. Гаража е с квадратура от 20 кв.м. и е подходящ за покупка с цел инвестиция, тъй като има наематели. Общата врата за подземието е автоматична и с дистанционно, а общите части са осветени с фотоклетки. Гаража е с метална гаражна врата, която се заключва с два вида секретни брави. Има възможност да се слагат колела, гуми и др. Може да се паркира голям автомобил с дължина до 5,17м. Офертата е за клиенти на агенцията, разполагаме с ключ в агенцията.
Нашите клиенти получават абсолютно БЕЗПЛАТНО пълно юридическо съдействие през целия процес на сделката и съдействие при кандидатстване и отпускане на ипотечен и потребителски кредит от 13 водещи банки в страната /преференциални условия и лихви за клиенти на агенцията/ с одобрение до 2 работни дни, чрез съдействието на КредитЦентър, най-големият регистриран в БНБ кредитен консултант.
Лице за контакт: Даниела Николова - 0888 58 76 39,0896 42 40 40,
e-mail: prosperity@abv.bg,imotiprosperity.com
"
103m²,"жк. Славия, София",True,"149,990",EUR,Необзаведен,2-ри,4,Локално отопление,В строеж,Тухла,,,,,,,,,,,"Четири отделни стаи! Югоизток! 2 Бани! Изцяло покрит! Опция Гараж или ПМ!
Четири отделни стаи! Югоизток! 2 Бани! Изцяло покрит! Опция Гараж или ПМ!
Референтен код №73416 в www.novdom1.bg!

Консултант недвижими имоти: Мирослав Стоянов, тел. 0879 900 430!

Апартаментът представлява: входно Антре, южен Хол/Всекидевна около 22м2, отделна Кухня + Трапезария (която може да стане трета Спалня) с изход към Балкон около 2м2, Спалня около 17м2 (включително Баня 3,7м2 и Дрешник 1,9м2), втора топла Спалня около 12,3м2, втора Баня + Тоалет около 4м2.
Разположен е на втори среден етаж в жилищна сграда, без преход, без отстъпи, без скосове. Безупречно качествено изпълнение на водеща строителна фирма. Чиста жилищна площ е 90,42м2, а площта с общи части е 102,54м2! Подходящ е за високо финансиране в случай на покупка чрез Банков ипотечен кредит, статут ""Апартамент"". Към него може да се закупи Гараж или Паркомясто на партер на преференециална цена!

Състояние: Апартаментът ще е завършен по БДС, като може да бъде издаден До Ключ: Екстериорна блиндирана врата; Под: коридор и кухненска част на гранитогрес, спални на паркет; Стени: машинно-обработена гипсова мазилка с турбозол, грундирани и боядисани в светла гама на Craft; Мокри Помещения: положен фаянс, теракота и окачен таван; МДФ интериорни врати и ПВЦ дограма; Цветове и материали по каталог, предоставен от инвеститора.

Забележка: Приложените снимки, схеми и визуализации са с цел добиване на максимална представа за завършения вид на имота.

Сградата: Луксозно завършени общи части с естествен камък - гранит или гранитогрес, алуминиеви парапети, хидравличен асансьор с „долно-машинно"" гарантиращ безшумната работа на съоражението. Домофонна система за контролиран достъп в сградата.

Отлична локация: За желаещите спокойно, но същевременно комуникативно място за живот! Заобиколен от Детски градини, в близост до хипермаркети, училища, пощенски станции, ДКЦ, Медицински център, автобусни спирки. Лесен и бърз достъп до главни пътни артерии, административни учреждения, банки, детски площадки, аптеки, козметични студия, заведения.

Уважаеми клиенти само и единствено от агенция Нов Дом 1 можете да получите преференциални цени и условия за покупката на този и други имоти в тази сграда.
Нов Дом 1 - винаги най-доброто на пазара!"
113m²,"жк. Славия, София",True,"192,644",EUR,Необзаведен,2-ри,5,Електричество,,Тухла,,,,,,,,,,,"ДИРЕКТНО ОТ ИНВЕСТИТОР !! КАЧЕСТВО! ЕСТЕТИКА! КОМФОРТ! https://residence.place2live.bg/
PLACE2LIVE RESIDENCE е жилищен комплекс съчетаващ перфектно баланса между висок клас строителство и усещането за здравословна, сигурна, уютна среда, съчетавайки модерна визия и естествени материали в комбинация с прекрасна гледка към Витоша планина. Комплексът е от затворен тип, състоящ се от три сгради разположени на изключително атрактивна локация в югозападната част на София в един от най-озеленените квартали - Славия. На 10 мин. от центъра на града, на 20 метра от метростанция Овча купел, директна връзка с основни пътни артерии и булеварди, магазини, училища, детски градини, лечебни заведения, градски транспорт и паркове. Проектът ще се отличава с атрактивен архитектурен дизайн, луксозно изпълнение на общите части, максимален комфорт, функционалност и удобство в жилищните части, както и запазването на съществуващите зелени площи. За постигането на максимално качество ще бъдат използвани строителни материали от най-висок клас: Окачена вентилируема фасада с 15см. каменна вата, която осигурява до 40% енергоспестяване годишно; Тухли 'WENERBERGER POROTERM'; Иновативна шест камерна PVC дограма 'Kommerling' с троен стъклопакет; Дизайнерски общи части. Жилището, което Ви предлагаме е позиционирано на 2-ри етаж от 5, с изложение Изток. Площта му е 113,32кв.м., като чистата жилищна площ е 93,01кв.м. функционално разпределени във: входно антре, хол с кухненски бокс и трапезария, спалня, втора спалня, баня с тоалетна, втора баня с тоалетна и три тераси. Има възможност за закупуване на подземни и надземни паркоместа. 

За повече информация и огледи, този номер ще Ви е необходим: 1482! 
PLACE2LIVE предлага професионално съдействие при : 
- Съдействие за одобрение на жилищен и потребителски кредит 
- Всички видове застраховки 
- Юридически и счетоводни услуги 
- Строително - Ремонтни дейности до ключ 
- Обзавеждане
"
177m²,"жк. Славия, София",True,"212,007",EUR,Необзаведен,5-ти,5,Електричество,,Тухла,,,,,,,,,,,"ДИРЕКТНО ОТ ИНВЕСТИТОР !! КАЧЕСТВО! ЕСТЕТИКА! КОМФОРТ! 
https://residence.place2live.bg/ 

PLACE2LIVE RESIDENCE е жилищен комплекс съчетаващ перфектно баланса между висок клас строителство и усещането за здравословна, сигурна, уютна среда, съчетавайки модерна визия и естествени материали в комбинация с прекрасна гледка към Витоша планина. Комплексът е от затворен тип, състоящ се от три сгради разположени на изключително атрактивна локация в югозападната част на София в един от най-озеленените квартали - Славия. На 10 мин. от центъра на града, на 20 метра от метростанция Овча купел, директна връзка с основни пътни артерии и булеварди, магазини, училища, детски градини, лечебни заведения, градски транспорт и паркове. Проектът ще се отличава с атрактивен архитектурен дизайн, луксозно изпълнение на общите части, максимален комфорт, функционалност и удобство в жилищните части, както и запазването на съществуващите зелени площи. За постигането на максимално качество ще бъдат използвани строителни материали от най-висок клас: Окачена вентилируема фасада с 15см. каменна вата, която осигурява до 40% енергоспестяване годишно; Тухли 'WENERBERGER POROTERM'; Иновативна шест камерна PVC дограма 'Kommerling' с троен стъклопакет; Дизайнерски общи части. Жилището, което Ви предлагаме е позиционирано на 5-ти етаж, с изложение Юг/ Изток/ Запад. Площта му е 177,45кв.м., функционално разпределени във: входно антре/ коридор, еднопространствено помещение с възможност за преустройство, баня с тоалетна и две панорамни тераси. Има възможност за закупуване на подземни и надземни паркоместа. 

За повече информация и огледи, този номер ще Ви е необходим: 1527!
PLACE2LIVE предлага професионално съдействие при : 
- Съдействие за одобрение на жилищен и потребителски кредит 
- Всички видове застраховки 
- Юридически и счетоводни услуги 
- Строително - Ремонтни дейности до ключ 
- Обзавеждане
"
202m²,"жк. Славия, София",True,"355,340",EUR,Необзаведен,4-ти,5,Електричество,,Тухла,,,,,,,,,,,"ДИРЕКТНО ОТ ИНВЕСТИТОР !! КАЧЕСТВО! ЕСТЕТИКА! КОМФОРТ!
https://residence.place2live.bg/
PLACE2LIVE RESIDENCE е жилищен комплекс съчетаващ перфектно баланса между висок клас строителство и усещането за здравословна, сигурна, уютна среда, съчетавайки модерна визия и естествени материали в комбинация с прекрасна гледка към Витоша планина. Комплексът е от затворен тип, състоящ се от три сгради разположени на изключително атрактивна локация в югозападната част на София в един от най-озеленените квартали - Славия. На 10 мин. от центъра на града, на 20 метра от метростанция Овча купел, директна връзка с основни пътни артерии и булеварди, магазини, училища, детски градини, лечебни заведения, градски транспорт и паркове. Проектът ще се отличава с атрактивен архитектурен дизайн, луксозно изпълнение на общите части, максимален комфорт, функционалност и удобство в жилищните части, както и запазването на съществуващите зелени площи. За постигането на максимално качество ще бъдат използвани строителни материали от най-висок клас: Окачена вентилируема фасада с 15см. каменна вата, която осигурява до 40% енергоспестяване годишно; Тухли 'WENERBERGER POROTERM'; Иновативна шест камерна PVC дограма 'Kommerling' с троен стъклопакет; Дизайнерски общи части.
Жилището, което Ви предлагаме е позиционирано на 4-ти етаж от 5, с изложение Юг/ Запад. Площта му е 201,72 кв.м., функционално разпределени във: входно антре/ коридор, хол с кухненски бокс и трапезария, три самостоятелни спални, баня с тоалетна, втора баня с тоалетна и панорамна тераса. Има възможност за закупуване на подземни и надземни паркоместа.

За повече информация и огледи, този номер ще Ви е необходим: 1452!
PLACE2LIVE предлага професионално съдействие при :
- Съдействие за одобрение на жилищен и потребителски кредит
- Всички видове застраховки
- Юридически и счетоводни услуги
- Строително - Ремонтни дейности до ключ
- Обзавеждане
"
128m²,"жк. Славия, София",True,"232,460",EUR,Необзаведен,4-ти,5,Електричество,,Тухла,,,,,,,,,,,"ДИРЕКТНО ОТ ИНВЕСТИТОР !! КАЧЕСТВО! ЕСТЕТИКА! КОМФОРТ! https://residence.place2live.bg/
PLACE2LIVE RESIDENCE е жилищен комплекс съчетаващ перфектно баланса между висок клас строителство и усещането за здравословна, сигурна, уютна среда, съчетавайки модерна визия и естествени материали в комбинация с прекрасна гледка към Витоша планина. Комплексът е от затворен тип, състоящ се от три сгради разположени на изключително атрактивна локация в югозападната част на София в един от най-озеленените квартали - Славия. На 10 мин. от центъра на града, на 20 метра от метростанция Овча купел, директна връзка с основни пътни артерии и булеварди, магазини, училища, детски градини, лечебни заведения, градски транспорт и паркове. Проектът ще се отличава с атрактивен архитектурен дизайн, луксозно изпълнение на общите части, максимален комфорт, функционалност и удобство в жилищните части, както и запазването на съществуващите зелени площи. За постигането на максимално качество ще бъдат използвани строителни материали от най-висок клас: Окачена вентилируема фасада с 15см. каменна вата, която осигурява до 40% енергоспестяване годишно; Тухли 'WENERBERGER POROTERM'; Иновативна шест камерна PVC дограма 'Kommerling' с троен стъклопакет; Дизайнерски общи части. Жилището, което Ви предлагаме е позиционирано на 4-ти етаж от 5, с изложение Юг/ Изток. Площта му е 128,08 кв.м., функционално разпределени във: входно антре, хол с кухненски бокс и трапезария, две спални, баня с тоалетна и панорамна тераса. Има възможност за закупуване на подземни и надземни паркоместа. 

За повече информация и огледи, този номер ще Ви е необходим: 1481! 
PLACE2LIVE предлага професионално съдействие при : 
- Съдействие за одобрение на жилищен и потребителски кредит 
- Всички видове застраховки 
- Юридически и счетоводни услуги 
- Строително - ремонтни дейности до ключ 
 Обзавеждане
"
132m²,"жк. Славия, София",True,"264,540",EUR,Необзаведен,2-ри,5,Електричество,,Тухла,,,,,,,,,,,"ДИРЕКТНО ОТ ИНВЕСТИТОР !! КАЧЕСТВО! ЕСТЕТИКА! КОМФОРТ! https://residence.place2live.bg/
PLACE2LIVE RESIDENCE е жилищен комплекс съчетаващ перфектно баланса между висок клас строителство и усещането за здравословна, сигурна, уютна среда, съчетавайки модерна визия и естествени материали в комбинация с прекрасна гледка към Витоша планина. Комплексът е от затворен тип, състоящ се от три сгради разположени на изключително атрактивна локация в югозападната част на София в един от най-озеленените квартали - Славия. На 10 мин. от центъра на града, на 20 метра от метростанция Овча купел, директна връзка с основни пътни артерии и булеварди, магазини, училища, детски градини, лечебни заведения, градски транспорт и паркове. Проектът ще се отличава с атрактивен архитектурен дизайн, луксозно изпълнение на общите части, максимален комфорт, функционалност и удобство в жилищните части, както и запазването на съществуващите зелени площи. За постигането на максимално качество ще бъдат използвани строителни материали от най-висок клас: Окачена вентилируема фасада с 15см. каменна вата, която осигурява до 40% енергоспестяване годишно; Тухли 'WENERBERGER POROTERM'; Иновативна шест камерна PVC дограма 'Kommerling' с троен стъклопакет; Дизайнерски общи части. Жилището, което Ви предлагаме е позиционирано на 2-ри етаж от 5, с изложение Запад. Площта му е 132,27кв.м., като чистата жилищна площ е 108,05кв.м. функционално разпределени във: входно антре, хол с кухненски бокс и трапезария, спалня, втора спалня, баня с тоалетна, втора баня с тоалетна и три тераси. Има възможност за закупуване на подземни и надземни паркоместа. 

За повече информация и огледи, този номер ще Ви е необходим: 1486! 
PLACE2LIVE предлага професионално съдействие при : 
- Съдействие за одобрение на жилищен и потребителски кредит 
- Всички видове застраховки 
- Юридически и счетоводни услуги 
- Строително - Ремонтни дейности до ключ 
- Обзавеждане
"
116m²,"жк. Славия, София",True,"231,020",EUR,Необзаведен,3-ти,5,Електричество,,Тухла,,,,,,,,,,,"ДИРЕКТНО ОТ ИНВЕСТИТОР !! КАЧЕСТВО! ЕСТЕТИКА! КОМФОРТ! https://residence.place2live.bg/
PLACE2LIVE RESIDENCE е жилищен комплекс съчетаващ перфектно баланса между висок клас строителство и усещането за здравословна, сигурна, уютна среда, съчетавайки модерна визия и естествени материали в комбинация с прекрасна гледка към Витоша планина. Комплексът е от затворен тип, състоящ се от три сгради разположени на изключително атрактивна локация в югозападната част на София в един от най-озеленените квартали - Славия. На 10 мин. от центъра на града, на 20 метра от метростанция Овча купел, директна връзка с основни пътни артерии и булеварди, магазини, училища, детски градини, лечебни заведения, градски транспорт и паркове. Проектът ще се отличава с атрактивен архитектурен дизайн, луксозно изпълнение на общите части, максимален комфорт, функционалност и удобство в жилищните части, както и запазването на съществуващите зелени площи. За постигането на максимално качество ще бъдат използвани строителни материали от най-висок клас: Окачена вентилируема фасада с 15см. каменна вата, която осигурява до 40% енергоспестяване годишно; Тухли 'WENERBERGER POROTERM'; Иновативна шест камерна PVC дограма 'Kommerling' с троен стъклопакет; Дизайнерски общи части. Жилището, което Ви предлагаме е позиционирано на 3-ти етаж от 5, с изложение Юг/ Запад. Площта му е 115,51кв.м., като чистата жилищна площ е 94,40кв.м. функционално разпределени във: входно антре, хол с кухненски бокс и трапезария, спалня, втора спалня, баня с тоалетна, втора баня с тоалетна и две тераси. Има възможност за закупуване на подземни и надземни паркоместа. 

За повече информация и огледи, този номер ще Ви е необходим: 1485! 

PLACE2LIVE предлага професионално съдействие при : 
- Съдействие за одобрение на жилищен и потребителски кредит 
- Всички видове застраховки 
- Юридически и счетоводни услуги 
- Строително - Ремонтни дейности до ключ 
- Обзавеждане
"
115m²,"жк. Славия, София",True,"230,400",EUR,Необзаведен,2-ри,5,Електричество,,Тухла,,,,,,,,,,,"ДИРЕКТНО ОТ ИНВЕСТИТОР !! КАЧЕСТВО! ЕСТЕТИКА! КОМФОРТ! https://residence.place2live.bg/
PLACE2LIVE RESIDENCE е жилищен комплекс съчетаващ перфектно баланса между висок клас строителство и усещането за здравословна, сигурна, уютна среда, съчетавайки модерна визия и естествени материали в комбинация с прекрасна гледка към Витоша планина. Комплексът е от затворен тип, състоящ се от три сгради разположени на изключително атрактивна локация в югозападната част на София в един от най-озеленените квартали - Славия. На 10 мин. от центъра на града, на 20 метра от метростанция Овча купел, директна връзка с основни пътни артерии и булеварди, магазини, училища, детски градини, лечебни заведения, градски транспорт и паркове. Проектът ще се отличава с атрактивен архитектурен дизайн, луксозно изпълнение на общите части, максимален комфорт, функционалност и удобство в жилищните части, както и запазването на съществуващите зелени площи. За постигането на максимално качество ще бъдат използвани строителни материали от най-висок клас: Окачена вентилируема фасада с 15см. каменна вата, която осигурява до 40% енергоспестяване годишно; Тухли 'WENERBERGER POROTERM'; Иновативна шест камерна PVC дограма 'Kommerling' с троен стъклопакет; Дизайнерски общи части. Жилището, което Ви предлагаме е позиционирано на 2-ри етаж от 5, с изложение Юг - Запад. Площта му е 115,20кв.м., като чистата жилищна площ е 94,40кв.м. функционално разпределени във: входно антре, хол с кухненски бокс и трапезария, две спални, баня с тоалетна, втора баня с тоалетна и две тераси. Има възможност за закупуване на подземни и надземни паркоместа. 

За повече информация и огледи, този номер ще Ви е необходим: 1484!
PLACE2LIVE предлага професионално съдействие при : 
- Съдействие за одобрение на жилищен и потребителски кредит 
- Всички видове застраховки 
- Юридически и счетоводни услуги 
- Строително - Ремонтни дейности до ключ 
- Обзавеждане
"
