Размер,Адрес,Точен адрес,Цена,Валута,Обзавеждане,Етаж,Етажи,Отопление,Състояние,Строителство,Спални,Бани,Двор,Площ на парцела,В регулация,Предназначение,Виза,Разрешение за строеж,Категория,Тип,Oписание
47m²,"жк. Слатина, София",False,"108,900",EUR,Обзаведен,8-ми,8,ТЕЦ,,Панел,,,,,,,,,,,"iHOME REAL ESTATE продава 2-стаен апартамент на границата между ""Гео Милев"" и ""Слатина"". Жилището е преустроена гарсониера с голям балкон, който гледа към Витоша. Състои се от хол, малка спалня, кухненски бокс, баня с тоалетна, коридор. Обзавеждането е изключително фино и направено с изтънчен вкус. Има всички необходими домакински уреди - хладилник, печка, керамични котлони, абсорбатор, пералня, миялна, микровълнова печка. Продава се с цялото обзавеждане, както е на снимките. Отоплението е с ТЕЦ. Към жилището има мазе - 2,5 м2. Сградата е с асансьор, входната врата е с чип.
iHOME REAL ESTATE работи по изискванията на БДС EN15733 в съответствие с нормите, заложени в Етичния Професионален Кодекс. Отговаряме за качеството на предоставяните услуги и консултации, свързани с покупка, продажба, наем-управление на имоти и кредитиране!
АГЕНЦИЯ НА ГОДИНАТА ЗА 2021 на годишните награди на imoti.net, пълноправен член на НСНИ и CEPI.
"
66m²,"жк. Слатина, София",True,"129,000",EUR,Необзаведен,4-ти,8,ТЕЦ,,Панел,,,,,,,,,,,"""АСГАРД ПРОПЪРТИС"" продава слънчев, непреходен 2-стаен апартамент, разположен на 4-ти етаж в отлично поддържан панелен блок. Жилището е с чиста площ 65,30 кв.м. и се състои от дневна, непреходна спалня, самостоятелна кухня с тераса, баня, тоалетна и голямо мокро помещение, в което може да се обособи втора баня. PVC дограма, външна топлоизолация, сменени вертикални щрангове за водата. Отлично уреден район в непосредствена близост до всякакви магазини, заведения и др., на 150 метра от бъдещата метростанция. Отопление: ТЕЦ. АГЕНцИЯТА РАЗПОЛАГА С КЛЮЧ! За контакти: 0899/032-036, 02/465-19-50."
44m²,"жк. Слатина, София",False,"92,500",EUR,,8-ми,8,ТЕЦ,,Панел,,,,,,,,,,,"ИРИДА НЕДВИЖИМИ ИМОТИ има удоволствието да Ви представи един прекрасен,среден,слънчев апартамент в панелена сграда от 1984.

Жилището е с площ от 44 кв.м и се състои от: хол, самостоятелен кухненски бокс, спалня, баня с тоалетна.Мазе от 4 кв.м.
Добри общи части.Контролиран достъп. Свободно паркиране пред блока.Частично обзаведен!!! Чудесна Гледка!!! 

В близост спирки на Градския транспорт, Училища, Детски градини, Вериги магазини, Поликлиники, Ресторанти и др.! Югоизточен топъл апартамент! ПВЦ Дограма и Изолация! Готов за живеене!

***

За контакти, повече информация и огледи, водещ брокер: Васил  Георгиев  0898 77 17 25 

***

СВЪРЖЕТЕ СЕ С НАС! РАБОТИМ И В ПОЧИВНИТЕ ДНИ!

Предлагаме БЕЗПЛАТНО СЪДЕЙСТВИЕ за одобрение и получаване на ипотечен кредит за покупка на жилище при най-добри условия за Вас, чрез услугите на лицензиран кредитен консултант!

ПЕРФЕКТНО изработени и приключени документално имотни сделки!"
44m²,"жк. Слатина, София",False,"92,500",EUR,,8-ми,8,ТЕЦ,,Панел,,,,,,,,,,,"ИРИДА НЕДВИЖИМИ ИМОТИ има удоволствието да Ви представи един прекрасен,среден,слънчев апартамент в панелена сграда от 1984г.

Жилището е с площ от 44 кв.м и се състои от: хол, самостоятелен кухненски бокс, спалня, баня с тоалетна.Мазе от 4 кв.м.Добри общи части.Контролиран достъп. Свободно паркиране пред блока.Частично обзаведен!Чудесна Гледка!
В близост спирки на Градския транспорт, Училища, Детски градини, Вериги магазини, Поликлиники, Ресторанти и др.! Югоизточен топъл апартамент! ПВЦ Дограма и Изолация!Готов за живеене!

***

За контакти, повече информация и огледи, водещ брокер: Васил  Георгиев  0898 77 17 25 

***

СВЪРЖЕТЕ СЕ С НАС! РАБОТИМ И В ПОЧИВНИТЕ ДНИ!

Предлагаме БЕЗПЛАТНО СЪДЕЙСТВИЕ за одобрение и получаване на ипотечен кредит за покупка на жилище при най-добри условия за Вас, чрез услугите на лицензиран кредитен консултант!

ПЕРФЕКТНО изработени и приключени документално имотни сделки!"
73m²,"жк. Слатина, София",False,"210,000",EUR,,4-ти,6,ТЕЦ,,Тухла,,,,,,,,,,,"ИРИДА НЕДВИЖИМИ ИМОТИ Ви предлага за продажба , просторен двустаен апартамент изцяло обзаведен в тухлена сграда с акт 16 от 2020г в Слатина. 

Апартаментът е с площ от 73 кв.м. на четвърти жилищен етаж от шест с източно изложение. 
Състои се от просторна дневна с кухненски бокс, спалня и баня с тоалетна. Обзаведен с висок клас мебели и довършителни работи. 
Луксозни общи части и контролиран достъп. Отопление на ТЕЦ. 
Има възможност за закупуване на гараж и таван .Перфектен за инвестиция или за живеене!

***

За контакти, повече информация и огледи, водещ брокер: Илиана Тошева 0876 72 00 20

***

СВЪРЖЕТЕ СЕ С НАС! РАБОТИМ И В ПОЧИВНИТЕ ДНИ!

Предлагаме БЕЗПЛАТНО СЪДЕЙСТВИЕ за одобрение и получаване на ипотечен кредит за покупка на жилище при най-добри условия за Вас, чрез услугите на лицензиран кредитен консултант!

ПЕРФЕКТНО изработени и приключени документално имотни сделки!"
80m²,"жк. Слатина, София",False,"119,900",EUR,,8-ми,8,,,Панел,,,,,,,,,,,"Тристаен апартамент 79,53 м2 в кв. Слатина с изглед към Витоша. Отлична локация!
Разпределение:
- коридор;
- кухня с тераса;
- хол с тераса;
- спалня с обща тераса с хола;
- втора спалня;
- баня с тоалетна;
- тоалетна;
- килер.
 Към апартамента има мазе 4 м2.
 Апартаментът е слънчев, светъл, топъл, просторен, непреходен, среден и необзаведен. Холът и спалнята са с изложение юг, а кухнята и втората спалня - север. Настилката във всички стаи е мокет, а кухнята - теракота. Дограмата е PVC в някои стаи. Нуждае се от съвременен ремонт. Отоплението е ТЕЦ. В стаите няма влага, няма течове. Сградата е с асансьор, с добре поддържани общи части, с контрол на достъп и покривът на сградата е в мниго добро състояние.  Разположен в непосредствена близост до детски градини, училища и множество търговски обекти. Стаите на юг са с прекрасна панорама към Витоша, а на север с изглед към Стара планина.
Прекрасна възможност за Вашия нов дом!
Ние ценим Вашето време и искаме да Ви спестим излишни грижи. Гарантираме прецизност, точност и коректност! Доверете ни се! Оферта 1707"
66m²,"жк. Слатина, София",False,"185,000",EUR,,2-ри,8,ТЕЦ,,Панел,,,,,,,,,,,"ИРИДА НЕДВИЖИМИ ИМОТИ има удоволствието да Ви представи един прекрасен двустаен апартамент в сграда тип панел от 1986г.

Жилището е със площ от 66 кв.м и се състои от стая,хол и кухня с балкон. Ремонтиран,ПВЦ дограма.Може лесно д а се преустрои в тристаен.Южно изложение.
Към имота има мазе 3 кв.м.Добри общи части.Контролиран достъп. 

***

За контакти, повече информация и огледи, водещ брокер: Евелина Траянска 0884908077

***

СВЪРЖЕТЕ СЕ С НАС! РАБОТИМ И В ПОЧИВНИТЕ ДНИ!

Предлагаме БЕЗПЛАТНО СЪДЕЙСТВИЕ за одобрение и получаване на ипотечен кредит за покупка на жилище при най-добри условия за Вас, чрез услугите на лицензиран кредитен консултант!

ПЕРФЕКТНО изработени и приключени документално имотни сделки!

Разполагаме с изпълнител за ДОВЪРШИТЕЛНИТЕ РАБОТИ и ремонт на закупеното от Вас жилище."
98m²,"жк. Слатина, София",False,"123,000",EUR,,8-ми,8,,,Панел,,,,,,,,,,,"Тристаен апартамент 98 м2 в кв.Слатина, ул.Слатинска. Отлична локация! 
Разпределение:
-те-образен коридор;
-хол с балкон;
-кухня с балкон ;
-спалня;
-втора спалня;
-отделна тоалетна;
-баня с възможност за втора тоалетна;
-мокро помещение;
-килер;
Светъл, слъчев, просторен, непреходен и функционален апартамент в панелен блок на отлично място в района. Най-доброто разпределение за този тип апартаменти. Намира се на последен осми етаж, но покривът на сградата е ремонтиран основно през 2021 г. Холът и едната спалня са с източно изложение и са с изглед към ул.Слатинска, а кухнята и втората спалня са със западно изложение и са с просторен изглед към зелени площи. Жилището е поддържано, но се нуждае от основен съвременен ремонт. Има малка тоалетна, но в банята може да се направи втора тоалетна. Общите части на сградата са добре поддържани  с контрол на достъп. Блокът се намира до спирка на градски транспорт, училище, детска градина, разнообразни магазини, както и в близост до парк Гео Милев.
Имотът е семейна собственост и е с изрядни документи. 
Ние ценим Вашето време и искаме да Ви спестим излишни грижи. Гарантираме прецизност, точност и коректност! Доверете ни се!
Оферта 1701"
76m²,"жк. Слатина, София",False,"122,000",EUR,Обзаведен,4-ти,6,ТЕЦ,,,,,,,,,,,,,"град София, Слатина
Продава се двустаен апартамент преустроен е от двустаен в тристаен апартамент, като се състои от родителска спалня, детска стая, дневна с кухненски бокс, коридор, баня с тоалетна и тераса. Жилището е в добро състояние след частичен ремонт, продава се с обзавеждането. Дограмата е сменена, а входната врата е метална. Общите части са добре поддържани като дограмата на входа също е подменена. Има ТЕЦ. Имотът е със източно изложение, слънчев и светъл.
В близост има спирки на градски транспорт, бъдеща метростанция, магазини, пазар, фитнес център, различни спортни центрове, училища, детска градина, множество градинки и детски площадки.
Цена 122 000евро.
Номер в агенцията 5764
Тел; 0878788401
https://www.facebook.com/groups/3201870026521931
"
66m²,"жк. Слатина, София",False,"122,000",EUR,Обзаведен,4-ти,6,ТЕЦ,,Панел,,,,,,,,,,,"Имоти Комфорт Ви представя двустаен апартамент преустроен в тристаен апартамент.Жилището  се състои от родителска спалня, детска стая, дневна с кухненски бокс, коридор, баня с тоалетна и тераса. Много добро състояние, след частичен ремонт, продава се с обзавеждането. Дограмата е сменена, а входната врата е метална. Общите части са добре поддържани, като дограмата на входа също е подменена. Има ТЕЦ. Имотът е със източно изложение, слънчев и светъл.
В близост има спирки на градски транспорт, бъдеща метростанция, магазини, пазар, фитнес център, различни спортни центрове, училища, детска градина, множество градинки и детски площадки.
"
