Размер,Адрес,Точен адрес,Цена,Валута,Обзавеждане,Етаж,Етажи,Отопление,Състояние,Строителство,Спални,Бани,Двор,Площ на парцела,В регулация,Предназначение,Виза,Разрешение за строеж,Категория,Тип,Oписание
161m²,"жк. Стрелбище, София",False,"340,000",EUR,Обзаведен,8-ми,9,ТЕЦ,,Тухла,,,,,,,,,,,"Продава частично обзаведен тристаен в кв. Стрелбище, бул. Гоце Делчев, нова сграда от 2006 г. Разпределение: просторна дневна с кух. бокс, две стаи, две баня с тоалетна и килер. Площ 161.74 кв.м с ид.ч. /128,8 застр. площ. Етаж: 8/ 9 с асанс.Изложение: Юг . Обзавеждане:дневна- ламиниран паркет, кух. бокс- вградена кухня, двете стаи- мокет, климатици, окачени тавани с осветление, две луксозно завършени бани с душ кабина. Възможност за закупуване на подземно паркомясто.за оглед -0887703305
"
84m²,"жк. Стрелбище, София",False,"175,000",EUR,Обзаведен,8-ми,9,ТЕЦ,,Тухла,,,,,,,,,,,"Продава частично обзаведен двустаен в кв. Стрелжище, бул. Гоце Делчев, нова сграда от 2006 г. Разпределение: дневна с кух. бокс, стая, баня с тоалетна. Площ 84.43 кв.м с ид.ч. /67.5 застр. площ. Етаж: 8/ 9 с асанс.Изложение: Юг . Обзавеждане:дневна- ламиниран паркет, стая- мокет, климатик, окачени тавани с осветление, луксозно завършена баня с душ кабина. Възможност за закупуване на подземно паркомясто.за оглед -0887703305
"
77m²,"жк. Стрелбище, София",False,"170,000",EUR,Обзаведен,8-ми,9,ТЕЦ,,Тухла,,,,,,,,,,,"Продава частично обзаведен двустаен в кв. Стрелжище, бул. Гоце Делчев, нова сграда от 2006 г. Разпределение: дневна с кух. бокс, стая, баня с тоалетна. Площ 77.31 кв.м с ид.ч. /61.30 застр. площ. Етаж: 8/ 9 с асанс.Изложение: Юг . Обзавеждане:дневна- ламиниран паркет, кух. бокс - вградена кухня , стая- мокет, климатик, окачени тавани с осветление, луксозно завършена баня с душ кабина. Възможност за закупуване на подземно паркомясто.за оглед -0887703305
"
56m²,"жк. Стрелбище, София",False,"128,000",EUR,Обзаведен,6-ти,19,ТЕЦ,,,,,,,,,,,,,"ТОП ЛОКАЦИЯ В СТРЕЛБИЩЕ !!! Предлагам на Вашето внимание обзаведен двустаен апартамент с чиста жилищна площ 56 кв.м. в квартал Стрелбище. Жилището се продава с обзавеждането, което е включено в цената. Локацията на имота е отлична - в непосредствена близост на училища, детски градини, магазини, ресторанти и МОЛ. НА ЕДНА РЪКА РАЗСТОЯНИЕ ОТ ЮЖНИЯ ПАРК !!! Апартаментът е много топъл (вътрешен, южно изложение) и е много ниски разходи за отопление. Отоплението и топлата вода са от ТЕЦ. Състоянието на апартамента е много добро - може да се живее ВЕДНАГА, без нужда от ремонт. Сигурност: достъпът до сградата е с чип, на всеки етаж от сградата има видеонаблюдение. Общите части се поддържат от домоуправител, сградата има 3 работещи асаньора. Панорамна гледка към ВИТОША! Разпределение: антре, кухненски бокс, спалня, хол, баня с тоалетна, остъклен балкон, мазе. Офертата е за частни лица! Агенция ВАЛЕР е вече 28 години на пазара на недвижими имоти. Утвърдили сме се като професионалисти. Водещи принципи в нашата работа са лоялността и коректността към клиентите на агенцията. Огледи - с подписан Протокол за оглед, комисионна 2,5% от продажната цена.За контакт:  0894591461,http://www.valer.bg/bg
"
200m²,"жк. Стрелбище, София",False,"399,000",EUR,Обзаведен,7-ми,7,Електричество,,Тухла,,,,,,,,,,,"Агенция за недвижими имоти 'Perfe' има удоволствието да Ви представи за продажба:

Просторен и светъл многостаен апартамент на топ локация, само на 1 минута пешеходено разстояние от Южен Парк.

Жилището разполага с площ от 200 кв.м. ( чиста площ, няма общи части ) разгънати  в следното практично разпределение:
антре, просторна всекидневна с обособен кухненски бокс, три непреходни спални, баня с толаетна, две толаетни, гардеробна, балкон.

Ситуиран на 7-ми от общо 7 етажа в тухлена сграда от 2006г.

Отоплението е уредено на електричество.

Продава се напълно обзаведен.

Локацията е една от най-предпочитаните за живеене в Столицата, непосредствено до Южен парк, метростанция бул. 'България', спирка на градски транспорт, заведения, фитнеси, салони за красота, търговски обекти.

 
Предлагаме множество имоти, които не са обявени в публичното пространство.

За повече въпроси и записване на час за оглед, обадете се на тел. +359 896505656

Референтен номер на имота: 25118





"
70m²,"жк. Стрелбище, София",False,"216,000",EUR,Обзаведен,5-ти,7,ТЕЦ,,Тухла,,,,,,,,,,,"!!! ТОП ЛОКАЦИЯ - метростанция на 200 м !!! ВЪТРЕШЕН ПАРКИНГ ЗА ЖИВУЩИТЕ !!!

Имоти Премиер представя на вашето внимание двустаен обзаведен апартамент в кв. Стрелбище.

Жилището е изключително слънчево, намира се на пети етаж и е с чиста площ от 75 м2 - напълно обзаведено и оборудвано. Състои се от антре, всекидевна, спалня, трапезария с кухненски бокс, две сервизни помещения, тераса с изглед към Витоша, мазе.

Изложението е югоизточно, отоплението - ТЕЦ. Входът е с поддържани общи части и контролиран достъп. Възможност за преустройство в тристаен апартамент.

Локацията е отлична - Втора английска езикова гимназия, спирка на трамваи, Южен парк и пазар Иван Вазов.

Код на обявата: 338415."
66m²,"жк. Стрелбище, София",False,"225,000",EUR,Обзаведен,3-ти,6,,,Тухла,,,,,,,,,,,"Имоти Премиер предлага на Вашето внимание обзаведен двустаен апартамент в кв.Стрелбище с площ 66кв.м. ТОП ЛОКАЦИЯ!Намира се в най-хубавата и озеленена част на Стрелбище до ул.Хайдушка гора.Жилището се намира на 3-ти етаж в шестетажна тухлена кооперация, след основен ремонт с абсолютно ново обзавеждане, готов за нанасяне.

Разпределението е следното: просторна дневна с трапезария и кухня, отделна голяма спалня, антре, баня, тоалетна, и тераса. Апартаментът е непреходен, изключително светъл и топъл, вътрешен, със собствени топломери, и хоризонтални тръби на ТЕЦ. Към имота има и прилежащо мазе.

В непосредствена близост до сградата има всякакви удобства - перфектни транспортни връзки и Метростанция, много различни магазини, прекрасният Южен парк, хипермаркети, детска градина, спирки на градския транспорт и училища.Подходящ е както за живеене, така и с цел отдаване под наем.

Код на обявата: 325843"
87m²,"жк. Стрелбище, София",False,"199,000",EUR,Обзаведен,5-ти,7,ТЕЦ,,Тухла,,,,,,,,,,,"ДРИЙМ ВИЖЪН НЕДВИЖИМИ ИМОТИ Продава обзаведен двустаен апартамент в кв. Стрелбище на улица Кестенова гора на тихо и спокойно място, но същевременно и комуникативно - в близост до метростанция, спирки на градски транспорт, магазини, заведения и на 5 минути пешеходно разстояние от Южен парк! Сградата е от 2007година, поддържан вход, контрол на достъпа и видеонаблюдение/видеодомофонна система. Изложение: югозапад. Към апартамента има и мазе. Освежен и изцяло обзаведен. Оферта в агенцията 8781. Всички наши обяви ги работим с колеги. Още наши оферти може да намерите на www.dreamvision.bg Телефон за връзка: 0885 98 11 00 - Александър Гогов
"
124m²,"жк. Стрелбище, София",False,"190,000",EUR,Обзаведен,5-ти,6,ТЕЦ,,Тухла,,,,,,,,,,,"БЕЗ КОМИСИОННА ОТ КУПУВАЧА! ДРИЙМ ВИЖЪН НЕДВИЖИМИ ИМОТИ Продава тристаен апартамент в новострояща се луксозна бутикова сграда само с 9 апартамента в непосредствена близост до Южен Парк.Отлична локация с бърз достъп към центъра на града, множество магазини, заведения, училища и детски градини. Жилището е със следното разпределение: входно антре, дневна с кухненски бокс и трапезария, две спални, баня и тоалетна, отделна тоалетна, склад,тераса.Предава се на шпакловка и замазка, блиндирана входна врата. Отопление на ТЕЦ. Качествено строителство от доказан строител.Оферта в агенцията 7058. Всички наши обяви ги работим с колеги. Още наши оферти може да намерите на www.dreamvision.bg Телефони за връзка: 02/421 96 35 ; 0886 13 22 91 Димитър Георгиев
"
65m²,"жк. Стрелбище, София",False,"130,000",EUR,Необзаведен,2-ри,9,ТЕЦ,,Панел,,,,,,,,,,,"Номер в агенцията 39261
Агенция И Консултинг продава Двустаен апартамент в Стрелбище. Жилището се намира в близост до Южен парк.  Състои се от: входно антре с голям вграден гардероб, просторен южен хол с тераса, спалня, кухня с излаз на тераса, разположена пред спалнята и баня с тоалетна. Отоплението на ТЕЦ. Жилището е за ремонт.
За контакти Иван Иванов 0896977866
Разгледайте и другите ни предложения 
www.iconsulting-bg.com"
