Размер,Адрес,Точен адрес,Цена,Валута,Обзавеждане,Етаж,Етажи,Отопление,Състояние,Строителство,Спални,Бани,Двор,Площ на парцела,В регулация,Предназначение,Виза,Разрешение за строеж,Категория,Тип,Oписание
85m²,"жк. Сухата Река, София",False,"135,000",EUR,Необзаведен,5-ти,8,ТЕЦ,,Тухла,,,,,,,,,,,"Имоти Премиер представя на Вашето внимание тристаен апартамент в кв. Сухата река. Жилището разполага с входно антре, хол, две спални, кухня, баня, тоалетна и три тераси. Разполага с 86кв. светла площ! Стените са с фина шпакловка и латекс, подове на кухнята и коридора - на замазка. Намира се на комуникативна локация в близост до спирки на градски транспорт, училища, магазини и центъра на града.

Код на обявата: 342695"
74m²,"жк. Сухата Река, София",False,"198,000",EUR,,8-ми,12,ТЕЦ,,ЕПК,,,,,,,,,,,"ИРИДА НЕДВИЖИМИ ИМОТИ Ви представя за продажба просторен, обзаведен тристаен апартамент в Сухата река.

Жилището е с площ от 74кв.м. на осми от дванадесет етажа, преустроен от двустаен на тристаен апартамент с югозападно изложение.

Състои се от хол, кухненски бокс, две спални, баня с тоалетна и тераса. 
Топ локация!

***

За повече информация и оглед Водещ брокер: Илиана Тошева 0876 72 00 20

***

СВЪРЖЕТЕ СЕ С НАС! РАБОТИМ И В ПОЧИВНИТЕ ДНИ!

Предлагаме БЕЗПЛАТНО СЪДЕЙСТВИЕ за одобрение и получаване на ипотечен кредит за покупка на жилище при най-добри условия за Вас, чрез услугите на лицензиран кредитен консултант!

ПЕРФЕКТНО изработени и приключени документално имотни сделки!

Разполагаме с изпълнител за ДОВЪРШИТЕЛНИТЕ РАБОТИ и ремонт на закупеното от Вас жилище."
69m²,"жк. Сухата Река, София",False,"101,500",EUR,,3-ти,3,Електричество,,Тухла,,,,,,,,,,,"ИРИДА НЕДВИЖИМИ ИМОТИ ПРОДАВА ДВУСТАЕН АПАРТАМЕНТ В КВ. СУХАТА РЕКА.

Апартаментът е непреходен и се намира на трети етаж под тавански помещения. Разположен в тухлена сграда от средата на 60-те години, намираща се на тихо място до ул.Бесарабия и с бърз достъп по бул. Ботевградско шосе към централната част на града. 

Имотът е с площ 69 кв.м и има следното разпределение: входно антре, хол, спалня, кухня, баня с тоалетна. Обзаведен и ремонтиран основно. Отоплението е на електричество, климатик.Към апартамента има мазе и таван. 
Входът е с добри общи части и се заключва. 

***

За контакти, повече информация и огледи - брокер:Васил Георгиев тел.: 0898771725

***

СВЪРЖЕТЕ СЕ С НАС! РАБОТИМ И В ПОЧИВНИ ДНИ!

Предлагаме БЕЗПЛАТНО СЪДЕЙСТВИЕ за одобрение и получаване на ипотечен кредит за покупка на жилище при най-добри условия за Вас, чрез услугите на лицензиран кредитен консултант!

ПЕРФЕКТНО изработени и приключени документално имотни сделки!

Агенцията ни поддържа БОГАТА И АКТУАЛНА БАЗА ДАННИ за имоти. "
73m²,"жк. Сухата Река, София",False,"125,560",EUR,,6-ти,7,,,Тухла,,,,,,,,,,,"Код в агенцията: 20134446!
 Лъки Недвижими Имоти предлага за продажба  2-стаен апартамент в ж.к. Сухата Река. В близост до метростанция и градинка. Намира се на 6-ти от 7 етажна нова тухлена сграда 2022г. Жилището е с акт15, и очаква акт 16 Юли 2022,. Продава се на шпакловка и замаска.. Разпределение: Антре, дневна с отворен план кухня с трапезария , спалня, баня с тоалетна и тераса. Чиста площ 57кв/м, мазе 3,13кв/м, с общи части и части  от земята  73кв/м. ПРИ НАС МОЖЕ ДА СЕ ВЪЗПОЛЗВАТЕ от безплатна консултация с независим кредитен консултант и да получите най-добрите условия за вашия ипотечен кредит!!! Агенцията работи с комисионна. ЛЪКИ НЕДВИЖИМИ ИМОТИ моб.тел. 0884 688 866. Всички наши оферти ги работим с КОРЕКТНИ КОЛЕГИ!"
85m²,"жк. Сухата Река, София",False,"156,000",EUR,,1-ви,8,ТЕЦ,,Панел,,,,,,,,,,,"ИРИДА НЕДВИЖИМИ ИМОТИ Ви представя за продажба тристаен апартамент в Сухата река.

Жилището е с площ от 85 кв.м. на първи етаж в панелен блок от 1974год. Състои се от хол, две спални, кухня, сухо и мокро помещение, баня с тоалетна и два балкона. Отоплението е на ТЕЦ.

***
Водещ брокер: Илиана Тошева
За повече информация и оглед: 0876 72 00 20

***

СВЪРЖЕТЕ СЕ С НАС! РАБОТИМ И В ПОЧИВНИТЕ ДНИ!
Предлагаме БЕЗПЛАТНО СЪДЕЙСТВИЕ за одобрение и получаване на ипотечен кредит за покупка на жилище при най-добри условия за Вас, чрез услугите на лицензиран кредитен консултант

!ПЕРФЕКТНО изработени и приключени документално имотни сделки!

Разполагаме с изпълнител за ДОВЪРШИТЕЛНИТЕ РАБОТИ и ремонт на закупеното от Вас жилище."
69m²,"жк. Сухата Река, София",False,"131,000",EUR,Обзаведен,6-ти,6,Електричество,,Панел,,,,,,,,,,,"Имоти Комфорт Ви предлага апартамент в отлично съсътояние.Състои се от кухня-трапезария , хол,спалмя, два балкона,баня с тоалет. Изцяло южно изложение! Намира се в  тихатс и спокойна част на квартала, но в близост до метростанция, хипермаркети, детски градини и училища! Апартаментът е след основен луксозен ремонт, с качествени материали, вкл. ВиК и ел.инсталация!  Покрива на блока е в гаранция, след ремонт! 
Продава се с цялото обзавеждане!
"
100m²,"жк. Сухата Река, София",False,"220,000",EUR,Обзаведен,2-ри,5,ТЕЦ,,Тухла,,,,,,,,,,,"ВиВ Хоумс представя на вашето внимание:

Тристаен апартамент, в квартал Сухата Река, площ 100кв.м, Етаж 2/5!

СГРАДА: Тухлено строителство, с отлично подържани общи части, година на строителство 2018г. 
 
РАЗПРЕДЕЛЕНИЕ: антре, дневна с кухня, две спални, две бани ,мокро помещение и две тераси.. 

ОТОПЛЕНИЕ: Електричество, ТЕЦ.       

ЛОКАЦИЯ: В близост до метростанция „Хаджи Димитър“ спирки на градски транспорт, магазини, училища и детски градини, аптеки.

ЗА ИМОТА: Светъл и просторен апартамент на отлична локация, след ремонт.

Ако желаете да получите повече информация за този имот, обадете се и цитирайте този >>>КОД 5108

За още предложения от нашата база не се колебайте да се свържете с нас!

'ВиВ Хоумс' Вашият доверен партньор при сключване на сделки с недвижими имоти.
Ние предлагаме:
- Професионално извършване на огледите.
- Проверка на имота за тежести и възбрани.
- Комплектоване на нужните документи за сделка.
- Юридическа помощ при възникнали казуси.
- Независими финансови консултанти, които безплатно Ви предоставят най-добрите условия от всички банкови институции.
 
"
40m²,"жк. Сухата Река, София",True,"70,000",EUR,Необзаведен,4-ти,5,Електричество,,Тухла,,,,,,,,,,,"Агенция за недвижими имоти Калиста Естейт има огромното удоволствие да ви представи едностаен апартамент в ж.к. Сухата река.

ОБЗАВЕЖДАНЕ: необзаведен;
РАЗПРЕДЕЛЕНИЕ: входно антре, еднопространствено помещение, баня с тоалетна и тераса;
ЗАСТРОЕНА ПЛОЩ: 32 кв. м;
ЕТАЖ: 4-ти от 5;
АСАНСЬОР: да;
ОТОПЛЕНИЕ: електричество;
ИЗЛОЖЕНИЕ: Изток;
СТРОИТЕЛСТВО: ново;
ИЗОЛАЦИЯ: да;
РЕФ.НОМЕР: 39275;
ПРЕДИМСТВА: светъл апартамент в близост до: спирки на градски транспорт, търговски обекти и главен път. Възможност за допълнително купуване на паркомясто.

При проявен интерес към тази оферта или ако желаете БЕЗПЛАТНА консултация, може да се свържете с нас на посочения телефон."
69m²,"жк. Сухата Река, София",False,"115,000",EUR,,4-ти,8,,,Тухла,,,,,,,,,,,"БУЛГАРИ КОНСУЛТ ООД предлага на Вашето внимание 3-стаен апартамент в ж.к. Сухата река . Имотът се намира в карето между бул. Ботевградско шосе , ул. Стефан Богориди , ул. Емануил Васкидович и ул. Витиня . Изключително комуникативно място, с бърз излаз на основните Софийски булеварди Ботевградско шосе и Владимир Вазов . В близост до новостроящата се метростанция на стадион Георги Аспарухов , както и на минути разстояние от спирки на трамваи, автобуси и тролейбуси. В района има детска ясла, детска градина и основно училище. На метри разстояние от СО район Подуяне .Общата площ на апартамента е 68,61 кв. м.. Състои се от хол, една спалня, отделна кухня, две големи тераси и баня с тоалетна. Мазето е с площ 3,47 кв.м.. Към имота има и 1,034 % идеални части от общите части на сградата и от право на строеж върху имота, в който е построена сградата. Едната тераса е остъклена с винкелна конструкция. Излазът към нея е от спалнята и от кухнята. Втората тераса е с излаз от хола, с изцяло южно изложение.Апартаментът се продава на шпакловка и замазка и е с нова PVC дограма.Може да видите още наши предложения на сайта ни www.bulgari-consult.bg "
73m²,"жк. Сухата Река, София",True,"125,560",EUR,Необзаведен,6-ти,7,Електричество,,Тухла,,,,,,,,,,,"К - КОНСУЛТ продава южен двустаен апартамент в новопостроена сграда в кв. Сухата река.
Сградата се изгражда с качествени и устойчиви на времето материали, очаква се АКТ16 юли месец тази година. 
Сградата се намира на метри от множество спирки на градски транспорт, търговски обекти. в близост до метростанция Хаджи Димитър и други.
Апартамента се предава на шпакловка и замазка, с блиндирана входна врата.
Чистата жилищна площ е 57 кв.м. 
Жилището разполага с мазе 3 кв.м. 
Състои се от: Входно антре, дневна с кухненски бокс, спалня, баня с тоалетна и балкон, на който се излиза от спалнята и хола. 
Имотът е изключително атрактивен, както за закупуване за собствено ползване, така и с цел инвестиция.
К - КОНСУЛТ предлага висококачествени довършителни работи и дизайн, съобразени с вкуса и предпочитанията на всеки клиент.
"
