Размер,Адрес,Точен адрес,Цена,Валута,Обзавеждане,Етаж,Етажи,Отопление,Състояние,Строителство,Спални,Бани,Двор,Площ на парцела,В регулация,Предназначение,Виза,Разрешение за строеж,Категория,Тип,Oписание
102m²,"кв. Триъгълника, София",False,"137,700",EUR,,4-ти,6,,,Тухла,,,,,,,,,,,"ТРЕ имоти предлага на Вашето внимание тристаен апартамент в новострояща се шест етажна сграда в кв. Надежда I (Триъгълника). В непосредствена близост са метростанция “Хан Кубрат“, множество обществени обекти и паркове, сред които учебни институции, болници, хипермаркети, спортни центрове и основни пътни артерии, с бърз и удобен достъп до градски транспорт.
Апартамент № 26 е тристаен апартамент находящ се на четвърти етаж със ЗП – 90,30 кв.м / РЗП -102,00.м. Изложение запад. Разпределението е както следва: антре, дневна с кухненски бокс, две спални, баня с тоалетна, тоалетна, склад, тераса.
 Апартаментите се предават на замазка по подове и гипсова мазилка по стени. Входните блиндирани врати са марка ""Solid"". Външна бяла ПВЦ 5 камерна дограма Рехау с висококачествени профили с троен стъклопакет 44 мм. В апартаментите са предвидени отоплителна, охладителна, вентилационна система за всички помещения се предлага опционално и смукателна вентилация на бани и тоалетни. За охлаждане в дневните на всеки от апартаментите се изгражда тръбна разводка за инверторни термопомпени вентилаторни конвектори - моно-сплит система. Етажните фоайета и стълбища са с настилка от гранит. Стените на входно фоайе са с декоративна мазилка, етажните фоайета и стълбищата – с латекс. Таваните на общите части са окачени с LED осветление. Подходът към сутеренните нива е осигурен посредством рампа, отвеждаща до 40 гаражи и паркоместа, ситуирани в 2 подземни нива. За постигане на нормативните изисквания за сграда клас ‘‘А‘‘ по енергийна ефективност всички външни ограждащи елементи се изолират с топлоизолационни плочи с дебелина от 16 до 20 см EPS от външна страна в зависимост от изложението и елемента. 
Покривни прозорци Велукс с троен стъклопакет с опция за ел.управление.
Отделно могат да се закупят гараж или паркомясто с цена до 22000 евро
Въвеждане в експлоатация 2023г.
 Начин на плащане:
-10% на Предварителен договор
Остатъка зависи от финансирането на Купувача
"
125m²,"кв. Триъгълника, София",False,"156,650",EUR,Необзаведен,6-ти,6,Електричество,,Тухла,,,,,,,,,,," ТРЕ имоти предлага на Вашето внимание тристаен апартамент в новострояща се шест етажна сграда в кв. Надежда I (Триъгълника). В непосредствена близост са метростанция “Хан Кубрат“, множество обществени обекти и паркове, сред които учебни институции, болници, хипермаркети, спортни центрове и основни пътни артерии, с бърз и удобен достъп до градски транспорт.
Апартамент № 35 е тристаен апартамент находящ се на шести етаж със ЗП – 112,85 кв.м / РЗП – 125,32 кв.м. Изложение югозапад / север. Разпределението е както следва: антре, дневна с трапезария и кухненски бокс, две спални, две бани с тоалетна, две тераси. Има скосове.
Апартаментите се предават на замазка по подове и гипсова мазилка по стени. Входните блиндирани врати са марка ""Solid"". Външна бяла ПВЦ 5 камерна дограма Рехау с висококачествени профили с троен стъклопакет 44 мм. В апартаментите са предвидени отоплителна, охладителна, вентилационна система за всички помещения се предлага опционално и смукателна вентилация на бани и тоалетни. За охлаждане в дневните на всеки от апартаментите се изгражда тръбна разводка за инверторни термопомпени вентилаторни конвектори - моно-сплит система. Етажните фоайета и стълбища са с настилка от гранит. Стените на входно фоайе са с декоративна мазилка, етажните фоайета и стълбищата – с латекс. Таваните на общите части са окачени с LED осветление. Подходът към сутеренните нива е осигурен посредством рампа, отвеждаща до 40 гаражи и паркоместа, ситуирани в 2 подземни нива. За постигане на нормативните изисквания за сграда клас ‘‘А‘‘ по енергийна ефективност всички външни ограждащи елементи се изолират с топлоизолационни плочи с дебелина от 16 до 20 см EPS от външна страна в зависимост от изложението и елемента. 
Покривни прозорци Велукс с троен стъклопакет с опция за ел.управление.
Отделно могат да се закупят гараж или паркомясто с цена до 22000 евро
Въвеждане в експлоатация 2023г.
 Начин на плащане:
-10% на Предварителен договор
Остатъка зависи от финансирането на Купувача
 
"
135m²,"кв. Триъгълника, София",False,"181,885",EUR,,5-ти,,Електричество,,Тухла,,,,,,,,,,,"ТРЕ имоти предлага на Вашето внимание тристаен апартамент в новострояща се шест етажна сграда в кв. Надежда I (Триъгълника). В непосредствена близост са метростанция “Хан Кубрат“, множество обществени обекти и паркове, сред които учебни институции, болници, хипермаркети, спортни центрове и основни пътни артерии, с бърз и удобен достъп до градски транспорт.
.Апартамент № 30 е тристаен апартамент находящ се на пети етаж със ЗП – 119,38кв.м / РЗП -134,73 кв.м. Изложение югозапад/север. Разпределението е както следва: антре, дневна с кухненски бокс, спалня, спалня с гардеробна и баня, баня с тоалетна, склад, две тераси.
Апартаментите се предават на замазка по подове и гипсова мазилка по стени. Входните блиндирани врати са марка ""Solid"". Външна бяла ПВЦ 5 камерна дограма Рехау с висококачествени профили с троен стъклопакет 44 мм. В апартаментите са предвидени отоплителна, охладителна, вентилационна система за всички помещения се предлага опционално и смукателна вентилация на бани и тоалетни. За охлаждане в дневните на всеки от апартаментите се изгражда тръбна разводка за инверторни термопомпени вентилаторни конвектори - моно-сплит система. Етажните фоайета и стълбища са с настилка от гранит. Стените на входно фоайе са с декоративна мазилка, етажните фоайета и стълбищата – с латекс. Таваните на общите части са окачени с LED осветление. Подходът към сутеренните нива е осигурен посредством рампа, отвеждаща до 40 гаражи и паркоместа, ситуирани в 2 подземни нива. За постигане на нормативните изисквания за сграда клас ‘‘А‘‘ по енергийна ефективност всички външни ограждащи елементи се изолират с топлоизолационни плочи с дебелина от 16 до 20 см EPS от външна страна в зависимост от изложението и елемента. 
Покривни прозорци Велукс с троен стъклопакет с опция за ел.управление.
Отделно могат да се закупят гараж или паркомясто с цена до 22000 евро
Въвеждане в експлоатация 2023г.
 Начин на плащане:
-10% на Предварителен договор
Остатъка зависи от финансирането на Купувача
 
"
74m²,"кв. Триъгълника, София",False,"96,772",EUR,,2-ри,6,,,Тухла,,,,,,,,,,,"ТРЕ имоти предлага на Вашето внимание двустаен апартамент в новострояща се шест етажна сграда в кв. Надежда I (Триъгълника). В непосредствена близост са метростанция “Хан Кубрат“, множество обществени обекти и паркове, сред които учебни институции, болници, хипермаркети, спортни центрове и основни пътни артерии, с бърз и удобен достъп до градски транспорт.
Апартамент №12 е двустаен апартамент находящ се на втори етаж, със ЗП – 65,60 кв.м / РЗП -74,44 кв.м. Изложение югоизток. Разпределението е както следва: антре, дневна с кухненски бокс, спалня, баня с тоалетна, склад, тераса.
 Апартаментите се предават на замазка по подове и гипсова мазилка по стени. Входните блиндирани врати са марка ""Solid"". Външна бяла ПВЦ 5 камерна дограма Рехау с висококачествени профили с троен стъклопакет 44 мм. В апартаментите са предвидени отоплителна, охладителна, вентилационна система за всички помещения се предлага опционално и смукателна вентилация на бани и тоалетни. За охлаждане в дневните на всеки от апартаментите се изгражда тръбна разводка за инверторни термопомпени вентилаторни конвектори - моно-сплит система. Етажните фоайета и стълбища са с настилка от гранит. Стените на входно фоайе са с декоративна мазилка, етажните фоайета и стълбищата – с латекс. Таваните на общите части са окачени с LED осветление. Подходът към сутеренните нива е осигурен посредством рампа, отвеждаща до 40 гаражи и паркоместа, ситуирани в 2 подземни нива. За постигане на нормативните изисквания за сграда клас ‘‘А‘‘ по енергийна ефективност всички външни ограждащи елементи се изолират с топлоизолационни плочи с дебелина от 16 до 20 см EPS от външна страна в зависимост от изложението и елемента.
Отделно могат да се закупят гараж или паркомясто с цена до 22000 евро
Въвеждане в експлоатация 2023г.
 Начин на плащане:
-10% на Предварителен договор
Остатъка зависи от финансирането на Купувача
"
95m²,"кв. Триъгълника, София",False,"124,267",EUR,,3-ти,6,,,Тухла,,,,,,,,,,,"ТРЕ имоти предлага на Вашето внимание двустаен апартамент в новострояща се шест етажна сграда в кв. Надежда I (Триъгълника). В непосредствена близост са метростанция “Хан Кубрат“, множество обществени обекти и паркове, сред които учебни институции, болници, хипермаркети, спортни центрове и основни пътни артерии, с бърз и удобен достъп до градски транспорт.
Апартамент №17 е двустаен апартамент находящ се на трети етаж, със ЗП – 84,63 кв.м / РЗП -95,59 кв.м. Изложение югозапад/север. Разпределението е както следва: антре, дневна с кухненски бокс, спалня, баня с тоалетна, склад, тераса.
Апартаментите се предават на замазка по подове и гипсова мазилка по стени. Входните блиндирани врати са марка ""Solid"". Външна бяла ПВЦ 5 камерна дограма Рехау с висококачествени профили с троен стъклопакет 44 мм. В апартаментите са предвидени отоплителна, охладителна, вентилационна система за всички помещения се предлага опционално и смукателна вентилация на бани и тоалетни. За охлаждане в дневните на всеки от апартаментите се изгражда тръбна разводка за инверторни термопомпени вентилаторни конвектори - моно-сплит система. Етажните фоайета и стълбища са с настилка от гранит. Стените на входно фоайе са с декоративна мазилка, етажните фоайета и стълбищата – с латекс. Таваните на общите части са окачени с LED осветление. Подходът към сутеренните нива е осигурен посредством рампа, отвеждаща до 40 гаражи и паркоместа, ситуирани в 2 подземни нива. За постигане на нормативните изисквания за сграда клас ‘‘А‘‘ по енергийна ефективност всички външни ограждащи елементи се изолират с топлоизолационни плочи с дебелина от 16 до 20 см EPS от външна страна в зависимост от изложението и елемента.
Отделно могат да се закупят гараж или паркомясто с цена до 22000 евро
Въвеждане в експлоатация 2023г.
 Начин на плащане:
-10% на Предварителен договор
Остатъка зависи от финансирането на Купувача
"
115m²,"кв. Триъгълника, София",False,"143,262",EUR,,6-ти,6,Електричество,,Тухла,,,,,,,,,,,"ТРЕ имоти предлага на Вашето внимание тристаен апартамент в новострояща се шест етажна сграда в кв. Надежда I (Триъгълника). В непосредствена близост са метростанция “Хан Кубрат“, множество обществени обекти и паркове, сред които учебни институции, болници, хипермаркети, спортни центрове и основни пътни артерии, с бърз и удобен достъп до градски транспорт.
Апартамент № 34 е тристаен апартамент находящ се на шести етаж със ЗП – 103,00 кв.м / РЗП – 114,61 кв.м. Изложение югоизток/югозапад /. Разпределението е както следва: антре, дневна с трапезария и кухненски бокс, две спални, две бани с тоалетна, две тераси.. Има скосове.
Апартаментите се предават на замазка по подове и гипсова мазилка по стени. Входните блиндирани врати са марка ""Solid"". Външна бяла ПВЦ 5 камерна дограма Рехау с висококачествени профили с троен стъклопакет 44 мм. В апартаментите са предвидени отоплителна, охладителна, вентилационна система за всички помещения се предлага опционално и смукателна вентилация на бани и тоалетни. За охлаждане в дневните на всеки от апартаментите се изгражда тръбна разводка за инверторни термопомпени вентилаторни конвектори - моно-сплит система. Етажните фоайета и стълбища са с настилка от гранит. Стените на входно фоайе са с декоративна мазилка, етажните фоайета и стълбищата – с латекс. Таваните на общите части са окачени с LED осветление. Подходът към сутеренните нива е осигурен посредством рампа, отвеждаща до 40 гаражи и паркоместа, ситуирани в 2 подземни нива. За постигане на нормативните изисквания за сграда клас ‘‘А‘‘ по енергийна ефективност всички външни ограждащи елементи се изолират с топлоизолационни плочи с дебелина от 16 до 20 см EPS от външна страна в зависимост от изложението и елемента. 
Покривни прозорци Велукс с троен стъклопакет с опция за ел.управление.
Отделно могат да се закупят гараж или паркомясто с цена до 22000 евро
Въвеждане в експлоатация 2023г.
 Начин на плащане:
-10% на Предварителен договор
Остатъка зависи от финансирането на Купувача
"
99m²,"кв. Триъгълника, София",False,"128,869",EUR,,5-ти,6,Електричество,,Тухла,,,,,,,,,,,"ТРЕ имоти предлага на Вашето внимание тристаен апартамент в новострояща се шест етажна сграда в кв. Надежда I (Триъгълника). В непосредствена близост са метростанция “Хан Кубрат“, множество обществени обекти и паркове, сред които учебни институции, болници, хипермаркети, спортни центрове и основни пътни артерии, с бърз и удобен достъп до градски транспорт.
Апартамент № 32 е тристаен апартамент находящ се на пети етаж със ЗП – 87,56 кв.м / РЗП -99,13 кв.м. Изложение запад. Разпределението е както следва: антре, дневна с кухненски бокс, две спални, баня с тоалетна, тоалетна, склад, тераса.. Има скосове.
Апартаментите се предават на замазка по подове и гипсова мазилка по стени. Входните блиндирани врати са марка ""Solid"". Външна бяла ПВЦ 5 камерна дограма Рехау с висококачествени профили с троен стъклопакет 44 мм. В апартаментите са предвидени отоплителна, охладителна, вентилационна система за всички помещения се предлага опционално и смукателна вентилация на бани и тоалетни. За охлаждане в дневните на всеки от апартаментите се изгражда тръбна разводка за инверторни термопомпени вентилаторни конвектори - моно-сплит система. Етажните фоайета и стълбища са с настилка от гранит. Стените на входно фоайе са с декоративна мазилка, етажните фоайета и стълбищата – с латекс. Таваните на общите части са окачени с LED осветление. Подходът към сутеренните нива е осигурен посредством рампа, отвеждаща до 40 гаражи и паркоместа, ситуирани в 2 подземни нива. За постигане на нормативните изисквания за сграда клас ‘‘А‘‘ по енергийна ефективност всички външни ограждащи елементи се изолират с топлоизолационни плочи с дебелина от 16 до 20 см EPS от външна страна в зависимост от изложението и елемента. 
Покривни прозорци Велукс с троен стъклопакет с опция за ел.управление.
Отделно могат да се закупят гараж или паркомясто с цена до 22000 евро
Въвеждане в експлоатация 2023г.
 Начин на плащане:
-10% на Предварителен договор
Остатъка зависи от финансирането на Купувача
 
"
102m²,"кв. Триъгълника, София",False,"137,700",EUR,,2-ри,6,,,Тухла,,,,,,,,,,,"ТРЕ имоти предлага на Вашето внимание тристаен апартамент в новострояща се шест етажна сграда в кв. Надежда I (Триъгълника). В непосредствена близост са метростанция “Хан Кубрат“, множество обществени обекти и паркове, сред които учебни институции, болници, хипермаркети, спортни центрове и основни пътни артерии, с бърз и удобен достъп до градски транспорт.
Апартамент № 13 е тристаен апартамент находящ се на втори етаж със ЗП – 90,30 кв.м / РЗП -102,00.м. Изложение запад. Разпределението е както следва: антре, дневна с кухненски бокс, две спални, баня с тоалетна, тоалетна, склад, тераса.
Апартаментите се предават на замазка по подове и гипсова мазилка по стени. Входните блиндирани врати са марка ""Solid"". Външна бяла ПВЦ 5 камерна дограма Рехау с висококачествени профили с троен стъклопакет 44 мм. В апартаментите са предвидени отоплителна, охладителна, вентилационна система за всички помещения се предлага опционално и смукателна вентилация на бани и тоалетни. За охлаждане в дневните на всеки от апартаментите се изгражда тръбна разводка за инверторни термопомпени вентилаторни конвектори - моно-сплит система. Етажните фоайета и стълбища са с настилка от гранит. Стените на входно фоайе са с декоративна мазилка, етажните фоайета и стълбищата – с латекс. Таваните на общите части са окачени с LED осветление. Подходът към сутеренните нива е осигурен посредством рампа, отвеждаща до 40 гаражи и паркоместа, ситуирани в 2 подземни нива. За постигане на нормативните изисквания за сграда клас ‘‘А‘‘ по енергийна ефективност всички външни ограждащи елементи се изолират с топлоизолационни плочи с дебелина от 16 до 20 см EPS от външна страна в зависимост от изложението и елемента. 
Покривни прозорци Велукс с троен стъклопакет с опция за ел.управление.
Отделно могат да се закупят гараж или паркомясто с цена до 22000 евро
Въвеждане в експлоатация 2023г.
 Начин на плащане:
-10% на Предварителен договор
Остатъка зависи от финансирането на Купувача
"
102m²,"кв. Триъгълника, София",False,"137,700",EUR,,3-ти,6,,,Тухла,,,,,,,,,,,"ТРЕ имоти предлага на Вашето внимание тристаен апартамент в новострояща се шест етажна сграда в кв. Надежда I (Триъгълника). В непосредствена близост са метростанция “Хан Кубрат“, множество обществени обекти и паркове, сред които учебни институции, болници, хипермаркети, спортни центрове и основни пътни артерии, с бърз и удобен достъп до градски транспорт.
Апартамент № 20 е тристаен апартамент находящ се на трети етаж със ЗП – 90,30 кв.м / РЗП -102,00.м. Изложение запад. Разпределението е както следва: антре, дневна с кухненски бокс, две спални, баня с тоалетна, тоалетна, склад, тераса
Апартаментите се предават на замазка по подове и гипсова мазилка по стени. Входните блиндирани врати са марка ""Solid"". Външна бяла ПВЦ 5 камерна дограма Рехау с висококачествени профили с троен стъклопакет 44 мм. В апартаментите са предвидени отоплителна, охладителна, вентилационна система за всички помещения се предлага опционално и смукателна вентилация на бани и тоалетни. За охлаждане в дневните на всеки от апартаментите се изгражда тръбна разводка за инверторни термопомпени вентилаторни конвектори - моно-сплит система. Етажните фоайета и стълбища са с настилка от гранит. Стените на входно фоайе са с декоративна мазилка, етажните фоайета и стълбищата – с латекс. Таваните на общите части са окачени с LED осветление. Подходът към сутеренните нива е осигурен посредством рампа, отвеждаща до 40 гаражи и паркоместа, ситуирани в 2 подземни нива. За постигане на нормативните изисквания за сграда клас ‘‘А‘‘ по енергийна ефективност всички външни ограждащи елементи се изолират с топлоизолационни плочи с дебелина от 16 до 20 см EPS от външна страна в зависимост от изложението и елемента. 
Покривни прозорци Велукс с троен стъклопакет с опция за ел.управление.
Отделно могат да се закупят гараж или паркомясто с цена до 22000 евро
Въвеждане в експлоатация 2023г.
 Начин на плащане:
-10% на Предварителен договор
Остатъка зависи от финансирането на Купувача
 
 
"
109m²,"кв. Триъгълника, София",False,"148,351",EUR,,4-ти,6,,,Тухла,,,,,,,,,,,"ТРЕ имоти предлага на Вашето внимание тристаен апартамент в новострояща се шест етажна сграда в кв. Надежда I (Триъгълника). В непосредствена близост са метростанция “Хан Кубрат“, множество обществени обекти и паркове, сред които учебни институции, болници, хипермаркети, спортни центрове и основни пътни артерии, с бърз и удобен достъп до градски транспорт.
Апартамент № 23 е тристаен апартамент находящ се на четвърти етаж със ЗП – 97,07 кв.м / РЗП -109,89 кв.м. Изложение югозапад. Разпределението е както следва: антре, дневна с кухненски бокс, две спални, баня с тоалетна, тоалетна, склад, тераса
Апартаментите се предават на замазка по подове и гипсова мазилка по стени. Входните блиндирани врати са марка ""Solid"". Външна бяла ПВЦ 5 камерна дограма Рехау с висококачествени профили с троен стъклопакет 44 мм. В апартаментите са предвидени отоплителна, охладителна, вентилационна система за всички помещения се предлага опционално и смукателна вентилация на бани и тоалетни. За охлаждане в дневните на всеки от апартаментите се изгражда тръбна разводка за инверторни термопомпени вентилаторни конвектори - моно-сплит система. Етажните фоайета и стълбища са с настилка от гранит. Стените на входно фоайе са с декоративна мазилка, етажните фоайета и стълбищата – с латекс. Таваните на общите части са окачени с LED осветление. Подходът към сутеренните нива е осигурен посредством рампа, отвеждаща до 40 гаражи и паркоместа, ситуирани в 2 подземни нива. За постигане на нормативните изисквания за сграда клас ‘‘А‘‘ по енергийна ефективност всички външни ограждащи елементи се изолират с топлоизолационни плочи с дебелина от 16 до 20 см EPS от външна страна в зависимост от изложението и елемента. 
Покривни прозорци Велукс с троен стъклопакет с опция за ел.управление.
Отделно могат да се закупят гараж или паркомясто с цена до 22000 евро
Въвеждане в експлоатация 2023г.
 Начин на плащане:
-10% на Предварителен договор
Остатъка зависи от финансирането на Купувача
 
 
"
