Размер,Адрес,Точен адрес,Цена,Валута,Обзавеждане,Етаж,Етажи,Отопление,Състояние,Строителство,Спални,Бани,Двор,Площ на парцела,В регулация,Предназначение,Виза,Разрешение за строеж,Категория,Тип,Oписание
80m²,"жк. Хаджи Димитър, София",False,"160,000",EUR,Обзаведен,4-ти,8,Електричество,,Панел,,,,,,,,,,,"Имоти Сердика 1 продава чудесен тристаен апартамент в ж.к. Хаджи Димитър, гр. София. Имотът е в отлично състояние и се намира в тих и същевременно централен район. В непосредствена близост са метростанция, спирки на градски транспорт, училище, детски градини, супермаркети, както и моста ""Чавдар"". Входът на блока е с контрол на достъпа, поддържани общи части и голямо междублоково пространство с обновена детска площадка. Апартаментът е двустаен, преустроен в 3/стаен, саниран, с климатична инсталация и подменени изцяло електро и ВиК инсталации (вкл. Вертикален щранг). Окабеляване за телевизия във всички помещения / вградено в стените. Вградени електроуреди NEFF. Навсякъде LED осветителни тела. Двойна входна врата. Изложение - Изток. Продава се напълно обзаведен. Всички необходими удобства са налице. Перфектен както за живеене, така и с цел инвестиция. За оглед на това и други атрактивни предложения, не се колебайте да ни потърсите на посочения телефон за връзка. В случай, че не ви отговорим на момента, ще ви върнем обаждане при първа възможност. Предлагаме безплатно съдействие за отпускане на ипотечни и потребителски кредити. Преференциални условия! Още актуални оферти за наеми и продажби може да намерите в нашия сайт: www.serdika1.bg. ID:21062
"
88m²,"жк. Хаджи Димитър, София",False,"150,000",EUR,Обзаведен,7-ми,7,Електричество,,Тухла,,,,,,,,,,,"Агенция за недвижими имоти 'Perfe' има удоволствието да Ви представи:


Двустаен апартамент с локация ж.к. Хаджи Димитър

Жилището е ситуирано на 7 от 7 етажа 

Разполага с площ от 88 кв.м. и е със следното практично разпределение:

хол с трапезария и кухня, спалня с гардеробна, баня и тоалетна и таван от 11.32 кв.м., таванът е част от жилището.

Отопление - Електричество, климатици

Добре поддържан вход с контролиран достъп.

Свободно паркиране пред входа на блока.

Изложение: Юг

Локацията е комуникативна в близост до пазара, Фантастико, две банки, денонощна аптека, 23-та поликлиника, спирка на тролей и на 300 м от метрото.


За повече въпроси и записване на час за оглед, обадете се на тел. +359 896505656

Референтен номер на имота:28911
"
64m²,"жк. Хаджи Димитър, София",False,"98,985",EUR,Необзаведен,1-ви,5,ТЕЦ,,Тухла,,,,,,,,,,,"ДРИЙМ ВИЖЪН НЕДВИЖИМИ ИМОТИ Продава двустаен апартамент кв. Хаджи Димитър. Жилището се намира в новострояща се сграда, разположена на много комуникативно място, близо до спирки на градският транспорт, удобни пътни връзки. Състои се от входно антре, дневна с трапезария и кухненски бокс, спалня, баня с тоалетна, тераса. Качествено строителство от доказан строител. ​Възможност за закупуване на гараж или паркомясто. В сградата предлагаме и други апартаменти. Оферта в агенцията 9147. Всички наши обяви ги работим с колеги. Още наши оферти може да намерите на www.dreamvision.bg Телефони за връзка: 02 421 96 35 ; 0886 13 22 91 Димитър Георгиев
"
144m²,"жк. Хаджи Димитър, София",False,"288,600",EUR,,7-ми,8,,,Тухла,,,,,,,,,,,"Агенция Явлена продава четиристаен апартамент в кв.Хаджи Димитър.Просторен и светъл четиристаен апартамент с площ 144.30 кв.м., като помещенията са функционални и светли.Разпределението на имотът е следното: коридор, дневна с кухненски бокс,три спални и гардеробна към едната спалня,баня с тоалетна.При желание за по голяма дневна и нужда от само две спални,новите собственици могат почти без усилия да преустроят огромен и слънчев дневен тракт.Жилището е разположено на седми жилищен етаж и изложение изток/запад.  Нова сграда пред АКТ15 и срок за въвеждане в експлоатация-юли 2023г.Общите части ще бъдат луксозно изпълнени с мрамор,огледала и висококачествена марка асансьор. Свободно паркиране в района и възможност за покупка на гараж. Сградата е разположена на 5 мин. от метростанция Хаджи Димитър,бърз достъп до центъра на града с автомобил или градски транспорт. Към посочената цена се дължи допълнително ДДС.
За допълнителна информация и оглед свържете се с Мариян Георгиев."
64m²,"жк. Хаджи Димитър, София",False,"98,985",EUR,,2-ри,5,Локално отопление,,Тухла,,,,,,,,,,,"ИРИДА НЕДВИЖИМИ ИМОТИ ПРОДАВА БЕЗ КОМИСИОН ДВУСТАЕН АПАРТАМЕНТ в кв.Хаджи Димитър и в близост до възлови транспортни артерии като бул.Владимир Вазов и бул.ген.Данаил Николаев Предимство на локацията е и Метростанцията и множество варианти на градската транспортна мрежа в непосредствена близост до БИЛЛА .Парка Заимов и заобикалящите го културни и административни представителства са в удобно разстояние.

Жилището е със площ от 64кв.м и се състои от хол с кухненски бокс, спалня, баня с тоалетна и склад.

В сградата има и други двустайни и тристайни апартаменти. 

***

За контакти, повече информация и огледи, ПавлинаМутафчийска 0877 007 064

***

СВЪРЖЕТЕ СЕ С НАС! РАБОТИМ И В ПОЧИВНИТЕ ДНИ!

Предлагаме БЕЗПЛАТНО СЪДЕЙСТВИЕ за одобрение и получаване на ипотечен кредит за покупка на жилище при най-добри условия за Вас, чрез услугите на лицензиран кредитен консултант!

ПЕРФЕКТНО изработени и приключени документално имотни сделки!

Разполагаме с изпълнител за ДОВЪРШИТЕЛНИТЕ РАБОТИ и ремонт на закупеното от Вас жилище. "
119m²,"жк. Хаджи Димитър, София",False,"184,567",EUR,,2-ри,5,Електричество,,Тухла,,,,,,,,,,,"ИРИДА НЕДВИЖИМИ ИМОТИ ПРОДАВА БЕЗ КОМИСИОН ТРИСТАЕН АПАРТАМЕНТ в кв.Хаджи Димитър и в близост до възлови транспортни артерии като бул.Владимир Вазов и бул.ген.Данаил Николаев Предимство на локацията е и Метростанцията и множество варианти на градската транспортна мрежа в непосредствена близост до БИЛЛА .Парка Заимов и заобикалящите го културни и административни представителства са в удобно разстояние.
Жилището е със площ от 119кв.м и се състои от хол с кухненски бокс, две спални, баня с тоалетна и склад .

В сградата има и други двустайни и тристайни апартаменти. 

***

За контакти, повече информация и огледи, ПавлинаМутафчийска 0877 007 064

***

СВЪРЖЕТЕ СЕ С НАС! РАБОТИМ И В ПОЧИВНИТЕ ДНИ!

Предлагаме БЕЗПЛАТНО СЪДЕЙСТВИЕ за одобрение и получаване на ипотечен кредит за покупка на жилище при най-добри условия за Вас, чрез услугите на лицензиран кредитен консултант!

ПЕРФЕКТНО изработени и приключени документално имотни сделки!

Разполагаме с изпълнител за ДОВЪРШИТЕЛНИТЕ РАБОТИ и ремонт на закупеното от Вас жилище. "
141m²,"жк. Хаджи Димитър, София",False,"219,960",EUR,,3-ти,6,ТЕЦ,,Тухла,,,,,,,,,,,"ИРИДА НЕДВИЖИМИ ИМОТИ Ви представя за продажба тристаен апартамент в квартал Хаджи Димитър.

АКТ 15!АКТ 16 Края на 2022!

Жилището се състои от просторна всекидневна с кухненси бокс, две спални, две бани с тоалетна. Продава се на ш/з. Апартамента е просторен и функционален, с изцяло южно и западно изложение.Отоплението е на ТЕЦ! Топ локация, на тихо и комуникативно място в кв. Хаджи Димитър, само на 10 минути от центъра на гр. София.

Сградата се намира срещу парк, в непосредствена близост до детска градина и 42-ро училище. В изпълнението на довършителните работи са заложени луксозни общи части, седем камерна дограма REHAU SYNEGO, асансьор KONE, входни врати SOLID, стъклени парапети ETEM и фасадата - по система на BAUMIT.
Има възможност за закупуване на гараж или паркомясто!

***

За контакти, повече информация и огледи, водещ брокер: Илиана Тошева 0876 72 00 20

***

СВЪРЖЕТЕ СЕ С НАС! РАБОТИМ И В ПОЧИВНИТЕ ДНИ!

Предлагаме БЕЗПЛАТНО СЪДЕЙСТВИЕ за одобрение и получаване на ипотечен кредит за покупка на жилище при най-добри условия за Вас, чрез услугите на лицензиран кредитен консултант!

ПЕРФЕКТНО изработени и приключени документално имотни сделки!

Разполагаме с изпълнител за ДОВЪРШИТЕЛНИТЕ РАБОТИ и ремонт на закупеното от Вас жилище. "
114m²,"жк. Хаджи Димитър, София",False,"171,300",EUR,,2-ри,7,Електричество,,Тухла,,,,,,,,,,,"ИРИДА НЕДВИЖИМИ ИМОТИ Ви предлага за продажба чудесен тистаен апартамент в Хаджи Димитър. 
Сградата е пусната 2022 година и има АКТ 16 !!!

Апартаментът е с площ от 114 кв.м. на етаж втори от седем. Състои се от всекидевна с кухненски бокс, две спални,баня с тоалетна, коридор, мокро помещение и два балкона. Жилището е с източно изложение.

Сградата се намира на комуникативно място, на 10 мин. пешеходно разстояние от новата метростанция Хаджи Димитър, до супермаркети Billa,Фантастико,Lidl, детски градини и учебни заведения.
Има опция за закупуване на гараж и мазе.

***

За контакти, повече информация и огледи, водещ брокер: Илиана Тошева 0876 72 00 20

***

СВЪРЖЕТЕ СЕ С НАС! РАБОТИМ И В ПОЧИВНИТЕ ДНИ!

Предлагаме БЕЗПЛАТНО СЪДЕЙСТВИЕ за одобрение и получаване на ипотечен кредит за покупка на жилище при най-добри условия за Вас, чрез услугите на лицензиран кредитен консултант!

ПЕРФЕКТНО изработени и приключени документално имотни сделки!

Разполагаме с изпълнител за ДОВЪРШИТЕЛНИТЕ РАБОТИ и ремонт на закупеното от Вас жилище. "
119m²,"жк. Хаджи Димитър, София",False,"190,521",EUR,,5-ти,5,Електричество,,Тухла,,,,,,,,,,,"ИРИДА НЕДВИЖИМИ ИМОТИ ПРОДАВА БЕЗ КОМИСИОН ТРИСТАЕН АПАРТАМЕНТ в кв.Хаджи Димитър и в близост до възлови транспортни артерии като бул.Владимир Вазов и бул.ген.Данаил Николаев Предимство на локацията е и Метростанцията и множество варианти на градската транспортна мрежа в непосредствена близост до БИЛЛА .Парка Заимов и заобикалящите го културни и административни представителства са в удобно разстояние.
Жилището е със площ от 119кв.м и се състои от хол с кухненски бокс, две спални, баня с тоалетна и склад .

В сградата има и други двустайни и тристайни апартаменти. 

***

За контакти, повече информация и огледи, ПавлинаМутафчийска 0877 007 064

***

СВЪРЖЕТЕ СЕ С НАС! РАБОТИМ И В ПОЧИВНИТЕ ДНИ!

Предлагаме БЕЗПЛАТНО СЪДЕЙСТВИЕ за одобрение и получаване на ипотечен кредит за покупка на жилище при най-добри условия за Вас, чрез услугите на лицензиран кредитен консултант!

ПЕРФЕКТНО изработени и приключени документално имотни сделки!

Разполагаме с изпълнител за ДОВЪРШИТЕЛНИТЕ РАБОТИ и ремонт на закупеното от Вас жилище. "
90m²,"жк. Хаджи Димитър, София",False,"175,000",EUR,Обзаведен,1-ви,4,Електричество,,Тухла,,,,,,,,,,,"ном.в агенцията-5080
цена-175.000 евро
ет 1
кв.м-90
Агенция Ивена Консулт предлага -Тристаен обзаведен кв.Хаджи Димиър .
На метри от автобусни спирки и метростанция Хаджи Димитър.
Разположено е между няколко магазина на големи хранителни вериги. В близост до пазар, училище и парк. Около жилището има много зелени площи с детски площадки.
Разпределението е следното:
- голям коридор с вграден стенен гардероб
- всекидневна с кухненски бокс (отделени от функционален остров).
- към всекидневната има остъклена тераса
- спалня
- втора спалня с усвоена тераса
- баня
- тоалетна
- избено помещение с площ около 9кв.м. е разположено точно под основната стая (всекидневна)
Две входни врати - метална и дървена.
Всички прозорци са с външни ролетни щори. Дограмата е ПВЦ.
Отоплението е на климатици и подово отопление.
Настилките във всички стаи са ламинат, коридорите - теракот.
Сградата е оборудвана с видео наблюдение. Входа се заключва.

За повече информация за тази оферта и други атрактивни в района звъннете на посочения телефон.

Безплатно съдействие при ипотечно кредитиране!

0878 788 601
"
