Размер,Адрес,Точен адрес,Цена,Валута,Обзавеждане,Етаж,Етажи,Отопление,Състояние,Строителство,Спални,Бани,Двор,Площ на парцела,В регулация,Предназначение,Виза,Разрешение за строеж,Категория,Тип,Oписание
114m²,"кв. Хладилника, София",False,"196,500",EUR,Необзаведен,2-ри,6,,,Тухла,,,,,,,,,,,"БЕЗ КОМИСИОННА ОТ КУПУВАЧА!!!ДРИЙМ ВИЖЪН НЕДВИЖИМИ ИМОТИ Продава тристаен апартамент в кв. Хладилника. Жилището се намира в нова, луксозна сграда намираща се на много комуникативно място в близост до Зоопарк София, на броени минути от метростанция Витоша , МОЛ Парадайс . Жилището се състои от входно антре, дневна с кухненски бокс и трапезария, две спални, две бани с тоалетни, тераса. Възможност за закупуване на подземни паркоместа. Предава се на шпакловка и замазка. В сградата предлагаме и други апартаменти. Качествено строителство от доказал се строител в годините. Оферта в агенцията 8990. Всички наши обяви ги работим с колеги. Още наши оферти може да намерите на www. dreamvision. bg Телефони за връзка: 02 421 96 35 / 0886 13 22 91 Димитър Георгиев
"
78m²,"кв. Хладилника, София",False,"139,000",EUR,Необзаведен,7-ми,11,,,Тухла,,,,,,,,,,,"БЕЗ КОМИСИОННА ОТ КУПУВАЧА!!!ДРИЙМ ВИЖЪН НЕДВИЖИМИ ИМОТИ Продава двустаен апартамент в кв. Хладилника. Жилището се намира в нова, луксозна сграда намираща се на много комуникативно място в близост до Зоопарк София, на броени минути от метростанция Витоша , МОЛ Парадайс . Жилището се състои от входно антре, дневна с кухненски бокс и трапезария, спалня, баня с тоалетна, килер, тераса. Възможност за закупуване на подземни паркоместа. Предава се на шпакловка и замазка. В сградата предлагаме и други апартаменти. Качествено строителство от доказал се строител в годините. Оферта в агенцията 8994. Всички наши обяви ги работим с колеги. Още наши оферти може да намерите на www. dreamvision. bg Телефони за връзка: 02 421 96 35 / 0886 13 22 91 Димитър Георгиев
"
77m²,"кв. Хладилника, София",False,"135,000",EUR,Необзаведен,3-ти,6,,,Тухла,,,,,,,,,,,"БЕЗ КОМИСИОННА ОТ КУПУВАЧА!!!ДРИЙМ ВИЖЪН НЕДВИЖИМИ ИМОТИ Продава двустаен апартамент в кв. Хладилника. Жилището се намира в нова, луксозна сграда намираща се на много комуникативно място в близост до Зоопарк София, на броени минути от метростанция Витоша , МОЛ Парадайс . Жилището се състои от входно антре, дневна с кухненски бокс и трапезария, спалня, баня с тоалетна, килер, тераса. Възможност за закупуване на подземни паркоместа. Предава се на шпакловка и замазка. В сградата предлагаме и други апартаменти. Качествено строителство от доказал се строител в годините. Оферта в агенцията 8992. Всички наши обяви ги работим с колеги. Още наши оферти може да намерите на www. dreamvision. bg Телефони за връзка: 02 421 96 35 / 0886 13 22 91 Димитър Георгиев
"
128m²,"кв. Хладилника, София",False,"297,300",EUR,Необзаведен,3-ти,12,,,Тухла,,,,,,,,,,,"ДРИЙМ ВИЖЪН НЕДВИЖИМИ ИМОТИ Продава тристаен апартамент кв.Хладилника. Жилището се намира в новострояща се сграда, разположена на много комуникативно място близо до Paradise center, метростанция, Южен парк, спирки на градският транспорт, удобни пътни връзки. Състои се от входно антре, дневна с трапезария и кухненски бокс, две спални (едната е със собствена баня с тоалетна), баня с тоалетна, тераса. Отопление на газ. Качествено строителство от доказан строител. Схема на плащане - 20% на предварителен договор, 30% на АКТ 14 и 50% на АКТ 16. Обявената цена е с включено ДДС. Срок на завършване юни 2023г. ​Възможност за закупуване на гараж. В сградата предлагаме и други апартаменти. Оферта в агенцията 8532. Всички наши обяви ги работим с колеги. Още наши оферти може да намерите на www.dreamvision.bg Телефони за връзка: 02 421 96 35 ; 0886 13 22 91 Димитър Георгиев
"
130m²,"кв. Хладилника, София",False,"306,900",EUR,Необзаведен,4-ти,12,,,Тухла,,,,,,,,,,,"БЕЗ КОМИСИОННА ОТ КУПУВАЧА!!! ДРИЙМ ВИЖЪН НЕДВИЖИМИ ИМОТИ Продава тристаен апартамент кв.Хладилника. Жилището се намира в новострояща се сграда, разположена на много комуникативно място близо до Paradise center, метростанция, Южен парк, спирки на градският транспорт, удобни пътни връзки. Състои се от входно антре, дневна с трапезария и кухненски бокс, две спални (едната е със собствена баня с тоалетна и дрешник), баня с тоалетна,тоалетна, тераса. Отопление на газ. Качествено строителство от доказан строител. Схема на плащане - 20% на предварителен договор, 30% на АКТ 14 и 50% на АКТ 16. Обявената цена е с включено ДДС. Срок на завършване юни 2023г. ​Възможност за закупуване на гараж. В сградата предлагаме и други апартаменти. Оферта в агенцията 8533. Всички наши обяви ги работим с колеги. Още наши оферти може да намерите на www.dreamvision.bg Телефони за връзка: 02 421 96 35 ; 0886 13 22 91 Димитър Георгиев
"
65m²,"кв. Хладилника, София",False,"139,000",EUR,,2-ри,12,,,Тухла,,,,,,,,,,,"БЕЗ КОМИСИОННА ОТ КУПУВАЧА!!! ДРИЙМ ВИЖЪН НЕДВИЖИМИ ИМОТИ Продава двустаен апартамент кв.Хладилника. Жилището се намира в новострояща се сграда, разположена на много комуникативно място близо до Paradise center, метростанция, Южен парк, спирки на градският транспорт, удобни пътни връзки. Състои се от входно антре, дневна с трапезария и кухненски бокс, спалня, баня с тоалетна, килер. Отопление на газ. Качествено строителство от доказан строител. Схема на плащане - 20% на предварителен договор, 30% на АКТ 14 и 50% на АКТ 16. Обявената цена е с ДДС. Срок на завършване юни 2023г. ​Възможност за закупуване на гараж. В сградата предлагаме и други апартаменти. Оферта в агенцията 8531. Всички наши обяви ги работим с колеги. Още наши оферти може да намерите на www.dreamvision.bg Телефони за връзка: 02 421 96 35 ; 0886 13 22 91 Димитър Георгиев
"
156m²,"кв. Хладилника, София",False,"352,500",EUR,,3-ти,12,,,Тухла,,,,,,,,,,,"БЕЗ КОМИСИОННА ОТ КУПУВАЧА!!! ДРИЙМ ВИЖЪН НЕДВИЖИМИ ИМОТИ Продава четиристаен апартамент кв.Хладилника. Жилището се намира в новострояща се сграда, разположена на много комуникативно място близо до Paradise center, метростанция, Южен парк, спирки на градският транспорт, удобни пътни връзки. Състои се от входно антре, дневна с трапезария и кухненски бокс, три спални, две бани с тоалетни,тоалетна, тераса. Отопление на газ. Качествено строителство от доказан строител. Схема на плащане - 20% на предварителен договор, 30% на АКТ 14 и 50% на АКТ 16. Обявената цена е с включено ДДС. Срок на завършване юни 2023г. ​Възможност за закупуване на гараж. В сградата предлагаме и други апартаменти. Оферта в агенцията 8534. Всички наши обяви ги работим с колеги. Още наши оферти може да намерите на www.dreamvision.bg Телефони за връзка: 02 421 96 35 ; 0886 13 22 91 Димитър Георгиев
"
191m²,"кв. Хладилника, София",False,"484,200",EUR,Необзаведен,6-ти,12,,,Тухла,,,,,,,,,,,"БЕЗ КОМИСИОННА ОТ КУПУВАЧА!!! ДРИЙМ ВИЖЪН НЕДВИЖИМИ ИМОТИ Продава четиристаен апартамент кв.Хладилника. Жилището се намира в новострояща се сграда, разположена на много комуникативно място близо до Paradise center, метростанция, Южен парк, спирки на градският транспорт, удобни пътни връзки. Състои се от входно антре,просторна дневна с трапезария и кухненски бокс, три спални (две от които със собствени бани с тоалетни), баня с тоалетна за гости, тераса. Отопление на газ. Качествено строителство от доказан строител. Схема на плащане - 20% на предварителен договор, 30% на АКТ 14 и 50% на АКТ 16. Обявената цена е с ДДС. Срок на завършване юни 2023г. ​Възможност за закупуване на гараж. В сградата предлагаме и други апартаменти. Оферта в агенцията 8535. Всички наши обяви ги работим с колеги. Още наши оферти може да намерите на www.dreamvision.bg Телефони за връзка: 02 421 96 35 ; 0886 13 22 91 Димитър Георгиев
"
174m²,"кв. Хладилника, София",False,"433,000",EUR,,6-ти,6,,,Тухла,,,,,,,,,,,"ИРИДА НЕДВИЖИМИ ИМОТИ ПРОДАВА БЕЗ КОМИСИОННА ОТ КУПУВАЧ МНОГОСТАЕН АПАРТАМЕНТ НОВО СТРОИТЕЛСТВО В КВ. ХЛАДИЛНИКА!

Апартамент 62 се намира на шести етаж (последен). Състои се от трапезария с кухненски бокс и холна част, три спални, две бани с тоалетна, самостоятелна тоалетна, склад, антре и луксозни общи части. Изложението е север-юг. Отоплението е посредством газови котли.Свободната дворна площ е заета от алеи, открити места за паркиране, богато озеленяване и детски кът, както и уютно кафене за приятно прекарване на свободното време.В непосредствена близост до сградата се намират Ловен парк-Борисовата градина и Зоологическата градина. 

***

За контакти, повече информация и огледи, водещ брокер: Павлина Мутафчийска 0877007064

***

СВЪРЖЕТЕ СЕ С НАС! РАБОТИМ И В ПОЧИВНИ ДНИ!

Предлагаме БЕЗПЛАТНО СЪДЕЙСТВИЕ за одобрение и получаване на ипотечен кредит за покупка на жилище при най-добри условия за Вас, чрез услугите на лицензиран кредитен консултант!

ПЕРФЕКТНО изработени и приключени документално имотни сделки!

Агенцията ни поддържа БОГАТА И АКТУАЛНА БАЗА ДАННИ за имоти в нови, луксозни сгради в южната част на Столицата!

Разполагаме с изпълнител за ДОВЪРШИТЕЛНИТЕ РАБОТИ и ремонт на закупеното от Вас жилище. "
140m²,"кв. Хладилника, София",False,"245,700",EUR,,4-ти,6,,,Тухла,,,,,,,,,,,"ИРИДА НЕДВИЖИМИ ИМОТИ ПРОДАВА БЕЗ КОМИСИОН ОТ КУПУВАЧ ТРИСТАЕН АПАРТАМЕНТ НОВО СТРОИТЕЛСТВО В КВ. ХЛАДИЛНИКА!

Апартамент 61 се намира на шести етаж (последен). Състои се от трапезария с кухненски бокс и холна част, две спални, две бани с тоалетна, самостоятелна тоалетна, склад, антре и луксозни общи части. Изложението е север-юг. Отоплението е посредством газови котли.Свободната дворна площ е заета от алеи, открити места за паркиране, богато озеленяване и детски кът, както и уютно кафене за приятно прекарване на свободното време. В непосредствена близост до сградата се намират Ловен парк-Борисовата градина и Зоологическата градина. 

***

За контакти, повече информация и огледи, водещ брокер: Павлина Мутафчийска 0877007064

***

СВЪРЖЕТЕ СЕ С НАС! РАБОТИМ И В ПОЧИВНИ ДНИ!

Предлагаме БЕЗПЛАТНО СЪДЕЙСТВИЕ за одобрение и получаване на ипотечен кредит за покупка на жилище при най-добри условия за Вас, чрез услугите на лицензиран кредитен консултант!

ПЕРФЕКТНО изработени и приключени документално имотни сделки!

Агенцията ни поддържа БОГАТА И АКТУАЛНА БАЗА ДАННИ за имоти в нови, луксозни сгради в южната част на Столицата!

Разполагаме с изпълнител за ДОВЪРШИТЕЛНИТЕ РАБОТИ и ремонт на закупеното от Вас жилище. "
